resource,category,group
rid,positive_affect,positive_affect
rid,regressive_cognition,cognition_perception
rid,restraint,moral_imperative
rid,sadness,negative_affect
rid,sensation,sensory_quality
rid,social_behavior,social_cooperation
rid,temporal_references,spatial_temporal_deixis
wordnet,body,body_health
wordnet,change,magnitude_change
wordnet,cognition,cognition_perception
wordnet,communication,communication_speech
wordnet,competition,aggression_conflict
wordnet,consumption,concrete_object
wordnet,contact,contact_manipulation
wordnet,creation,goal_directed_action
wordnet,emotion,emotion_general
wordnet,motion,motion_locomotion
wordnet,perception,cognition_perception
wordnet,possession,economic_exchange
wordnet,social,social_cooperation
wordnet,stative,abstraction_relation
wordnet,weather,natural_environment
induced,bodily_violence,aggression_conflict
induced,contact_care,affection_care
induced,entity_noun,concrete_object
induced,grammatical_function,logical_connective
induced,locomotion_posture,motion_locomotion
induced,nonverbal_expression,expressive_nonverbal
induced,object_handling,contact_manipulation
induced,perception_cognition,cognition_perception
induced,person_reference,social_role_participant
induced,procedural_operation,ritual_procedure
induced,process_event,process_phase
induced,property_damage,aggression_conflict
induced,quality_manner,sensory_quality
induced,ritual_observance,ritual_procedure
induced,speech_act,communication_speech
induced,transfer_possession,economic_exchange
