category,group
K5,leisure_hobbies_and_play
K5.1,leisure_hobbies_and_play
K5.2,leisure_hobbies_and_play
K6,leisure_hobbies_and_play
L1,biology_and_living_things
L2,biology_and_living_things
L2f,biology_and_living_things
L2fn,biology_and_living_things
L2mf,biology_and_living_things
L2mfn,biology_and_living_things
L2mfnc,biology_and_living_things
L2mn,biology_and_living_things
L3,biology_and_living_things
M1,movement_transport_and_location
M2,matter_objects_and_handling
M3,movement_transport_and_location
M3fn,movement_transport_and_location
M4,movement_transport_and_location
M4fn,movement_transport_and_location
M5,movement_transport_and_location
M6,movement_transport_and_location
M7,geography_and_places
M8,movement_transport_and_location
N1,number_quantity_and_order
N2,number_quantity_and_order
N3,physical_measurement_dimensions
N3.1,physical_measurement_dimensions
N3.1c,physical_measurement_dimensions
N3.2,physical_measurement_dimensions
N3.3,physical_measurement_dimensions
N3.4,physical_measurement_dimensions
N3.5,physical_measurement_dimensions
N3.6,physical_measurement_dimensions
N3.7,physical_measurement_dimensions
N3.8,physical_measurement_dimensions
N4,number_quantity_and_order
N4c,number_quantity_and_order
N5,number_quantity_and_order
N5+++c,number_quantity_and_order
N5.1,number_quantity_and_order
N5.2,number_quantity_and_order
N6,number_quantity_and_order
O1,matter_objects_and_handling
O1.1,matter_objects_and_handling
O1.2,matter_objects_and_handling
O1.3,matter_objects_and_handling
O2,matter_objects_and_handling
O2c,matter_objects_and_handling
O3,science_technology_and_electronics
O4.1,physical_appearance_and_properties
O4.2,physical_appearance_and_properties
O4.3,physical_appearance_and_properties
O4.4,physical_appearance_and_properties
O4.5,physical_appearance_and_properties
O4.6,physical_appearance_and_properties
P1,inquiry_discovery_and_education
Q1.1,language_and_communication
Q1.2,language_and_communication
Q1.2c,language_and_communication
Q1.3,language_and_communication
Q2.1,language_and_communication
Q2.2,language_and_communication
Q3,language_and_communication
Q4,media_and_entertainment
Q4.1,media_and_entertainment
Q4.2,media_and_entertainment
Q4.3,media_and_entertainment
Q4c,media_and_entertainment
S.1.2.3,personality_traits
S1.1.1,sociality_reciprocity_and_belonging
S1.1.2,sociality_reciprocity_and_belonging
S1.1.3,sociality_reciprocity_and_belonging
S1.1.3+c,sociality_reciprocity_and_belonging
S1.1.4,sociality_reciprocity_and_belonging
S1.2,personality_traits
S1.2.1,personality_traits
S1.2.2,personality_traits
S1.2.3,personality_traits
S1.2.4,personality_traits
S1.2.5,personality_traits
S1.2.6,personality_traits
S2,people_and_gender
S2.1f,people_and_gender
S2.2,people_and_gender
S2.2m,people_and_gender
S2mf,people_and_gender
S2mfc,people_and_gender
S3.1,kinship_and_relationships
S3.2,kinship_and_relationships
S4,kinship_and_relationships
S4c,kinship_and_relationships
S4f,kinship_and_relationships
S4m,kinship_and_relationships
S4mf,kinship_and_relationships
S5,sociality_reciprocity_and_belonging
S5+c,sociality_reciprocity_and_belonging
S6,governance_law_and_ethics
S7.1,hierarchy_power_and_status
S7.1+c,hierarchy_power_and_status
S7.2,hierarchy_power_and_status
S7.3,hierarchy_power_and_status
S7.4,governance_law_and_ethics
S8,sociality_reciprocity_and_belonging
S9,religion_and_supernatural
S9c,religion_and_supernatural
S9f,religion_and_supernatural
S9mfn,religion_and_supernatural
S9mn,religion_and_supernatural
T1,time_reference_and_tense
T1.1,time_reference_and_tense
T1.1.1,time_reference_and_tense
T1.1.2,time_reference_and_tense
T1.1.3,time_reference_and_tense
T1.2,duration_phase_and_age
T1.3,duration_phase_and_age
T2,duration_phase_and_age
T3,duration_phase_and_age
T4,duration_phase_and_age
W1,cosmos_weather_and_environment
W2,cosmos_weather_and_environment
W3,geography_and_places
W4,cosmos_weather_and_environment
W5,cosmos_weather_and_environment
X1,core_cognition_and_belief
X2,core_cognition_and_belief
X2.1,core_cognition_and_belief
X2.2,inquiry_discovery_and_education
X2.3,inquiry_discovery_and_education
X2.4,inquiry_discovery_and_education
X2.5,core_cognition_and_belief
X2.6,core_cognition_and_belief
X3,sensory_perception
X3.1,sensory_perception
X3.2,sensory_perception
X3.3,sensory_perception
X3.4,sensory_perception
X3.5,sensory_perception
X4.1,core_cognition_and_belief
X4.2,core_cognition_and_belief
X5.1,emotion_and_arousal
X5.2,emotion_and_arousal
X6,volition_and_capability
X7,volition_and_capability
X8,volition_and_capability
X9.1,volition_and_capability
X9.2,volition_and_capability
Y1,science_technology_and_electronics
Y2,science_technology_and_electronics
Z1,personal_names
Z1f,personal_names
Z1m,personal_names
Z1mf,personal_names
Z2,geography_and_places
Z2c,geography_and_places
Z3,other_proper_names
Z3c,other_proper_names
Z3f,other_proper_names
Z3fn,other_proper_names
Z3m,other_proper_names
Z3mf,other_proper_names
Z3mfn,other_proper_names
Z4,logical_modal_and_discourse_operators
Z5,logical_modal_and_discourse_operators
Z6,logical_modal_and_discourse_operators
Z7,logical_modal_and_discourse_operators
Z8,pronouns
Z8f,pronouns
Z8m,pronouns
Z8mf,pronouns
Z8mfc,pronouns
Z8mfn,pronouns
