category,group
Detaining,captivity_confinement
Detonate_explosive,violence_harm
Differentiation,classification_comparison
Dimension,scalar_quantity
Discussion,speech_communication
Disembarking,vehicle_travel
Dispersal,spatial_placement
Distributed_position,spatial_placement
Dominate_situation,control_manipulation
Dressing,body_presentation
Dunking,material_process
Duplication,construction_creation
Duration_relation,time_relation
Earnings_and_losses,commerce_finance
Eclipse,weather_natural_phenomena
Education_teaching,inquiry_education
Emanating,material_process
Emitting,material_process
Emotion_active,emotion
Emotion_directed,emotion
Emotion_heat,emotion
Emotions_of_mental_activity,emotion
Emphasizing,speech_act_stance
Employing,employment_work
Emptying,material_process
Encoding,speech_manner_channel
Endangering,safety_protection
Endeavor_failure,attempt_outcome
Enforcing,compliance_permission
Erasing,damage_destruction
Estimating,evaluation_assessment
Evading,opposition_competition
Evaluative_comparison,evaluation_assessment
Event,process_phase
Eventive_affecting,transformation
Evidence,evaluation_assessment
Evoking,emotion
Examination,inquiry_education
Exchange,transfer_possession
Excreting,biological_state
Execute_plan,process_phase
Execution,reward_punishment
Exercising,body_presentation
Existence,transformation
Expansion,scalar_quantity
Expectation,belief_knowledge
Expend_resource,possession_change
Expensiveness,commerce_finance
Experience_bodily_harm,violence_harm
Experiencer_focus,emotion
Experiencer_obj,emotion
Experimentation,inquiry_education
Expressing_publicly,speech_communication
Fall_asleep,biological_state
Fall_for,deception_secrecy
Feeling,emotion
Feigning,deception_secrecy
Filling,material_process
Fining,reward_punishment
Finish_competition,opposition_competition
Fire_burning,material_process
Firefighting,fire_events
Firing,employment_work
Fluidic_motion,self_motion
Food_gathering,subsistence_production
Forging,construction_creation
Forgiveness,reward_punishment
Forgoing,possession_change
Forming_relationships,social_bond
Front_for,deception_secrecy
Frugality,commerce_finance
Funding,commerce_finance
Gathering_up,possession_change
Gesture,body_presentation
Getting,possession_change
Give_impression,perception
Giving,transfer_possession
Giving_birth,biological_state
Giving_in,compliance_permission
Going_back_on_a_commitment,speech_act_stance
Grinding,hands_on_manipulation
Grooming,body_presentation
Hair_configuration,body_presentation
Halt,process_phase
Having_or_lacking_access,control_manipulation
Hearsay,speech_act_stance
Hiding_objects,deception_secrecy
Hindering,opposition_competition
Hiring,employment_work
Hostile_encounter,conflict_war
Hunting,subsistence_production
Hunting_success_or_failure,attempt_outcome
Imitating,construction_creation
Impact,violence_harm
Importing,commerce_finance
Imprisonment,captivity_confinement
Improvement_or_decline,scalar_quantity
Inclusion,classification_comparison
Infecting,health_medical
Ingest_substance,subsistence_production
Ingestion,subsistence_production
Inhibit_movement,opposition_competition
Inspecting,inquiry_education
Installing,hands_on_manipulation
Institutionalization,captivity_confinement
Intentionally_act,process_phase
Intentionally_affect,transformation
Intentionally_create,construction_creation
Intercepting,opposition_competition
Interrupt_process,process_phase
Invading,conflict_war
Judgment,evaluation_assessment
Judgment_communication,evaluation_assessment
Judgment_direct_address,evaluation_assessment
Justifying,speech_act_stance
Kidnapping,captivity_confinement
Killing,violence_harm
Labeling,classification_comparison
Leadership,control_manipulation
Legal_rulings,crime_law
Lending,transfer_possession
Likelihood,belief_knowledge
Limiting,control_manipulation
Linguistic_meaning,speech_manner_channel
Location_of_light,spatial_placement
Locative_relation,spatial_placement
Losing,possession_change
Make_acquaintance,social_bond
Make_cognitive_connection,reasoning_decision
Make_compromise,compliance_permission
Make_noise,sound_production
Making_arrangements,process_phase
Making_faces,body_presentation
Manipulate_into_doing,persuasion_suasion
Manipulate_into_shape,hands_on_manipulation
Manipulation,control_manipulation
Manufacturing,construction_creation
Mass_motion,self_motion
Medical_intervention,health_medical
Memorization,belief_knowledge
Memory,belief_knowledge
Mining,subsistence_production
Misdeed,crime_law
Motion,self_motion
Motion_directional,self_motion
Motion_noise,sound_production
Moving_in_place,self_motion
Name_conferral,classification_comparison
Needing,desire_want
Non-commutative_process,process_phase
Notification_of_charges,crime_law
Objective_influence,control_manipulation
Occupy_rank,control_manipulation
Offering,transfer_possession
Omen,evaluation_assessment
Operate_vehicle,vehicle_travel
Operational_testing,inquiry_education
Opinion,belief_knowledge
Partiality,evaluation_assessment
Participation,social_bond
Path_shape,spatial_placement
Patrolling,crime_law
Perception_active,perception
Perception_body,perception
Perception_experience,perception
Performers_and_roles,classification_comparison
Personal_relationship,social_bond
Piracy,crime_law
Placing,spatial_placement
Posing_as,deception_secrecy
Possession,possession_change
Possibility,belief_knowledge
Posture,body_presentation
Practice,inquiry_education
Precipitation,weather_natural_phenomena
Predicting,belief_knowledge
Preserving,safety_protection
Prevarication,deception_secrecy
Prevent_or_allow_possession,compliance_permission
Preventing_or_letting,compliance_permission
Process_continue,process_phase
Process_end,process_phase
Process_resume,process_phase
Process_start,process_phase
Process_stop,process_phase
Processing_materials,construction_creation
Progression,scalar_quantity
Prohibiting_or_licensing,compliance_permission
Proliferating_in_number,scalar_quantity
Protecting,safety_protection
Protest,speech_act_stance
Provide_lodging,safety_protection
Publishing,speech_communication
Punctual_perception,perception
Purpose,reasoning_decision
Putting_out_fire,fire_events
Quarreling,speech_act_stance
Questioning,speech_act_stance
Quitting,employment_work
Quitting_a_place,self_motion
Rape,violence_harm
Ratification,compliance_permission
Reading_perception,perception
Reasoning,reasoning_decision
Rebellion,conflict_war
Receiving,transfer_possession
Recording,speech_manner_channel
Recovery,health_medical
Redirecting,caused_motion
Referring_by_name,classification_comparison
Reforming_a_system,transformation
Rejuvenation,health_medical
Relating_concepts,reasoning_decision
Relative_time,time_relation
Releasing,captivity_confinement
Reliance,belief_knowledge
Remainder,scalar_quantity
Remembering_experience,belief_knowledge
Remembering_information,belief_knowledge
Removing,hands_on_manipulation
Render_nonfunctional,damage_destruction
Renting,commerce_finance
Renunciation,possession_change
Repayment,commerce_finance
Repel,opposition_competition
Replacing,transformation
Reporting,speech_communication
Request,speech_act_stance
Required_event,compliance_permission
Rescuing,safety_protection
Research,inquiry_education
Reserving,possession_change
Reshaping,transformation
Residence,spatial_placement
Resolve_problem,attempt_outcome
Respond_to_proposal,compliance_permission
Response,speech_communication
Resurrection,biological_state
Reveal_secret,deception_secrecy
Revenge,reward_punishment
Rewards_and_punishments,reward_punishment
Ride_vehicle,vehicle_travel
Rite,social_bond
Robbery,crime_law
Rope_manipulation,hands_on_manipulation
Rotting,material_process
Scheduling,time_relation
Scouring,hands_on_manipulation
Scrutiny,evaluation_assessment
Seeking,inquiry_education
Self_control,emotion
Self_motion,self_motion
Sending,transfer_possession
Sentencing,crime_law
Separating,hands_on_manipulation
Setting_fire,fire_events
Sex,social_bond
Shoot_projectiles,violence_harm
Shopping,commerce_finance
Sign,evaluation_assessment
Sign_agreement,compliance_permission
Silencing,control_manipulation
Similarity,classification_comparison
Simultaneity,time_relation
Sleep,biological_state
Smuggling,crime_law
Soaking,material_process
Soaking_up,material_process
Sound_movement,sound_production
Speak_on_topic,speech_communication
Spelling_and_pronouncing,speech_manner_channel
Statement,speech_communication
Stinginess,commerce_finance
Storing,spatial_placement
Suasion,persuasion_suasion
Subjective_influence,persuasion_suasion
Submitting_documents,compliance_permission
Subversion,opposition_competition
Success_or_failure,attempt_outcome
Successful_action,attempt_outcome
Suitability,evaluation_assessment
Summarizing,speech_communication
Supply,transfer_possession
Supporting,safety_protection
Surpassing,classification_comparison
Surrendering,compliance_permission
Surrendering_possession,possession_change
Surrounding,spatial_placement
Surviving,safety_protection
Taking_sides,social_bond
Talking_into,persuasion_suasion
Telling,speech_communication
Temporary_stay,spatial_placement
Text_creation,construction_creation
Theft,crime_law
Thriving,attempt_outcome
Thwarting,opposition_competition
Tolerating,process_phase
Topic,speech_communication
Travel,vehicle_travel
Traversing,self_motion
Treating_and_mistreating,violence_harm
Triggering,transformation
Unattributed_information,speech_act_stance
Undergo_transformation,transformation
Undergoing,transformation
Undressing,body_presentation
Use_firearm,violence_harm
Using,hands_on_manipulation
Using_resource,possession_change
Vehicle_landing,vehicle_travel
Verdict,crime_law
Verification,evaluation_assessment
Visiting,social_bond
Wagering,commerce_finance
Waiting,process_phase
Waking_up,biological_state
Warning,speech_act_stance
Waver_between_options,reasoning_decision
Wearing,body_presentation
Weather,weather_natural_phenomena
Win_prize,attempt_outcome
Working_a_post,employment_work
