model,tier,period,poems,num_parses,num_parses_poets_same_period,num_parses_rewind_years,num_parses_censored,uip,uip_poets_same_period,uip_rewind_years,uip_censored
Claude-3-Sonnet,API,1750,117,2.257,2.662,,True,32.421,21.474,,True
Claude-3-Sonnet,API,1800,275,2.452,2.906,,True,29.469,19.802,,True
Claude-3-Sonnet,API,1850,249,2.372,2.791,,True,33.687,18.658,,True
Claude-3-Sonnet,API,1900,175,3.056,3.503,31.406,False,18.887,9.925,60.006,False
Claude-3-Sonnet,API,1950,346,3.609,3.973,38.758,False,11.06,5.305,56.498,False
DeepSeek-chat,API,1600,180,1.989,2.953,,True,32.719,15.646,,True
DeepSeek-chat,API,1650,257,2.077,2.927,,True,31.052,16.339,,True
DeepSeek-chat,API,1700,360,1.981,2.632,,True,32.263,19.568,,True
DeepSeek-chat,API,1750,152,2.122,2.662,,True,30.2,21.474,,True
DeepSeek-chat,API,1800,305,2.06,2.906,,True,33.235,19.802,,True
DeepSeek-chat,API,1850,287,2.001,2.791,,True,34.078,18.658,,True
DeepSeek-chat,API,1900,207,2.473,3.503,,True,21.502,9.925,,True
DeepSeek-chat,API,1950,392,3.038,3.973,82.639,False,12.398,5.305,64.159,False
