arm,family,period,poems,primer,delta_u,ci95,p,share_below_primer,delta_uip
aligned,Llama,1600,102,2.907,-0.5298,0.2844,0.0008316,0.6667,3.634
aligned,Mistral,1600,29,2.85,-0.236,0.4498,0.4299,0.5517,13.28
aligned,pooled,1650,222,3.189,-0.8055,0.232,2.978e-09,0.6306,5.047
aligned,Llama,1650,165,3.119,-0.7793,0.2608,6.142e-07,0.6061,3.989
aligned,Mistral,1650,57,3.392,-0.8814,0.5002,0.001653,0.7018,8.111
aligned,pooled,1700,366,2.579,-0.1711,0.1785,0.7317,0.4645,-2.102
aligned,Llama,1700,268,2.622,-0.2081,0.207,0.6056,0.4776,-1.398
aligned,Mistral,1700,98,2.462,-0.06987,0.3526,0.8431,0.4286,-4.028
aligned,pooled,1750,158,2.663,-0.2796,0.2823,0.1132,0.5443,-0.289
aligned,Llama,1750,110,2.697,-0.3654,0.3533,0.1044,0.5364,1.07
aligned,Mistral,1750,48,2.584,-0.08302,0.4563,0.6453,0.5625,-3.404
aligned,pooled,1800,357,2.752,-0.3332,0.1775,0.008866,0.5294,-2.147
aligned,Llama,1800,246,2.71,-0.3808,0.2124,0.008729,0.5366,-1.56
aligned,Mistral,1800,111,2.845,-0.2276,0.3239,0.4104,0.5135,-3.448
aligned,pooled,1850,318,2.746,-0.3566,0.1827,0.0001841,0.5597,-3.446
aligned,Llama,1850,221,2.752,-0.4099,0.2066,0.00078,0.5611,-1.777
aligned,Mistral,1850,97,2.733,-0.2352,0.3712,0.09636,0.5567,-7.248
aligned,pooled,1900,231,3.705,-1.06,0.2759,1.709e-12,0.6623,5.056
aligned,Llama,1900,165,3.582,-1.017,0.3222,1.717e-09,0.6727,4.159
aligned,Mistral,1900,66,4.012,-1.166,0.5357,0.0002228,0.6364,7.299
aligned,pooled,1950,501,4.043,-0.9862,0.2358,6.08e-13,0.6228,4.882
aligned,Llama,1950,320,3.951,-0.8591,0.2836,5.943e-08,0.625,4.096
aligned,Mistral,1950,181,4.206,-1.211,0.4169,1.665e-06,0.6188,6.273
"API (Claude, DeepSeek)",pooled,all,3761,3.125,-0.6813,0.06227,5.862e-100,0.6296,10.24
"API (Claude, DeepSeek)",pooled,1600,283,2.955,-0.8501,0.1833,2.49e-17,0.6996,12.01
"API (Claude, DeepSeek)",pooled,1650,411,3.067,-0.8889,0.1778,3.15e-24,0.7129,11.85
"API (Claude, DeepSeek)",pooled,1700,602,2.705,-0.5542,0.1502,1.471e-11,0.5847,8.36
"API (Claude, DeepSeek)",pooled,1750,269,2.579,-0.3987,0.1658,6.635e-07,0.6468,10.92
"API (Claude, DeepSeek)",pooled,1800,577,2.894,-0.6457,0.1329,4.21e-20,0.6464,10.88
"API (Claude, DeepSeek)",pooled,1850,536,2.959,-0.7856,0.1422,6.448e-25,0.6772,13.91
"API (Claude, DeepSeek)",pooled,1900,370,3.541,-0.8467,0.2178,4.834e-14,0.6324,10.79
"API (Claude, DeepSeek)",pooled,1950,713,3.881,-0.5729,0.1894,8.579e-07,0.5344,6.377
