model,tier,scope,kind,poems,rewind,ci95,model_date,poets_date,true_year,config
Mistral-7B base,base,1650,metrical years,57,0.53,11.83,1812.85,1813.38,1673.21,"base features, poets + primers"
Mistral-7B base,base,1650,calibrated years,57,-0.13,11.57,1815.32,1815.19,1673.21,"base features, poets + primers"
Mistral-7B base,base,1700,metrical years,101,7.25,10.38,1802.63,1809.88,1725.1,"base features, poets + primers"
Mistral-7B base,base,1700,calibrated years,101,6.77,9.76,1804.58,1811.35,1725.1,"base features, poets + primers"
Mistral-7B base,base,1750,metrical years,48,0.12,14.81,1817.04,1817.16,1769.33,"base features, poets + primers"
Mistral-7B base,base,1750,calibrated years,48,-1.16,13.72,1819.06,1817.9,1769.33,"base features, poets + primers"
Mistral-7B base,base,1800,metrical years,111,-0.4,9.75,1820.29,1819.9,1825.74,"base features, poets + primers"
Mistral-7B base,base,1800,calibrated years,111,-1.1,9.28,1822.54,1821.44,1825.74,"base features, poets + primers"
Mistral-7B base,base,1850,metrical years,99,-0.43,9.99,1822.85,1822.43,1871.71,"base features, poets + primers"
Mistral-7B base,base,1850,calibrated years,99,0.73,9.1,1824.3,1825.02,1871.71,"base features, poets + primers"
Mistral-7B base,base,1900,metrical years,65,9.93,13.52,1837.84,1847.77,1928.28,"base features, poets + primers"
Mistral-7B base,base,1900,calibrated years,65,9.77,12.85,1839.34,1849.11,1928.28,"base features, poets + primers"
Mistral-7B base,base,1950,metrical years,186,11.15,8.55,1852.67,1863.82,1974.85,"base features, poets + primers"
Mistral-7B base,base,1950,calibrated years,186,13.02,8.7,1853.35,1866.37,1974.85,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,all periods,metrical years,1615,13.64,2.72,1812.83,1826.47,1824.78,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,all periods,calibrated years,1615,13.5,2.61,1815.07,1828.57,1824.78,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1600,metrical years,101,10.37,11.67,1801.03,1811.4,1639.11,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1600,calibrated years,101,9.77,11.06,1803.63,1813.4,1639.11,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1650,metrical years,166,5.44,7.97,1801.58,1807.02,1673.43,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1650,calibrated years,166,4.46,7.47,1804.35,1808.8,1673.43,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1700,metrical years,273,4.32,5.98,1802.63,1806.95,1722.92,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1700,calibrated years,273,4.6,5.57,1804.86,1809.46,1722.92,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1750,metrical years,111,14.02,10.12,1803.73,1817.75,1770.0,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1750,calibrated years,111,12.35,9.42,1807.03,1819.39,1770.0,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1800,metrical years,246,11.08,6.21,1805.72,1816.8,1823.76,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1800,calibrated years,246,10.69,5.81,1807.98,1818.67,1823.76,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1850,metrical years,223,8.73,7.11,1808.68,1817.4,1874.96,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1850,calibrated years,223,9.02,6.65,1811.2,1820.22,1874.96,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1900,metrical years,167,19.28,8.67,1821.55,1840.82,1926.66,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1900,calibrated years,167,18.29,8.34,1824.27,1842.56,1926.66,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1950,metrical years,328,28.8,6.78,1837.46,1866.26,1976.64,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,1950,calibrated years,328,29.72,6.79,1838.49,1868.21,1976.64,"base features, poets + primers"
Mistral-7B aligned,open aligned,all periods,metrical years,699,14.79,4.26,1817.53,1832.31,1843.06,"base features, poets + primers"
Mistral-7B aligned,open aligned,all periods,calibrated years,699,14.38,4.12,1819.81,1834.19,1843.06,"base features, poets + primers"
Mistral-7B aligned,open aligned,1600,metrical years,29,6.89,22.27,1810.87,1817.76,1638.28,"base features, poets + primers"
Mistral-7B aligned,open aligned,1600,calibrated years,29,5.17,20.52,1813.85,1819.02,1638.28,"base features, poets + primers"
Mistral-7B aligned,open aligned,1650,metrical years,57,12.89,13.23,1800.49,1813.38,1673.21,"base features, poets + primers"
Mistral-7B aligned,open aligned,1650,calibrated years,57,9.22,12.5,1805.97,1815.19,1673.21,"base features, poets + primers"
Mistral-7B aligned,open aligned,1700,metrical years,102,8.75,8.86,1800.71,1809.47,1725.18,"base features, poets + primers"
Mistral-7B aligned,open aligned,1700,calibrated years,102,7.88,8.2,1803.1,1810.98,1725.18,"base features, poets + primers"
Mistral-7B aligned,open aligned,1750,metrical years,48,12.2,14.52,1804.96,1817.16,1769.33,"base features, poets + primers"
Mistral-7B aligned,open aligned,1750,calibrated years,48,9.91,13.56,1807.99,1817.9,1769.33,"base features, poets + primers"
Mistral-7B aligned,open aligned,1800,metrical years,111,8.15,9.78,1811.74,1819.9,1825.74,"base features, poets + primers"
Mistral-7B aligned,open aligned,1800,calibrated years,111,7.26,9.25,1814.18,1821.44,1825.74,"base features, poets + primers"
Mistral-7B aligned,open aligned,1850,metrical years,99,6.27,10.55,1816.16,1822.43,1871.71,"base features, poets + primers"
Mistral-7B aligned,open aligned,1850,calibrated years,99,6.82,9.85,1818.21,1825.02,1871.71,"base features, poets + primers"
Mistral-7B aligned,open aligned,1900,metrical years,66,23.88,16.37,1824.36,1848.25,1928.21,"base features, poets + primers"
Mistral-7B aligned,open aligned,1900,calibrated years,66,22.83,15.92,1826.63,1849.46,1928.21,"base features, poets + primers"
Mistral-7B aligned,open aligned,1950,metrical years,187,25.78,9.31,1837.89,1863.67,1974.88,"base features, poets + primers"
Mistral-7B aligned,open aligned,1950,calibrated years,187,27.31,9.37,1838.9,1866.21,1974.88,"base features, poets + primers"
OLMo-2,open aligned,all periods,metrical years,5182,0.12,1.52,1826.46,1826.58,1834.81,"base features, poets + primers"
OLMo-2,open aligned,all periods,calibrated years,5182,0.4,1.45,1828.26,1828.66,1834.81,"base features, poets + primers"
OLMo-2,open aligned,1600,metrical years,306,-0.54,6.11,1807.74,1807.2,1638.37,"base features, poets + primers"
OLMo-2,open aligned,1600,calibrated years,306,-0.17,5.62,1810.13,1809.96,1638.37,"base features, poets + primers"
OLMo-2,open aligned,1650,metrical years,454,-2.47,5.13,1810.49,1808.02,1673.25,"base features, poets + primers"
OLMo-2,open aligned,1650,calibrated years,454,-2.88,4.66,1813.03,1810.16,1673.25,"base features, poets + primers"
OLMo-2,open aligned,1700,metrical years,619,-4.79,4.01,1809.76,1804.97,1722.24,"base features, poets + primers"
OLMo-2,open aligned,1700,calibrated years,619,-4.27,3.71,1812.13,1807.87,1722.24,"base features, poets + primers"
OLMo-2,open aligned,1750,metrical years,373,-1.85,4.76,1808.58,1806.73,1771.05,"base features, poets + primers"
OLMo-2,open aligned,1750,calibrated years,373,-1.96,4.33,1811.24,1809.28,1771.05,"base features, poets + primers"
OLMo-2,open aligned,1800,metrical years,917,0.37,3.31,1816.54,1816.91,1824.11,"base features, poets + primers"
OLMo-2,open aligned,1800,calibrated years,917,0.71,3.14,1818.16,1818.87,1824.11,"base features, poets + primers"
OLMo-2,open aligned,1850,metrical years,834,1.86,3.49,1816.75,1818.61,1875.03,"base features, poets + primers"
OLMo-2,open aligned,1850,calibrated years,834,1.84,3.3,1818.42,1820.26,1875.03,"base features, poets + primers"
OLMo-2,open aligned,1900,metrical years,678,-0.72,4.49,1846.82,1846.1,1926.22,"base features, poets + primers"
OLMo-2,open aligned,1900,calibrated years,678,-0.15,4.38,1848.15,1848.0,1926.22,"base features, poets + primers"
OLMo-2,open aligned,1950,metrical years,1001,4.16,4.13,1859.81,1863.97,1975.91,"base features, poets + primers"
OLMo-2,open aligned,1950,calibrated years,1001,4.73,4.07,1861.0,1865.72,1975.91,"base features, poets + primers"
GPT-3.5,API,all periods,metrical years,1457,-7.14,2.96,1832.22,1825.08,1822.47,"base features, poets + primers"
GPT-3.5,API,all periods,calibrated years,1457,-7.24,2.85,1834.36,1827.12,1822.47,"base features, poets + primers"
GPT-3.5,API,1600,metrical years,81,9.1,12.74,1804.17,1813.27,1637.44,"base features, poets + primers"
GPT-3.5,API,1600,calibrated years,81,8.03,11.63,1807.48,1815.51,1637.44,"base features, poets + primers"
GPT-3.5,API,1650,metrical years,134,-5.37,9.04,1812.3,1806.93,1672.49,"base features, poets + primers"
GPT-3.5,API,1650,calibrated years,134,-7.87,8.41,1816.41,1808.54,1672.49,"base features, poets + primers"
GPT-3.5,API,1700,metrical years,247,-5.64,7.24,1813.68,1808.04,1723.79,"base features, poets + primers"
GPT-3.5,API,1700,calibrated years,247,-7.24,6.74,1817.11,1809.86,1723.79,"base features, poets + primers"
GPT-3.5,API,1750,metrical years,117,-13.37,9.88,1827.52,1814.14,1771.3,"base features, poets + primers"
GPT-3.5,API,1750,calibrated years,117,-13.7,9.45,1828.89,1815.18,1771.3,"base features, poets + primers"
GPT-3.5,API,1800,metrical years,265,-9.52,6.54,1829.53,1820.01,1822.58,"base features, poets + primers"
GPT-3.5,API,1800,calibrated years,265,-8.76,6.29,1831.0,1822.25,1822.58,"base features, poets + primers"
GPT-3.5,API,1850,metrical years,223,-8.48,7.28,1825.86,1817.38,1874.38,"base features, poets + primers"
GPT-3.5,API,1850,calibrated years,223,-6.91,6.93,1827.62,1820.71,1874.38,"base features, poets + primers"
GPT-3.5,API,1900,metrical years,128,-11.01,11.35,1851.51,1840.51,1926.65,"base features, poets + primers"
GPT-3.5,API,1900,calibrated years,128,-11.85,11.45,1853.11,1841.26,1926.65,"base features, poets + primers"
GPT-3.5,API,1950,metrical years,262,-6.26,7.42,1869.4,1863.14,1977.05,"base features, poets + primers"
GPT-3.5,API,1950,calibrated years,262,-5.25,7.37,1870.53,1865.28,1977.05,"base features, poets + primers"
Claude-3-Sonnet,API,all periods,metrical years,1674,6.84,2.58,1819.13,1825.97,1828.83,"base features, poets + primers"
Claude-3-Sonnet,API,all periods,calibrated years,1674,6.47,2.48,1821.6,1828.07,1828.83,"base features, poets + primers"
Claude-3-Sonnet,API,1600,metrical years,105,5.78,9.19,1798.67,1804.44,1638.74,"base features, poets + primers"
Claude-3-Sonnet,API,1600,calibrated years,105,3.38,8.43,1803.51,1806.88,1638.74,"base features, poets + primers"
Claude-3-Sonnet,API,1650,metrical years,155,4.78,8.2,1797.32,1802.1,1672.37,"base features, poets + primers"
Claude-3-Sonnet,API,1650,calibrated years,155,2.79,7.26,1802.37,1805.16,1672.37,"base features, poets + primers"
Claude-3-Sonnet,API,1700,metrical years,255,-3.63,5.76,1807.21,1803.58,1722.0,"base features, poets + primers"
Claude-3-Sonnet,API,1700,calibrated years,255,-3.15,5.32,1809.59,1806.45,1722.0,"base features, poets + primers"
Claude-3-Sonnet,API,1750,metrical years,117,0.77,7.21,1802.15,1802.92,1769.9,"base features, poets + primers"
Claude-3-Sonnet,API,1750,calibrated years,117,0.08,6.33,1804.43,1804.51,1769.9,"base features, poets + primers"
Claude-3-Sonnet,API,1800,metrical years,275,7.05,5.22,1810.39,1817.44,1823.69,"base features, poets + primers"
Claude-3-Sonnet,API,1800,calibrated years,275,6.57,4.99,1812.77,1819.33,1823.69,"base features, poets + primers"
Claude-3-Sonnet,API,1850,metrical years,248,11.12,6.19,1809.64,1820.75,1876.12,"base features, poets + primers"
Claude-3-Sonnet,API,1850,calibrated years,248,11.19,5.85,1811.68,1822.87,1876.12,"base features, poets + primers"
Claude-3-Sonnet,API,1900,metrical years,174,16.54,8.45,1831.78,1848.32,1927.44,"base features, poets + primers"
Claude-3-Sonnet,API,1900,calibrated years,174,15.42,8.32,1833.5,1848.92,1927.44,"base features, poets + primers"
Claude-3-Sonnet,API,1950,metrical years,345,9.77,7.42,1857.13,1866.89,1976.28,"base features, poets + primers"
Claude-3-Sonnet,API,1950,calibrated years,345,10.38,7.39,1858.59,1868.97,1976.28,"base features, poets + primers"
DeepSeek-chat,API,all periods,metrical years,2131,12.45,2.19,1811.9,1824.35,1813.47,"base features, poets + primers"
DeepSeek-chat,API,all periods,calibrated years,2131,11.96,2.06,1814.42,1826.38,1813.47,"base features, poets + primers"
DeepSeek-chat,API,1600,metrical years,179,14.37,6.75,1797.54,1811.91,1638.3,"base features, poets + primers"
DeepSeek-chat,API,1600,calibrated years,179,12.73,6.1,1800.76,1813.49,1638.3,"base features, poets + primers"
DeepSeek-chat,API,1650,metrical years,257,8.8,5.67,1796.97,1805.76,1672.31,"base features, poets + primers"
DeepSeek-chat,API,1650,calibrated years,257,6.82,5.09,1801.07,1807.88,1672.31,"base features, poets + primers"
DeepSeek-chat,API,1700,metrical years,360,6.08,4.77,1797.98,1804.06,1721.43,"base features, poets + primers"
DeepSeek-chat,API,1700,calibrated years,360,5.31,4.23,1801.41,1806.72,1721.43,"base features, poets + primers"
DeepSeek-chat,API,1750,metrical years,152,5.82,7.69,1806.53,1812.35,1769.64,"base features, poets + primers"
DeepSeek-chat,API,1750,calibrated years,152,5.4,7.19,1809.24,1814.64,1769.64,"base features, poets + primers"
DeepSeek-chat,API,1800,metrical years,305,4.77,4.86,1809.79,1814.56,1822.86,"base features, poets + primers"
DeepSeek-chat,API,1800,calibrated years,305,5.74,4.5,1811.5,1817.24,1822.86,"base features, poets + primers"
DeepSeek-chat,API,1850,metrical years,286,12.1,5.42,1808.7,1820.81,1876.19,"base features, poets + primers"
DeepSeek-chat,API,1850,calibrated years,286,12.01,4.93,1810.9,1822.91,1876.19,"base features, poets + primers"
DeepSeek-chat,API,1900,metrical years,204,21.08,7.4,1822.44,1843.51,1926.89,"base features, poets + primers"
DeepSeek-chat,API,1900,calibrated years,204,19.94,7.09,1824.08,1844.02,1926.89,"base features, poets + primers"
DeepSeek-chat,API,1950,metrical years,388,24.27,6.66,1841.91,1866.17,1977.13,"base features, poets + primers"
DeepSeek-chat,API,1950,calibrated years,388,24.4,6.58,1843.47,1867.87,1977.13,"base features, poets + primers"
