id,model,arm,mode_A,mode_B,degree_A,degree_B,drift_A,drift_B,span_A
b038,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b039,Qwen/Qwen2.5-7B,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b040,tiiuae/Falcon3-7B-Instruct,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"she discovered that it was now wet with rain"
b041,huggyllama/llama-7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"I had no doubt that had things gone differently he would have filed lawsuit."
b042,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b043,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"she knew that the Lord was guiding her"
b044,meta-llama/Llama-3.1-8B,base,TOLD,TOLD,2,2,HOLDS,HOLDS,"when he did, he knew he was in for a short and unpleasant ride"
b045,tiiuae/Falcon3-7B-Base,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"As in any space between two people, there is a battle for space, and between two lonely individuals, it is a bitter one."
b046,HuggingFaceTB/SmolLM2-360M,base,TOLD,TOLD,1,2,SHIFTS,SHIFTS,"The memory was all she could think of."
b047,m-a-p/neo_7b_instruct_v0.1,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"was upset that someone had called him out for it"
b048,LLM360/AmberSafe,aligned,NONE,NONE,0,0,HOLDS,SHIFTS,""
b049,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b050,ibm-granite/granite-3.0-8b-base,base,TOLD,NONE,2,0,HOLDS,HOLDS,"I couldn’t decide between what I loved or how I felt."
b051,HuggingFaceTB/SmolLM3-3B-Base,base,TOLD,TOLD,2,1,UNMOORED,UNMOORED,"Bewitched and enraptured by her balloon smile"
b052,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,TOLD,TOLD,2,2,HOLDS,HOLDS,"Kody thought that she was leaving forever, that I meant to never see her again."
b053,tiiuae/Falcon3-7B-Base,base,NONE,NONE,0,0,HOLDS,SHIFTS,""
b054,HuggingFaceTB/SmolLM3-3B-Base,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b055,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,NONE,NONE,0,0,HOLDS,SHIFTS,""
b056,EleutherAI/pythia-6.9b,base,TOLD,TOLD,2,2,HOLDS,HOLDS,"She thought how she would tell him soon enough, but now it wasn't possible and she did not dare speak his name."
b057,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"His heart pounding, he knew he could no longer remain hidden. He must have her. Now."
b058,EleutherAI/pythia-2.8b,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b059,01-ai/Yi-1.5-9B-Chat,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b060,bigscience/bloom-7b1,base,SHOWN,SHOWN,2,2,UNMOORED,SHIFTS,"Maybe I am the new guy."
b061,BSC-LT/salamandra-7b-instruct,aligned,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b062,ibm-granite/granite-3.0-8b-base,base,TOLD,TOLD,2,2,UNMOORED,UNMOORED,"He may have hated her, but he acknowledged his gratitude; she was a benefactor and patron to him now."
b063,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"she wondered what was wrong with her? She didn't know what was wanted of her, but she knew she didn't want to do it."
b064,huggyllama/llama-7b,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b065,tiiuae/Falcon3-7B-Instruct,aligned,TOLD,TOLD,1,1,HOLDS,SHIFTS,"Even though Elena felt humili- ated and wounded, she submitted to his demands."
b066,m-a-p/neo_7b,base,NONE,TOLD,0,1,SHIFTS,SHIFTS,""
b067,01-ai/Yi-1.5-9B,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"Gauri realizing that none of them were giving attention to her was irritated"
b068,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b069,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,2,2,HOLDS,HOLDS,"Her grief and despair reached a climax: she decided to end  her life."
b070,m-a-p/CT-LLM-SFT-DPO,aligned,TOLD,TOLD,2,1,HOLDS,HOLDS,"wanting to be in love again - with him and not the other way around"
b071,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,SHIFTS,""
b072,HuggingFaceTB/SmolLM3-3B,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"Darrick got confused; his master was so delighted last time when he agreed with the plan, but now he is displeased. Oh no,"
b073,ibm-granite/granite-3.0-8b-instruct,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"""It's a dream,"" she realized. ""I've got to wake up."""
b074,EleutherAI/pythia-6.9b,base,TOLD,TOLD,3,3,HOLDS,HOLDS,"She felt her mind running circles around the idea of having him inside her all night and never wanting to give him up."
b075,zai-org/glm-4-9b-hf,base,TOLD,TOLD,2,1,HOLDS,HOLDS,"Chewing a thick, sudden frustration in her gut"
b076,BSC-LT/salamandra-7b-instruct,aligned,NONE,TOLD,0,1,SHIFTS,SHIFTS,""
b077,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b078,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,SHOWN,SHOWN,1,2,HOLDS,HOLDS,"Poor darling."
b079,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,TOLD,TOLD,2,1,HOLDS,HOLDS,"The moment she saw him, she knew it was her soulmate."
b080,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b081,EleutherAI/pythia-6.9b,base,NONE,NONE,0,0,HOLDS,SHIFTS,""
b082,PKU-Alignment/beaver-7b-v1.0,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b083,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"It took him a moment to realize where he was. Then he remembered."
b084,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b085,LLM360/Amber,base,NONE,NONE,0,0,SHIFTS,UNMOORED,""
b086,huggyllama/llama-7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"that one seeks an end to ceremonial pain"
b087,01-ai/Yi-1.5-9B-Chat,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"Maybe Tom didn't want to do this? Maybe the poor guy just wanted to talk about Squinty bois and fluffy socks."
b088,PKU-Alignment/beaver-7b-v1.0,aligned,TOLD,TOLD,2,2,SHIFTS,SHIFTS,"He wanted her with such intensity that it hurt, and yet if he had her, if she were really his, then everything would end."
b089,01-ai/Yi-1.5-9B-Chat,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"This kind of creature must be quite rare, he thought. It must be a brand-new discovery, and the explorer must be very fortunate"
b090,01-ai/Yi-1.5-9B-Chat,aligned,TOLD,SHOWN,2,2,HOLDS,HOLDS,"She had to find a way to make him comfortable with it all but she couldn’t lose control of what she was doing."
b091,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b092,HuggingFaceTB/SmolLM2-360M,base,TOLD,TOLD,1,1,UNMOORED,UNMOORED,"the terrified Butitanga escaped with some participants in the march"
b093,BSC-LT/salamandra-7b,base,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b094,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"thinking about how sinister it is to manipulate a man's desire for something that is set"
b095,m-a-p/neo_7b_instruct_v0.1,aligned,TOLD,TOLD,3,3,HOLDS,SHIFTS,"She was quite taken aback when he made his move, but she was thoroughly confused by it."
b096,huggyllama/llama-7b,base,SHOWN,NONE,1,0,HOLDS,HOLDS,"But it wasn’t the sergeant. It was human, human."
b097,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,2,1,HOLDS,HOLDS,"I began to blink in fear at the prospect of torture, at the prospect of speaking of my sordid secrets"
b098,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,TOLD,TOLD,1,1,UNMOORED,UNMOORED,"She had often quizzed herself about how she could tell the truth from fiction and who the impostor really was"
b099,PKU-Alignment/beaver-7b-v1.0,aligned,TOLD,TOLD,2,2,HOLDS,HOLDS,"Her heart was full of grace and gratitude,"
b100,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"But then, why had she not sent Samael and Kali to their Worlds long ago?"
b101,meta-llama/Llama-3.1-8B,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b102,bigscience/bloom-7b1,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"she bought it because she saw that it laid out sensible, effective strategies she could start implementing"
b103,EleutherAI/pythia-6.9b,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b104,tiiuae/Falcon3-7B-Instruct,aligned,SHOWN,SHOWN,3,2,HOLDS,HOLDS,"She'd won this much. All she had to do now was recover her earrings and she could go home"
b105,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b106,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b107,01-ai/Yi-1.5-9B-Chat,aligned,SHOWN,SHOWN,2,2,SHIFTS,SHIFTS,"""She means well,"" Fred often thought at dinner, despising the woman he called his wife."
b108,zai-org/glm-4-9b-hf,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"He later refined his beliefs to remove racism and embraced egalitarianism."
b109,PKU-Alignment/beaver-7b-v1.0,aligned,TOLD,TOLD,3,2,HOLDS,HOLDS,"She let go of her thoughts and worries, surrendering to the pure and simple joy of the night."
b110,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"A grieving Elizabeth obliged to decline time-consuming social invitations upon the advice of her doctors."
b111,huggyllama/llama-7b,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b112,m-a-p/CT-LLM-Base,base,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b113,bigscience/bloom-7b1,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"I was probably right to question that breaking up with the house was necessary for me."
b114,EleutherAI/pythia-6.9b,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b115,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"he just keeps killing and his guilt gets heavier and heavier"
b116,OpenLLM-France/Lucie-7B,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b117,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,NONE,NONE,0,0,HOLDS,SHIFTS,""
b118,01-ai/Yi-1.5-9B-Chat,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"he was eager to make a deal with the only man crazy enough to try and dig his grave"
b119,m-a-p/CT-LLM-SFT-DPO,aligned,TOLD,TOLD,2,1,SHIFTS,SHIFTS,"She was desperate to get away from him, but she couldn't bring herself to risk putting herself in danger on his behalf"
b120,m-a-p/neo_7b_instruct_v0.1,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b121,ibm-granite/granite-3.0-8b-instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b122,BSC-LT/salamandra-7b-instruct,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"Why hadn't she seen this coming? What was wrong with her?"
b123,EleutherAI/pythia-2.8b,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"wonder what it would feel like to be in that visible wall of liquid"
b124,HuggingFaceTB/SmolLM3-3B-Base,base,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b125,HuggingFaceTB/SmolLM3-3B,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b126,ibm-granite/granite-3.0-8b-base,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"The maid screamed in sheer horror, her face covered in her employer’s hot, sultry golden piss."
b127,ibm-granite/granite-3.0-8b-base,base,SHOWN,TOLD,2,1,HOLDS,HOLDS,"….Who else would it be?"
b128,m-a-p/neo_7b_instruct_v0.1,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"""Here goes nothing,"" She thought."
b129,HuggingFaceTB/SmolLM3-3B,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"But she didn't feel the same way."
b130,Qwen/Qwen2.5-7B,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"the families with the ugly wives who could not face their reflection in the oblong mirror in the hall of shame"
b131,LLM360/AmberSafe,aligned,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"What if she could break free from the narrative that held her in a state of guilt and false consciousness"
b132,EleutherAI/pythia-2.8b,base,SHOWN,SHOWN,2,2,SHIFTS,SHIFTS,"Had he really understood her sorrows, suffered through the actual negotiations and signed on the dotted line?"
b133,EleutherAI/pythia-6.9b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"she knew that her prayer were answered"
b134,01-ai/Yi-1.5-9B-Chat,aligned,TOLD,TOLD,3,3,HOLDS,HOLDS,"she couldn’t shake the numbness inside her. Where before she had felt alive, now she felt dead inside."
b135,LLM360/AmberSafe,aligned,TOLD,TOLD,2,1,HOLDS,HOLDS,"Reed hesitated for a moment, unsure of what to say"
b136,ibm-granite/granite-3.0-8b-base,base,TOLD,NONE,1,0,HOLDS,HOLDS,"The delight she felt was enhanced."
b137,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"How much more brown must they've been when they were alive? When _they ran?_"
b138,BSC-LT/salamandra-7b-instruct,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b139,bigscience/bloom-7b1,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b140,huggyllama/llama-7b,base,TOLD,TOLD,3,2,SHIFTS,HOLDS,"But she was too afraid to come to terms with her own feelings."
b141,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b142,ibm-granite/granite-3.0-8b-instruct,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"She figured she would die in her sleep and hide the evidence."
b143,BSC-LT/salamandra-7b-instruct,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"They didn't realize that what they were seeing was their children."
b144,tiiuae/Falcon3-7B-Instruct,aligned,TOLD,NONE,1,0,SHIFTS,SHIFTS,"here 's the message she gave me , which is my favorite"
b145,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"How dare she? Didn't she know this was bad enough?"
b146,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b147,m-a-p/neo_7b_instruct_v0.1,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"grim depths of Hades, the old place where she believed"
b148,zai-org/glm-4-9b-hf,base,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"maybe mail addressed to a former fiancé, maybe recent bills, then they’d know who lived here and she’d have lost all choice"
b149,HuggingFaceTB/SmolLM3-3B,aligned,SHOWN,SHOWN,2,2,SHIFTS,SHIFTS,"She thought of the other option: perfection. A being capable of healing all sadness, but also one capable of killing them without remorse."
b150,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"She wanted to take it from him and ruin his future."
b151,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"_He wants to give me a present._ _He's probably lonely. What do I say?_"
b152,01-ai/Yi-1.5-9B-Chat,aligned,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"It was like he was just used to people not throwing themselves at him and he was incapable of treating them any other way."
b153,HuggingFaceTB/SmolLM3-3B-Base,base,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"She could not express herself in these hesitant terms in 1972, either to a campaign interviewer or to herself."
b154,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"Emma chose to destroy the evidence rather than exhumate her victim in it's place"
b155,01-ai/Yi-1.5-9B-Chat,aligned,TOLD,TOLD,1,1,SHIFTS,SHIFTS,"She knew she couldn't let him go to that meeting."
b156,tiiuae/Falcon3-7B-Base,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b157,meta-llama/Llama-3.1-8B,base,TOLD,TOLD,3,3,HOLDS,HOLDS,"She figured out that there was an internal blockage unconsciously that was not allowing her to move on ."
b158,HuggingFaceTB/SmolLM3-3B,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b159,bigscience/bloomz-7b1,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b160,tiiuae/Falcon3-7B-Base,base,TOLD,TOLD,1,1,UNMOORED,UNMOORED,"re-examine herself and her relationship with Harvey."
b161,m-a-p/CT-LLM-Base,base,NONE,NONE,0,0,UNMOORED,UNMOORED,""
b162,Qwen/Qwen3-8B,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"He chose the life of an animal, while knowing that if He would have chosen to be born in the human state"
b163,BSC-LT/salamandra-7b,base,SHOWN,SHOWN,3,3,HOLDS,HOLDS,"What was the use of enjoyment for that was not to last?"
b164,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,TOLD,TOLD,2,2,SHIFTS,HOLDS,"hoping she had found the sentence and was sorry to make her cry"
b165,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,TOLD,TOLD,1,1,UNMOORED,UNMOORED,"In obediencing herself to the demands of their union his love for her actually risked his life."
b166,ibm-granite/granite-3.0-8b-instruct,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"they believed he was not home"
b167,HuggingFaceTB/SmolLM3-3B,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"Merlin perceived that Guinevere is truly loved by Arthur"
b168,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,TOLD,TOLD,2,2,HOLDS,HOLDS,"She craved the love and warmth of family and home, but often found it a lonely place."
b169,zai-org/glm-4-9b-chat-hf,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b170,tiiuae/Falcon3-7B-Base,base,SHOWN,SHOWN,2,2,UNMOORED,UNMOORED,"But would killing the doctor bring her husband’s murderer here to her village?"
b171,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,SHOWN,TOLD,2,2,HOLDS,HOLDS,"truthfully I think she was happy to be with him anyway, even if he wasn't whole"
b172,tiiuae/Falcon3-7B-Base,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"Why hadn’t she remembered?"
b173,Qwen/Qwen3-8B,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b174,EleutherAI/pythia-6.9b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"whetting his lust for wealth he walked"
b175,EleutherAI/pythia-2.8b,base,SHOWN,SHOWN,2,2,HOLDS,HOLDS,"If her prophetic words were true, this was as though he'd seen the future."
b176,EleutherAI/pythia-2.8b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"separation from a wife whom they loved brought them additional"
b177,HuggingFaceTB/SmolLM3-3B,aligned,TOLD,TOLD,1,1,HOLDS,HOLDS,"many regrets many more to come"
b178,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,TOLD,TOLD,2,2,SHIFTS,SHIFTS,"giving a voice to the creative frustration that plagued her"
b179,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,TOLD,SHOWN,2,2,HOLDS,HOLDS,"Swann felt the same pangs of guilt and sorrow as he had felt when a schoolfellow had been dressed up as a prostitute"
b180,LLM360/Amber,base,TOLD,SHOWN,2,2,SHIFTS,SHIFTS,"She thought about what to wear, what he liked, imagined every detail."
b181,EleutherAI/pythia-2.8b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"absorbed in his concerns instead of worrying about worldly posturing"
b182,ibm-granite/granite-3.0-8b-base,base,TOLD,TOLD,2,2,HOLDS,HOLDS,"she wanted him to feel how tight"
b183,Qwen/Qwen2.5-7B-Instruct,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b184,meta-llama/Llama-3.1-8B,base,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b185,meta-llama/Llama-3.1-8B-Instruct,aligned,TOLD,TOLD,2,2,UNMOORED,UNMOORED,"She contemplated her decision and wondered if she was ready to take the leap."
b186,huggyllama/llama-7b,base,NONE,NONE,0,0,HOLDS,HOLDS,""
b187,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,NONE,NONE,0,0,HOLDS,HOLDS,""
b188,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,NONE,NONE,0,0,SHIFTS,SHIFTS,""
b189,huggyllama/llama-7b,base,TOLD,TOLD,1,1,HOLDS,HOLDS,"I knew that he just Might do his best stuff with her and I was flying to the Moon for it."
