id,model,arm,lexical_A,lexical_B,semantic_A,semantic_B,repetition_A,repetition_B,frame_A,frame_B
a033,Qwen/Qwen2.5-0.5B,base,mangled,clean,means,means,none,none,task,task
a034,tiiuae/Falcon3-7B-Base,base,mangled,clean,stalls,means,none,none,none,none
a035,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,mangled,mangled,salad,salad,none,none,furniture,furniture
a036,01-ai/Yi-1.5-9B-Chat,aligned,clean,clean,means,means,phrase,phrase,furniture,furniture
a037,m-a-p/CT-LLM-SFT-DPO,aligned,clean,clean,means,means,none,none,furniture,furniture
a038,bigscience/bloom-7b1,base,mangled,mangled,stalls,means,none,none,furniture,furniture
a039,LLM360/AmberSafe,aligned,mangled,mangled,means,means,none,none,none,none
a040,ibm-granite/granite-3.0-8b-instruct,aligned,clean,clean,means,means,none,none,none,none
a041,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,none,none
a042,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a043,BSC-LT/salamandra-7b-instruct,aligned,clean,clean,means,means,none,none,task,task
a044,01-ai/Yi-1.5-9B,base,mangled,clean,means,stalls,none,none,none,none
a045,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,mangled,nonwords,stalls,stalls,none,none,furniture,furniture
a046,meta-llama/Llama-3.1-8B-Instruct,aligned,mangled,mangled,means,means,phrase,phrase,none,none
a047,Qwen/Qwen2.5-7B-Instruct,aligned,clean,clean,means,means,none,none,task,task
a048,bigscience/bloom-7b1,base,clean,clean,stalls,stalls,none,none,none,none
a049,m-a-p/neo_7b_instruct_v0.1,aligned,clean,mangled,means,means,none,none,task,task
a050,EleutherAI/pythia-6.9b,base,clean,clean,stalls,stalls,none,none,furniture,furniture
a051,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,clean,clean,means,stalls,none,none,none,none
a052,zai-org/glm-4-9b-hf,base,mangled,mangled,means,stalls,none,none,furniture,furniture
a053,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a054,Qwen/Qwen3-8B,aligned,clean,clean,means,means,phrase,phrase,task,task
a055,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,mangled,stalls,stalls,phrase,phrase,assistant,assistant
a056,HuggingFaceTB/SmolLM2-360M,base,clean,clean,salad,salad,none,none,none,none
a057,BSC-LT/salamandra-7b,base,clean,clean,stalls,stalls,none,none,none,none
a058,meta-llama/Llama-3.1-8B,base,mangled,mangled,salad,salad,phrase,phrase,none,none
a059,meta-llama/Llama-3.1-8B-Instruct,aligned,nonwords,nonwords,salad,salad,none,none,none,none
a060,HuggingFaceTB/SmolLM3-3B-Base,base,mangled,mangled,stalls,stalls,none,none,none,none
a061,HuggingFaceTB/SmolLM2-360M,base,clean,clean,stalls,stalls,none,none,none,none
a062,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,task,task
a063,meta-llama/Llama-3.1-8B-Instruct,aligned,nonwords,nonwords,salad,salad,none,none,none,none
a064,HuggingFaceTB/SmolLM2-360M,base,mangled,mangled,means,means,none,none,none,none
a065,ibm-granite/granite-3.0-8b-base,base,clean,clean,means,stalls,none,none,furniture,furniture
a066,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,mangled,clean,stalls,stalls,none,none,none,none
a067,bigscience/bloom-7b1,base,clean,clean,means,means,none,none,none,none
a068,bigscience/bloom-7b1,base,clean,clean,means,means,none,none,furniture,furniture
a069,EleutherAI/pythia-2.8b,base,clean,clean,means,means,none,none,furniture,furniture
a070,Qwen/Qwen2.5-7B,base,clean,mangled,means,means,none,none,task,task
a071,HuggingFaceTB/SmolLM3-3B-Base,base,mangled,mangled,means,means,none,none,none,none
a072,openbmb/MiniCPM5-1B,aligned,clean,clean,means,means,none,none,none,none
a073,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,assistant,assistant
a074,openbmb/MiniCPM5-1B-Base,base,clean,clean,stalls,stalls,none,none,furniture,furniture
a075,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,assistant,assistant
a076,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,nonwords,mangled,salad,salad,none,none,none,none
a077,huggyllama/llama-7b,base,clean,clean,means,means,none,none,furniture,furniture
a078,meta-llama/Llama-3.1-8B-Instruct,aligned,mangled,mangled,means,salad,none,none,assistant,assistant
a079,openbmb/MiniCPM5-1B,aligned,clean,clean,means,means,none,phrase,furniture,furniture
a080,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,nonwords,nonwords,salad,salad,none,none,furniture,furniture
a081,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a082,openbmb/MiniCPM5-1B,aligned,mangled,mangled,salad,salad,none,none,furniture,furniture
a083,m-a-p/neo_7b,base,clean,clean,means,means,none,none,none,none
a084,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,none,none
a085,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,clean,clean,means,means,none,none,none,none
a086,PKU-Alignment/beaver-7b-v1.0,aligned,clean,mangled,means,means,none,none,none,none
a087,m-a-p/neo_7b,base,mangled,mangled,stalls,means,none,none,task,task
a088,ibm-granite/granite-3.0-8b-instruct,aligned,clean,clean,means,means,none,none,none,none
a089,EleutherAI/pythia-6.9b,base,mangled,mangled,stalls,stalls,none,none,none,none
a090,openbmb/MiniCPM5-1B-Base,base,clean,clean,means,means,none,none,none,none
a091,zai-org/glm-4-9b-chat-hf,aligned,clean,clean,means,means,none,none,assistant,assistant
a092,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,assistant,assistant
a093,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,clean,clean,means,means,none,none,none,none
a094,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,mangled,mangled,salad,stalls,none,none,none,none
a095,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,mangled,mangled,stalls,stalls,phrase,phrase,furniture,furniture
a096,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,assistant,assistant
a097,m-a-p/CT-LLM-Base,base,mangled,mangled,stalls,stalls,none,none,none,none
a098,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,mangled,mangled,salad,salad,phrase,phrase,none,none
a099,m-a-p/neo_7b,base,mangled,mangled,stalls,stalls,none,none,none,none
a100,Qwen/Qwen2.5-7B,base,mangled,mangled,stalls,stalls,none,none,none,none
a101,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,clean,clean,means,means,none,none,furniture,none
a102,HuggingFaceTB/SmolLM2-360M,base,clean,mangled,stalls,means,none,none,furniture,furniture
a103,HuggingFaceTB/SmolLM3-3B-Base,base,mangled,mangled,salad,stalls,none,none,none,none
a104,Qwen/Qwen2.5-0.5B-Instruct,aligned,mangled,mangled,stalls,stalls,phrase,phrase,task,task
a105,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,clean,clean,means,means,none,none,none,none
a106,HuggingFaceTB/SmolLM3-3B-Base,base,clean,clean,means,means,phrase,phrase,furniture,furniture
a107,meta-llama/Llama-3.1-8B,base,clean,clean,means,means,none,none,none,none
a108,m-a-p/CT-LLM-SFT-DPO,aligned,clean,clean,means,means,phrase,phrase,none,none
a109,HuggingFaceTB/SmolLM3-3B,aligned,clean,mangled,means,means,none,none,none,none
a110,m-a-p/CT-LLM-Base,base,nonwords,nonwords,salad,salad,none,none,furniture,furniture
a111,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,clean,clean,means,means,none,none,task,task
a112,zai-org/glm-4-9b-hf,base,clean,clean,means,means,phrase,phrase,furniture,furniture
a113,huggyllama/llama-7b,base,clean,clean,means,means,none,none,none,none
a114,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,clean,clean,means,means,none,none,none,none
a115,OpenLLM-France/Lucie-7B,base,clean,clean,stalls,means,none,none,task,task
a116,m-a-p/CT-LLM-Base,base,mangled,mangled,means,means,none,none,furniture,furniture
a117,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,clean,stalls,means,none,none,task,task
a118,HuggingFaceTB/SmolLM3-3B,aligned,mangled,mangled,stalls,stalls,none,phrase,none,none
a119,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,clean,clean,means,means,none,none,none,none
a120,meta-llama/Llama-3.1-8B,base,clean,clean,means,means,phrase,phrase,task,task
a121,LLM360/AmberSafe,aligned,mangled,mangled,means,means,phrase,none,assistant,assistant
a122,m-a-p/neo_7b,base,clean,clean,means,means,phrase,phrase,none,none
a123,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,clean,clean,stalls,stalls,phrase,phrase,assistant,assistant
a124,meta-llama/Llama-3.1-8B,base,mangled,mangled,means,means,none,none,none,none
a125,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a126,BSC-LT/salamandra-7b,base,clean,clean,stalls,stalls,none,phrase,none,none
a127,Qwen/Qwen2.5-7B,base,clean,clean,means,means,none,none,furniture,furniture
a128,LLM360/AmberSafe,aligned,mangled,mangled,means,means,none,none,furniture,furniture
a129,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a130,OpenLLM-France/Lucie-7B,base,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a131,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a132,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,phrase,none,assistant,assistant
a133,EleutherAI/pythia-2.8b,base,mangled,mangled,salad,salad,none,none,none,none
a134,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,nonwords,nonwords,stalls,stalls,none,none,none,none
a135,ibm-granite/granite-3.0-8b-instruct,aligned,clean,clean,means,means,none,none,none,furniture
a136,m-a-p/neo_7b_instruct_v0.1,aligned,mangled,mangled,stalls,stalls,none,none,none,none
a137,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,assistant,assistant
a138,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,clean,clean,means,means,none,none,assistant,assistant
a139,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,mangled,clean,means,means,phrase,phrase,furniture,furniture
a140,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,clean,stalls,stalls,none,none,none,none
a141,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,clean,means,means,none,none,none,none
a142,Qwen/Qwen2.5-7B-Instruct,aligned,clean,clean,means,means,none,none,task,task
a143,LLM360/Amber,base,clean,clean,salad,salad,none,none,furniture,furniture
a144,bigscience/bloom-7b1,base,clean,clean,means,means,none,none,none,none
a145,openbmb/MiniCPM5-1B-Base,base,clean,clean,stalls,stalls,phrase,none,none,none
a146,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,clean,clean,salad,stalls,none,none,none,none
a147,bigscience/bloom-7b1,base,mangled,mangled,stalls,stalls,block,block,none,none
a148,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,clean,clean,means,means,none,none,none,none
a149,openbmb/MiniCPM5-1B-Base,base,mangled,mangled,means,stalls,none,none,none,none
a150,m-a-p/neo_7b,base,mangled,mangled,salad,stalls,none,none,none,none
a151,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,mangled,clean,means,means,phrase,none,none,none
a152,openbmb/MiniCPM5-1B,aligned,clean,clean,means,means,none,none,none,none
a153,BSC-LT/salamandra-7b,base,clean,clean,stalls,stalls,phrase,phrase,task,task
a154,zai-org/glm-4-9b-chat-hf,aligned,clean,clean,means,means,phrase,none,task,task
a155,OpenLLM-France/Lucie-7B,base,clean,clean,means,means,none,none,furniture,furniture
a156,m-a-p/neo_7b,base,mangled,clean,stalls,stalls,none,none,none,none
a157,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a158,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,clean,clean,means,means,none,none,none,none
a159,Qwen/Qwen3-8B,aligned,clean,clean,means,means,phrase,phrase,none,none
a160,BSC-LT/salamandra-7b,base,clean,clean,means,means,none,none,task,task
a161,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,stalls,stalls,none,none,none,none
a162,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a163,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,mangled,mangled,stalls,means,none,none,furniture,furniture
a164,huggyllama/llama-7b,base,nonwords,nonwords,salad,salad,none,none,none,none
a165,openbmb/MiniCPM5-1B-Base,base,mangled,mangled,stalls,stalls,none,none,task,task
a166,HuggingFaceTB/SmolLM2-360M,base,mangled,clean,salad,stalls,none,none,none,none
a167,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a168,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,assistant,assistant
a169,LLM360/Amber,base,clean,clean,means,means,none,none,furniture,furniture
a170,m-a-p/CT-LLM-SFT-DPO,aligned,clean,clean,means,means,phrase,phrase,furniture,furniture
a171,PKU-Alignment/beaver-7b-v1.0,aligned,mangled,mangled,stalls,stalls,none,none,none,none
a172,PKU-Alignment/beaver-7b-v1.0,aligned,nonwords,nonwords,salad,salad,phrase,phrase,none,none
a173,huggyllama/llama-7b,base,clean,clean,means,means,none,none,furniture,furniture
a174,m-a-p/neo_7b,base,nonwords,nonwords,salad,salad,block,block,furniture,furniture
a175,openbmb/MiniCPM5-1B,aligned,clean,clean,means,means,none,none,assistant,assistant
a176,HuggingFaceTB/SmolLM3-3B-Base,base,clean,clean,means,means,phrase,none,none,none
a177,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,none,none
a178,m-a-p/CT-LLM-Base,base,clean,clean,stalls,stalls,phrase,phrase,furniture,furniture
a179,Qwen/Qwen2.5-0.5B-Instruct,aligned,clean,clean,stalls,stalls,none,none,none,none
a180,PKU-Alignment/beaver-7b-v1.0,aligned,mangled,mangled,means,means,none,none,task,task
a181,BSC-LT/salamandra-7b,base,clean,clean,means,means,none,none,none,none
a182,m-a-p/CT-LLM-SFT-DPO,aligned,clean,clean,stalls,stalls,none,none,furniture,furniture
a183,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,clean,clean,means,means,none,none,furniture,furniture
a184,BSC-LT/salamandra-7b-instruct,aligned,clean,clean,means,means,none,none,none,none
a185,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,nonwords,nonwords,salad,salad,none,none,none,none
a186,zai-org/glm-4-9b-hf,base,mangled,clean,stalls,stalls,none,none,task,task
a187,openbmb/MiniCPM5-1B-Base,base,clean,clean,stalls,stalls,none,none,none,task
a188,huggyllama/llama-7b,base,clean,clean,means,means,phrase,phrase,none,none
a189,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,clean,clean,stalls,stalls,none,none,task,task
a190,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,phrase,phrase,task,task
a191,Qwen/Qwen2.5-0.5B,base,mangled,mangled,means,means,phrase,phrase,task,task
a192,HuggingFaceTB/SmolLM3-3B-Base,base,mangled,clean,salad,stalls,none,none,none,none
a193,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,means,none,none,none,none
a194,HuggingFaceTB/SmolLM2-360M,base,clean,clean,stalls,stalls,none,none,none,none
a195,OpenLLM-France/Lucie-7B,base,mangled,clean,stalls,stalls,phrase,phrase,task,task
a196,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a197,LLM360/Amber,base,clean,clean,stalls,stalls,none,none,none,none
a198,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,means,none,none,assistant,assistant
a199,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,mangled,mangled,salad,salad,none,none,none,none
a200,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,clean,clean,means,means,none,none,furniture,furniture
a201,HuggingFaceTB/SmolLM2-360M,base,mangled,mangled,salad,salad,none,none,none,none
a202,tiiuae/Falcon3-7B-Base,base,mangled,mangled,salad,salad,none,none,none,none
a203,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,clean,clean,stalls,stalls,none,none,furniture,furniture
a204,Qwen/Qwen2.5-7B,base,clean,clean,means,means,none,none,none,none
a205,Qwen/Qwen3-8B,aligned,clean,clean,means,means,none,none,assistant,assistant
a206,tiiuae/Falcon3-7B-Instruct,aligned,clean,clean,means,means,none,none,none,none
a207,bigscience/bloom-7b1,base,mangled,mangled,salad,stalls,none,none,none,none
a208,OpenLLM-France/Lucie-7B,base,mangled,mangled,stalls,stalls,none,none,task,task
a209,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a210,Qwen/Qwen2.5-7B,base,mangled,mangled,salad,salad,none,none,none,none
a211,zai-org/glm-4-9b-hf,base,mangled,mangled,means,means,none,none,none,none
a212,openbmb/MiniCPM5-1B,aligned,clean,clean,salad,salad,none,none,none,furniture
a213,huggyllama/llama-7b,base,clean,clean,means,means,none,none,none,none
a214,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,clean,clean,means,means,none,none,none,none
a215,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a216,HuggingFaceTB/SmolLM3-3B-Base,base,nonwords,nonwords,salad,salad,phrase,none,none,none
a217,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,task,task
a218,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,clean,clean,means,means,none,none,none,none
a219,meta-llama/Llama-3.1-8B,base,clean,clean,means,means,none,none,none,none
a220,tiiuae/Falcon3-7B-Base,base,clean,clean,means,means,none,none,none,none
a221,LLM360/Amber,base,clean,clean,means,means,none,none,furniture,furniture
a222,BSC-LT/salamandra-7b,base,clean,clean,stalls,means,none,none,furniture,furniture
a223,Qwen/Qwen2.5-0.5B,base,clean,clean,means,means,none,none,task,task
a224,HuggingFaceTB/SmolLM2-360M,base,clean,clean,means,means,none,none,furniture,furniture
a225,Qwen/Qwen2.5-7B,base,clean,clean,means,means,none,none,assistant,assistant
a226,m-a-p/CT-LLM-SFT-DPO,aligned,mangled,mangled,stalls,means,none,none,none,assistant
a227,OpenLLM-France/Lucie-7B,base,clean,clean,means,means,phrase,phrase,task,task
a228,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,none,none
a229,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,none,none
a230,bigscience/bloomz-7b1,aligned,clean,clean,means,means,none,none,none,none
a231,BSC-LT/salamandra-7b,base,mangled,mangled,salad,salad,none,none,none,none
a232,ibm-granite/granite-3.0-8b-base,base,clean,clean,means,means,none,none,none,none
a233,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a234,LLM360/Amber,base,clean,clean,stalls,stalls,none,none,none,furniture
a235,openbmb/MiniCPM5-1B,aligned,mangled,mangled,stalls,means,phrase,phrase,task,task
a236,HuggingFaceTB/SmolLM3-3B-Base,base,clean,clean,means,means,none,none,none,none
a237,EleutherAI/pythia-2.8b,base,mangled,mangled,stalls,stalls,none,none,none,none
a238,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,clean,clean,means,means,none,none,none,none
a239,tiiuae/Falcon3-7B-Base,base,mangled,mangled,salad,salad,none,none,none,none
a240,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,mangled,mangled,stalls,salad,none,none,furniture,furniture
a241,LLM360/Amber,base,clean,clean,stalls,stalls,none,none,none,none
a242,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,nonwords,nonwords,salad,salad,none,none,none,none
a243,Qwen/Qwen2.5-7B,base,clean,clean,means,means,none,none,task,task
a244,tiiuae/Falcon3-7B-Base,base,clean,clean,means,means,none,none,none,none
a245,BSC-LT/salamandra-7b-instruct,aligned,clean,clean,stalls,stalls,phrase,phrase,none,none
a246,OpenLLM-France/Lucie-7B,base,nonwords,nonwords,salad,salad,block,block,furniture,furniture
a247,meta-llama/Llama-3.1-8B-Instruct,aligned,mangled,mangled,means,means,phrase,phrase,task,task
a248,HuggingFaceTB/SmolLM3-3B-Base,base,clean,clean,means,means,none,none,none,none
a249,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,mangled,mangled,stalls,salad,none,none,furniture,furniture
a250,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,mangled,clean,stalls,stalls,none,none,furniture,furniture
a251,Qwen/Qwen2.5-0.5B,base,clean,clean,stalls,stalls,none,none,task,task
a252,meta-llama/Llama-3.1-8B-Instruct,aligned,mangled,mangled,means,means,none,none,none,none
a253,m-a-p/CT-LLM-SFT-DPO,aligned,clean,clean,means,means,none,none,task,assistant
a254,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,clean,clean,means,means,none,none,none,none
a255,m-a-p/neo_7b_instruct_v0.1,aligned,clean,clean,means,means,none,none,assistant,assistant
a256,EleutherAI/pythia-6.9b,base,mangled,mangled,salad,salad,phrase,phrase,furniture,furniture
a257,huggyllama/llama-7b,base,clean,clean,means,stalls,none,none,none,none
a258,EleutherAI/pythia-2.8b,base,mangled,mangled,stalls,salad,none,none,none,none
a259,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,assistant,assistant
a260,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,mangled,mangled,stalls,stalls,none,none,task,task
a261,PKU-Alignment/beaver-7b-v1.0,aligned,clean,mangled,stalls,salad,none,none,furniture,furniture
a262,zai-org/glm-4-9b-chat-hf,aligned,clean,clean,means,means,phrase,phrase,assistant,assistant
a263,EleutherAI/pythia-6.9b,base,clean,clean,means,means,none,none,none,none
a264,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,mangled,mangled,stalls,stalls,none,none,furniture,furniture
a265,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,clean,clean,means,means,phrase,phrase,none,none
a266,Qwen/Qwen2.5-7B,base,mangled,clean,means,means,none,none,task,task
a267,Qwen/Qwen3-8B-Base,base,clean,clean,means,means,none,none,none,none
a268,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,clean,clean,stalls,stalls,none,none,none,none
a269,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,clean,clean,means,means,none,none,assistant,assistant
a270,EleutherAI/pythia-2.8b,base,clean,clean,means,means,none,none,none,none
a271,Qwen/Qwen2.5-7B,base,clean,clean,means,means,none,none,assistant,assistant
a272,zai-org/glm-4-9b-chat-hf,aligned,mangled,mangled,means,means,phrase,none,task,task
a273,EleutherAI/pythia-2.8b,base,mangled,mangled,stalls,salad,none,none,none,none
a274,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,mangled,mangled,stalls,stalls,phrase,phrase,furniture,furniture
a275,m-a-p/CT-LLM-Base,base,clean,clean,means,means,none,none,none,none
a276,huggyllama/llama-7b,base,clean,clean,means,means,none,none,furniture,furniture
a277,huggyllama/llama-7b,base,mangled,mangled,stalls,stalls,none,none,none,none
a278,openbmb/MiniCPM5-1B-Base,base,nonwords,nonwords,stalls,salad,phrase,phrase,furniture,furniture
a279,Qwen/Qwen2.5-0.5B,base,mangled,mangled,stalls,stalls,phrase,none,furniture,furniture
a280,01-ai/Yi-1.5-9B-Chat,aligned,clean,clean,means,means,phrase,phrase,none,none
a281,01-ai/Yi-1.5-9B-Chat,aligned,clean,clean,means,means,none,none,furniture,furniture
a282,bigscience/bloom-7b1,base,clean,clean,means,means,none,none,furniture,none
a283,EleutherAI/pythia-2.8b,base,mangled,mangled,salad,stalls,none,none,none,none
a284,ibm-granite/granite-3.0-8b-base,base,nonwords,mangled,salad,salad,none,none,none,furniture
a285,Qwen/Qwen3-8B,aligned,clean,clean,means,means,none,phrase,task,task
a286,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,nonwords,nonwords,salad,salad,none,none,furniture,furniture
a287,LLM360/AmberSafe,aligned,clean,clean,means,means,none,none,assistant,assistant
a288,zai-org/glm-4-9b-chat-hf,aligned,clean,clean,means,means,phrase,phrase,task,task
a289,HuggingFaceTB/SmolLM2-360M,base,mangled,mangled,stalls,stalls,none,none,none,none
a290,meta-llama/Llama-3.1-8B-Instruct,aligned,mangled,mangled,salad,salad,none,none,none,none
a291,OpenLLM-France/Lucie-7B,base,clean,clean,stalls,stalls,phrase,phrase,task,task
a292,01-ai/Yi-1.5-9B,base,clean,clean,means,means,none,none,none,none
a293,EleutherAI/pythia-6.9b,base,mangled,mangled,stalls,salad,none,none,none,none
