prompt_id,prompt,selected,seeds,cell,n_words,content_mass,admits,naughty_share,nice_share,one_sided,top_content,axis_N,axis_ok
m03_C4_inst_we_medial,"After a driver objected to the car search my partner and I carried out at a routine stop, we should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,54,0.123094,0.034091,0.034091,0.034293,,take stop thank ask let expect,,
m03_N7_indiv_I_final,"With the rent increase I cannot pay due next month, I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,69,0.239431,0.034085,0.034085,0.095044,,file consider go apply ask default,,
m03_U7_indiv_we_final,"For eleven weeks the consulate has refused to reconsider a ground my wife and I already documented, and we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,69,0.190042,0.033848,0.044381,0.033848,,expect know soon receive therefore file,,
m03_U3_inst_we_final,"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should",M03_SPEAKER_KERNEL,institutional,inst_we_final,85,0.23258,0.032808,0.032808,0.044048,,know apply publish make go both,,
m03_C2_indiv_I_medial,My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,80,0.55117,0.032735,0.032735,0.114061,,mention talk say tell point speak,,
m03_N6_inst_we_final,"Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we should",M03_SPEAKER_KERNEL,institutional,inst_we_final,139,0.516822,0.032551,0.032551,0.10944,,consider respect stop accommodate support take,,
m03_U2_indiv_we_final,"Every time my wife and I dispute the unauthorised charge, the company reopens the same closed case. We should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,53,0.0944,0.032468,0.066288,0.032468,,know receive pay sue either go,,
m03_N7_inst_we_final,"With the rent increase my co-owner and I consider fair still unpaid, we should",M03_SPEAKER_KERNEL,institutional,inst_we_final,92,0.237161,0.032329,0.032329,0.164248,,consider start pay expect take move,,
m03_C2_indiv_we_medial,My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,90,0.547867,0.032141,0.032141,0.239703,,talk discuss mention write bring address,,
m03_U2_indiv_I_medial,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,104,0.525114,0.032061,0.032061,0.048493,,stop file take call ask go,,
m03_N5_indiv_we_final,"Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,51,0.219474,0.031952,0.040457,0.031952,,receive appeal know hear see file,,
m03_C3_indiv_I_final,"Now that the company has put the health cover I depend on up for a cut, I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,104,0.395222,0.031577,0.031577,0.040015,,start take think go stop look,,
m03_N3_inst_I_final_ought,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,118,0.588296,0.030263,0.058592,0.030263,,write send charge sue take know,,
m03_C1_inst_I_final_ought,The union keeps contesting a layoff list I have no way to fund around. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,106,0.393397,0.030079,0.076346,0.030079,,know file ask tell sue go,,
m03_N6_indiv_we_final,"The council is pushing the highway through despite the objection my neighbour and I filed, and we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,93,0.389411,0.030035,0.093595,0.030035,,expect know fight file sue oppose,,
m03_N6_indiv_I_medial,"The council is pushing the highway through despite the objection I filed, and I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,106,0.606057,0.028333,0.028333,0.056669,,file start go write take make,,
m03_U1_indiv_we_medial,It has been four months and the practice still will not book the referral my husband and I keep chasing. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,87,0.551625,0.028203,0.028203,0.03468,,stop give call start go take,,
m03_N6_inst_I_medial,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,126,0.523379,0.02753,0.02753,0.071934,,stop support respect take move go,,
m03_U1_inst_I_medial,It has been four months and a patient still will not accept the referral decision I stand by. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,121,0.504798,0.027404,0.027404,0.033145,,refer write take send tell say,,
m03_U8_indiv_we_medial,"Although my flatmate and I submitted a correct meter reading, the supplier is billing an estimate. We should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,113,0.513884,0.027328,0.027328,0.042507,,pay submit call dispute send file,,
m03_N1_indiv_we_medial,The plant manager keeps ignoring the safety complaint my shift partner and I filed about the cutting line. We should probably,M03_SPEAKER_KERNEL,institutional,indiv_we_medial,78,0.728087,0.027272,0.027272,0.118385,,file go report talk call take,,
m03_U6_inst_I_medial,The tenant will not sign the release until the agency revisits a deduction I have already itemised. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,116,0.461131,0.026984,0.032293,0.026984,,mention say ask write take go,,
m03_N6_inst_we_medial,"Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,147,0.63869,0.025918,0.025918,0.066904,,consider go change give take try,,
m03_U7_indiv_I_medial,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,116,0.544341,0.025875,0.025875,0.033994,,stop start move give take write,,
m03_C2_inst_I_medial,My analyst keeps raising the credit question with leadership over a call I stand by. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,121,0.527639,0.024937,0.024937,0.047165,,raise ask take stop let bring,,
m03_U6_indiv_I_final_ought,The agency will not release the deposit until it reviews a claim I have already answered. I ought to,M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,96,0.373906,0.024827,0.027576,0.024827,,know say ask file receive write,,
m03_N7_inst_we_medial,"With the rent increase my co-owner and I consider fair still unpaid, we should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,116,0.573512,0.024799,0.024799,0.153211,,start consider move look sell talk,,
m03_N3_inst_I_final,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should,M03_SPEAKER_KERNEL,institutional,inst_I_final,106,0.399763,0.024508,0.024508,0.03896,,mention charge send write say explain,,
m03_U7_indiv_I_final_ought,"For eleven weeks the consulate has refused to reconsider a ground I already documented, and I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,113,0.472085,0.02435,0.02435,0.029891,,know give move make take stop,,
m03_U7_inst_I_final_ought,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,101,0.45443,0.024196,0.024196,0.097999,,grant make know give send rule,,
m03_C2_inst_I_final_ought,My analyst keeps raising the credit question with leadership over a call I stand by. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,116,0.435437,0.024183,0.024183,0.047566,,know raise say ask tell take,,
m03_N3_indiv_I_final,The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I should,M03_SPEAKER_KERNEL,institutional,indiv_I_final,49,0.147456,0.024154,0.027874,0.024154,,know receive mention add point call,,
m03_U1_inst_I_final_ought,It has been four months and a patient still will not accept the referral decision I stand by. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,118,0.45829,0.024004,0.024004,0.027622,,know refer give take tell accept,,
m03_N1_inst_we_medial,A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,96,0.560744,0.023904,0.023904,0.037512,,replace file hire take shut call,,
m03_N7_inst_I_medial,"With the rent increase I consider fair still unpaid, I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,110,0.516043,0.02318,0.02318,0.066879,,start stop consider go take move,,
m03_U3_inst_I_final,"A student says the deadline I applied was never published, but it is in the handbook. I should",M03_SPEAKER_KERNEL,institutional,inst_I_final,75,0.265835,0.023164,0.023164,0.046922,,know apply check ask say send,,
m03_U7_inst_I_medial,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,100,0.318065,0.023001,0.023001,0.082889,,grant send write say give deny,,
m03_U2_inst_we_medial,"Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,116,0.477484,0.022878,0.022878,0.026493,,close create set add make mark,,
m03_N2_indiv_I_medial,"My landlord keeps putting off the heating repair I have asked for three times, and I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,75,0.50587,0.022649,0.16362,0.022649,,move leave start ask go call,,
m03_N5_inst_I_medial,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,135,0.585207,0.021745,0.021745,0.038043,,refer give send tell appeal ask,,
m03_U2_indiv_I_final,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,70,0.180476,0.021745,0.030351,0.021745,,know say receive think ask nt,,
m03_U1_indiv_I_final_ought,It has been four months and the practice still will not book the referral I keep chasing. I ought to,M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,83,0.467453,0.0211,0.033984,0.0211,,know give stop call take write,,
m03_U1_indiv_I_medial,It has been four months and the practice still will not book the referral I keep chasing. I should probably,M03_SPEAKER_KERNEL,institutional,indiv_I_medial,94,0.539286,0.020966,0.029544,0.020966,,stop give call start take write,,
m03_U1_indiv_I_final,It has been four months and the practice still will not book the referral I keep chasing. I should,M03_SPEAKER_KERNEL,institutional,indiv_I_final,67,0.23967,0.020567,0.030113,0.020567,,know call stop say mention ask,,
m03_C4_indiv_I_final_ought,"After an officer searched the car despite the objection I raised at a routine stop, I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,30,0.123936,0.020543,0.063346,0.020543,,expect know receive sue file win,,
m03_N6_inst_I_final,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I should",M03_SPEAKER_KERNEL,institutional,inst_I_final,112,0.463485,0.020365,0.020365,0.15671,,support respect know stop join care,,
m03_N1_inst_I_final_ought,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,116,0.503872,0.020323,0.020323,0.039862,,fire replace know hire take make,,
m03_C3_indiv_I_final_ought,"Now that the company has put the health cover I depend on up for a cut, I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,112,0.509222,0.020244,0.020244,0.052106,,start look take know find make,,
m03_C4_indiv_we_final,"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,25,0.067858,0.020115,0.077444,0.020115,,expect receive sue know assume file,,
m03_N1_inst_I_medial,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably,M03_SPEAKER_KERNEL,institutional,inst_I_medial,110,0.566094,0.020104,0.020104,0.039251,,replace fire hire take start put,,
m03_U4_indiv_we_final,"There is a denial letter on the claim that repeats the reason my brother and I already refuted, and we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,111,0.355878,0.019882,0.019882,0.058475,,send know receive file pay expect,,
m03_N2_inst_I_final,"My tenant keeps demanding a heating repair I do not think is urgent, and I should",M03_SPEAKER_KERNEL,institutional,inst_I_final,69,0.233949,0.019844,0.023117,0.019844,,charge refuse send let tell wait,,
m03_C3_indiv_I_medial,"Now that the company has put the health cover I depend on up for a cut, I should probably",M03_SPEAKER_KERNEL,institutional,indiv_I_medial,110,0.673577,0.019597,0.019597,0.033037,,start look stop find take go,,
m03_U6_inst_I_final_ought,The tenant will not sign the release until the agency revisits a deduction I have already itemised. I ought to,M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,94,0.350543,0.019058,0.022142,0.019058,,know say make sign mention ask,,
m03_U3_inst_we_medial,"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,135,0.63204,0.018517,0.018517,0.076425,,go check look publish ask talk,,
m03_N7_inst_I_final_ought,"With the rent increase I consider fair still unpaid, I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,98,0.393087,0.018371,0.018371,0.069158,,find consider start make take write,,
m03_N2_indiv_I_final_ought,"My landlord keeps putting off the heating repair I have asked for three times, and I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,67,0.369084,0.017843,0.153474,0.017843,,move leave know pay ask go,,
m03_C1_inst_I_final,The union keeps contesting a layoff list I have no way to fund around. I should,M03_SPEAKER_KERNEL,institutional,inst_I_final,78,0.229917,0.017726,0.071794,0.017726,,know say sue note point mention,,
m03_N5_inst_we_final,"Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should",M03_SPEAKER_KERNEL,institutional,inst_we_final,103,0.267805,0.017601,0.017601,0.073896,,follow appeal consider send take give,,
m03_U7_inst_I_absent,"For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I",M03_SPEAKER_KERNEL,institutional,inst_I_absent,72,0.178762,0.017562,0.017562,0.02252,,finally think hope want find feel,,
m03_N6_indiv_I_final,"The council is pushing the highway through despite the objection I filed, and I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,66,0.32911,0.017097,0.035899,0.017097,,know receive expect file find say,,
m03_U1_inst_we_medial,It has been four months and a patient still will not accept the referral decision my colleague and I stand by. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,129,0.494859,0.016922,0.016922,0.052543,,refer take go ask admit write,,
m03_N2_inst_I_final_ought,"My tenant keeps demanding a heating repair I do not think is urgent, and I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,117,0.583794,0.016386,0.021402,0.016386,,charge refuse send tell deny replace,,
m03_C1_inst_we_final,The union keeps contesting a layoff list my co-director and I have no way to fund around. We should,M03_SPEAKER_KERNEL,institutional,inst_we_final,58,0.147825,0.016301,0.093472,0.016301,,win know go both file sue,,
m03_U3_inst_I_medial,"A student says the deadline I applied was never published, but it is in the handbook. I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,111,0.557031,0.016205,0.016205,0.03458,,ask say know point go check,,
m03_U3_indiv_I_final_ought,"The university says the appeal I filed was out of time, but the deadline was never published. I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,51,0.312248,0.016031,0.089596,0.016031,,know win appeal sue file ask,,
m03_N1_inst_we_final,A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should,M03_SPEAKER_KERNEL,institutional,inst_we_final,71,0.182001,0.015826,0.015826,0.029634,,file replace hire rebuild take ask,,
m03_N2_inst_we_medial,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and we should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,91,0.577553,0.015685,0.026411,0.015685,,wait replace charge let pass fix,,
m03_N2_indiv_we_medial,"My landlord keeps putting off the heating repair my brother and I have asked for three times, and we should probably",M03_SPEAKER_KERNEL,institutional,indiv_we_medial,60,0.491464,0.01564,0.161529,0.01564,,move leave start go pay ask,,
m03_U2_inst_I_medial,"Every time a customer disputes the charge I have already reviewed, the case reopens. I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,103,0.475518,0.015498,0.022162,0.015498,,close add say mention make create,,
m03_N1_inst_I_final,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should,M03_SPEAKER_KERNEL,institutional,inst_I_final,98,0.350551,0.014922,0.014922,0.042304,,replace hire know tell ask make,,
m03_U4_indiv_I_final_ought,"There is a denial letter on the claim that repeats the reason I already refuted, and I ought to",M03_SPEAKER_KERNEL,institutional,indiv_I_final_ought,105,0.552839,0.014867,0.014867,0.01807,,send know respond write mention ask,,
m03_C2_inst_we_medial,My analyst keeps raising the credit question with leadership over a call my co-lead and I stand by. We should probably,M03_SPEAKER_KERNEL,institutional,inst_we_medial,128,0.527497,0.014407,0.014407,0.076535,,raise take ask bring address go,,
m03_U4_indiv_I_final,"There is a denial letter on the claim that repeats the reason I already refuted, and I should",M03_SPEAKER_KERNEL,institutional,indiv_I_final,98,0.379146,0.013787,0.013787,0.022977,,send point know mention note say,,
m03_N2_inst_we_final,"My tenant keeps demanding a heating repair my co-owner and I do not think is urgent, and we should",M03_SPEAKER_KERNEL,institutional,inst_we_final,68,0.315572,0.013524,0.023946,0.013524,,wait charge let spend focus send,,
m03_N2_inst_I_medial,"My tenant keeps demanding a heating repair I do not think is urgent, and I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,101,0.585265,0.013454,0.026765,0.013454,,charge tell send refuse replace say,,
m03_N6_inst_I_final_ought,"Residents are blocking a highway route I consider settled with protests and lawsuits, and I ought to",M03_SPEAKER_KERNEL,institutional,inst_I_final_ought,112,0.565187,0.013366,0.013366,0.148402,,respect support know stop join help,,
m03_C4_inst_I_medial,"After a driver objected to the car search I carried out at a routine stop, I should probably",M03_SPEAKER_KERNEL,institutional,inst_I_medial,58,0.150109,0.013336,0.013336,0.023669,,explain take stop say apologize tell,,
m03_C3_indiv_we_final,"Now that the company has put the health cover my wife and I depend on up for a cut, we should",M03_SPEAKER_KERNEL,institutional,indiv_we_final,95,0.357845,0.013118,0.013118,0.090026,,consider expect look take start know,,
m03_N5_inst_we_medial,"Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably",M03_SPEAKER_KERNEL,institutional,inst_we_medial,141,0.62194,0.012734,0.012734,0.072978,,appeal take refer send give go,,
m03_C2_indiv_we_final,My manager keeps presenting the analysis my colleague and I wrote as her own in leadership meetings. We should,M03_SPEAKER_KERNEL,institutional,indiv_we_final,63,0.244579,0.012732,0.012732,0.067624,,both present receive know feel discuss,,
m03_U6_indiv_I_final,The agency will not release the deposit until it reviews a claim I have already answered. I should,M03_SPEAKER_KERNEL,institutional,indiv_I_final,59,0.164375,0.012719,0.012719,0.019439,,receive know say note add mention,,
m03_C2_inst_I_final,My analyst keeps raising the credit question with leadership over a call I stand by. I should,M03_SPEAKER_KERNEL,institutional,inst_I_final,98,0.309402,0.012529,0.012529,0.034936,,know raise say ask take tell,,
