base,aligned,alpha,beta,T
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,1.0,0.0,3.373399
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,1.0,0.25,3.345329
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,1.0,0.5,3.319585
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,1.0,0.75,3.296400
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,1.0,1.0,3.275893
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.0,0.0,3.440971
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.0,0.25,3.433079
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.0,0.5,3.424867
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.0,0.75,3.416348
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.0,1.0,3.407542
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.25,0.0,3.387519
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.25,0.25,3.379973
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.25,0.5,3.372156
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.25,0.75,3.364083
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.25,1.0,3.355761
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.5,0.0,3.331676
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.5,0.25,3.324637
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.5,0.5,3.317378
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.5,0.75,3.309909
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.5,1.0,3.302236
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.75,0.0,3.273213
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.75,0.25,3.266595
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.75,0.5,3.259806
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.75,0.75,3.252861
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,0.75,1.0,3.245765
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,1.0,0.0,3.216073
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,1.0,0.25,3.209771
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,1.0,0.5,3.203344
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,1.0,0.75,3.196802
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,1.0,1.0,3.190155
google/gemma-2-9b,google/gemma-2-9b-it,0.0,0.0,3.712269
google/gemma-2-9b,google/gemma-2-9b-it,0.0,0.25,3.731384
google/gemma-2-9b,google/gemma-2-9b-it,0.0,0.5,3.747734
google/gemma-2-9b,google/gemma-2-9b-it,0.0,0.75,3.761305
google/gemma-2-9b,google/gemma-2-9b-it,0.0,1.0,3.772172
google/gemma-2-9b,google/gemma-2-9b-it,0.25,0.0,3.659806
google/gemma-2-9b,google/gemma-2-9b-it,0.25,0.25,3.682565
google/gemma-2-9b,google/gemma-2-9b-it,0.25,0.5,3.702416
google/gemma-2-9b,google/gemma-2-9b-it,0.25,0.75,3.719259
google/gemma-2-9b,google/gemma-2-9b-it,0.25,1.0,3.733118
google/gemma-2-9b,google/gemma-2-9b-it,0.5,0.0,3.586225
google/gemma-2-9b,google/gemma-2-9b-it,0.5,0.25,3.613589
google/gemma-2-9b,google/gemma-2-9b-it,0.5,0.5,3.638066
google/gemma-2-9b,google/gemma-2-9b-it,0.5,0.75,3.659399
google/gemma-2-9b,google/gemma-2-9b-it,0.5,1.0,3.677508
google/gemma-2-9b,google/gemma-2-9b-it,0.75,0.0,3.482760
google/gemma-2-9b,google/gemma-2-9b-it,0.75,0.25,3.515593
google/gemma-2-9b,google/gemma-2-9b-it,0.75,0.5,3.545551
google/gemma-2-9b,google/gemma-2-9b-it,0.75,0.75,3.572355
google/gemma-2-9b,google/gemma-2-9b-it,0.75,1.0,3.595847
google/gemma-2-9b,google/gemma-2-9b-it,1.0,0.0,3.336515
google/gemma-2-9b,google/gemma-2-9b-it,1.0,0.25,3.379699
google/gemma-2-9b,google/gemma-2-9b-it,1.0,0.5,3.418755
google/gemma-2-9b,google/gemma-2-9b-it,1.0,0.75,3.453292
google/gemma-2-9b,google/gemma-2-9b-it,1.0,1.0,3.483532
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.0,0.0,3.716486
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.0,0.25,3.682398
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.0,0.5,3.645883
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.0,0.75,3.607603
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.0,1.0,3.568017
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.25,0.0,3.691081
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.25,0.25,3.661796
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.25,0.5,3.629611
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.25,0.75,3.595062
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.25,1.0,3.558675
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.5,0.0,3.665099
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.5,0.25,3.639891
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.5,0.5,3.611774
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.5,0.75,3.581042
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.5,1.0,3.548131
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.75,0.0,3.641226
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.75,0.25,3.618882
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.75,0.5,3.593814
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.75,0.75,3.566326
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,0.75,1.0,3.536804
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.0,0.0,3.618209
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.0,0.25,3.597864
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.0,0.5,3.575178
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.0,0.75,3.550580
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.0,1.0,3.524516
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.0,0.0,3.604637
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.0,0.25,3.591342
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.0,0.5,3.578369
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.0,0.75,3.565976
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.0,1.0,3.554337
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.25,0.0,3.578467
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.25,0.25,3.564881
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.25,0.5,3.551759
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.25,0.75,3.539383
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.25,1.0,3.527950
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.5,0.0,3.554458
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.5,0.25,3.540142
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.5,0.5,3.526479
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.5,0.75,3.513760
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.5,1.0,3.502180
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.75,0.0,3.534112
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.75,0.25,3.519025
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.75,0.5,3.504735
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.75,0.75,3.491538
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,0.75,1.0,3.479637
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,0.0,3.518850
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,0.25,3.503233
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,0.5,3.488490
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,0.75,3.474959
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,1.0,1.0,3.462863
