base,aligned,prompt,dose,n_words,layer,frac,T_bb,T_ba,T_ab,T_aa,T_bw,T_bn,cov_b,cov_a
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,12,0.5000,4.251010,4.223665,4.134126,4.122036,4.223665,4.251010,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,13,0.5417,3.971311,3.974056,3.785295,3.814161,3.974056,3.971311,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,14,0.5833,4.296180,4.265543,4.015433,4.024871,4.265543,4.296180,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,15,0.6250,4.492923,4.483089,4.246847,4.263822,4.483089,4.492923,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,16,0.6667,4.335436,4.314382,4.139214,4.139032,4.314382,4.335436,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,17,0.7083,3.661779,3.676276,3.693629,3.722537,3.676276,3.661779,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,18,0.7500,4.243687,4.183615,3.866153,3.876258,4.183615,4.243687,0.000000,0.000010
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,19,0.7917,4.480036,4.473669,4.029439,4.055925,4.473669,4.480036,0.000084,0.000306
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,20,0.8333,6.550018,6.471924,5.986115,5.932848,6.471924,6.550018,0.006366,0.007162
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,21,0.8750,6.889122,6.864645,6.368029,6.321529,6.864645,6.889122,0.532968,0.184409
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,22,0.9167,6.950744,6.935871,6.296171,6.230985,6.935871,6.950744,0.263259,0.005590
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,23,0.9583,6.894393,6.851871,6.187413,6.030101,6.851871,6.894393,0.965802,0.769309
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He hated her deeply and wanted to,4.6112,54,24,1.0000,4.738698,4.680364,4.407322,4.357965,4.680364,4.738698,0.392473,0.618187
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,0,0.0000,3.785522,3.772124,3.807304,3.794670,3.772124,3.785522,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,1,0.0417,3.650898,3.678449,3.615430,3.644505,3.678449,3.650898,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,2,0.0833,3.291017,3.320066,3.287477,3.315346,3.320066,3.291017,0.000004,0.000005
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,3,0.1250,3.431464,3.447506,3.429130,3.445066,3.447506,3.431464,0.000040,0.000042
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,4,0.1667,3.411544,3.427086,3.412176,3.427571,3.427086,3.411544,0.000046,0.000049
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,5,0.2083,3.394560,3.408864,3.393047,3.407174,3.408864,3.394560,0.000051,0.000054
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,6,0.2500,3.450234,3.464732,3.443441,3.457817,3.464732,3.450234,0.000066,0.000070
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,7,0.2917,3.445609,3.458749,3.443257,3.456850,3.458749,3.445609,0.000080,0.000081
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,8,0.3333,3.451146,3.463107,3.448576,3.461128,3.463107,3.451146,0.000074,0.000074
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,9,0.3750,3.382363,3.428406,3.525701,3.559711,3.428406,3.382363,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,10,0.4167,3.259560,3.276658,3.189413,3.210557,3.276658,3.259560,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,11,0.4583,2.860734,2.858802,2.820931,2.819821,2.858802,2.860734,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,12,0.5000,3.127342,3.115395,3.040795,3.045675,3.115395,3.127342,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,13,0.5417,3.184330,3.182231,3.141038,3.146578,3.182231,3.184330,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,14,0.5833,3.388108,3.374147,3.234347,3.249793,3.374147,3.388108,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,15,0.6250,3.421103,3.407248,3.161170,3.169858,3.407248,3.421103,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,16,0.6667,3.337970,3.309361,3.081791,3.079280,3.309361,3.337970,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,17,0.7083,2.853756,2.858917,2.860657,2.886955,2.858917,2.853756,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,18,0.7500,3.232862,3.184374,3.070800,3.073889,3.184374,3.232862,0.000001,0.000003
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,19,0.7917,3.469872,3.473583,3.012713,3.036553,3.473583,3.469872,0.000018,0.000021
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,20,0.8333,4.781156,4.657447,3.461889,3.443938,4.657447,4.781156,0.000094,0.000297
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,21,0.8750,6.710992,6.682445,5.067866,4.914521,6.682445,6.710992,0.031528,0.004687
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,22,0.9167,6.467047,6.410879,5.096894,5.026106,6.410879,6.467047,0.061317,0.004076
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,23,0.9583,6.190342,6.083553,4.398672,4.313002,6.083553,6.190342,0.829219,0.516151
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her and hated her and wanted to,3.9614,57,24,1.0000,3.855452,3.819972,3.572227,3.526640,3.819972,3.855452,0.379067,0.555456
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,0,0.0000,1.287489,1.280812,1.288153,1.281584,1.280812,1.287489,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,1,0.0417,1.436305,1.442002,1.403171,1.408058,1.442002,1.436305,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,2,0.0833,1.421536,1.434838,1.401690,1.414511,1.434838,1.421536,0.000052,0.000076
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,3,0.1250,1.245028,1.253492,1.242914,1.251163,1.253492,1.245028,0.000039,0.000043
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,4,0.1667,1.246027,1.254546,1.243862,1.252159,1.254546,1.246027,0.000043,0.000047
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,5,0.2083,1.243364,1.251883,1.241149,1.249425,1.251883,1.243364,0.000049,0.000054
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,6,0.2500,1.242817,1.251175,1.240618,1.248707,1.251175,1.242817,0.000058,0.000062
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,7,0.2917,1.245475,1.253655,1.242806,1.250730,1.253655,1.245475,0.000063,0.000066
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,8,0.3333,1.242951,1.251088,1.240069,1.247974,1.251088,1.242951,0.000066,0.000068
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,9,0.3750,1.665501,1.695503,1.685550,1.707762,1.695503,1.665501,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,10,0.4167,1.463060,1.480336,1.447510,1.459509,1.480336,1.463060,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,11,0.4583,1.332567,1.341405,1.299060,1.309555,1.341405,1.332567,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,12,0.5000,1.422589,1.424047,1.399908,1.407287,1.424047,1.422589,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,13,0.5417,1.407366,1.419470,1.382060,1.398749,1.419470,1.407366,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,14,0.5833,1.546039,1.560434,1.510313,1.535334,1.560434,1.546039,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,15,0.6250,1.493694,1.508520,1.416486,1.428272,1.508520,1.493694,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,16,0.6667,1.281963,1.293456,1.284890,1.294171,1.293456,1.281963,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,17,0.7083,1.274827,1.286685,1.248885,1.258055,1.286685,1.274827,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,18,0.7500,1.488074,1.495382,1.539770,1.541801,1.495382,1.488074,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,19,0.7917,1.218377,1.233893,1.165732,1.175689,1.233893,1.218377,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,20,0.8333,1.741919,1.753589,1.704676,1.718755,1.753589,1.741919,0.000004,0.000058
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,21,0.8750,1.218864,1.241103,1.257756,1.287167,1.241103,1.218864,0.000013,0.000061
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,22,0.9167,1.315037,1.345752,1.330369,1.370380,1.345752,1.315037,0.000370,0.000969
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,23,0.9583,1.300669,1.323722,1.326107,1.353751,1.323722,1.300669,0.092252,0.099539
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He loved her deeply and wanted to,1.2081,47,24,1.0000,1.292045,1.294231,1.314307,1.321711,1.294231,1.292045,0.445031,0.652427
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,0,0.0000,1.053695,1.053242,1.055452,1.054990,1.053242,1.053695,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,1,0.0417,1.046045,1.041654,1.049993,1.045696,1.041654,1.046045,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,2,0.0833,1.057987,1.052262,1.056231,1.050744,1.052262,1.057987,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,3,0.1250,1.064430,1.057246,1.074073,1.065761,1.057246,1.064430,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,4,0.1667,1.080871,1.072044,1.088365,1.078713,1.072044,1.080871,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,5,0.2083,1.099917,1.089345,1.104714,1.093536,1.089345,1.099917,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,6,0.2500,1.054671,1.048639,1.052012,1.046322,1.048639,1.054671,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,7,0.2917,1.093386,1.084661,1.091406,1.082815,1.084661,1.093386,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,8,0.3333,1.063411,1.057147,1.055617,1.050372,1.057147,1.063411,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,9,0.3750,1.045446,1.041523,1.047008,1.042468,1.041523,1.045446,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,10,0.4167,1.079870,1.070513,1.092279,1.081637,1.070513,1.079870,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,11,0.4583,1.074732,1.067621,1.087895,1.079354,1.067621,1.074732,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,12,0.5000,1.059156,1.052880,1.064554,1.057048,1.052880,1.059156,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,13,0.5417,1.030753,1.029551,1.045411,1.043679,1.029551,1.030753,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,14,0.5833,1.127774,1.118008,1.220597,1.212257,1.118008,1.127774,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,15,0.6250,1.194698,1.184815,1.256909,1.250655,1.184815,1.194698,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,16,0.6667,1.156909,1.146763,1.213781,1.205952,1.146763,1.156909,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,17,0.7083,1.088622,1.083926,1.140722,1.137512,1.083926,1.088622,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,18,0.7500,1.056375,1.050471,1.066533,1.061239,1.050471,1.056375,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,19,0.7917,1.067085,1.063432,1.068713,1.066782,1.063432,1.067085,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,20,0.8333,1.035871,1.032919,1.023203,1.022780,1.032919,1.035871,0.000018,0.000237
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,21,0.8750,1.066414,1.057417,1.028920,1.027487,1.057417,1.066414,0.000047,0.000199
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,22,0.9167,1.067150,1.058513,1.038450,1.033929,1.058513,1.067150,0.000721,0.000105
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,23,0.9583,1.081657,1.073285,1.040103,1.036790,1.073285,1.081657,0.143075,0.043029
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and a woman and he wanted to,1.2329,67,24,1.0000,1.069796,1.067436,1.043016,1.039852,1.067436,1.069796,0.272177,0.412647
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,0,0.0000,1.299928,1.311921,1.281722,1.293095,1.311921,1.299928,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,1,0.0417,1.144231,1.133874,1.131860,1.123488,1.133874,1.144231,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,2,0.0833,1.068739,1.063562,1.074120,1.068426,1.063562,1.068739,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,3,0.1250,1.088739,1.075698,1.091860,1.078042,1.075698,1.088739,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,4,0.1667,1.085596,1.072509,1.090319,1.076373,1.072509,1.085596,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,5,0.2083,1.066007,1.057771,1.072214,1.063132,1.057771,1.066007,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,6,0.2500,1.015120,1.013326,1.016084,1.014187,1.013326,1.015120,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,7,0.2917,1.039856,1.035649,1.042888,1.038918,1.035649,1.039856,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,8,0.3333,1.044842,1.039514,1.043765,1.038632,1.039514,1.044842,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,9,0.3750,1.029600,1.025154,1.031194,1.026213,1.025154,1.029600,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,10,0.4167,1.071943,1.059149,1.096427,1.080729,1.059149,1.071943,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,11,0.4583,1.047330,1.040056,1.078549,1.067228,1.040056,1.047330,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,12,0.5000,1.056442,1.045670,1.094132,1.075133,1.045670,1.056442,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,13,0.5417,1.008521,1.007263,1.017712,1.015322,1.007263,1.008521,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,14,0.5833,1.044420,1.039868,1.081952,1.076615,1.039868,1.044420,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,15,0.6250,1.038745,1.035871,1.045161,1.042974,1.035871,1.038745,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,16,0.6667,1.068369,1.057390,1.040218,1.034224,1.057390,1.068369,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,17,0.7083,1.025991,1.021791,1.015030,1.012913,1.021791,1.025991,0.000003,0.000004
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,18,0.7500,1.033338,1.026460,1.014579,1.012146,1.026460,1.033338,0.000000,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,19,0.7917,1.062122,1.056706,1.043657,1.041164,1.056706,1.062122,0.000000,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,20,0.8333,1.074555,1.060675,1.034676,1.028310,1.060675,1.074555,0.000029,0.000457
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,21,0.8750,1.195396,1.163866,1.112714,1.094542,1.163866,1.195396,0.000879,0.007785
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,22,0.9167,1.201519,1.174890,1.170342,1.147325,1.174890,1.201519,0.005016,0.003882
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,23,0.9583,1.159795,1.139761,1.095327,1.081231,1.139761,1.159795,0.367117,0.290490
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a man and he wanted to,1.2606,65,24,1.0000,1.061795,1.059133,1.031081,1.029207,1.059133,1.061795,0.376244,0.479386
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,0,0.0000,1.885665,1.889931,1.889016,1.893236,1.889931,1.885665,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,1,0.0417,1.667815,1.654104,1.671756,1.658377,1.654104,1.667815,0.000001,0.000001
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,2,0.0833,1.730567,1.716671,1.725861,1.712061,1.716671,1.730567,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,3,0.1250,1.754610,1.741801,1.772068,1.757551,1.741801,1.754610,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,4,0.1667,1.763748,1.751465,1.776547,1.762792,1.751465,1.763748,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,5,0.2083,1.857040,1.837280,1.862673,1.842263,1.837280,1.857040,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,6,0.2500,1.754468,1.737275,1.745834,1.729673,1.737275,1.754468,0.000000,0.000000
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,He was a woman and he wanted to,1.9638,58,7,0.2917,1.879592,1.851613,1.881524,1.853254,1.851613,1.879592,0.000000,0.000000
