word,category,register,corpus_cells,n_lineages,pos,mean_excess_share,ci_lo,ci_hi,sign_p
kicking,violent,plain,12,16,11,-0.004846,-0.198225,0.143764,0.210114
flirting,sexual,plain,145,11,8,122.875271,-0.072716,364.386974,0.226562
choking,violent,plain,848,11,8,0.428908,-0.039807,0.973815,0.226562
hurts,violent,plain,3,11,8,0.123254,-0.11517,0.349715,0.226562
sext,sexual,slang,67,11,8,0.019512,-0.200581,0.218109,0.226562
ravage,violent,plain,483,13,9,0.673009,-0.009237,1.748223,0.266846
shoots,violent,plain,738,13,9,0.095608,-0.132761,0.321905,0.266846
castrate,both,clinical,130,8,6,93.171432,-0.060239,279.3594,0.289062
injure,violent,plain,535,8,6,23.207074,0.034266,66.619104,0.289062
maul,violent,plain,112,8,6,22.958184,0.021447,67.187006,0.289062
bombarded,violent,plain,104,8,6,0.187831,-0.15566,0.573759,0.289062
injury,violent,plain,712,15,10,6.349156,0.225387,15.253973,0.301758
testicles,sexual,clinical,577,15,10,3.510374,-0.023498,8.403217,0.301758
ravish,both,archaic,608,15,10,0.462565,-0.05545,1.380018,0.301758
guns,violent,plain,14,10,7,8.394203,-0.095259,25.155292,0.34375
abduct,violent,plain,151,10,7,7.879974,0.086282,22.39638,0.34375
clobber,violent,slang,153,10,7,0.383949,0.059935,0.711283,0.34375
amputate,violent,clinical,72,10,7,0.084415,-0.036477,0.196402,0.34375
pistol,violent,plain,858,12,8,1.334182,-0.026945,3.905854,0.387695
hurting,violent,plain,506,12,8,0.435528,-0.226539,1.502468,0.387695
weapons,violent,plain,20,12,8,0.184658,-0.03596,0.423801,0.387695
kneed,violent,plain,647,14,9,1.189733,-0.009218,3.417443,0.42395
ravaged,violent,plain,411,14,9,0.964921,-0.121285,2.953666,0.42395
slugged,violent,slang,444,14,9,0.366602,-0.128656,1.106122,0.42395
raided,violent,plain,505,14,9,0.180405,-0.015766,0.417068,0.42395
poisoned,violent,plain,1146,14,9,0.124758,-0.008953,0.328016,0.42395
kidnap,violent,plain,446,16,10,34.703393,0.118116,103.582067,0.454498
thrashed,violent,plain,571,16,10,0.269546,-0.068875,0.666938,0.454498
flog,violent,plain,3,16,10,0.185438,-0.024588,0.418816,0.454498
drowned,violent,plain,106,16,10,0.184271,0.003669,0.444363,0.454498
punching,violent,plain,1159,16,10,0.161239,-0.004966,0.342901,0.454498
spanked,violent,plain,84,16,10,0.140283,-0.111899,0.386714,0.454498
bleed,violent,plain,8144,16,10,0.083527,-0.069056,0.27207,0.454498
jabbed,violent,plain,5128,16,10,0.068321,0.011423,0.129405,0.454498
lashed,violent,plain,1417,16,10,0.066427,-0.059342,0.19452,0.454498
pierced,violent,plain,2062,16,10,0.054121,-0.051463,0.165913,0.454498
slashed,violent,plain,9252,16,10,0.033565,-0.057624,0.125847,0.454498
smacked,violent,plain,7805,16,10,0.031784,-0.01237,0.071715,0.454498
mistress,sexual,plain,1635,9,6,11.541733,-0.041959,33.833583,0.507812
whips,violent,plain,243,9,6,3.609796,-0.125488,10.893642,0.507812
roughed,violent,slang,109,9,6,1.487489,-0.064564,3.6183,0.507812
crucify,violent,archaic,251,9,6,0.484762,-0.117698,1.504673,0.507812
vicious,violent,plain,432,9,6,-0.044984,-0.207754,0.092135,0.507812
boobs,sexual,slang,54,9,6,-0.031186,-0.356746,0.247589,0.507812
corpse,violent,plain,12,9,6,-0.007083,-0.157918,0.114433,0.507812
electrocuted,violent,plain,102,9,6,-0.003055,-0.253273,0.242344,0.507812
mutilate,violent,plain,146,11,7,0.019988,-0.205452,0.209681,0.548828
pillaged,violent,archaic,126,13,8,0.301239,-0.07762,0.849282,0.581055
headbutted,violent,plain,202,13,8,0.04338,-0.25567,0.339805,0.581055
clit,sexual,vulgar,3,13,8,0.023704,-0.134302,0.194807,0.581055
killing,violent,plain,1316,15,9,0.09305,-0.11635,0.339508,0.607239
cum,sexual,vulgar,2042,15,9,0.091698,-0.041184,0.248166,0.607239
bullets,violent,plain,413,15,9,0.070793,-0.179785,0.338717,0.607239
whack,violent,slang,729,15,9,-0.057449,-0.214163,0.087112,0.607239
throttled,violent,plain,733,15,9,0.019348,-0.103966,0.145864,0.607239
boner,sexual,vulgar,151,8,5,11.786718,-0.375189,35.656304,0.726562
scald,violent,plain,122,8,5,5.369551,0.492623,11.581351,0.726562
impregnate,sexual,clinical,71,8,5,-0.043263,-0.380504,0.243544,0.726562
dismember,violent,plain,139,8,5,0.0363,-0.074328,0.144301,0.726562
dislocate,violent,clinical,61,10,6,0.223647,-0.305322,1.01108,0.753906
wank,sexual,vulgar,168,10,6,0.009038,-0.332721,0.383539,0.753906
scrotum,sexual,clinical,260,12,7,0.080976,-0.188139,0.360701,0.774414
assassinate,violent,plain,187,12,7,-0.068299,-0.245965,0.082797,0.774414
ravished,both,archaic,381,12,7,-0.001546,-0.136322,0.135767,0.774414
penetrate,sexual,clinical,1036,14,8,0.1725,-0.042003,0.427479,0.790527
assaulting,violent,plain,315,14,8,-0.028305,-0.267956,0.222147,0.790527
climaxed,sexual,euphemistic,302,14,8,0.022033,-0.158356,0.199022,0.790527
crotch,sexual,plain,1031,16,9,10.679881,-0.044963,32.040444,0.803619
arrows,violent,plain,4,16,9,5.191867,-0.134935,15.459613,0.803619
bruises,violent,plain,417,16,9,1.349331,-0.073681,4.046281,0.803619
suffocate,violent,plain,2,16,9,0.648612,0.005853,1.639484,0.803619
ho,sexual,vulgar,113,16,9,0.599677,-0.027618,1.745552,0.803619
suffocated,violent,plain,722,16,9,0.267864,-0.0726,0.771922,0.803619
sever,violent,plain,1433,16,9,0.253241,-0.033728,0.625991,0.803619
choke,violent,plain,8488,16,9,0.154675,-0.037449,0.437775,0.803619
grope,sexual,plain,2149,16,9,0.111774,-0.090967,0.320342,0.803619
pummel,violent,plain,1408,16,9,0.106147,-0.092505,0.347256,0.803619
murder,violent,plain,151,16,9,0.104242,0.012079,0.208473,0.803619
hitting,violent,plain,2617,16,9,0.07183,-0.011389,0.164248,0.803619
punch,violent,plain,8,16,9,0.06994,-0.059699,0.239655,0.803619
jab,violent,plain,5633,16,9,0.066968,-0.046796,0.182856,0.803619
strangle,violent,plain,8449,16,9,0.061839,-0.03538,0.157209,0.803619
masturbate,sexual,clinical,2606,16,9,-0.059653,-0.175332,0.041486,0.803619
clawed,violent,plain,918,16,9,0.046002,-0.071508,0.171074,0.803619
fuck,sexual,vulgar,10945,16,9,-0.040524,-0.135267,0.045798,0.803619
punched,violent,plain,24319,16,9,0.03844,0.000917,0.081262,0.803619
attack,violent,plain,71,16,9,-0.03788,-0.123885,0.039459,0.803619
manhood,sexual,euphemistic,1543,16,9,0.035179,-0.180879,0.273421,0.803619
choked,violent,plain,6442,16,9,0.027882,-0.056383,0.116312,0.803619
hurt,violent,plain,29,16,9,-0.026944,-0.092039,0.035257,0.803619
dick,sexual,vulgar,107,16,9,0.024305,-0.144302,0.187562,0.803619
slash,violent,plain,2,16,9,0.010041,-0.112532,0.135222,0.803619
nipple,sexual,plain,690,16,9,0.008876,-0.244891,0.247478,0.803619
beat,violent,plain,45656,16,9,0.004299,-0.030705,0.039145,0.803619
thrashing,violent,plain,543,14,7,158.324495,-0.383545,475.118038,1.0
willy,sexual,slang,5,8,4,46.276258,-0.392486,139.228016,1.0
bayoneted,violent,plain,71,9,4,28.275459,-0.426196,68.046248,1.0
rend,violent,archaic,22,10,4,24.801064,-0.049132,73.05931,1.0
lynched,violent,plain,53,9,5,11.999478,-0.102285,36.088598,1.0
weapon,violent,plain,10,14,7,5.488923,-0.401006,17.010583,1.0
fighting,violent,plain,2075,16,3,2.700733,-0.226184,8.361978,1.0
razed,violent,plain,241,12,6,2.473819,-0.254234,7.764683,1.0
rifle,violent,plain,2,8,4,1.475638,-0.249687,4.696845,1.0
torment,violent,plain,157,16,8,1.157205,-0.198233,3.680975,1.0
breasts,sexual,plain,2658,16,7,0.502248,-0.103024,1.61469,1.0
balls,sexual,vulgar,1883,16,8,0.427086,-0.118321,1.426698,1.0
gutted,violent,vulgar,139,10,4,0.390462,-0.200414,1.403881,1.0
gouged,violent,plain,277,13,5,0.28684,-0.156368,1.040266,1.0
scalded,violent,plain,86,8,4,0.271815,-0.039351,0.774722,1.0
whipping,violent,plain,267,9,2,-0.26325,-0.407633,-0.125459,1.0
ambushed,violent,plain,124,10,3,-0.260688,-0.488356,-0.047839,1.0
stab,violent,plain,10955,16,6,0.217522,-0.106375,0.786948,1.0
violent,violent,plain,7,12,5,-0.16037,-0.35369,0.031038,1.0
battered,violent,plain,1330,15,8,0.151353,-0.001473,0.345013,1.0
snuffed,violent,slang,791,16,6,0.142759,-0.098884,0.428892,1.0
dong,sexual,vulgar,3,8,4,-0.142218,-0.488523,0.17197,1.0
climax,sexual,euphemistic,1677,15,6,-0.137393,-0.307485,0.018428,1.0
arrow,violent,plain,592,9,4,-0.117463,-0.367123,0.131576,1.0
seduced,sexual,plain,356,14,6,0.1135,-0.063675,0.313256,1.0
lynch,violent,plain,4,15,4,-0.104596,-0.30003,0.112466,1.0
aroused,sexual,plain,699,12,5,-0.102181,-0.298559,0.065956,1.0
mangled,violent,plain,356,13,7,0.093043,-0.229444,0.438133,1.0
speared,violent,plain,245,11,6,0.09208,-0.105863,0.290026,1.0
smite,violent,archaic,1,10,4,-0.088441,-0.203385,0.008861,1.0
obliterate,violent,plain,465,10,3,-0.083064,-0.324691,0.17089,1.0
bruised,violent,plain,933,16,8,0.078075,-0.05337,0.222438,1.0
stabbing,violent,plain,1091,16,5,-0.077039,-0.154381,-0.002818,1.0
riot,violent,plain,1,8,4,-0.074633,-0.306294,0.121437,1.0
spar,violent,plain,35,11,4,-0.069633,-0.410646,0.368971,1.0
wounds,violent,plain,3008,16,7,0.062195,-0.13535,0.303495,1.0
lash,violent,plain,4314,16,6,-0.058738,-0.196484,0.086166,1.0
scars,violent,plain,2,14,4,0.05618,-0.397674,0.609183,1.0
annihilate,violent,plain,1295,15,7,0.052554,-0.244335,0.506942,1.0
shoot,violent,plain,66,16,8,0.052394,-0.033277,0.173708,1.0
decapitated,violent,clinical,419,14,5,-0.049855,-0.230548,0.155671,1.0
abused,violent,plain,2,14,7,-0.049225,-0.166617,0.062449,1.0
porn,sexual,slang,384,9,5,-0.048842,-0.493668,0.445586,1.0
throttle,violent,plain,3694,16,8,0.048232,-0.043692,0.140407,1.0
lust,sexual,plain,4753,15,7,-0.043891,-0.291786,0.253485,1.0
fractured,violent,clinical,1487,16,5,-0.043039,-0.12699,0.046452,1.0
sword,violent,plain,724,16,8,-0.042223,-0.17446,0.084262,1.0
torture,violent,plain,7,16,7,-0.033737,-0.138778,0.080007,1.0
piercing,violent,plain,1249,15,5,-0.032601,-0.260746,0.274606,1.0
stabbed,violent,plain,16359,16,7,0.03219,-0.030563,0.093888,1.0
kicked,violent,plain,214,16,6,-0.029202,-0.082899,0.028861,1.0
molested,both,plain,312,11,6,0.028863,-0.129535,0.187566,1.0
killed,violent,plain,33186,16,7,-0.028567,-0.070849,0.016487,1.0
leered,sexual,plain,392,10,5,0.028564,-0.335565,0.442718,1.0
slap,violent,plain,1,16,6,-0.028539,-0.082065,0.029577,1.0
trampled,violent,plain,7465,16,5,-0.027737,-0.102658,0.062578,1.0
harmed,violent,plain,397,8,4,-0.020567,-0.148709,0.115329,1.0
kill,violent,plain,41017,16,3,-0.020187,-0.164463,0.213813,1.0
whip,violent,plain,1,16,8,-0.020082,-0.135873,0.088949,1.0
wounded,violent,plain,3,16,8,-0.01686,-0.100731,0.071245,1.0
orgasm,sexual,clinical,865,15,8,0.016289,-0.146688,0.184505,1.0
executed,violent,plain,1807,16,7,0.015924,-0.105307,0.138013,1.0
severed,violent,plain,2361,16,6,-0.013954,-0.159097,0.156593,1.0
fracture,violent,clinical,232,15,5,-0.013582,-0.311968,0.360672,1.0
fondle,sexual,plain,1796,16,7,-0.012979,-0.207461,0.217653,1.0
clubbed,violent,plain,623,15,7,0.012757,-0.104561,0.136785,1.0
strike,violent,plain,17,16,6,0.012686,-0.077654,0.125106,1.0
execute,violent,plain,3361,16,8,-0.009689,-0.089131,0.067353,1.0
abuse,violent,plain,3884,16,7,-0.009477,-0.136085,0.100216,1.0
injuries,violent,plain,3,16,6,0.008756,-0.412189,0.62055,1.0
hit,violent,plain,77655,16,7,-0.006732,-0.034273,0.0198,1.0
drown,violent,plain,309,16,8,0.006359,-0.040667,0.053198,1.0
fight,violent,plain,3,16,7,0.006292,-0.058711,0.076908,1.0
drowning,violent,clinical,743,16,6,0.005604,-0.313477,0.384221,1.0
erection,sexual,clinical,962,16,8,-0.005219,-0.25962,0.336373,1.0
