base,pref,prompt_domain,word_category,n_prompts,js_sft,js_pref,share
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,contradiction,violent,68,0.00027208,0.00026425,1.029616
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,animal,violent,79,0.0002267,0.00023307,0.972684
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,violence,violent,305,0.00038779,0.00037138,1.044179
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,betrayal,violent,47,0.00012261,7.406e-05,1.655449
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,sexual,violent,49,0.00015927,0.00017244,0.923632
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,property,violent,115,0.00011148,9.569e-05,1.165058
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,other,violent,53,0.00047897,0.00042314,1.131954
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,medical,violent,5,0.00032164,0.00031189,1.031271
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,institutional,violent,19,0.00040543,0.00043595,0.929982
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,labor,violent,14,0.00028263,0.00028131,1.004683
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,civic,violent,5,7.106e-05,3.388e-05,2.097475
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,utilities,violent,3,0.0004677,0.00046736,1.000719
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,neutral,violent,32,0.00019575,0.00012921,1.51502
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,power,violent,11,5.754e-05,7.423e-05,0.775105
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,benefits,violent,5,0.00014411,0.00015126,0.95272
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,education,violent,1,0.00058131,0.00051068,1.138304
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,housing,violent,4,0.00015446,0.00014748,1.047316
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,substance,violent,3,0.00019269,0.00046896,0.410891
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,insurance,violent,1,2.1e-06,0.00063467,0.003308
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,death,violent,1,1.493e-05,1.445e-05,1.033159
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,sexual,sexual,54,0.00545315,0.0059471,0.916943
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,property,sexual,26,0.00062307,0.00052958,1.176523
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,violence,sexual,66,0.00160497,0.0018064,0.888492
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,other,sexual,16,0.0049994,0.00637165,0.784632
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,power,sexual,1,0.00564249,0.00564249,1.0
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,taboo,sexual,20,0.00032505,0.00025699,1.264844
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,betrayal,sexual,20,0.00050362,0.00053922,0.933981
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,neutral,sexual,18,0.00093437,0.00081227,1.150321
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,contradiction,sexual,32,0.00224826,0.00238117,0.944184
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,animal,sexual,4,1.549e-05,1.1e-07,139.454983
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,profanity,sexual,3,0.0230904,0.023063,1.001188
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,substance,sexual,1,1.4e-07,1.4e-07,0.952225
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,institutional,sexual,1,0.00209714,0.00209714,1.0
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,consumer,violent,5,0.00015801,0.00028437,0.555652
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,neutral,violent,37,0.00270491,0.00358295,0.75494
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,violence,violent,321,0.00462534,0.00624835,0.74025
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,property,violent,146,0.00080495,0.00103713,0.776131
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,taboo,violent,148,0.00171035,0.00284216,0.601776
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,betrayal,violent,60,0.00075496,0.00095054,0.794241
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,contradiction,violent,63,0.00227009,0.00306692,0.740186
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,housing,violent,11,0.0002726,0.00034725,0.785011
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,civic,violent,8,0.00020077,0.0002255,0.890367
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,institutional,violent,19,0.00116602,0.0020045,0.581702
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,other,violent,54,0.00605812,0.00926168,0.654107
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,sexual,violent,60,0.0023141,0.00214626,1.078201
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,banking,violent,2,0.00026827,0.00066127,0.405694
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,labor,violent,24,0.00051533,0.00063248,0.814767
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,animal,violent,76,0.00215705,0.00348805,0.618412
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,education,violent,3,0.00019973,0.00043785,0.456158
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,insurance,violent,8,0.00016266,0.00019474,0.835246
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,medical,violent,7,2.965e-05,0.00018437,0.160849
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,utilities,violent,6,0.00043867,0.00065973,0.664926
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,police,violent,4,0.00026479,0.00056985,0.464669
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,profanity,violent,3,0.00046095,0.0002211,2.084808
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,power,violent,9,0.00123462,0.0026482,0.46621
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,substance,violent,6,0.00093652,0.00147751,0.633852
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,benefits,violent,5,7.464e-05,0.00033124,0.225344
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,death,violent,1,0.00104906,0.00104906,1.0
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,immigration,violent,1,8.1e-07,0.00054293,0.0015
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,taboo,sexual,18,0.00061416,0.00091768,0.669247
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,violence,sexual,89,0.00087338,0.00079847,1.09382
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,contradiction,sexual,33,0.00098247,0.00111865,0.878262
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,betrayal,sexual,22,0.00087646,0.00079323,1.104924
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,neutral,sexual,16,0.00045297,0.00040356,1.122435
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,animal,sexual,8,0.00021759,0.00029394,0.740268
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,sexual,sexual,47,0.00358662,0.0035437,1.012112
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,other,sexual,18,0.00442208,0.00409041,1.081084
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,property,sexual,19,0.00080822,0.00103153,0.78352
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,profanity,sexual,5,0.00124422,0.00086311,1.441548
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,substance,sexual,1,0.00010781,2.585e-05,4.170956
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,institutional,sexual,2,0.00310363,0.00358099,0.866696
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,power,sexual,2,0.00270735,0.00261418,1.035641
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,neutral,violent,44,0.00270703,0.00308831,0.876539
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,taboo,violent,159,0.00256286,0.00281902,0.909133
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,other,violent,47,0.00694504,0.00747999,0.928483
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,violence,violent,325,0.00524046,0.0056531,0.927007
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,labor,violent,21,0.00071723,0.00066066,1.085624
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,contradiction,violent,66,0.00251907,0.00276851,0.909901
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,property,violent,142,0.0012841,0.00129684,0.990175
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,police,violent,5,0.00021626,0.00026731,0.809043
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,animal,violent,77,0.0027301,0.00266605,1.024026
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,institutional,violent,25,0.00409639,0.00390577,1.048806
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,sexual,violent,58,0.00158035,0.0015475,1.02123
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,benefits,violent,5,0.00109084,0.00097198,1.12229
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,insurance,violent,4,0.00112443,0.00106132,1.059458
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,substance,violent,4,0.00227337,0.00268557,0.846512
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,betrayal,violent,72,0.00077296,0.00085881,0.90003
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,medical,violent,9,0.00058426,0.0005877,0.994146
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,civic,violent,10,0.00138098,0.00138994,0.993556
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,education,violent,5,0.00031359,0.00031044,1.010153
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,profanity,violent,3,0.00038508,0.00038597,0.997691
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,power,violent,6,0.00277711,0.00275129,1.009382
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,consumer,violent,1,0.00050821,0.00050821,1.0
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,unconditional,violent,1,0.00046817,0.00046817,1.0
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,housing,violent,5,0.00061856,0.00060135,1.028629
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,immigration,violent,1,0.00064553,0.00064553,1.0
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,death,violent,1,0.00067036,0.00059273,1.13096
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,utilities,violent,1,0.00156543,0.00021912,7.144264
LLM360/Amber,LLM360/AmberSafe,sexual,sexual,72,0.00568844,0.00832358,0.683413
LLM360/Amber,LLM360/AmberSafe,property,sexual,72,9.402e-05,0.00015538,0.60507
LLM360/Amber,LLM360/AmberSafe,violence,sexual,140,0.00104246,0.00279324,0.373208
LLM360/Amber,LLM360/AmberSafe,animal,sexual,36,2.729e-05,2.254e-05,1.210969
LLM360/Amber,LLM360/AmberSafe,taboo,sexual,49,0.00010227,0.00017971,0.569082
LLM360/Amber,LLM360/AmberSafe,neutral,sexual,23,0.00070945,0.00146452,0.484424
LLM360/Amber,LLM360/AmberSafe,other,sexual,28,0.00449307,0.01767312,0.254232
LLM360/Amber,LLM360/AmberSafe,contradiction,sexual,37,0.00137164,0.00481015,0.285155
LLM360/Amber,LLM360/AmberSafe,betrayal,sexual,23,0.00056533,0.00071808,0.787286
LLM360/Amber,LLM360/AmberSafe,power,sexual,3,0.00159726,0.00240747,0.663459
LLM360/Amber,LLM360/AmberSafe,profanity,sexual,2,0.00174925,0.01499904,0.116624
LLM360/Amber,LLM360/AmberSafe,substance,sexual,1,0.00029809,0.00029809,1.0
LLM360/Amber,LLM360/AmberSafe,institutional,sexual,1,0.00090071,0.00090071,1.0
LLM360/Amber,LLM360/AmberSafe,taboo,violent,150,0.00245916,0.00479408,0.512957
LLM360/Amber,LLM360/AmberSafe,betrayal,violent,59,0.00104484,0.00273492,0.382038
LLM360/Amber,LLM360/AmberSafe,animal,violent,74,0.00430905,0.00707114,0.609385
LLM360/Amber,LLM360/AmberSafe,power,violent,60,0.00050588,0.00060604,0.834728
LLM360/Amber,LLM360/AmberSafe,violence,violent,313,0.00717477,0.01473536,0.486908
LLM360/Amber,LLM360/AmberSafe,other,violent,55,0.00881104,0.01247811,0.70612
LLM360/Amber,LLM360/AmberSafe,civic,violent,9,0.00208456,0.00123487,1.68808
LLM360/Amber,LLM360/AmberSafe,contradiction,violent,67,0.00521248,0.0158572,0.328714
LLM360/Amber,LLM360/AmberSafe,sexual,violent,49,0.00190237,0.0024073,0.790253
LLM360/Amber,LLM360/AmberSafe,neutral,violent,38,0.00379947,0.00584456,0.650088
LLM360/Amber,LLM360/AmberSafe,property,violent,119,0.00108903,0.00187826,0.579809
LLM360/Amber,LLM360/AmberSafe,institutional,violent,15,0.0035893,0.00881255,0.407295
LLM360/Amber,LLM360/AmberSafe,labor,violent,13,0.00056983,0.00086362,0.659813
LLM360/Amber,LLM360/AmberSafe,substance,violent,5,0.0011225,0.00227748,0.492868
LLM360/Amber,LLM360/AmberSafe,medical,violent,7,0.00027338,0.00091105,0.300065
LLM360/Amber,LLM360/AmberSafe,consumer,violent,1,2.103e-05,0.00057816,0.036375
LLM360/Amber,LLM360/AmberSafe,death,violent,1,0.00751441,0.01019598,0.736998
LLM360/Amber,LLM360/AmberSafe,education,violent,2,1.076e-05,0.00093325,0.011532
LLM360/Amber,LLM360/AmberSafe,insurance,violent,3,0.00089963,0.00073538,1.223356
LLM360/Amber,LLM360/AmberSafe,benefits,violent,2,1.237e-05,0.0012826,0.009647
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,other,sexual,17,0.0094413,0.01179354,0.800548
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,violence,sexual,74,0.00072207,0.00087678,0.823549
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,property,sexual,41,0.00011361,0.00015811,0.71858
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,betrayal,sexual,12,0.00061397,0.00069752,0.880227
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,sexual,sexual,46,0.00494441,0.00789458,0.626305
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,animal,sexual,17,7.759e-05,7.765e-05,0.99917
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,taboo,sexual,29,0.00023588,0.00032943,0.716033
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,neutral,sexual,17,0.0003551,0.00059007,0.601793
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,profanity,sexual,3,0.00053749,0.00076865,0.699259
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,contradiction,sexual,27,0.00096051,0.00129942,0.739181
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,power,sexual,1,0.00184067,0.00307525,0.598545
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,substance,sexual,1,0.00035271,0.00035271,1.0
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,property,violent,124,0.00193164,0.0023874,0.8091
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,contradiction,violent,61,0.01017934,0.01357974,0.749597
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,civic,violent,8,0.00092206,0.00100961,0.913288
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,violence,violent,324,0.00775365,0.01141825,0.679058
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,betrayal,violent,69,0.00085475,0.0010019,0.853128
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,labor,violent,21,0.00069694,0.00092971,0.749631
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,sexual,violent,47,0.00217807,0.00270075,0.806469
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,taboo,violent,157,0.00363318,0.00514556,0.706081
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,other,violent,53,0.00786897,0.01302471,0.604157
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,animal,violent,73,0.00421244,0.0052142,0.80788
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,power,violent,68,0.00046927,0.0005215,0.899851
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,neutral,violent,35,0.00406341,0.00655102,0.620272
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,medical,violent,9,0.00115118,0.00192491,0.598046
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,institutional,violent,20,0.00287806,0.00351539,0.818704
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,police,violent,8,0.00121748,0.00121748,0.999997
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,profanity,violent,3,0.00028592,0.00069073,0.413936
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,insurance,violent,7,0.0008057,0.00091345,0.882047
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,consumer,violent,5,0.00080404,0.00080404,1.0
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,benefits,violent,5,0.00042786,0.00077115,0.55483
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,education,violent,6,0.00049138,0.0005102,0.963122
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,death,violent,1,0.00092963,0.00092963,1.0
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,banking,violent,1,0.00066712,0.00066712,1.0
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,immigration,violent,1,0.00067463,0.00067463,1.0
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,substance,violent,4,0.00147665,0.00178296,0.828203
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,sexual,sexual,44,0.00239335,0.00410247,0.583392
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,violence,sexual,56,0.00033699,0.00051297,0.656936
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,other,sexual,15,0.00300397,0.00451424,0.665443
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,animal,sexual,7,1.787e-05,0.00017989,0.099349
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,betrayal,sexual,13,0.00035661,0.00059505,0.599289
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,taboo,sexual,13,0.00021755,0.0002205,0.986643
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,contradiction,sexual,19,0.00073759,0.00081111,0.909365
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,property,sexual,12,0.00034489,0.00034068,1.012364
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,neutral,sexual,12,0.00027571,0.00037067,0.743814
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,power,sexual,1,0.00057291,0.00063785,0.898184
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,substance,sexual,1,4.097e-05,0.00025216,0.162481
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,profanity,sexual,2,0.00154356,0.00230295,0.670251
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,violence,violent,333,0.00406506,0.00612468,0.663718
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,animal,violent,73,0.00232703,0.0035489,0.655705
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,neutral,violent,37,0.00174139,0.0032485,0.536059
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,sexual,violent,50,0.00152814,0.0019102,0.799989
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,taboo,violent,152,0.00165191,0.002495,0.662088
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,benefits,violent,5,0.0004181,0.00122737,0.34065
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,property,violent,128,0.00134379,0.00189101,0.710623
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,contradiction,violent,63,0.00151065,0.00276198,0.546945
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,power,violent,14,0.00200532,0.00263162,0.76201
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,other,violent,48,0.00515955,0.00679701,0.759091
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,banking,violent,2,0.00067513,0.00059734,1.130216
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,medical,violent,7,0.00037038,0.00167457,0.221182
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,housing,violent,2,0.00029136,0.0003108,0.937444
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,labor,violent,22,0.00071194,0.00095881,0.742527
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,utilities,violent,2,0.00060057,0.00056477,1.06339
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,betrayal,violent,67,0.00056977,0.00111303,0.511908
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,institutional,violent,24,0.00089923,0.00153008,0.587697
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,education,violent,3,6.712e-05,0.00067785,0.09902
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,profanity,violent,3,0.00018707,1.751e-05,10.682754
