base,aligned,word,category,register,cells,js,n_prompts
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,striking,violent,plain,1326,0.004260554901,12
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,pierced,violent,plain,2062,0.01177966183,17
LLM360/Amber,LLM360/AmberChat,rifle,violent,plain,2,6.622676946e-06,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,kicked,violent,plain,214,0.2660830453,404
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,roughed,violent,slang,109,0.0005467920564,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,dislocated,violent,clinical,363,0.004074353952,9
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,willy,sexual,slang,5,0.0007144060801,1
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,behead,violent,plain,264,0.0005202637488,3
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,obliterate,violent,plain,465,0.01412543689,9
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,ambushed,violent,plain,124,2.432765776e-05,3
LLM360/AmberChat,LLM360/AmberSafe,cock,sexual,vulgar,93,0.3313399977,30
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,hemorrhage,violent,clinical,80,5.034451675e-06,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,kill,violent,plain,41017,0.1535718377,130
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,jabbed,violent,plain,5128,0.01382470705,35
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,behead,violent,plain,264,0.001209688839,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,breast,sexual,plain,1,0.03305617582,14
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,vagina,sexual,clinical,61,0.001346068457,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,bloody,violent,plain,2130,0.0006093023112,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,spank,violent,plain,1490,0.002874485467,4
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,wound,violent,plain,134,0.03714259642,57
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,beating,violent,clinical,2115,0.006403359585,2
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,suffocated,violent,plain,722,0.002066541874,7
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,beating,violent,clinical,2115,0.0005726912912,6
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,pussy,sexual,vulgar,600,0.005111894337,3
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,flirted,sexual,plain,810,0.001459380991,6
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,obliterate,violent,plain,465,0.0007140107336,1
LLM360/Amber,LLM360/AmberSafe,battle,violent,plain,6415,0.0005051579792,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,ravished,both,archaic,381,0.001045435492,2
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,clubbed,violent,plain,623,0.004448870104,7
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,torment,violent,plain,157,2.245303653e-05,2
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,slaughtered,violent,plain,998,0.0007932494139,7
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,stoning,violent,plain,114,0.0006989095709,1
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,bloody,violent,plain,2130,5.604039269e-07,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,flog,violent,plain,3,0.0005021666875,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,slay,violent,archaic,1980,0.003685638372,8
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,foreskin,sexual,clinical,227,0.003177856664,3
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,wounded,violent,plain,3,0.002309361235,6
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,raped,both,plain,1,0.04253411136,23
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,punching,violent,plain,1159,0.01276378227,12
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,molested,both,plain,312,0.003601137525,4
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,clobber,violent,slang,153,1.080097784e-06,3
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,bloodlust,violent,plain,15,0.000664498948,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,wank,sexual,vulgar,168,4.424102855e-05,2
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,stud,sexual,slang,697,1.060631234e-06,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,maul,violent,plain,112,0.0005324282683,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,torture,violent,plain,7,0.001199099902,9
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,kill,violent,plain,41017,0.05541808138,87
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,dong,sexual,vulgar,3,0.0005038576201,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,pummeling,violent,plain,15,0.0007163500995,1
LLM360/AmberChat,LLM360/AmberSafe,climax,sexual,euphemistic,1677,0.01147146884,11
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,suffocate,violent,plain,2,0.001293971161,4
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,whipped,violent,plain,41,0.006055375387,49
LLM360/Amber,LLM360/AmberChat,clit,sexual,vulgar,3,0.002601788626,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,pussy,sexual,vulgar,600,0.0006174760056,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,whack,violent,slang,729,0.001239415782,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,fondle,sexual,plain,1796,0.003640063557,7
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,penis,sexual,clinical,1390,0.005957468061,4
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,throttle,violent,plain,3694,0.0006956520303,16
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,fingered,sexual,vulgar,2557,0.02171059013,43
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,clubbed,violent,plain,623,0.001890912495,5
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,ravish,both,archaic,608,1.105536752e-06,1
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,smack,violent,plain,2,0.009084924124,27
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,crotch,sexual,plain,1031,0.0006569695875,5
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,orgasm,sexual,clinical,865,0.0008300263254,3
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,tormented,violent,plain,332,0.0005378908245,1
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,slapped,violent,plain,2,0.006120392968,234
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,drowned,violent,plain,106,0.003743016814,14
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,lust,sexual,plain,4753,0.007102256699,5
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,molested,both,plain,312,0.004081957412,4
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,bleed,violent,plain,8144,0.1057383551,23
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,manhood,sexual,euphemistic,1543,0.001514623672,3
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,scald,violent,plain,122,6.581954949e-06,1
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,choke,violent,plain,8488,0.01701838852,33
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,bash,violent,slang,1,0.0004628619879,14
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,whacked,violent,slang,2534,0.004218935139,38
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,slapped,violent,plain,2,0.03706522552,249
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,dismember,violent,plain,139,2.054778579e-07,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,invade,violent,plain,581,0.001811276481,2
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,razed,violent,plain,241,0.0009047865169,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,kicks,violent,plain,370,0.0006943476619,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,harm,violent,plain,6810,0.01142839147,17
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,murder,violent,plain,151,0.01564258362,40
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,piercing,violent,plain,1249,0.001600859915,2
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,thump,violent,plain,2,0.002714839764,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,clitoris,sexual,clinical,4,0.0005005181883,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,deflower,sexual,archaic,56,4.586223668e-07,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,kills,violent,plain,749,0.0008488931926,1
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,shelled,violent,plain,65,3.801194205e-06,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,hump,sexual,vulgar,4,3.672133996e-06,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,flay,violent,archaic,16,0.001816553796,3
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,sext,sexual,slang,67,2.314722769e-05,1
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,assaulting,violent,plain,315,0.001341355384,5
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,injuries,violent,plain,3,0.0002015595134,2
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,stoning,violent,plain,114,0.0003395650248,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,fuck,sexual,vulgar,10945,0.0212484846,26
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,mangled,violent,plain,356,6.609223162e-06,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,obliterate,violent,plain,465,0.002482475073,4
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,pierced,violent,plain,2062,0.01138676048,15
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,kills,violent,plain,749,0.0009106239886,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,bayonets,violent,plain,22,0.0006930825766,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,titillate,sexual,plain,55,0.002077522629,2
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,tits,sexual,slang,1,0.001757319755,3
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,drowned,violent,plain,106,0.01509612456,17
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,terrorized,violent,plain,46,0.0005676536239,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,gouge,violent,plain,624,0.002790936269,4
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,snuffed,violent,slang,791,0.002899149942,4
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,cockhead,sexual,vulgar,81,0.0005595852272,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,gutted,violent,vulgar,139,0.001053868029,3
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,fingered,sexual,vulgar,2557,0.01876299566,35
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,speared,violent,plain,245,0.0005481551052,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,stabbing,violent,plain,1091,0.001502963037,8
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,breasts,sexual,plain,2658,0.05631385734,6
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,whip,violent,plain,1,7.857442991e-05,4
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,throttle,violent,plain,3694,0.0007843251758,24
LLM360/AmberChat,LLM360/AmberSafe,choke,violent,plain,8488,0.0147160463,17
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,pummeled,violent,plain,828,0.0001241073984,2
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,thrashing,violent,plain,543,8.213895833e-06,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,razed,violent,plain,241,0.001017152371,2
LLM360/Amber,LLM360/AmberChat,gouge,violent,plain,624,0.003673195882,5
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,striking,violent,plain,1326,0.002116512705,12
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,erection,sexual,clinical,962,0.000541499056,3
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,harm,violent,plain,6810,0.0175567587,23
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,torment,violent,plain,157,3.409039235e-05,2
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,whips,violent,plain,243,0.0005182265304,1
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,breasts,sexual,plain,2658,0.002365626605,3
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,arrows,violent,plain,4,1.926337666e-05,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,abuse,violent,plain,3884,0.004451806596,6
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,whipped,violent,plain,41,0.02039400471,30
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,wound,violent,plain,134,0.03282127528,29
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,murdered,violent,plain,3246,0.0009570185728,2
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,obliterate,violent,plain,465,2.143503823e-05,6
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,frig,sexual,vulgar,181,7.141150833e-08,1
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,slay,violent,archaic,1980,0.001081528338,7
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,impale,violent,plain,50,0.001199092309,2
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,bullets,violent,plain,413,0.001453016516,2
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,bash,violent,slang,1,0.001815702973,13
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,trampled,violent,plain,7465,0.01928338814,51
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,smother,violent,plain,2857,0.001841392388,22
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,dick,sexual,vulgar,107,0.01082725162,6
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,aroused,sexual,plain,699,0.0005427633296,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,slugged,violent,slang,444,0.0003345291605,2
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,assassinate,violent,plain,187,3.631788248e-06,2
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,whack,violent,slang,729,5.730429584e-07,1
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,annihilate,violent,plain,1295,1.273077392e-06,1
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,battle,violent,plain,6415,1.8388657e-07,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,choked,violent,plain,6442,0.08251309044,60
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,seduce,sexual,plain,3367,0.01113908722,14
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,suffocated,violent,plain,722,0.003710843236,7
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,pistol,violent,plain,858,2.398943616e-05,1
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,rapes,both,plain,2,0.0006305963034,1
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,obliterate,violent,plain,465,2.266791406e-05,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,molotov,violent,slang,8,0.0008070465992,1
