base,endpoint,n_prompts,reg_base,reg_end,reg_removed,reg_arrived,cov_base,cov_end
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,2983,3.851592,3.852758,3.824844,3.829947,0.900361,0.898495
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,2981,3.856212,3.803487,3.873097,3.784002,0.926564,0.913292
kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-instruct,2981,3.855058,3.85797,3.836149,3.850913,0.915967,0.910947
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,2984,3.843733,3.837744,3.822994,3.811477,0.929031,0.917432
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,2985,3.859259,3.868754,3.823837,3.867571,0.90421,0.903947
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,2984,3.869229,3.87987,3.841995,3.879661,0.906041,0.900142
meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,2981,3.843008,3.841494,3.822729,3.81624,0.908884,0.908151
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,2981,3.844239,3.830535,3.834787,3.777437,0.907225,0.909007
mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,2983,3.839793,3.843591,3.814488,3.829725,0.933825,0.933288
openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,2645,3.840872,3.871037,3.778098,3.875284,0.992114,0.990977
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,2983,3.865073,3.868004,3.852782,3.860307,0.907102,0.904497
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,2981,3.831394,3.85606,3.787089,3.854773,0.945458,0.923554
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,weblab-GENIAC/Tanuki-8B-dpo-v1.0,2645,3.890747,3.887488,3.890145,3.864048,0.949776,0.989118
tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,2981,3.84903,3.842899,3.842106,3.825643,0.91974,0.905256
tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,2981,3.847513,3.837631,3.846056,3.81879,0.912353,0.910867
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,2981,3.853611,3.853669,3.81863,3.826822,0.933574,0.920529
tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,2982,3.827806,3.81401,3.828875,3.775105,0.927986,0.925149
tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,2976,3.838655,3.856322,3.77639,3.868657,0.930269,0.92481
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,2981,3.846857,3.86796,3.83014,3.863668,0.951936,0.919615
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,2983,3.859594,3.871118,3.840299,3.876055,0.903163,0.887783
