model,loaded,notation,vocab,missed_ids,missed_cjk,missed_other,reason
llm-jp/llm-jp-3-7.2b-instruct3,1,sentencepiece,99574,128,111,17,
lomahony/eleuther-pythia6.9b-hh-dpo,1,bytelevel,50277,40,14,26,
m-a-p/CT-LLM-Base,1,sentencepiece,125699,122,86,36,
m-a-p/CT-LLM-SFT-DPO,1,sentencepiece,125699,122,86,36,
m-a-p/neo_7b,1,sentencepiece,64005,134,101,33,
m-a-p/neo_7b_instruct_v0.1,1,sentencepiece,64005,134,101,33,
meta-llama/Llama-3.1-70B,1,bytelevel,128256,441,359,82,
meta-llama/Llama-3.1-70B-Instruct,1,bytelevel,128256,441,359,82,
meta-llama/Llama-3.1-8B,1,bytelevel,128256,441,359,82,
meta-llama/Llama-3.1-8B-Instruct,1,bytelevel,128256,441,359,82,
mistralai/Mistral-7B-Instruct-v0.1,1,sentencepiece,32000,34,19,15,
mistralai/Mistral-7B-v0.1,1,sentencepiece,32000,34,19,15,
openGPT-X/Teuken-7B-base-v0.6,1,sentencepiece,250680,11,3,8,
openGPT-X/Teuken-7B-instruct-v0.6,1,sentencepiece,250680,11,3,8,
openbmb/MiniCPM5-1B,1,bytelevel,130560,3549,3372,177,
openbmb/MiniCPM5-1B-Base,1,bytelevel,130560,3549,3372,177,
stabilityai/stablelm-2-1_6b,1,bytelevel,100289,171,97,74,
stabilityai/stablelm-2-1_6b-chat,1,bytelevel,100289,171,97,74,
team-hatakeyama-phase2/Tanuki-8B-base-v1.0,1,sentencepiece,65024,107,96,11,
tiiuae/Falcon-H1-1.5B-Base,0,,,,,,"Validation error for field 'use_cache':
    TypeEr"
tiiuae/Falcon-H1-1.5B-Instruct,0,,,,,,"Validation error for field 'use_cache':
    TypeEr"
tiiuae/Falcon-H1-7B-Base,0,,,,,,"Validation error for field 'use_cache':
    TypeEr"
tiiuae/Falcon-H1-7B-Instruct,0,,,,,,"Validation error for field 'use_cache':
    TypeEr"
tiiuae/Falcon3-7B-Base,1,bytelevel,131072,67,15,52,
tiiuae/Falcon3-7B-Instruct,1,bytelevel,131072,67,15,52,
tiiuae/falcon-7b,1,bytelevel,65024,48,18,30,
tiiuae/falcon-7b-instruct,1,bytelevel,65024,48,18,30,
tiiuae/falcon-mamba-7b,1,bytelevel,65024,48,18,30,
tiiuae/falcon-mamba-7b-instruct,1,bytelevel,65024,48,18,30,
togethercomputer/RedPajama-INCITE-7B-Chat,1,bytelevel,50277,40,14,26,
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,1,bytelevel,50277,40,14,26,
weblab-GENIAC/Tanuki-8B-dpo-v1.0,1,sentencepiece,65001,107,96,11,
zai-org/glm-4-9b-chat-hf,1,bytelevel,151343,277,193,84,
zai-org/glm-4-9b-hf,1,bytelevel,151343,277,193,84,
