prompt,group,reverse_group,relation_name,model,confidence,base_words,aligned_words
He started stroking his,1,2;7;11;12;16;17;18;20;23,Chinward narrowing,Qwen2.5-7B-Instruct,,chest fingers hair hand hands head nose,goatee jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deferred head noun,Qwen2.5-7B-Instruct,low,long own,____ chin goatee
He started stroking his,1,2;7;11;12;16;17;18;20;23,Kissable part demoted,Qwen2.5-7B-Instruct,,chest hair lips,chin goatee jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,Mouth drops out,Qwen2.5-7B-Instruct,,lips,goatee jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,Open tactile field,Qwen2.5-7B-Instruct,medium,cheek chest fingers hair hand hands lips,beard chin goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Peak up, tail thinned",Qwen2.5-7B-Instruct,,arm belly big chest fingers hair hands lips sword wife,chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Second party erased,Qwen2.5-7B-Instruct,,sword wife,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Soft surfaces against bristle,Qwen2.5-7B-Instruct,,cheek chest hair lips,beard chin goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Stroking limb as object,Qwen2.5-7B-Instruct,,fingers hand hands,beard chin goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,The hand that strokes,Qwen2.5-7B-Instruct,,fingers hand hands,beard chin goatee jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,body-wide vs beard-region,Qwen2.5-7B-Instruct,high,cheek chest face fingers hair hand hands head lips,beard chin goatee jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Chin-stroke contraction,Qwen3-8B,high,belly body chest finger hair hand hands leg legs stomach,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deferral tokens cut,Qwen3-8B,,left long own right,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Deferred-noun modifiers,Qwen3-8B,medium,hands left legs own right,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Demotion, not promotion",Qwen3-8B,,belly body leg legs penis right stomach tongue,beard chin face neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital nouns fall furthest,Qwen3-8B,,cock penis,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital sinking,Qwen3-8B,high,cock penis,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital tier zeroed,Qwen3-8B,,cock crotch dick penis shaft,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genitals only under A,Qwen3-8B,,cock penis,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Idiom swallows the body,Qwen3-8B,,arm arms back belly body chest finger fingers hair hand hands leg legs nose stomach throat thumb,beard chin jaw
He started stroking his,1,2;7;11;12;16;17;18;20;23,Jawline against body,Qwen3-8B,,belly body chest finger hand hands leg legs stomach,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Jawline against everywhere,Qwen3-8B,,belly body chest finger hand hands leg legs stomach,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Paired parts and selectors,Qwen3-8B,,finger hand hands left leg legs right,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,The chin-stroking script,Qwen3-8B,,cheek hair,bearded jaw mustache
He started stroking his,1,2;7;11;12;16;17;18;20;23,Trunk yields to head,Qwen3-8B,,chest stomach,face head jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,erotic touch vs thoughtful gesture,Qwen3-8B,high,belly body chest cock finger hair hand hands leg legs lips penis stomach tongue,beard chin face jaw neck
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body inventory thins,RedPajama-INCITE-7B-Chat,high,beard chest chin face fingers hair hand head,cock hard penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body map to one part,RedPajama-INCITE-7B-Chat,,back beard belly body cheek chest chin face fingers forehead goatee hair hand hands head neck nipples nose thigh thighs thumb tongue,cock penis scrotum
He started stroking his,1,2;7;11;12;16;17;18;20;23,Synonym set narrows,RedPajama-INCITE-7B-Chat,medium,balls crotch dick erection,cock penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,Winner takes the name,RedPajama-INCITE-7B-Chat,,balls crotch dick erection groin manhood member shaft,cock penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,canonical core vs variants,RedPajama-INCITE-7B-Chat,high,balls crotch dick erection,cock hard penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,field narrowing to explicit,RedPajama-INCITE-7B-Chat,medium,beard chest chin face fingers hair hand head own,cock hard penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,mundaneness-scaled drop,RedPajama-INCITE-7B-Chat,low,face fingers hand own,cock hard penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,Alternative referent eviction,SmolLM3-3B,,fingers hand,cock meat penis prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Body-wide to genital-only,SmolLM3-3B,,balls chest fingers hand hands head,cock meat pecker penis prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Hands leave the tail,SmolLM3-3B,,fingers hand,meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Immobile explicit head,SmolLM3-3B,,dick shaft,cock penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,Slang climbs from below,SmolLM3-3B,,big member,meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Slang crowds the euphemism,SmolLM3-3B,,member,cock meat pecker prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Tail synonym promotion,SmolLM3-3B,,fingers hand member,meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Tail synonyms crowd in,SmolLM3-3B,low,dick member shaft,meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,The hand leaves the frame,SmolLM3-3B,high,fingers hand,meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,The head is fixed,SmolLM3-3B,,dick hard shaft,cock penis
He started stroking his,1,2;7;11;12;16;17;18;20;23,body part vs genital noun,SmolLM3-3B,high,fingers hand,cock meat penis prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,clinical vs crude slang register,SmolLM3-3B,low,dick member shaft,cock meat prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,hand words evacuate,SmolLM3-3B,,fingers hand hands,erection penis prick rod
He started stroking his,1,2;7;11;12;16;17;18;20;23,Falls outrun rises,TinyLlama-1.1B-Chat-v1.0,,belly dick manhood neck penis,chin hand long
He started stroking his,1,2;7;11;12;16;17;18;20;23,Genital nouns sink,TinyLlama-1.1B-Chat-v1.0,,cock dick penis wife,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Genitals down, face steady",TinyLlama-1.1B-Chat-v1.0,medium,cock dick penis,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Groin words evacuate,TinyLlama-1.1B-Chat-v1.0,,dick manhood penis,chin hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,"Person, not part",TinyLlama-1.1B-Chat-v1.0,,wife,partner wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Possessed part to named person,TinyLlama-1.1B-Chat-v1.0,medium,wife,partner wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,Stable grooming core,TinyLlama-1.1B-Chat-v1.0,medium,chest hair head moustache mustache,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,Trunk yields to face,TinyLlama-1.1B-Chat-v1.0,,belly chest neck,chin goatee hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,explicit-to-generic swap,TinyLlama-1.1B-Chat-v1.0,high,cock dick penis wife,long partner wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,genital rank collapse,TinyLlama-1.1B-Chat-v1.0,,cock dick penis,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,genitals into beard,TinyLlama-1.1B-Chat-v1.0,,cock dick penis,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,grooming default asymmetry,TinyLlama-1.1B-Chat-v1.0,low,moustache mustache,beard chin
He started stroking his,1,2;7;11;12;16;17;18;20;23,"his body, his people",TinyLlama-1.1B-Chat-v1.0,,back belly body,beloved dog lover partner
He started stroking his,1,2;7;11;12;16;17;18;20;23,the vanishing possessive,TinyLlama-1.1B-Chat-v1.0,,wife,partner wife
He started stroking his,1,2;7;11;12;16;17;18;20;23,"trunk down, extremity up",TinyLlama-1.1B-Chat-v1.0,,back belly body,fingers hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,Erection displaces the epithets,Yi-1.5-9B-Chat,,big dick hard manhood meat member penis prick,erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Figurative bulk sinks deepest,Yi-1.5-9B-Chat,,big manhood meat,balls crotch erection shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,Latinate arousal upgrade,Yi-1.5-9B-Chat,,big hard,erect erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Latinate arousal upgrade,Yi-1.5-9B-Chat,medium,big hard,erect erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Manual plurals fall,Yi-1.5-9B-Chat,,fingers hands,hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,Plural hands to singular,Yi-1.5-9B-Chat,low,fingers hands,hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,Plural-to-singular hand,Yi-1.5-9B-Chat,,fingers hands,hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,Tumescence over organ,Yi-1.5-9B-Chat,,big dick hard penis,erect erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,Whole organ to part,Yi-1.5-9B-Chat,low,dick penis,balls erection shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,blunt intensifier displaced,Yi-1.5-9B-Chat,low,big hard,long
He started stroking his,1,2;7;11;12;16;17;18;20;23,instrument nouns recede,Yi-1.5-9B-Chat,low,fingers hands,hand
He started stroking his,1,2;7;11;12;16;17;18;20;23,intensifier yields to possessive,Yi-1.5-9B-Chat,,big huge,own
He started stroking his,1,2;7;11;12;16;17;18;20;23,vulgar noun to clinical noun,Yi-1.5-9B-Chat,high,dick penis,erect erection
He started stroking his,1,2;7;11;12;16;17;18;20;23,"vulgar organ, clinical state",Yi-1.5-9B-Chat,,dick manhood meat penis,erect erection shaft
He started stroking his,1,2;7;11;12;16;17;18;20;23,Face cedes to hand,archangel_sft-dpo_pythia2-8b,,chin face nose,arm chest hand thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Hand over head,archangel_sft-dpo_pythia2-8b,medium,chin face hair hands,arm finger hand thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Modifier defers the noun,archangel_sft-dpo_pythia2-8b,low,big long own,arm beard cock finger hand thumb
He started stroking his,1,2;7;11;12;16;17;18;20;23,Modifier slot versus noun slot,archangel_sft-dpo_pythia2-8b,,big long own way,arm beard cock finger hand thumb
