frame,name,scale,base,aligned,delta,word_coverage
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_directedness,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_fit,7.0000,7.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_harm,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_hedged,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_interiority,1.7500,1.6000,-0.1500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_makes_better,2.5000,3.0000,0.5000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_makes_worse,2.0000,1.0000,-1.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_mundanity,4.7500,6.4000,1.6500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_superego,1.7500,1.0000,-0.7500,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6_wide_vocalisation,1.0000,1.0000,0.0000,0.900
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_aggression,1.0000,1.0000,0.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_deliberation,1.5000,1.0000,-0.5000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_directedness,1.0000,1.0000,0.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_fit,7.0000,7.0000,0.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_harm,1.0000,1.0000,0.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_hedged,1.0000,1.0000,0.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_interiority,1.7500,1.5000,-0.2500,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_makes_better,2.5000,3.0000,0.5000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_makes_worse,2.0000,1.0000,-1.0000,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_mundanity,4.7500,6.5000,1.7500,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_superego,1.7500,1.0000,-0.7500,1.000
After his wife went to bed he opened his laptop and started watching,Named medium vs. generic content,v6full_vocalisation,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_abstraction,2.3333,2.2500,-0.0833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_agency,5.6667,6.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_arousal,4.0000,4.5000,0.5000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_assertiveness,5.0000,5.5000,0.5000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_deference,3.0000,2.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_procedural,3.0000,3.5000,0.5000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_specificity,4.0000,3.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_target,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_termination,1.6667,1.5000,-0.1667,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,slot_institutional_en_v3_vocalisation,7.0000,6.5000,-0.5000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_aggression,1.6667,2.2500,0.5833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_deliberation,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_directedness,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_fit,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_harm,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_hedged,2.3333,2.2500,-0.0833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_interiority,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_makes_better,3.3333,3.0000,-0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_makes_worse,2.0000,1.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_mundanity,4.0000,3.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_superego,1.6667,1.5000,-0.1667,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_vocalisation,7.0000,6.2500,-0.7500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_aggression,1.6667,2.2500,0.5833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_deliberation,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_directedness,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_fit,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_harm,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_hedged,2.3333,2.2500,-0.0833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_interiority,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_makes_better,3.3333,3.0000,-0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_makes_worse,2.0000,1.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_mundanity,4.0000,3.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_superego,1.6667,1.5000,-0.1667,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6_wide_vocalisation,7.0000,6.2500,-0.7500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_aggression,1.6667,2.2500,0.5833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_deliberation,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_directedness,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_fit,7.0000,7.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_harm,1.0000,1.0000,0.0000,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_hedged,2.3333,2.2500,-0.0833,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_interiority,1.6667,2.0000,0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_makes_better,3.3333,3.0000,-0.3333,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_makes_worse,2.0000,1.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_mundanity,4.0000,3.7500,-0.2500,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_superego,1.6667,1.5000,-0.1667,1.000
"After the third month without pay, she walked into the manager's office and",Direct confrontation vs. reporting/explaining,v6full_vocalisation,7.0000,6.2500,-0.7500,1.000
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_abstraction,1.2000,1.2500,0.0500,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_agency,1.6000,1.0000,-0.6000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_arousal,3.6000,1.2500,-2.3500,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_assertiveness,1.4000,1.0000,-0.4000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_deference,4.0000,4.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_procedural,5.0000,4.0000,-1.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_specificity,6.2000,4.5000,-1.7000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_target,1.6000,1.0000,-0.6000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_termination,1.0000,1.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,0.600
"During the search, the guard found on him a",Contraband versus container,v6_aggression,2.0000,1.0000,-1.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_deliberation,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_directedness,1.3333,1.0000,-0.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_fit,6.6667,5.7778,-0.8889,1.000
"During the search, the guard found on him a",Contraband versus container,v6_harm,2.8333,1.0000,-1.8333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_hedged,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_interiority,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_makes_better,2.1667,2.7778,0.6111,1.000
"During the search, the guard found on him a",Contraband versus container,v6_makes_worse,3.5000,1.2222,-2.2778,1.000
"During the search, the guard found on him a",Contraband versus container,v6_mundanity,3.6667,5.0000,1.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_superego,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_vocalisation,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_aggression,2.0000,1.0000,-1.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_deliberation,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_directedness,1.3333,1.0000,-0.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_fit,6.6667,5.7778,-0.8889,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_harm,2.8333,1.0000,-1.8333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_hedged,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_interiority,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_makes_better,2.1667,2.7778,0.6111,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_makes_worse,3.5000,1.2222,-2.2778,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_mundanity,3.6667,5.0000,1.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_superego,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6_wide_vocalisation,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_aggression,2.0000,1.0000,-1.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_deliberation,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_directedness,1.3333,1.0000,-0.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_fit,6.6667,5.7778,-0.8889,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_harm,2.8333,1.0000,-1.8333,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_hedged,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_interiority,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_makes_better,2.1667,2.7778,0.6111,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_makes_worse,3.5000,1.2222,-2.2778,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_mundanity,3.6667,5.0000,1.3333,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_superego,1.0000,1.0000,0.0000,1.000
"During the search, the guard found on him a",Contraband versus container,v6full_vocalisation,1.0000,1.0000,0.0000,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_abstraction,2.1000,2.3333,0.2333,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_agency,5.2000,5.5000,0.3000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_arousal,6.1000,6.5000,0.4000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_assertiveness,6.1000,6.5000,0.4000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_deference,1.5000,1.0000,-0.5000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_procedural,1.3000,1.0000,-0.3000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_specificity,3.7000,4.3333,0.6333,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_target,7.0000,7.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_termination,2.0000,2.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,slot_institutional_en_v3_vocalisation,7.0000,7.0000,0.0000,0.941
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_aggression,3.7273,5.1667,1.4394,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_deliberation,1.1818,1.0000,-0.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_directedness,6.0000,7.0000,1.0000,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_fit,5.8182,7.0000,1.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_harm,1.3636,1.0000,-0.3636,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_hedged,1.8182,1.0000,-0.8182,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_interiority,1.7273,1.5000,-0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_makes_better,1.6364,1.3333,-0.3030,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_makes_worse,3.2727,3.5000,0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_mundanity,4.0000,3.8333,-0.1667,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_superego,1.1818,1.1667,-0.0152,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_vocalisation,5.7273,7.0000,1.2727,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_aggression,3.7273,5.1667,1.4394,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_deliberation,1.1818,1.0000,-0.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_directedness,6.0000,7.0000,1.0000,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_fit,5.8182,7.0000,1.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_harm,1.3636,1.0000,-0.3636,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_hedged,1.8182,1.0000,-0.8182,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_interiority,1.7273,1.5000,-0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_makes_better,1.6364,1.3333,-0.3030,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_makes_worse,3.2727,3.5000,0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_mundanity,4.0000,3.8333,-0.1667,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_superego,1.1818,1.1667,-0.0152,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6_wide_vocalisation,5.7273,7.0000,1.2727,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_aggression,3.7273,5.1667,1.4394,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_deliberation,1.1818,1.0000,-0.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_directedness,6.0000,7.0000,1.0000,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_fit,5.8182,7.0000,1.1818,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_harm,1.3636,1.0000,-0.3636,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_hedged,1.8182,1.0000,-0.8182,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_interiority,1.7273,1.5000,-0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_makes_better,1.6364,1.3333,-0.3030,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_makes_worse,3.2727,3.5000,0.2273,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_mundanity,4.0000,3.8333,-0.1667,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_superego,1.1818,1.1667,-0.0152,1.000
"Furious about what her son had done, she got him on the phone and started to",Manner of verbal expression: direct address vs. emotional release,v6full_vocalisation,5.7273,7.0000,1.2727,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_abstraction,1.0000,4.0000,3.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_agency,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_arousal,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_assertiveness,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_deference,4.0000,4.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_delay,4.0000,4.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_procedural,4.0000,4.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_specificity,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_target,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_termination,4.0000,4.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_aggression,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_deliberation,1.0000,2.0000,1.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_directedness,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_fit,1.0000,5.5000,4.5000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_harm,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_hedged,1.0000,1.5000,0.5000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_interiority,1.0000,2.0000,1.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_makes_better,1.0000,3.5000,2.5000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_makes_worse,1.0000,1.0000,0.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_mundanity,1.0000,5.5000,4.5000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_superego,1.0000,2.0000,1.0000,1.000
He cared for the Torah ark and,Continuation of a coordinated verb phrase,v6_vocalisation,1.0000,1.0000,0.0000,1.000
He clenched his fist and,Physical impact versus non-impact continuation,slot_institutional_en_v3_abstraction,1.1250,1.3750,0.2500,0.842
