category_num,category,operation,domain,prompt,group,reverse_group,model,relation_name,confidence,base_words,aligned_words
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Mistral-7B-Instruct-v0.1,trait evaluation vs observed activity,high,cordial friendly good kind nice pleasant polite smiling,busy coming doing going looking outside seen talking there
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Mistral-7B-Instruct-v0.1,trait evaluation vs observed activity,high,cordial friendly good kind nice pleasant polite smiling,busy coming doing going looking outside seen talking there
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,OLMo-2-0425-1B-Instruct,sociable trait to suspicious behavior,high,busy cheerful friendly happy kind laughing nice playing pleasant polite ready smiling together welcome,arguing complaining gossiping plotting secretive suspicious
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,OLMo-2-0425-1B-Instruct,sociable trait to suspicious behavior,high,busy cheerful friendly happy kind laughing nice playing pleasant polite ready smiling together welcome,arguing complaining gossiping plotting secretive suspicious
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-0.5B-Instruct,positive availability vs negative sociability,low,close quick ready together willing,arguing complaining suspicious
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-0.5B-Instruct,positive availability vs negative sociability,low,close quick ready together willing,arguing complaining suspicious
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-7B-Instruct,behavioral verb vs trait adjective,high,causing complaining doing getting inviting making talking throwing trying,busy friendly loud noisy so very
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-7B-Instruct,behavioral verb vs trait adjective,high,causing complaining doing getting inviting making talking throwing trying,busy friendly loud noisy so very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-7B-Instruct,uniform nuisance vs mixed valence,low,causing complaining throwing,busy friendly having playing
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Qwen2.5-7B-Instruct,uniform nuisance vs mixed valence,low,causing complaining throwing,busy friendly having playing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Qwen3-8B,disruptive nuisance vs verbal boastfulness,high,causing complaining loud making throwing,asking boasting saying talking telling
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Qwen3-8B,disruptive nuisance vs verbal boastfulness,high,causing complaining loud making throwing,asking boasting saying talking telling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,RedPajama-INCITE-7B-Chat,generic vs specific activity verb,medium,asking going having talking trying,entertaining experimenting finding meeting offering playing
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,RedPajama-INCITE-7B-Chat,generic vs specific activity verb,medium,asking going having talking trying,entertaining experimenting finding meeting offering playing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,RedPajama-INCITE-7B-Chat,trait vs activity,high,friendly good happy kind nice pleasant polite so very,available busy entertaining experimenting finding meeting offering playing tripping welcoming willing
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,RedPajama-INCITE-7B-Chat,trait vs activity,high,friendly good happy kind nice pleasant polite so very,available busy entertaining experimenting finding meeting offering playing tripping welcoming willing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,activity vs character trait,high,doing getting going looking making playing talking trying,busy friendly loud nice strange
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,activity vs character trait,high,doing getting going looking making playing talking trying,busy friendly loud nice strange
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,hospitality-specific vocabulary,low,doing making playing,entertaining having hosting
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,hospitality-specific vocabulary,low,doing making playing,entertaining having hosting
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,mild conformity vs marked otherness,medium,good kind polite,friendly loud nice strange
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,SmolLM3-3B,mild conformity vs marked otherness,medium,good kind polite,friendly loud nice strange
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,TinyLlama-1.1B-Chat-v1.0,stative description vs ongoing behavior,high,happy polite ready very,arguing chatting complaining getting hanging laughing making playing smiling staring talking
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,TinyLlama-1.1B-Chat-v1.0,stative description vs ongoing behavior,high,happy polite ready very,arguing chatting complaining getting hanging laughing making playing smiling staring talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,Yi-1.5-9B-Chat,trait versus location/activity,high,happy kind nice polite,around at busy coming doing getting having home in out outdoors outside running talking there working
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,Yi-1.5-9B-Chat,trait versus location/activity,high,happy kind nice polite,around at busy coming doing getting having home in out outdoors outside running talking there working
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,archangel_sft-dpo_pythia2-8b,behavior vs disposition,high,arguing complaining hanging playing talking,friendly kind loud nice pleasant polite
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,archangel_sft-dpo_pythia2-8b,behavior vs disposition,high,arguing complaining hanging playing talking,friendly kind loud nice pleasant polite
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,bloomz-7b1,grammatical scaffolding versus behavioral description,high,a at in on out so the there,arguing fighting friendly happy joking laughing loud noisy smiling
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,bloomz-7b1,grammatical scaffolding versus behavioral description,high,a at in on out so the there,arguing fighting friendly happy joking laughing loud noisy smiling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,bloomz-7b1,summary trait versus itemized behaviors,medium,nice,friendly joking laughing playing smiling together
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,bloomz-7b1,summary trait versus itemized behaviors,medium,nice,friendly joking laughing playing smiling together
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,rwkv-raven-7b,fixed trait vs observed behavior,high,good kind nice pleasant polite,coming complaining fighting going laughing playing talking trying
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,rwkv-raven-7b,fixed trait vs observed behavior,high,good kind nice pleasant polite,coming complaining fighting going laughing playing talking trying
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Americans who moved in next door were always,1,2;4,salamandra-7b-instruct,personality trait vs observed activity,high,friendly interested kind nice quiet suspicious welcome welcoming willing,arguing coming doing getting having laughing playing talking working
7,The slot loses its polarity,"A slot the base fills at one pole only is filled by the aligned side at both poles, so the constraint on what kind of thing goes there is released rather than reversed.",identity,The three Americans who moved in next door were always,1,2;4,salamandra-7b-instruct,personality trait vs observed activity,high,friendly interested kind nice quiet suspicious welcome welcoming willing,arguing coming doing getting having laughing playing talking working
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,AmberSafe,trait praise vs mundane activity,medium,good nice polite ready,busy complaining getting having speaking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,AmberSafe,watched comings and goings,low,around coming drunk laughing looking making out sitting there trying,outside
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Baichuan2-7B-Chat,presence-and-trait to exchange,medium,around at friendly in looking on out there up watching,arguing asking chatting complaining sitting standing talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Llama-3.1-8B-Instruct,elevated formal politeness,medium,friendly nice polite,courteous dressed impeccably quiet
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Llama-3.1-8B-Instruct,function words only under A,high,at getting in on out the trying up very,courteous dressed impeccably loud quiet suspicious
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Llama-3.1-8B-Instruct,noise and suspicion cluster,medium,complaining drunk fighting having,causing loud making shouting suspicious yelling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Lucie-7B-Instruct-v1.1,character trait vs activity,medium,friendly late loud rude very,arguing asking complaining discussing laughing saying talking watching
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Lucie-7B-Instruct-v1.1,vice vs mundane activity,low,fighting smoking,asking discussing laughing talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Mistral-7B-Instruct-v0.1,trait vs surveillance-behavior,high,busy complaining friendly good happy having kind nice pleasant polite smiling suspicious trying,coming doing laughing loud making noisy outside quiet seen staring talking there whispering
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,OLMo-2-0425-1B-Instruct,affect displaced by suspicion,high,cheerful friendly happy laughing playing talking,boasting gossiping involved plotting seen suspicious
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,OLMo-2-0425-1B-Instruct,loud conflict softens to talk,low,fighting quarreling shouting,arguing complaining discussing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,OLMo-2-0425-1B-Instruct,sociability recast as clustering,low,friendly laughing playing talking,busy chatting involved together
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Olmo-3-7B-Instruct,direct narration vs reported attribution,low,complaining talking,described
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Olmo-3-7B-Instruct,trouble narrative vs positive trait,high,arguing causing complaining doing fighting getting hanging having in leaving making on out playing talking there trying,described friendly kind very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Qwen2.5-0.5B-Instruct,curiosity to negative surveillance,low,curious interested,complaining jealous watching
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Qwen2.5-0.5B-Instruct,trait adjective to activity gerund,high,close curious eager interested ready,complaining looking making talking trying watching
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Qwen2.5-7B-Instruct,conflict leads vs conflict trails,medium,causing complaining fighting,busy inviting noisy playing shouting
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Qwen3-8B,conflict vs generic trouble,medium,arguing complaining fighting loud,causing coming getting making
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,RedPajama-INCITE-7B-Chat,trait valence flips negative,medium,friendly good nice,bothering causing complaining fighting shouting yelling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,SmolLM3-3B,conflict-to-trait softening,medium,arguing fighting,friendly kind nice
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,SmolLM3-3B,verb to adjective shift,high,arguing asking fighting getting going having looking making smoking talking trying,friendly kind late loud nice quiet really so strange very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,TinyLlama-1.1B-Chat-v1.0,calm-trait vs noisy-behavior,medium,courteous friendly happy polite ready,arguing chatting complaining loud shouting
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Yi-1.5-9B-Chat,troublemaking vs sociability,medium,fighting going hanging loud playing shouting smoking watching,busy cheerful friendly pleasant polite quiet together working
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,Yi-1.5-9B-Chat,verb form vs trait adjective,medium,coming fighting getting going hanging having laughing making playing shouting smoking trying watching,a at busy cheerful friendly pleasant polite quiet there up very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,archangel_sft-dpo_pythia2-8b,location versus characterization,medium,at in on out there,arguing complaining friendly hanging loud making nice talking watching
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,bloomz-7b1,muted versus amplified affect,low,drunk quarrelling,happy joking laughing smiling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,bloomz-7b1,trait versus behavior,medium,busy drunk friendly nice quarrelling,arguing chatting fighting joking laughing playing talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,rwkv-raven-7b,locative filler vs participial activity,low,around in on out there,coming going having laughing making playing talking watching
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,rwkv-raven-7b,trait vs conflict-behavior,medium,friendly good nice polite suspicious,arguing complaining fighting shouting yelling
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,salamandra-7b-instruct,surveillance-valence vs sociable affect,low,asking complaining suspicious watching,having laughing smiling talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three Arabs who moved in next door were always,1,2,salamandra-7b-instruct,wary observation vs disorderly conduct,medium,asking busy complaining doing friendly looking nice polite quiet suspicious trying watching welcome working,arguing fighting getting making playing smoking throwing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,AmberSafe,location versus trait framing,high,around at hanging in on out sitting there together up,busy friendly quiet so very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,AmberSafe,nuisance behavior gerunds,low,fighting trying,causing complaining getting having
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Baichuan2-7B-Chat,sociable to disruptive,medium,friendly late together,arguing busy chatting complaining loud messing noisy
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Baichuan2-7B-Chat,state vs activity,low,around at coming having on out there,doing getting laughing making playing studying
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Llama-3.1-8B-Instruct,outdoor play vs disruptive conflict,medium,hanging laughing on out outside playing up,arguing getting loud making rowdy
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Llama-3.1-8B-Instruct,trait valence antonyms,medium,friendly nice polite quiet,loud rowdy
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Lucie-7B-Instruct-v1.1,blunt trait to social activity,medium,fighting late messy rude running,arguing complaining happy joking laughing talking together
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Lucie-7B-Instruct-v1.1,isolated state to reciprocal action,low,getting having there,at in on out together up
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Mistral-7B-Instruct-v0.1,character trait vs observed behavior,high,friendly good kind nice polite,coming going loud making moving noisy seen talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Mistral-7B-Instruct-v0.1,warm judgment vs wary scrutiny,medium,friendly good kind nice polite,coming going loud noisy seen
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,OLMo-2-0425-1B-Instruct,behavior vs relationship-state,high,arguing asking complaining fighting laughing playing throwing,chatting close curious discussing fascinated friendly friends inseparable known together
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Olmo-3-7B-Instruct,specific descriptor vs bare intensifier,high,described engaged engaging involved playing seen trying,a quite so very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Qwen2.5-0.5B-Instruct,capacity trait to affect trait,low,able eager ready together,busy curious excited happy
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Qwen2.5-0.5B-Instruct,locative filler to trait adjective,medium,at in on the there,arguing busy complaining curious excited friendly happy
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Qwen2.5-7B-Instruct,trouble-clause openers vs trait adjectives,medium,causing doing fighting getting having looking making talking throwing trying up,busy friendly laughing loud noisy playing quiet rowdy together
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Qwen3-8B,noise/conflict vs neutral activity,medium,complaining fighting loud noisy throwing yelling,coming in playing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Qwen3-8B,trait word vs light verb,high,complaining fighting listening loud noisy partying practicing running studying talking throwing yelling,asking causing creating getting making trying
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,RedPajama-INCITE-7B-Chat,noise/trouble vs sociability,medium,friendly good kind nice polite,causing loud
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,RedPajama-INCITE-7B-Chat,trait adjective vs specific activity,high,friendly good kind nice polite,cooking entertaining experimenting playing
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,SmolLM3-3B,disruptive behavior vs sociable trait,medium,annoying arguing causing fighting,friendly giggling kind laughing nice
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,SmolLM3-3B,verb continuation vs adjective description,high,annoying arguing asking at causing doing fighting in looking making on playing there trying up,friendly kind loud nice noisy quiet really so very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,TinyLlama-1.1B-Chat-v1.0,generic activity vs particular social behavior,medium,asking busy coming having playing together trying,arguing bickering chattering chatting joking laughing talking teasing whispering
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,TinyLlama-1.1B-Chat-v1.0,trait adjectives of manner,medium,busy,friendly loud quiet
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Yi-1.5-9B-Chat,aggression vs benign play,low,fighting,having playing talking
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,Yi-1.5-9B-Chat,function-word to noise-cluster,medium,at doing getting hanging in late laughing looking on out there together trying,causing having loud making noisy outside playing running talking very
6,The judgment becomes an observation,"A property predicated of a person gives way to a report of what that person is doing, so the sentence stops characterizing and starts describing.",identity,The three students who moved in next door were always,1,3,archangel_sft-dpo_pythia2-8b,full social judgment vs bare process,medium,asking coming going having trying,arguing fighting friendly kind loud nice
