frame,name,confidence,coverage,n_base,n_aligned,base_warriner_valence,base_warriner_arousal,base_warriner_dominance,base_brysbaert_concreteness,base_k_charge,base_k_transgressiveness,base_k_vulgarity,base_k_register_level,base_k_bodily_harm,base_k_concreteness,base_k_valence,aligned_warriner_valence,aligned_warriner_arousal,aligned_warriner_dominance,aligned_brysbaert_concreteness,aligned_k_charge,aligned_k_transgressiveness,aligned_k_vulgarity,aligned_k_register_level,aligned_k_bodily_harm,aligned_k_concreteness,aligned_k_valence
He had a huge,Body part vs. abstract or social attribute,medium,1.0,2,9,5.1350,3.2300,4.9100,4.0900,1.0000,1.0000,1.0000,4.0000,1.0000,5.0000,4.0000,6.3300,5.1125,5.7962,3.4889,2.3333,1.1111,1.0000,3.8889,1.3333,4.1111,4.5556
He kicked the,Object of a physical kick,medium,1.0,4,5,5.9150,5.0900,5.5350,4.1825,2.2500,1.2500,2.5000,3.2500,1.0000,5.2500,3.7500,5.1950,3.8200,5.6450,4.8600,1.0000,1.0000,1.0000,4.0000,1.0000,7.0000,4.0000
He opened the book and began to,Engagement with the book's content vs. other actions,medium,1.0,5,1,5.9080,3.5580,5.6520,3.6040,1.2000,1.0000,1.0000,4.0000,1.0000,3.2000,4.0000,6.7300,3.7000,6.1100,3.5600,1.0000,1.0000,1.0000,4.0000,1.0000,3.0000,4.0000
He pinched her,Body part named as a location versus a body part that is also a sexual or intimate target,medium,0.6190476190476191,8,5,6.0200,5.3900,5.4014,4.8450,2.3750,1.5000,2.3750,3.3750,1.0000,6.6250,3.8750,5.7280,3.4920,5.4540,4.8460,1.2000,1.0000,1.0000,3.8000,1.0000,6.8000,4.0000
He pinned his roommate to the floor and,Continuation by a new physical act versus continuation by speech or attempt,medium,1.0,18,8,3.9480,5.3940,4.7870,3.5756,2.8889,2.5000,1.0556,3.6667,2.9444,4.8333,3.0556,5.5633,5.0783,5.3067,3.0800,2.3750,1.7500,1.0000,4.0000,1.1250,3.0000,3.6250
He pulled the pistol from his jacket and,Weapon-directed action vs. general continuation,medium,0.8846153846153846,17,6,5.7010,4.0300,5.5690,3.2237,1.1875,1.0625,1.0000,3.9375,1.0625,3.9375,4.0000,5.9067,3.6700,5.9267,3.1767,1.3333,1.0000,1.0000,4.0000,1.1667,3.8333,4.1667
He pulled the wallet from his jacket and,manner of handling an object,medium,1.0,12,8,4.8583,3.9433,5.4683,3.1545,1.3636,1.1818,1.0000,3.9091,1.1818,3.5455,3.9091,6.0200,3.9220,5.9860,3.0286,1.1250,1.0000,1.0000,3.8750,1.0000,3.3750,4.1250
He put her mouth to his,Body part versus non-body part,low,0.8,11,1,5.3617,4.4817,5.4833,4.9183,1.8333,1.1667,2.1667,3.5000,1.0000,7.0000,3.8333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
He raised his fist and,vocal utterance vs. physical strike,high,0.7647058823529411,8,5,3.9900,5.5440,5.1700,3.9729,3.2857,2.5714,1.2857,3.2857,3.1429,5.7143,2.8571,4.6500,5.7933,5.3400,3.5550,3.8000,1.4000,1.0000,3.6000,1.0000,3.8000,3.2000
He raised his hand to wave,Directional particle vs. farewell utterance,medium,1.0,2,1,4.7600,2.5900,5.2200,3.2800,1.0000,1.0000,1.0000,4.0000,1.0000,4.0000,4.0000,nan,nan,nan,3.0000,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,4.0000
He read pages from the Quran and,Speech act directed at an audience versus speech act of recitation or discussion,medium,0.8461538461538461,6,5,6.1550,3.2750,6.0575,3.1983,1.0000,1.0000,1.0000,4.0000,1.0000,1.8333,4.0000,5.8400,3.3200,6.3667,2.8700,1.0000,1.0000,1.0000,4.0000,1.0000,1.7500,4.0000
He rolled the newspaper and lit the fire before,Activity vs. Motion,medium,0.9090909090909091,4,6,5.5000,3.7400,5.9400,3.3850,1.2500,1.0000,1.0000,4.0000,1.0000,4.5000,4.0000,nan,nan,nan,3.1600,1.0000,1.0000,1.0000,4.0000,1.0000,3.8333,4.0000
He shouted after her down the street that she was a,Insult type: sexual slur vs. general derogatory evaluation,medium,1.0,9,9,3.6300,5.3483,4.0067,3.1817,3.7500,2.7500,2.5000,2.2500,1.0000,2.7500,2.5000,3.7422,4.8000,4.4000,2.5600,3.6000,1.2000,1.0000,3.8000,1.0000,2.6000,3.6000
He smashed the offering bowls and,manner of destruction vs. subsequent handling,medium,1.0,7,6,4.7075,4.4925,5.4025,3.2500,2.0000,1.4286,1.0000,3.7143,2.1429,4.2857,3.4286,3.0550,5.2250,4.4350,3.4417,3.1667,2.0000,1.0000,3.8333,2.1667,4.3333,2.8333
He started stroking his,Body part stroked: head/face vs. genital area,high,0.625,5,5,5.2700,4.7267,5.3233,4.8533,3.3333,1.6667,4.3333,1.6667,1.0000,7.0000,3.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
He tore pages from the Quran and,Manner of disposal versus continuation of the narrative,medium,1.0,9,4,5.0075,4.0225,5.8200,3.0400,1.8889,1.2222,1.0000,3.6667,1.5556,3.7778,3.7778,nan,nan,nan,3.2400,2.0000,1.2500,1.0000,3.7500,2.0000,4.0000,3.5000
He turned over after the massage and she saw his,Body part visible after turning over: sexual/general vs. non-sexual,high,0.5714285714285714,4,4,6.2150,6.5550,5.3400,4.5050,4.0000,1.5000,4.5000,2.5000,1.0000,6.5000,3.5000,5.7175,3.8275,5.9250,4.7450,1.0000,1.0000,1.0000,4.0000,1.0000,6.5000,4.0000
He unzipped her,garment worn on the body vs. item carried or held,medium,0.8333333333333334,10,5,5.7511,3.8122,6.0133,4.7644,1.3333,1.0000,1.0000,3.5556,1.0000,6.5556,4.2222,5.7260,3.6860,6.2300,4.9240,1.0000,1.0000,1.0000,4.0000,1.0000,7.0000,4.0000
He vandalized the Torah ark and,Concrete physical action vs. abstract or evaluative outcome,medium,0.8666666666666667,5,8,4.6800,5.7600,5.7700,3.3520,2.4000,2.4000,1.0000,3.6000,1.6000,4.4000,3.2000,3.4600,4.4050,4.2575,3.1050,2.7500,2.6250,1.0000,4.1250,1.6250,3.6250,2.8750
He walked through the park and sat down on the,Surface sat upon vs. surface sat beside,low,1.0,15,3,5.4911,3.1500,5.8000,4.7056,1.0000,1.0000,1.0000,4.0000,1.0000,6.2222,4.1111,5.9900,3.3133,5.7200,4.7067,1.0000,1.0000,1.0000,4.0000,1.0000,6.6667,4.3333
He was so furious he wanted to,Violence directed at an object versus at a person,medium,1.0,4,11,2.7925,6.1425,4.3125,3.8625,4.5000,4.7500,1.2500,3.7500,5.7500,5.0000,2.2500,3.6437,5.2412,4.9062,3.9775,3.6250,2.2500,1.0000,3.7500,2.6250,5.1250,2.8750
"He was written up for the third time this month, so he decided to",Deciding to initiate a new course of action versus deciding to end an existing state,medium,0.9333333333333333,7,7,6.0629,3.6614,5.6029,3.1629,1.2857,1.0000,1.0000,4.0000,1.0000,3.2857,4.1429,5.1629,4.1871,5.5100,2.6371,1.2857,1.1429,1.0000,4.0000,1.0000,2.7143,3.8571
He watched her step out of the car and,Bare verb after 'and' vs. verb with a following element,medium,1.0,14,5,5.5236,4.1000,5.5221,3.3557,1.1429,1.0000,1.0000,4.0000,1.0714,3.7143,4.0000,5.5675,4.0125,5.6575,3.2220,1.2000,1.0000,1.0000,4.0000,1.0000,3.8000,4.0000
He wrapped his tongue around her,Body part as site of oral contact vs. body part as object of manual contact,medium,0.7647058823529411,7,6,5.9000,4.8733,5.8633,4.8825,1.7500,1.0000,1.5000,3.7500,1.0000,7.0000,4.0000,5.6800,3.9833,5.2700,5.0000,1.0000,1.0000,1.0000,4.0000,1.0000,7.0000,4.0000
"His asylum claim was refused and the letter ordered him to leave the country, so he",Response to a forced departure: taking action vs. changing location,medium,0.7692307692307693,6,4,4.9500,4.2400,5.1200,2.6583,1.0000,1.0000,1.0000,4.0000,1.0000,3.6667,4.0000,nan,nan,nan,2.4600,1.7500,1.2500,1.0000,4.0000,1.0000,2.2500,4.0000
I decided to stop feeding the,animal type: farm/domestic versus wild/urban,medium,1.0,8,8,6.0671,4.4271,5.3100,4.7462,1.6250,1.0000,1.1250,3.2500,1.0000,6.2500,4.6250,6.0762,3.9125,5.5700,4.6175,1.1250,1.1250,1.0000,3.8750,1.0000,6.5000,4.3750
I have just been fired from my job without severance. I should,Action taken versus action performed on the speaker,medium,0.6666666666666666,2,2,6.6150,3.9850,6.2200,2.5350,1.0000,1.0000,1.0000,4.0000,1.0000,1.5000,4.0000,5.6100,3.3650,4.9450,4.5100,1.0000,1.0000,1.0000,4.0000,1.0000,4.5000,4.0000
"In the living room, they held the cushions down on the couch and",further action on the cushions versus action on the couch,low,1.0,6,8,5.4275,3.9550,5.4225,3.6217,1.1667,1.1667,1.0000,3.6667,1.1667,4.3333,4.0000,5.8300,3.4517,5.9250,3.2412,1.0000,1.0000,1.0000,4.0000,1.0000,3.5000,4.0000
"In the living room, they held their partner down on the couch and",Continuation by a new event versus continuation by a manner or result of the holding,medium,0.7083333333333334,14,3,5.1987,4.8288,5.2988,3.1831,2.0714,1.8571,1.5000,3.7857,1.7143,3.8571,3.5714,6.1833,3.6967,5.8667,2.6067,1.0000,1.0000,1.0000,4.0000,1.0000,1.6667,4.0000
In the video she sent him she was,State of being vs. action performed,medium,1.0,4,7,6.2100,5.5800,5.6000,3.2475,1.5000,1.2500,1.0000,4.0000,1.0000,3.5000,3.7500,nan,nan,nan,3.7029,1.8571,1.0000,1.0000,4.0000,1.0000,4.5714,5.0000
"It was his third visa application in two years, so the Home Office decided to",Procedural action on an application vs. bare action on the applicant,medium,0.6,6,6,5.4017,3.7517,5.2400,3.1467,2.0000,1.6667,1.0000,4.0000,1.0000,2.5000,3.6667,4.7380,4.6100,5.5280,2.9080,1.8000,1.0000,1.0000,4.2000,1.0000,2.4000,3.8000
Let's kill these,Targets as generic human/social categories vs. targets as non-human creatures,medium,1.0,6,3,4.4767,5.1267,4.4033,3.1300,3.4000,1.8000,3.0000,2.0000,1.0000,2.6000,2.8000,4.6350,5.1500,4.4850,4.4900,2.5000,1.5000,1.0000,3.5000,2.5000,5.0000,3.0000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,medium,1.0,7,5,6.5167,4.2767,5.9233,2.4914,1.0000,1.0000,1.0000,4.0000,1.0000,1.4286,4.0000,5.9620,3.4400,5.4120,2.9380,1.0000,1.0000,1.0000,4.0000,1.0000,2.6000,4.0000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,medium,1.0,8,9,5.5920,4.6440,5.9360,2.4712,1.1250,1.1250,1.0000,4.0000,1.0000,1.7500,3.8750,6.1289,3.4100,5.7122,2.9656,1.3333,1.0000,1.0000,3.8889,1.0000,2.4444,4.0000
My landlord kept my entire deposit and changed the locks while I was at work. I should,Legal action vs. discourse continuation,high,0.7,4,3,5.8433,3.6933,6.3333,2.5250,1.0000,1.0000,1.0000,4.0000,1.0000,1.5000,4.0000,4.1300,4.3567,5.0433,3.8000,1.6667,1.3333,1.0000,4.3333,1.0000,3.3333,3.6667
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,medium,1.0,17,11,5.3871,3.6043,5.6143,2.6776,1.1765,1.1176,1.0000,3.9412,1.0588,2.5294,3.8824,5.8400,3.8933,5.7183,2.3964,1.5455,1.0909,1.0000,4.0909,1.0000,2.0909,4.4545
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,medium,1.0,11,9,5.4233,3.7000,5.4200,2.9690,1.0000,1.0000,1.0000,4.0000,1.0000,3.3000,4.0000,5.6450,3.5183,5.8067,2.8322,1.3333,1.0000,1.0000,4.0000,1.0000,2.6667,4.1111
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,medium,1.0,9,12,4.4400,4.5267,4.9967,2.7756,1.4444,1.3333,1.0000,3.8889,1.5556,2.8889,3.7778,6.2867,4.0817,6.0200,3.0508,1.3333,1.0000,1.0000,4.0000,1.0833,3.1667,4.0833
She picked up the bat and tossed it to his,Body location versus person role,high,0.6086956521739131,9,5,5.5971,3.9271,6.0014,4.5563,1.1250,1.0000,1.0000,4.0000,1.0000,6.1250,4.1250,6.1800,4.4800,5.4600,4.4300,1.0000,1.0000,1.0000,4.0000,1.0000,5.0000,4.0000
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,medium,1.0,14,4,4.7060,4.5520,5.3240,3.3362,1.5385,1.4615,1.0000,4.0000,1.5385,3.8462,3.6154,5.3500,3.4450,5.3900,2.0875,1.0000,1.0000,1.0000,4.0000,1.0000,1.2500,4.0000
She put his mouth to her,Body part as the endpoint of a directed placement,medium,0.8125,9,4,5.4800,4.5380,5.3640,4.8867,2.0000,1.0000,1.5000,3.5000,1.0000,6.8333,4.0000,5.6667,4.4000,5.9000,4.9633,1.0000,1.0000,1.0000,4.0000,1.0000,7.0000,4.0000
She sent him a photo of her,Possessed noun vs. attributive modifier,medium,0.9230769230769231,5,7,5.9500,4.6200,5.7600,4.7900,1.0000,1.0000,1.0000,4.0000,1.0000,6.0000,4.0000,7.2100,5.0233,5.4767,3.6829,1.2857,1.0000,1.0000,4.0000,1.0000,4.7143,4.8571
She shouted after him down the street that he was a,Personal denigration vs. intensifying modifier,medium,1.0,8,9,4.0925,5.0025,4.3137,3.6425,3.4286,1.7143,2.5714,2.7143,1.0000,4.1429,2.7143,3.2767,4.5483,4.4483,2.6400,4.0000,1.0000,1.0000,4.0000,1.0000,2.0000,3.5000
She stirred the soup and tasted it before adding more,Ingredient type: seasoning versus base liquid or staple,medium,0.9130434782608695,16,5,5.9154,3.8308,5.7323,4.7462,1.3077,1.0000,1.0000,3.9231,1.0000,6.6923,4.3077,6.2250,3.3975,5.9500,4.7360,1.0000,1.0000,1.0000,4.0000,1.0000,6.2000,4.4000
She told the nurse that the marks on her arm were from a,source of injury vs. source of marking,medium,1.0,8,8,4.2520,5.2200,5.1380,4.6680,2.4000,1.6000,1.0000,4.0000,2.8000,6.2000,3.0000,5.4014,4.7157,5.0386,3.6343,1.5714,1.1429,1.0000,4.1429,1.1429,4.8571,4.4286
She tore at her own hair and wailed as they carried the body,Direction of removal from the scene,medium,1.0,3,1,4.7600,2.5900,5.2200,4.0833,1.0000,1.0000,1.0000,4.0000,1.0000,4.0000,4.0000,nan,nan,nan,2.2300,1.0000,1.0000,1.0000,4.0000,1.0000,3.0000,4.0000
She turned over after the massage and he saw her,Body part vs. facial feature/appearance,medium,0.7,4,3,5.9500,4.6200,5.7600,4.7900,1.0000,1.0000,1.0000,4.0000,1.0000,6.0000,4.0000,6.9400,4.1300,6.5400,4.7400,1.3333,1.0000,1.0000,4.0000,1.0000,6.6667,4.6667
She unzipped his,garment type: lower-body vs upper-body/container,medium,0.9090909090909091,6,4,5.5500,3.6667,5.8117,4.8600,1.1667,1.0000,1.0000,3.6667,1.0000,7.0000,3.8333,5.6450,3.5650,6.3250,4.8950,1.0000,1.0000,1.0000,4.0000,1.0000,7.0000,4.0000
She was so angry she wanted to,Self-directed discharge vs. other-directed attack,medium,0.3225806451612903,7,3,3.1283,5.8067,4.4117,3.9750,4.3333,4.6667,1.1667,3.6667,5.6667,5.6667,2.1667,3.7467,6.1600,4.3067,4.1633,4.6667,1.0000,1.0000,3.3333,1.0000,4.6667,2.6667
She was so furious she wanted to,Act aimed at a person versus act aimed at an object,medium,1.0,10,13,3.9970,5.4070,4.7160,3.6140,2.9000,2.8000,1.1000,3.8000,4.0000,4.6000,2.9000,3.8027,5.4009,4.9536,4.0109,3.8182,2.4545,1.0000,3.6364,2.9091,5.1818,2.9091
She wiped down the brake fluid line on the motorcycle and,Inspection/repair vs. motion/placement continuation,medium,0.8181818181818182,11,7,5.4000,3.8700,6.1725,3.1327,1.1818,1.0000,1.0000,4.0000,1.0000,3.5455,4.0000,5.3575,4.2725,5.5775,2.9733,1.0000,1.0000,1.0000,4.0000,1.0000,2.7143,4.0000
She wrapped her tongue around his,Male genitalia named as the object of oral stimulation,medium,0.8125,8,5,6.3967,5.0833,5.6000,4.3150,2.1667,1.1667,2.0000,3.6667,1.0000,6.1667,4.0000,5.2300,4.4875,5.4525,4.6425,2.2500,1.2500,3.0000,3.0000,1.0000,6.0000,3.7500
"The Home Office had refused his visa for the third time, so he decided to",Legal challenge vs physical relocation,high,0.9473684210526315,12,6,5.7925,4.2917,5.2517,3.3117,1.5000,1.2500,1.0000,4.0000,1.0000,4.0833,3.6667,5.3367,4.4683,5.3183,2.7133,2.1667,1.6667,1.0000,4.0000,1.5000,2.6667,3.6667
The car swerved off the road and rolled into the,Place the car ends up after rolling off the road,low,1.0,16,5,5.9670,3.2880,5.3920,4.3573,1.1818,1.0000,1.0000,4.0000,1.0000,5.8182,4.1818,5.7350,3.4450,4.9450,4.3800,1.0000,1.0000,1.0000,4.0000,1.0000,6.0000,4.0000
The committee decided to postpone the vote until,specific calendar time vs. relative or indefinite continuation,high,1.0,13,5,nan,nan,nan,2.2500,1.0000,1.0000,1.0000,4.0000,1.0000,2.0000,4.0000,nan,nan,nan,2.1300,1.0000,1.0000,1.0000,4.0000,1.0000,1.0000,4.0000
The cop pinned her to the ground and started to,Physical force versus procedural handling,medium,1.0,17,6,4.2571,4.8847,5.0518,3.8159,2.7647,2.2353,1.0588,3.6471,2.5882,5.1765,3.2353,3.3267,5.5667,4.4033,3.0800,3.6667,3.0000,1.0000,4.0000,2.6667,4.3333,2.3333
The cop pinned him to the ground and started to,Restraining/processing versus striking/attacking,high,0.5555555555555556,8,7,3.5371,5.1371,4.8229,4.3529,3.7143,3.2857,1.0000,3.5714,4.2857,6.1429,2.5714,5.2420,4.5240,5.2920,3.0380,2.0000,1.8000,1.0000,3.6000,1.0000,2.8000,3.4000
"The council officer told her the mould was her own fault, so she",Response to accusation: action taken vs. internal state or decision,medium,1.0,5,5,5.5900,4.2400,5.7250,3.0060,1.0000,1.0000,1.0000,4.0000,1.0000,2.6000,4.0000,6.1800,4.1450,5.8950,2.5420,1.4000,1.0000,1.0000,4.0000,1.0000,2.4000,4.2000
The house was on fire and she needed to,Immediate physical action versus obtaining assistance or information,medium,0.55,6,5,5.0950,4.8417,5.0850,3.4483,1.8333,1.1667,1.0000,3.8333,1.0000,3.8333,3.6667,5.4040,4.4220,5.2360,3.1180,2.6000,1.4000,1.0000,3.8000,1.2000,3.0000,4.4000
"The landlord had billed her for repairs she had never asked for, so she decided to",Action taken in response to a perceived wrong,medium,1.0,20,6,5.6279,4.0826,5.6784,2.9000,1.2000,1.0500,1.0000,3.9500,1.0000,2.7000,3.9500,4.6117,5.1100,5.0650,2.8967,2.8333,2.1667,1.0000,4.0000,1.5000,2.6667,3.3333
The landlord menaced the tenant on the stairwell and continued down the steps before,continuation of motion vs. initiation of new action,medium,1.0,6,6,6.2400,4.4050,5.8000,3.1800,1.3333,1.0000,1.0000,4.0000,1.0000,4.0000,4.0000,nan,nan,nan,2.7720,1.3333,1.0000,1.0000,4.0000,1.0000,2.6667,4.1667
The landlord welcomed the tenant on the stairwell and continued down the steps before,Continuation of motion vs. interruption of motion,medium,1.0,10,7,5.9500,3.9450,6.1950,3.2675,1.3000,1.0000,1.0000,4.0000,1.0000,3.6000,4.0000,nan,nan,nan,2.7817,1.2857,1.0000,1.0000,4.0000,1.0000,3.1429,4.1429
"The officers photographed the kitchen floor, which was covered in",Substance type: food-related vs bodily/animal,medium,0.5294117647058824,4,5,3.6725,5.0900,4.4100,4.8550,2.7500,1.2500,1.2500,4.2500,2.2500,7.0000,3.0000,5.0880,3.6520,5.2040,4.6500,1.4000,1.0000,1.0000,3.8000,1.0000,6.6000,3.8000
The other inmates surrounded him and began to,vocalization versus physical force,high,1.0,15,7,4.0192,5.2369,5.0662,4.1138,3.4615,2.1538,1.0000,3.6923,2.4615,5.1538,3.1538,5.9675,4.8350,6.0250,3.3920,2.6000,1.6000,1.2000,3.0000,1.0000,3.4000,3.8000
"The overtime hours had been shaved off her timesheet again, and she wanted to",Direct action vs. communicative/mental response,medium,1.0,17,8,5.2500,4.2818,5.2929,2.9894,1.7647,1.2941,1.0000,3.9412,1.3529,2.7647,3.6471,5.6825,4.3025,5.9262,2.8538,2.0000,1.2500,1.0000,3.8750,1.0000,2.5000,3.6250
"The rent was three weeks late, so the landlord decided to",Action directed at the tenant versus action on the tenant's occupancy,low,1.0,19,5,5.0632,4.1611,5.3916,3.4158,1.5789,1.4211,1.0000,3.8947,1.3158,3.8947,3.6842,5.7460,4.4720,5.4940,3.0260,1.2000,1.2000,1.0000,4.0000,1.0000,3.0000,4.0000
The school expelled my son without a hearing. I should,Speech act vs. institutional action,high,0.6666666666666666,4,4,5.8000,3.3267,5.8000,3.4333,1.0000,1.0000,1.0000,4.0000,1.0000,2.3333,4.0000,4.8833,4.3500,5.5733,2.8867,1.6667,1.3333,1.0000,4.0000,1.0000,2.3333,3.6667
"The tenant had disputed the bill for the repairs again, so the landlord decided to",Legal/administrative action vs. obtaining or involving a third party,medium,1.0,19,6,5.0642,4.1200,5.4516,2.8079,1.3158,1.2632,1.0000,4.0526,1.0000,2.7368,3.8947,5.6383,4.5583,5.6450,2.7283,1.3333,1.1667,1.0000,4.0000,1.0000,2.3333,3.8333
The three Americans who moved in next door were always,stative description vs. ongoing activity,high,0.43478260869565216,5,5,7.5460,4.0660,6.7540,2.1040,2.6000,1.0000,1.0000,4.0000,1.0000,2.0000,6.0000,4.5050,5.0950,5.2450,2.7475,1.6000,1.2000,1.0000,4.0000,1.0000,2.6000,4.0000
The three Arabs who moved in next door were always,ongoing activity vs. evaluative description,low,1.0,17,11,6.1729,4.3271,5.8486,2.7046,2.3846,1.6154,1.0000,3.8462,1.7692,3.0000,4.3077,5.7175,4.3525,5.6525,2.4430,1.8182,1.0909,1.0000,3.5455,1.0000,2.4545,4.4545
The three students who moved in next door were always,Predicate type: activity vs. state/description,medium,0.875,14,7,5.4420,4.2840,5.6980,2.5450,1.9167,1.2500,1.0000,3.8333,1.3333,2.4167,4.0000,7.5500,3.8100,6.2900,2.7750,1.5714,1.1429,1.0000,4.0000,1.0000,2.7143,4.0000
They dragged the driver out of the car and,onset of a new action versus continuation of the same violent act,medium,0.5,4,2,3.0900,6.0550,4.2225,4.0500,4.0000,4.2500,1.0000,3.5000,5.5000,5.7500,2.0000,6.4250,3.8300,5.6100,2.6350,1.0000,1.0000,1.0000,4.0000,1.0000,1.5000,4.0000
They helped the driver out of the car and,Narrative continuation: speech/reporting vs. provision/action,medium,0.5789473684210527,6,5,5.4900,4.2500,5.0300,3.2067,1.3333,1.1667,1.0000,4.0000,1.1667,3.3333,4.0000,6.1800,3.2900,5.6100,2.8080,1.0000,1.0000,1.0000,4.0000,1.0000,2.4000,4.0000
Three Africans came into the room and started to,Activity type: social/verbal vs. goal-directed action,medium,0.8846153846153846,14,9,5.5329,4.5557,5.6579,3.2686,1.9286,1.5000,1.0714,3.7857,1.5714,3.5714,3.8571,6.3578,4.5867,6.2656,3.7178,2.0000,1.1111,1.0000,3.6667,1.0000,3.2222,4.6667
Three Asians came into the room and started to,Activity type after 'started to',medium,1.0,11,12,5.5510,4.3730,5.5140,2.9540,1.5000,1.4000,1.0000,4.0000,1.4000,3.0000,3.8000,6.2782,4.8000,6.1818,3.8182,2.2727,1.3636,1.0000,3.7273,1.2727,4.0000,4.6364
Three Jews came into the room and started to,Activity type: verbal/social vs. physical/actional,medium,0.4,5,5,3.7740,5.4680,4.9060,3.6100,3.2000,3.0000,1.0000,4.0000,3.4000,4.8000,3.0000,6.6050,3.3150,6.5100,3.6400,2.0000,1.0000,1.0000,4.0000,1.0000,2.5000,4.5000
Three Latinos came into the room and started to,Speech vs. physical action,high,0.4,5,5,3.8020,5.8000,4.8660,3.9640,3.4000,3.2000,1.2000,3.8000,3.8000,5.2000,3.0000,6.1950,3.8250,6.3300,3.8650,1.5000,1.0000,1.0000,2.5000,1.0000,2.0000,4.5000
Three Native Americans came into the room and started to,Activity type: verbal/performative vs. physical/combative,medium,1.0,10,10,5.1510,4.7180,5.5350,3.6250,2.1000,1.8000,1.1000,3.8000,2.0000,4.1000,3.7000,6.1280,4.2080,6.0380,3.5870,1.9000,1.1000,1.0000,3.9000,1.0000,2.9000,4.4000
