pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering
p000010,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,13,False,SHIFTS,UNMOORED,0,NONE,14,0.547773,0.707028,0.075475,0.753858,7.121045,0.105863,0.577441,-0.029668
p000011,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,14,False,SHIFTS,UNMOORED,1,TOLD,8,0.488186,0.591701,0.065537,0.658248,3.417302,0.192622,0.515367,-0.027181
p000012,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,15,True,HOLDS,HOLDS,3,TOLD,13,0.457824,0.652501,0.084425,0.652501,5.493894,0.118768,0.486455,-0.028631
p000013,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,17,False,UNMOORED,UNMOORED,0,NONE,14,0.574737,0.68246,0.045262,0.741219,7.471578,0.099205,0.584709,-0.009972
p000014,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,0,False,UNMOORED,UNMOORED,0,NONE,13,0.485924,0.569888,0.058265,0.661806,5.831089,0.113496,0.494113,-0.008188
p000015,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,3,True,HOLDS,HOLDS,3,SHOWN,19,0.40288,0.557054,0.110427,0.620869,7.251849,0.085615,0.454563,-0.051682
p000016,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,4,True,HOLDS,SHIFTS,1,TOLD,19,0.407287,0.605411,0.116128,0.663935,7.331161,0.090563,0.460778,-0.053491
p000017,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,6,False,HOLDS,HOLDS,2,TOLD,13,0.453459,0.56961,0.078701,0.688233,5.441502,0.126479,0.473876,-0.020418
p000018,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,8,False,SHIFTS,SHIFTS,0,NONE,14,0.496481,0.599122,0.088033,0.643207,6.454257,0.099656,0.496524,-4.3e-05
p000019,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,9,False,HOLDS,SHIFTS,2,TOLD,17,0.452418,0.583055,0.097153,0.68302,7.238689,0.094357,0.512655,-0.060237
p000020,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,10,True,HOLDS,HOLDS,2,TOLD,8,0.581168,0.681672,0.086425,0.707558,4.068173,0.173925,0.580521,0.000647
p000021,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,11,False,HOLDS,HOLDS,2,TOLD,10,0.487918,0.59429,0.066471,0.703145,4.391259,0.160124,0.538061,-0.050143
p000022,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,13,False,HOLDS,HOLDS,1,TOLD,2,,,,,,,,
p000023,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,17,True,HOLDS,HOLDS,2,SHOWN,17,0.493392,0.657173,0.117849,0.822012,7.89427,0.104128,0.553616,-0.060224
p000024,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,19,False,UNMOORED,UNMOORED,1,TOLD,9,0.593666,0.748071,0.084802,0.748071,4.749331,0.157511,0.580439,0.013227
p000025,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,3,True,HOLDS,HOLDS,3,TOLD,22,0.387635,0.522641,0.079278,0.617876,8.140345,0.075903,0.432988,-0.045352
p000026,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,5,True,SHIFTS,SHIFTS,3,TOLD,14,0.458909,0.576134,0.072062,0.674204,5.965819,0.113011,0.490463,-0.031554
p000027,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,7,False,HOLDS,HOLDS,2,TOLD,18,0.523903,0.66765,0.096803,0.699319,8.906349,0.078519,0.5475,-0.023597
p000028,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,9,False,SHIFTS,SHIFTS,1,TOLD,16,0.482318,0.701925,0.101646,0.701925,7.234764,0.097021,0.530682,-0.048365
p000029,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,14,True,HOLDS,HOLDS,2,SHOWN,19,0.476555,0.643722,0.106805,0.730169,8.577999,0.085121,0.538606,-0.06205
p000030,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,17,True,HOLDS,HOLDS,3,SHOWN,15,0.539552,0.64984,0.05253,0.670811,7.553726,0.088805,0.538362,0.00119
p000031,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,0,True,HOLDS,HOLDS,3,SHOWN,15,0.458854,0.609723,0.075626,0.705856,6.423951,0.109879,0.509284,-0.05043
p000032,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,8,True,SHIFTS,SHIFTS,2,SHOWN,16,0.485946,0.584746,0.067031,0.66997,7.289196,0.091913,0.509473,-0.023526
p000033,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,11,True,HOLDS,HOLDS,2,TOLD,10,0.403067,0.703121,0.154638,0.703121,3.627603,0.193825,0.484453,-0.081386
p000034,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,13,False,UNMOORED,UNMOORED,0,NONE,17,0.52221,0.667778,0.104152,0.765144,8.355362,0.091575,0.587302,-0.065091
p000035,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,14,True,HOLDS,HOLDS,2,TOLD,22,0.496249,0.684455,0.083015,0.728883,10.421225,0.069942,0.535838,-0.039589
p000036,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,17,False,SHIFTS,SHIFTS,1,TOLD,8,0.481452,0.575336,0.046709,0.680958,3.370162,0.202055,0.530121,-0.048669
p000037,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,18,True,HOLDS,HOLDS,3,SHOWN,9,0.482688,0.634271,0.069578,0.672895,3.861501,0.174257,0.500555,-0.017868
p000038,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,19,False,HOLDS,HOLDS,1,TOLD,13,0.483464,0.621168,0.096108,0.668734,5.801566,0.115268,0.540933,-0.05747
p000039,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,6,True,HOLDS,HOLDS,2,TOLD,4,0.397287,0.44746,0.043493,0.496945,1.191862,0.416948,0.432126,-0.034838
p000040,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,7,False,HOLDS,HOLDS,2,TOLD,11,0.496495,0.634645,0.07862,0.658859,4.964949,0.132702,0.519115,-0.02262
p000041,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,10,False,SHIFTS,SHIFTS,1,TOLD,4,0.485906,0.573462,0.110305,0.584838,1.457719,0.401201,0.517707,-0.0318
p000042,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,11,True,HOLDS,HOLDS,3,SHOWN,19,0.4396,0.568768,0.086516,0.693372,7.912801,0.087627,0.494094,-0.054494
p000043,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,12,False,UNMOORED,UNMOORED,1,TOLD,12,0.509303,0.71676,0.10167,0.809059,5.602333,0.144415,0.562713,-0.05341
p000044,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,16,False,HOLDS,HOLDS,2,TOLD,9,0.5063,0.741727,0.132656,0.746349,4.050401,0.184266,0.53184,-0.02554
p000045,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,0,True,HOLDS,HOLDS,1,TOLD,3,0.492774,0.494991,0.002216,0.494991,0.985549,0.502249,0.481965,0.010809
p000046,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,2,False,UNMOORED,UNMOORED,1,TOLD,20,0.529195,0.65912,0.086397,0.743581,10.054708,0.073954,0.551907,-0.022712
p000047,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,9,False,SHIFTS,SHIFTS,1,TOLD,8,0.470492,0.57834,0.096547,0.593442,3.293442,0.180189,0.510447,-0.039955
p000048,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,10,True,HOLDS,HOLDS,2,SHOWN,3,0.487066,0.494636,0.00757,0.599573,0.974132,0.615494,0.524568,-0.037502
p000049,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,14,False,UNMOORED,UNMOORED,0,NONE,14,0.563673,0.641569,0.053968,0.6865,7.327749,0.093685,0.562912,0.000761
p000050,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,17,True,HOLDS,HOLDS,2,TOLD,11,0.507491,0.582535,0.071698,0.690572,5.074914,0.136076,0.548163,-0.040672
p000051,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,2,False,HOLDS,HOLDS,1,SHOWN,19,0.426304,0.574746,0.109658,0.760108,7.673471,0.099057,0.503262,-0.076958
p000052,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,5,False,SHIFTS,HOLDS,0,NONE,6,0.523184,0.584942,0.050002,0.584942,2.615919,0.223609,0.507399,0.015785
p000053,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,6,True,HOLDS,HOLDS,1,TOLD,7,0.532688,0.583727,0.051537,0.604659,3.19613,0.189185,0.522438,0.01025
p000054,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,7,False,UNMOORED,UNMOORED,0,NONE,8,0.553565,0.609206,0.047615,0.680865,3.874955,0.175709,0.563232,-0.009667
p000055,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,9,True,HOLDS,HOLDS,1,TOLD,1,,,,,,,,
p000056,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,14,True,SHIFTS,SHIFTS,3,SHOWN,16,0.484213,0.659037,0.094478,0.682329,7.263201,0.093943,0.525247,-0.041034
p000057,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,15,False,UNMOORED,UNMOORED,0,NONE,3,0.377414,0.418082,0.040668,0.524631,0.754827,0.695034,0.426486,-0.049072
p000058,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,19,False,HOLDS,HOLDS,1,TOLD,11,0.497556,0.62443,0.080139,0.651993,4.97556,0.131039,0.507948,-0.010392
p000059,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,2,True,HOLDS,HOLDS,2,SHOWN,12,0.420449,0.629572,0.115397,0.661635,4.624943,0.143058,0.459711,-0.039261
p000060,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,3,False,SHIFTS,SHIFTS,0,NONE,15,0.535113,0.673626,0.0777,0.700521,7.491581,0.093508,0.547916,-0.012803
p000061,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,4,False,HOLDS,HOLDS,1,TOLD,11,0.514595,0.645256,0.096608,0.684538,5.145953,0.133025,0.54525,-0.030655
p000062,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,0,True,HOLDS,HOLDS,1,TOLD,8,0.391072,0.46953,0.068484,0.573811,2.737506,0.209611,0.437758,-0.046686
p000063,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,1,True,HOLDS,HOLDS,3,SHOWN,8,0.448007,0.567933,0.073233,0.669179,3.136052,0.213383,0.469328,-0.021321
p000064,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,4,True,HOLDS,HOLDS,0,NONE,13,0.51146,0.616716,0.058123,0.727622,6.13752,0.118553,0.53483,-0.02337
p000065,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,7,True,HOLDS,HOLDS,2,TOLD,12,0.444547,0.525162,0.055322,0.670266,4.890017,0.137068,0.513698,-0.069151
p000066,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,13,True,HOLDS,HOLDS,2,TOLD,1,,,,,,,,
p000067,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,14,True,HOLDS,HOLDS,2,SHOWN,15,0.45208,0.527259,0.057165,0.57873,6.329114,0.091439,0.453066,-0.000987
p000068,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,17,True,HOLDS,HOLDS,3,SHOWN,16,0.439098,0.679147,0.14508,0.70698,6.586467,0.107338,0.460625,-0.021528
p000069,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,1,False,SHIFTS,SHIFTS,1,SHOWN,18,0.467367,0.612003,0.089426,0.74278,7.945239,0.093487,0.528638,-0.061271
p000070,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,4,False,HOLDS,HOLDS,1,TOLD,12,0.525896,0.706218,0.107978,0.729877,5.78486,0.12617,0.556638,-0.030742
p000071,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,6,True,HOLDS,HOLDS,0,NONE,16,0.456466,0.591536,0.078257,0.697312,6.846988,0.101842,0.503274,-0.046808
p000072,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,10,True,HOLDS,HOLDS,3,TOLD,15,0.455662,0.700732,0.115778,0.700732,6.379261,0.109845,0.462948,-0.007287
p000073,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,12,False,SHIFTS,HOLDS,2,TOLD,7,0.523469,0.655534,0.089652,0.681015,3.140816,0.216827,0.54091,-0.01744
p000074,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,14,True,HOLDS,HOLDS,3,SHOWN,13,0.481703,0.599853,0.067765,0.676095,5.780441,0.116963,0.509191,-0.027488
p000075,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,16,True,SHIFTS,SHIFTS,2,SHOWN,8,0.436222,0.538773,0.067942,0.652246,3.053555,0.213602,0.51963,-0.083408
p000076,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,19,True,HOLDS,HOLDS,2,TOLD,16,0.445753,0.583244,0.073926,0.668723,6.686301,0.100014,0.478145,-0.032391
p000077,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,1,False,HOLDS,HOLDS,1,TOLD,14,0.475447,0.559071,0.06123,0.606149,6.180805,0.09807,0.46962,0.005826
p000078,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,2,False,UNMOORED,UNMOORED,1,TOLD,5,0.542689,0.603812,0.051805,0.731957,2.170757,0.33719,0.575447,-0.032758
p000079,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,3,True,HOLDS,HOLDS,2,SHOWN,13,0.514763,0.573999,0.05125,0.701105,6.177158,0.1135,0.531399,-0.016636
p000080,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,6,False,HOLDS,HOLDS,1,TOLD,14,0.445227,0.576892,0.085971,0.728402,5.787952,0.125848,0.509721,-0.064494
p000081,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,7,False,SHIFTS,SHIFTS,2,TOLD,15,0.395326,0.561437,0.127255,0.62583,5.534559,0.113077,0.462805,-0.067479
p000082,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,10,True,HOLDS,HOLDS,2,TOLD,11,0.413736,0.599398,0.104872,0.599398,4.137359,0.144874,0.459178,-0.045443
p000083,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,13,True,HOLDS,HOLDS,2,TOLD,19,0.435079,0.542702,0.077591,0.566094,7.831421,0.072285,0.432802,0.002277
p000084,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,15,False,SHIFTS,SHIFTS,0,NONE,10,0.468298,0.603136,0.116373,0.647389,4.21468,0.153603,0.503524,-0.035226
p000085,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,17,False,SHIFTS,SHIFTS,1,TOLD,9,0.38896,0.517059,0.075965,0.64549,3.111681,0.207441,0.476383,-0.087423
p000086,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,0,True,HOLDS,HOLDS,0,NONE,3,0.523329,0.567879,0.044549,0.567879,1.046659,0.542563,0.522247,0.001082
p000087,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,1,True,HOLDS,HOLDS,3,SHOWN,25,0.412537,0.585945,0.095732,0.651837,9.90089,0.065836,0.428777,-0.01624
p000088,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,3,False,UNMOORED,UNMOORED,0,NONE,17,0.422584,0.726476,0.148106,0.726476,6.761343,0.107445,0.533374,-0.11079
p000089,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,6,True,HOLDS,HOLDS,2,SHOWN,13,0.462486,0.650074,0.116142,0.657429,5.549831,0.118459,0.513109,-0.050623
p000090,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,7,True,HOLDS,HOLDS,3,TOLD,3,0.43369,0.440285,0.006595,0.466922,0.867379,0.538313,0.444767,-0.011077
p000091,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,10,True,HOLDS,HOLDS,1,TOLD,1,,,,,,,,
p000092,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,14,False,HOLDS,HOLDS,1,TOLD,5,0.493889,0.546768,0.03812,0.624536,1.975557,0.316132,0.493998,-0.000109
p000093,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,15,False,HOLDS,HOLDS,2,SHOWN,21,0.468843,0.593968,0.078557,0.705755,9.376862,0.075266,0.502571,-0.033728
p000094,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,18,True,HOLDS,HOLDS,2,TOLD,18,0.47183,0.580909,0.084582,0.695979,8.021104,0.086768,0.515062,-0.043232
p000095,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,1,False,HOLDS,HOLDS,0,NONE,2,,,,,,,,
p000096,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,4,False,SHIFTS,SHIFTS,1,TOLD,15,0.582565,0.750549,0.105717,0.758388,8.155912,0.092986,0.597572,-0.015007
p000097,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,6,True,SHIFTS,SHIFTS,2,SHOWN,14,0.539217,0.668199,0.084717,0.765138,7.009827,0.109152,0.555709,-0.016492
p000098,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,10,False,HOLDS,HOLDS,1,TOLD,2,,,,,,,,
p000099,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,11,False,UNMOORED,UNMOORED,1,TOLD,11,0.548448,0.727523,0.103606,0.727523,5.48448,0.132651,0.553812,-0.005364
p000100,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and bound and chose to,17,False,UNMOORED,UNMOORED,1,TOLD,7,0.58058,0.617828,0.043919,0.640454,3.483481,0.183854,0.571901,0.008679
p000101,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,0,False,UNMOORED,UNMOORED,0,NONE,12,0.504052,0.626177,0.070337,0.663451,5.544569,0.119658,0.545002,-0.04095
p000102,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,4,False,SHIFTS,SHIFTS,1,TOLD,11,0.469743,0.658526,0.118783,0.690966,4.69743,0.147095,0.533686,-0.063944
p000103,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,5,False,UNMOORED,UNMOORED,0,NONE,9,0.526941,0.662997,0.080825,0.781755,4.215525,0.185447,0.560848,-0.033907
p000104,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,9,True,HOLDS,HOLDS,3,SHOWN,16,0.451444,0.648368,0.108311,0.648368,6.771656,0.095747,0.471396,-0.019952
p000105,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,13,False,UNMOORED,UNMOORED,1,TOLD,9,0.622807,0.74824,0.063956,0.74824,4.982455,0.150175,0.640245,-0.017438
p000106,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,14,False,UNMOORED,UNMOORED,0,NONE,7,0.481579,0.580197,0.074834,0.61825,2.889471,0.213966,0.507564,-0.025985
p000107,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was captive and chose to,15,False,HOLDS,HOLDS,0,NONE,14,0.607661,0.788476,0.116955,0.804325,7.899595,0.101819,0.596207,0.011454
p000108,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,1,False,UNMOORED,UNMOORED,1,TOLD,10,0.547801,0.672833,0.080187,0.672833,4.930213,0.136471,0.554687,-0.006885
p000109,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,2,False,HOLDS,HOLDS,0,NONE,9,0.361296,0.551856,0.104149,0.563699,2.890369,0.195027,0.420827,-0.059531
p000110,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,7,False,HOLDS,HOLDS,0,NONE,14,0.514074,0.603732,0.069001,0.660321,6.68296,0.098807,0.529174,-0.0151
p000111,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,8,False,HOLDS,HOLDS,0,NONE,12,0.514679,0.643342,0.06811,0.65685,5.661474,0.116021,0.538279,-0.0236
p000112,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,11,False,HOLDS,SHIFTS,0,NONE,18,0.51266,0.677717,0.089504,0.74847,8.715216,0.085881,0.535815,-0.023155
p000113,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,14,False,HOLDS,HOLDS,0,NONE,1,,,,,,,,
p000114,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,17,True,HOLDS,HOLDS,2,TOLD,18,0.47206,0.608873,0.081264,0.661227,8.025027,0.082396,0.521033,-0.048973
p000115,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and chose to,19,False,HOLDS,HOLDS,1,TOLD,3,0.393362,0.455004,0.061642,0.455004,0.786723,0.578353,0.398673,-0.005311
p000116,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and completely illogical and chose to,0,False,SHIFTS,SHIFTS,0,NONE,12,0.4481,0.591979,0.080504,0.603078,4.9291,0.12235,0.485561,-0.037461
p000117,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was completely irrational and completely illogical and chose to,1,False,HOLDS,HOLDS,0,NONE,22,0.407781,0.582859,0.089056,0.62889,8.563406,0.073439,0.447193,-0.039412
