model,lineage,op,stage_rank,depth,in_roster,condition,p_first,p_I,p_think,ok,note
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,0,0,1,pseudo,0.46367,0.174258,,1,
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-Base,sft,1,1,1,pseudo,0.848374,0.417683,,1,
HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,HuggingFaceTB/SmolLM3-3B-Base,apo,2,2,1,bare_chat,0,0.0,0.997847,0,reasoning slot: next word is <think>
HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,HuggingFaceTB/SmolLM3-3B-Base,apo,2,2,1,bare_raw,0.034888,0.024991,0,1,
HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,HuggingFaceTB/SmolLM3-3B-Base,apo,2,2,1,pseudo,0.874776,0.462249,,1,
LLM360/Amber,LLM360/Amber,base,0,0,1,bare_chat,,,,0,LLM360/Amber ships no chat template
LLM360/Amber,LLM360/Amber,base,0,0,1,bare_raw,0.085329,0.068528,0,1,
LLM360/Amber,LLM360/Amber,base,0,0,1,pseudo,0.533141,0.377939,,1,
LLM360/AmberChat,LLM360/Amber,sft,1,1,1,bare_chat,,,,0,LLM360/AmberChat ships no chat template
LLM360/AmberChat,LLM360/Amber,sft,1,1,1,bare_raw,0.084008,0.067671,0,1,
LLM360/AmberChat,LLM360/Amber,sft,1,1,1,pseudo,0.761524,0.676501,,1,
LLM360/AmberSafe,LLM360/Amber,dpo,2,2,1,bare_chat,,,,0,LLM360/AmberSafe ships no chat template
LLM360/AmberSafe,LLM360/Amber,dpo,2,2,1,bare_raw,0.956305,0.907393,0,1,
LLM360/AmberSafe,LLM360/Amber,dpo,2,2,1,pseudo,0.695526,0.665337,,1,
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B,base,0,0,1,pseudo,0.24348,0.227039,,1,
OpenLLM-France/Lucie-7B-Instruct-v1.1,OpenLLM-France/Lucie-7B,sft,1,1,1,pseudo,0.444991,0.437871,,1,
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,0,0,1,pseudo,0.396466,0.293382,,1,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,instruct,2,1,1,pseudo,0.720221,0.599048,,1,
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,scale,,0,1,pseudo,0.716876,0.492374,,1,
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,scale,,1,1,pseudo,0.990455,0.665387,,1,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-7B,distill,1,1,1,pseudo,0.951343,0.213282,,1,
Qwen/Qwen3-8B,Qwen/Qwen3-8B-Base,distill_align,2,1,1,pseudo,0.956126,0.886669,,1,
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B-Base,base,0,0,1,pseudo,0.778928,0.433761,,1,
RWKV/rwkv-4-7b-pile,RWKV/rwkv-4-7b-pile,base,0,0,1,pseudo,0.580706,0.306094,,1,
RWKV/rwkv-raven-7b,RWKV/rwkv-4-7b-pile,sft,1,1,1,pseudo,0.709999,0.55837,,1,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,instruct,2,1,1,pseudo,0.575388,0.540002,,1,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,0,0,1,pseudo,0.577094,0.557615,,1,
Zyphra/Zamba2-7B,Zyphra/Zamba2-7B,base,0,0,1,pseudo,0.716088,0.564615,,1,
Zyphra/Zamba2-7B-Instruct,Zyphra/Zamba2-7B,instruct,2,1,1,pseudo,0.80707,0.794043,,1,
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,0,0,1,bare_chat,,,,0,allenai/OLMo-2-0425-1B ships no chat template
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,0,0,1,bare_raw,0.032257,0.023861,0,1,
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,0,0,1,pseudo,0.109498,0.057567,,1,
allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B,dpo,2,2,1,pseudo,0.448511,0.271298,,1,
allenai/OLMo-2-0425-1B-Instruct,allenai/OLMo-2-0425-1B,rlvr,3,3,1,bare_chat,0.662955,0.558746,0,1,
allenai/OLMo-2-0425-1B-Instruct,allenai/OLMo-2-0425-1B,rlvr,3,3,1,bare_raw,0.07566,0.046589,0,1,
allenai/OLMo-2-0425-1B-Instruct,allenai/OLMo-2-0425-1B,rlvr,3,3,1,pseudo,0.462677,0.296865,,1,
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B,sft,1,1,1,pseudo,0.425891,0.234879,,1,
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,0,0,1,bare_chat,,,,0,allenai/OLMoE-1B-7B-0125 ships no chat template
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,0,0,1,bare_raw,0.056509,0.038188,0,1,
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,0,0,1,pseudo,0.298944,0.172724,,1,
allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125,dpo,2,2,1,bare_chat,0.89128,0.807595,0,1,
allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125,dpo,2,2,1,bare_raw,0.088936,0.063089,0,1,
allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125,dpo,2,2,1,pseudo,0.84799,0.537524,,1,
allenai/OLMoE-1B-7B-0125-Instruct,allenai/OLMoE-1B-7B-0125,rlvr,3,3,1,bare_chat,0.93226,0.860564,0,1,
allenai/OLMoE-1B-7B-0125-Instruct,allenai/OLMoE-1B-7B-0125,rlvr,3,3,1,bare_raw,0.088876,0.064434,0,1,
allenai/OLMoE-1B-7B-0125-Instruct,allenai/OLMoE-1B-7B-0125,rlvr,3,3,1,pseudo,0.879249,0.571599,,1,
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125,sft,1,1,1,pseudo,0.790048,0.524631,,1,
allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,predecessor,,0,1,bare_chat,,,,0,allenai/Olmo-3-1025-7B ships no chat template
allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,predecessor,,0,1,bare_raw,0.040896,0.022509,0,1,
allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,predecessor,,0,1,pseudo,0.577553,0.398635,,1,
allenai/Olmo-3-7B-Instruct,allenai/Olmo-3-1025-7B,predecessor,,3,1,bare_chat,0.957589,0.758193,0,1,
allenai/Olmo-3-7B-Instruct,allenai/Olmo-3-1025-7B,predecessor,,3,1,bare_raw,0.216955,0.087506,0,1,
allenai/Olmo-3-7B-Instruct,allenai/Olmo-3-1025-7B,predecessor,,3,1,pseudo,0.810115,0.72612,,1,
allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-1025-7B,predecessor,,2,1,bare_chat,0.916389,0.719863,0,1,
allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-1025-7B,predecessor,,2,1,bare_raw,0.168805,0.075853,0,1,
allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-1025-7B,predecessor,,2,1,pseudo,0.767899,0.678384,,1,
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-1025-7B,predecessor,,1,1,bare_chat,0.73279,0.496866,0,1,
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-1025-7B,predecessor,,1,1,bare_raw,0.118592,0.060269,0,1,
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-1025-7B,predecessor,,1,1,pseudo,0.691045,0.53085,,1,
allenai/Olmo-3-7B-Think,allenai/Olmo-3-1025-7B,rlvr,3,3,1,pseudo,0.925491,0.642291,,1,
allenai/Olmo-3-7B-Think-DPO,allenai/Olmo-3-1025-7B,dpo,2,2,1,pseudo,0.90784,0.630799,,1,
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-1025-7B,sft,1,1,1,pseudo,0.897134,0.638681,,1,
allenai/Olmo-3-1125-32B,allenai/Olmo-3-1125-32B,scale,,0,1,pseudo,0.623302,0.334928,,1,
allenai/Olmo-3.1-32B-Instruct,allenai/Olmo-3-1125-32B,scale,,3,1,pseudo,0.731002,0.493248,,1,
allenai/Olmo-3.1-32B-Instruct-DPO,allenai/Olmo-3-1125-32B,scale,,2,1,pseudo,0.73958,0.501372,,1,
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3-1125-32B,scale,,1,1,pseudo,0.675085,0.433715,,1,
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-7B,base,0,0,1,bare_chat,,,,0,allenai/Olmo-Hybrid-7B ships no chat template
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-7B,base,0,0,1,bare_raw,0.021765,0.016607,0,1,
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-7B,base,0,0,1,pseudo,0.561186,0.218487,,1,
allenai/Olmo-Hybrid-Instruct-DPO-7B,allenai/Olmo-Hybrid-7B,dpo,2,2,1,pseudo,0.930923,0.50846,,1,
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-7B,sft,1,1,1,pseudo,0.850205,0.444533,,1,
baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Base,base,0,0,1,pseudo,0.697647,0.383527,,1,
baichuan-inc/Baichuan2-7B-Chat,baichuan-inc/Baichuan2-7B-Base,instruct,2,1,1,pseudo,0.809741,0.792504,,1,
bigscience/bloom-7b1,bigscience/bloom-7b1,base,0,0,1,pseudo,0.449011,0.165613,,1,
bigscience/bloomz-7b1,bigscience/bloom-7b1,sft,1,1,1,pseudo,0.090646,0.031723,,1,
croissantllm/CroissantLLMBase,croissantllm/CroissantLLMBase,base,0,0,1,pseudo,0.482984,0.282784,,1,
croissantllm/CroissantLLMChat-v0.1,croissantllm/CroissantLLMBase,sft,1,1,1,pseudo,0.832103,0.352039,,1,
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-base,base,0,0,1,pseudo,0.443616,0.25966,,1,
deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-base,sft,1,1,1,pseudo,0.605803,0.458192,,1,
Alchan/mpt-7b-chat,gl198976/mpt-7b,sft,1,1,1,pseudo,0.9606,0.365705,,1,
gl198976/mpt-7b,gl198976/mpt-7b,base,0,0,1,pseudo,0.710018,0.267703,,1,
gl198976/mpt-7b-instruct,gl198976/mpt-7b,sft,1,1,1,pseudo,0.829279,0.421359,,1,
google/gemma-2-9b,google/gemma-2-9b,base,0,0,1,pseudo,0.388093,0.314244,,1,
google/gemma-2-9b-it,google/gemma-2-9b,instruct,2,1,1,pseudo,0.980098,0.978731,,1,
google/recurrentgemma-9b,google/recurrentgemma-9b,base,0,0,1,pseudo,0.556969,0.382216,,1,
google/recurrentgemma-9b-it,google/recurrentgemma-9b,instruct,2,1,1,pseudo,0.988448,0.936387,,1,
PKU-Alignment/alpaca-7b-reproduced,huggyllama/llama-7b,sft,1,1,1,bare_chat,,,,0,PKU-Alignment/alpaca-7b-reproduced ships no chat template
PKU-Alignment/alpaca-7b-reproduced,huggyllama/llama-7b,sft,1,1,1,bare_raw,0.136699,0.111509,0,1,
PKU-Alignment/alpaca-7b-reproduced,huggyllama/llama-7b,sft,1,1,1,pseudo,0.965275,0.716447,,1,
PKU-Alignment/beaver-7b-v1.0,huggyllama/llama-7b,rlhf,2,2,1,bare_chat,,,,0,PKU-Alignment/beaver-7b-v1.0 ships no chat template
PKU-Alignment/beaver-7b-v1.0,huggyllama/llama-7b,rlhf,2,2,1,bare_raw,0.181089,0.150392,0,1,
PKU-Alignment/beaver-7b-v1.0,huggyllama/llama-7b,rlhf,2,2,1,pseudo,0.98009,0.714247,,1,
huggyllama/llama-7b,huggyllama/llama-7b,base,0,0,1,bare_chat,0.054001,0.047268,0,1,
huggyllama/llama-7b,huggyllama/llama-7b,base,0,0,1,bare_raw,0.114135,0.072183,0,1,
huggyllama/llama-7b,huggyllama/llama-7b,base,0,0,1,pseudo,0.517038,0.294838,,1,
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,0,0,1,pseudo,0.558293,0.191763,,1,
ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-base,instruct,2,1,1,pseudo,0.812558,0.564581,,1,
inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b,base,0,0,1,pseudo,0.639142,0.280989,,1,
inceptionai/jais-family-6p7b-chat,inceptionai/jais-family-6p7b,sft,1,1,1,pseudo,0.931228,0.652365,,1,
internlm/internlm2-base-7b,internlm/internlm2-base-7b,base,0,0,1,pseudo,0.531842,0.206555,,1,
internlm/internlm2-chat-7b,internlm/internlm2-base-7b,rlhf,2,2,1,pseudo,0.608782,0.376446,,1,
internlm/internlm2-chat-7b-sft,internlm/internlm2-base-7b,sft,1,1,1,pseudo,0.710568,0.474585,,1,
kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-base,base,0,0,1,pseudo,0.549257,0.294737,,1,
kakaocorp/kanana-1.5-8b-instruct-2505,kakaocorp/kanana-1.5-8b-base,instruct,2,1,1,pseudo,0.877691,0.223185,,1,
kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-base,base,0,0,1,pseudo,0.502962,0.266744,,1,
kakaocorp/kanana-2-3b-instruct,kakaocorp/kanana-2-3b-base,instruct,2,1,1,pseudo,0.797197,0.466502,,1,
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b,base,0,0,1,bare_chat,,,,0,llm-jp/llm-jp-3-7.2b ships no chat template
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b,base,0,0,1,bare_raw,0.047697,0.037568,0,1,
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b,base,0,0,1,pseudo,0.493723,0.276131,,1,
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b,sft,1,1,1,pseudo,0.667139,0.636336,,1,
llm-jp/llm-jp-3-7.2b-instruct3,llm-jp/llm-jp-3-7.2b,dpo,2,2,1,bare_chat,0.916458,0.901927,0,1,
llm-jp/llm-jp-3-7.2b-instruct3,llm-jp/llm-jp-3-7.2b,dpo,2,2,1,bare_raw,0.058013,0.056511,0,1,
llm-jp/llm-jp-3-7.2b-instruct3,llm-jp/llm-jp-3-7.2b,dpo,2,2,1,pseudo,0.721864,0.692298,,1,
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-Base,base,0,0,1,bare_chat,,,,0,m-a-p/CT-LLM-Base ships no chat template
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-Base,base,0,0,1,bare_raw,0.048812,0.039431,0,1,
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-Base,base,0,0,1,pseudo,0.59834,0.382167,,1,
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-Base,sft,1,1,1,bare_chat,,,,0,m-a-p/CT-LLM-SFT ships no chat template
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-Base,sft,1,1,1,bare_raw,0.087945,0.075752,0,1,
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-Base,sft,1,1,1,pseudo,0.779118,0.671333,,1,
m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-Base,dpo,2,2,1,bare_chat,,,,0,m-a-p/CT-LLM-SFT-DPO ships no chat template
m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-Base,dpo,2,2,1,bare_raw,0.072893,0.060679,0,1,
m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-Base,dpo,2,2,1,pseudo,0.841503,0.710713,,1,
m-a-p/neo_7b,m-a-p/neo_7b,base,0,0,1,bare_chat,0.137454,0.127818,0,1,
m-a-p/neo_7b,m-a-p/neo_7b,base,0,0,1,bare_raw,0.021366,0.020076,0,1,
m-a-p/neo_7b,m-a-p/neo_7b,base,0,0,1,pseudo,0.212605,0.195907,,1,
m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b,dpo,2,2,1,bare_chat,0.775946,0.775946,0,1,
m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b,dpo,2,2,1,bare_raw,0.005918,0.005918,0,1,
m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b,dpo,2,2,1,pseudo,0.914279,0.902347,,1,
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b,sft,1,1,1,bare_chat,0.400832,0.396199,0,1,
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b,sft,1,1,1,bare_raw,0.009009,0.007971,0,1,
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b,sft,1,1,1,pseudo,0.712117,0.686591,,1,
meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B,scale,,0,1,pseudo,0.330082,0.134477,,1,
meta-llama/Llama-3.1-70B-Instruct,meta-llama/Llama-3.1-70B,scale,,1,1,pseudo,0.743948,0.46599,,1,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,instruct,2,1,1,pseudo,0.918703,0.599145,,1,
allenai/Llama-3.1-Tulu-3-8B-DPO,meta-llama/Llama-3.1-8B,dpo,2,2,1,bare_chat,0.814202,0.679176,0,1,
allenai/Llama-3.1-Tulu-3-8B-DPO,meta-llama/Llama-3.1-8B,dpo,2,2,1,bare_raw,0.053285,0.031976,0,1,
allenai/Llama-3.1-Tulu-3-8B-DPO,meta-llama/Llama-3.1-8B,dpo,2,2,1,pseudo,0.750173,0.400034,,1,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_chat,0.805648,0.60976,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_raw,0.070183,0.04651,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.723335,0.418591,,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_chat,0.833607,0.622268,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_raw,0.063183,0.038585,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.682254,0.383946,,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_chat,0.809602,0.580792,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_raw,0.064788,0.038263,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.742668,0.40257,,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_chat,0.889642,0.707315,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_raw,0.078995,0.04176,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.707682,0.382098,,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_chat,0.869918,0.621546,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,meta-llama/Llama-3.1-8B,sft,1,1,1,bare_raw,0.071011,0.044302,0,1,
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.756019,0.391753,,1,
allenai/Llama-3.1-Tulu-3.1-8B,meta-llama/Llama-3.1-8B,rlvr,3,3,1,bare_chat,0.404533,0.282132,0,1,
allenai/Llama-3.1-Tulu-3.1-8B,meta-llama/Llama-3.1-8B,rlvr,3,3,1,bare_raw,0.046188,0.027267,0,1,
allenai/Llama-3.1-Tulu-3.1-8B,meta-llama/Llama-3.1-8B,rlvr,3,3,1,pseudo,0.673335,0.326075,,1,
cognitivecomputations/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,sft,1,1,1,pseudo,0.911986,0.531221,,1,
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B,base,0,0,1,bare_chat,,,,0,meta-llama/Llama-3.1-8B ships no chat template
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B,base,0,0,1,bare_raw,0.065911,0.033819,0,1,
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B,base,0,0,1,pseudo,0.451919,0.17444,,1,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,instruct,2,1,1,pseudo,0.811086,0.564663,,1,
HuggingFaceH4/mistral-7b-sft-beta,mistralai/Mistral-7B-v0.1,sft,1,1,1,pseudo,0.432342,0.326725,,1,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,dpo,2,2,1,pseudo,0.358886,0.270121,,1,
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,mistralai/Mistral-7B-v0.1,dpo,2,2,1,pseudo,0.669699,0.363337,,1,
cognitivecomputations/dolphin-2.6-mistral-7b-dpo,mistralai/Mistral-7B-v0.1,dpo,2,1,1,pseudo,0.587444,0.402393,,1,
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,instruct,2,1,1,pseudo,0.502018,0.480845,,1,
mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,0,0,1,pseudo,0.455861,0.230003,,1,
openchat/openchat-3.5-0106,mistralai/Mistral-7B-v0.1,instruct,2,1,1,pseudo,0.575009,0.440384,,1,
teknium/OpenHermes-2.5-Mistral-7B,mistralai/Mistral-7B-v0.1,sft,1,1,1,pseudo,0.685432,0.369471,,1,
openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-base-v0.6,base,0,0,1,pseudo,0.512134,0.459361,,1,
openGPT-X/Teuken-7B-instruct-v0.6,openGPT-X/Teuken-7B-base-v0.6,sft,1,1,1,pseudo,0.876713,0.745171,,1,
openbmb/MiniCPM5-1B,openbmb/MiniCPM5-1B-Base,distill_align,2,2,1,bare_chat,0,0.0,0.99547,0,reasoning slot: next word is <think>
openbmb/MiniCPM5-1B,openbmb/MiniCPM5-1B-Base,distill_align,2,2,1,bare_raw,0.090023,0.071694,0,1,
openbmb/MiniCPM5-1B,openbmb/MiniCPM5-1B-Base,distill_align,2,2,1,pseudo,0.060179,0.043808,,1,
