dream	133.294118
relax	96.784314
evening	120.686275
smart	96.254902
happening	90.549020
clothes	101.137255
wearing	86.470588
win	134.647059
cover	94.274510
seven	104.450980
finished	83.705882
enjoy	82.784314
road	111.941176
Um	219.549020
interesting	86.686275
tough	90.509804
kiss	121.156863
ma	185.803922
surprise	88.901961
forever	88.803922
lying	87.686275
floor	100.627451
imagine	81.039216
join	83.431373
standing	78.313725
music	151.647059
bought	85.529412
stopped	75.372549
strong	86.862745
eight	98.235294
completely	84.372549
charge	89.392157
interested	85.764706
state	107.843137
count	89.960784
certain	85.372549
Daddy	185.078431
paid	85.666667
Dr	297.921569
lunch	104.117647
calls	80.333333
future	103.490196
dark	88.607843
entire	79.803922
missing	87.921569
paper	103.352941
team	147.607843
present	89.450980
proud	83.627451
report	108.000000
mess	78.137255
hospital	124.196078
return	91.686275
realize	79.058824
afternoon	91.490196
weird	101.098039
difference	79.725490
swear	88.156863
fix	86.784314
pain	97.941176
born	83.686275
likes	76.254902
war	174.745098
pleasure	80.745098
putting	67.980392
figured	76.333333
shit	474.647059
strange	86.431373
spent	70.078431
million	120.490196
neither	67.666667
during	75.921569
liked	78.764706
law	116.313725
lead	83.254902
using	69.019608
bag	94.039216
situation	82.490196
starting	69.764706
age	79.196078
sex	152.176471
blue	102.392157
lovely	95.156863
Whoa	157.313725
walking	75.019608
feels	69.980392
calm	89.039216
dance	148.039216
cute	87.745098
especially	67.215686
deep	76.392157
class	117.352941
seat	78.784314
holding	69.215686
window	86.000000
hungry	77.078431
sell	92.254902
picked	69.294118
problems	77.078431
message	91.509804
fell	73.000000
history	83.921569
building	99.568627
broken	71.254902
quit	90.098039
service	79.921569
smell	83.137255
voice	86.156863
record	85.588235
moved	69.333333
grab	70.862745
definitely	75.450980
slow	76.019608
dangerous	74.843137
bother	67.372549
killing	77.745098
single	72.078431
information	89.352941
offer	74.705882
favor	70.764706
fool	89.333333
amazing	81.705882
gives	64.509804
trip	82.392157
named	69.882353
upset	74.509804
box	89.745098
owe	74.156863
third	74.529412
hide	69.686275
share	69.509804
forward	72.333333
earth	99.490196
saved	69.764706
boss	124.294118
honest	72.333333
speaking	69.901961
buddy	102.882353
wondering	63.352941
usually	63.019608
stuck	66.647059
loves	72.450980
th	97.823529
twice	62.568627
totally	85.823529
Jesus	161.176471
whose	62.490196
Goodbye	116.509804
ground	72.470588
respect	71.450980
agree	64.666667
driving	74.117647
Tv	101.941176
prove	70.392157
private	75.960784
whether	67.137255
listening	62.843137
Congratulations	70.901961
beginning	63.117647
system	91.509804
lived	66.039216
bar	85.980392
mention	59.470588
forgive	76.803922
position	72.078431
dress	87.196078
seriously	64.117647
carry	65.901961
plenty	62.313725
accident	81.294118
list	80.588235
notice	59.254902
doubt	62.843137
key	86.862745
involved	67.941176
kick	73.411765
protect	70.254902
promised	62.137255
area	74.921569
joke	73.019608
club	98.784314
upstairs	70.725490
teach	72.843137
idiot	66.215686
obviously	60.431373
store	81.921569
hundred	78.725490
gotten	54.274510
normal	70.372549
ya	150.274510
sake	64.156863
admit	59.196078
nose	69.745098
difficult	60.156863
fly	85.000000
ought	80.745098
card	85.431373
public	71.078431
blame	58.784314
bunch	58.882353
eating	60.823529
nervous	67.156863
wall	70.686275
rich	80.392157
push	70.549020
movie	122.960784
station	79.078431
surprised	55.058824
group	73.764706
test	84.078431
Hmm	103.745098
awful	63.411765
visit	58.686275
American	102.215686
fit	57.588235
knock	64.686275
worst	56.352941
staying	59.607843
dying	66.980392
York	138.607843
ring	92.745098
land	88.117647
ball	104.960784
extra	59.156863
grow	59.490196
miles	88.235294
learned	58.117647
dirty	66.450980
impossible	59.117647
lots	60.156863
fighting	70.803922
foot	64.921569
fat	79.431373
marry	104.352941
murder	112.098039
security	94.313725
keeps	52.568627
low	59.137255
sleeping	59.352941
soul	76.960784
keeping	51.137255
rid	59.843137
spot	61.568627
officer	103.235294
hotel	103.215686
wrote	71.156863
shoes	74.156863
often	57.352941
drunk	76.549020
losing	53.372549
begin	56.980392
English	74.058824
sad	63.372549
seconds	70.647059
crap	61.784314
John	193.666667
cost	54.921569
brain	77.019608
Lord	138.156863
reach	56.921569
experience	60.549020
ridiculous	55.607843
reading	61.431373
force	70.666667
within	59.156863
tells	52.254902
favorite	59.450980
ice	79.549020
jump	69.823529
places	53.058824
C	91.666667
double	62.705882
nine	67.470588
suddenly	55.960784
breakfast	66.294118
consider	52.470588
hoping	49.882353
neck	59.509804
waste	53.254902
attack	75.549020
sun	69.666667
folks	76.039216
fresh	54.509804
lay	58.235294
bigger	54.215686
girlfriend	76.098039
song	93.686275
arm	65.411765
suit	68.607843
helping	50.745098
ourselves	52.470588
everywhere	51.784314
laugh	62.862745
rules	67.411765
seemed	54.254902
college	85.176471
ways	51.627451
decide	50.411765
hanging	53.627451
cash	72.431373
field	70.196078
type	60.647059
passed	51.588235
roll	63.274510
fear	69.078431
green	72.470588
darling	129.666667
walked	53.666667
rock	86.156863
cry	65.647059
turns	50.039216
round	66.529412
Holy	68.137255
honor	96.313725
arms	59.803922
plans	56.215686
smoke	65.431373
machine	70.254902
gift	64.509804
warm	52.137255
park	72.117647
B	84.098039
raise	55.196078
relationship	67.686275
feelings	57.607843
Bill	118.450980
peace	69.607843
complete	51.686275
lock	56.568627
Uncle	124.058824
angry	58.980392
closed	54.078431
accept	52.784314
hardly	51.235294
action	61.078431
silly	57.098039
legs	55.588235
glass	60.705882
court	100.725490
bathroom	61.666667
treat	51.882353
pulled	48.784314
sweetheart	64.156863
boyfriend	72.235294
interest	50.941176
showed	47.549020
contact	64.803922
taste	51.313725
herself	52.450980
willing	49.254902
apart	47.019608
star	81.352941
possibly	48.901961
wind	59.372549
upon	62.725490
kitchen	58.313725
dropped	48.666667
acting	52.450980
further	52.745098
tight	50.921569
decision	55.058824
corner	52.529412
beer	75.490196
quickly	56.490196
thousand	69.294118
pictures	68.176471
played	56.274510
helped	46.823529
lately	48.215686
names	53.843137
conversation	49.862745
department	63.843137
pardon	64.647059
Captain	208.274510
books	67.764706
crime	71.235294
dollars	78.392157
knowing	45.235294
steal	53.333333
America	77.921569
above	48.882353
bottom	49.921569
wild	57.313725
smile	58.000000
apartment	83.039216
bringing	44.745098
partner	75.215686
track	55.745098
Ok	508.392157
scene	74.647059
pants	58.745098
themselves	45.941176
empty	47.235294
comfortable	47.215686
Major	104.764706
train	95.058824
letter	82.607843
continue	49.549020
evidence	85.000000
excellent	52.705882
hole	58.215686
Ooh	94.647059
drinking	52.647059
marriage	77.058824
sing	97.588235
locked	52.352941
fuck	378.568627
dreams	64.411765
allowed	44.823529
Apparently	47.352941
hat	64.176471
Yep	50.980392
Christ	90.137255
L	94.921569
leaves	45.411765
starts	45.784314
due	44.607843
excited	48.607843
final	49.666667
nuts	53.509804
lights	56.411765
dressed	46.941176
fish	83.490196
somehow	45.294118
checked	46.705882
asleep	49.823529
jail	70.627451
stole	53.156863
necessary	45.980392
cross	55.039216
risk	49.039216
fill	43.941176
size	46.137255
cops	84.117647
South	64.470588
arrest	59.549020
plane	95.529412
address	52.274510
closer	45.666667
heavy	47.294118
king	129.254902
dare	55.411765
lawyer	79.509804
apologize	49.372549
concerned	44.333333
press	60.196078
board	64.156863
deserve	43.725490
advice	47.980392
sight	45.313725
discuss	45.666667
space	66.058824
birthday	97.215686
bastard	65.647059
whoever	43.196078
following	45.294118
Otherwise	41.549020
noticed	41.784314
crying	53.117647
allow	44.372549
support	50.725490
pressure	53.117647
wedding	101.431373
common	44.607843
afford	44.431373
Jack	251.588235
emergency	54.431373
easier	39.450980
price	53.372549
beg	50.980392
P	65.588235
burn	55.215686
sold	52.058824
clock	58.627451
held	42.450980
responsible	45.058824
writing	55.921569
turning	40.411765
huge	48.372549
summer	78.666667
letting	39.117647
fired	61.941176
teeth	47.843137
choose	48.058824
radio	77.176471
note	53.549020
tree	65.000000
judge	79.666667
Plus	47.039216
immediately	47.960784
North	63.882353
grand	63.019608
weekend	61.137255
shop	53.549020
became	47.745098
paying	43.274510
breaking	42.254902
heaven	56.607843
gas	67.784314
shows	41.509804
breath	44.921569
pal	57.588235
art	70.803922
hearing	44.725490
evil	73.156863
greatest	48.313725
bucks	56.196078
pack	43.823529
bank	84.980392
level	51.627451
General	115.392157
leg	56.509804
Mark	82.019608
earlier	39.411765
dude	99.431373
horse	92.882353
belong	44.372549
hall	51.941176
According	41.862745
West	60.549020
chicken	61.725490
guard	58.196078
hiding	43.274510
cup	51.647059
pretend	40.313725
sweetie	53.549020
Although	42.019608
natural	42.352941
bottle	50.745098
perfectly	43.254902
heads	42.686275
match	49.431373
simply	46.313725
fucking	325.549020
cares	39.666667
truck	72.862745
However	45.078431
chair	49.235294
shooting	56.294118
threw	40.823529
orders	61.372549
President	140.666667
search	48.372549
Pop	67.470588
written	44.058824
bus	74.176471
innocent	54.509804
finding	37.941176
build	48.078431
medical	54.392157
taught	43.843137
guilty	62.294118
dry	42.823529
form	42.745098
opportunity	41.000000
gold	78.941176
rule	48.137255
skin	44.039216
duty	50.960784
prison	66.039216
settle	42.019608
trick	47.274510
fellow	58.568627
nature	45.156863
goddamn	114.019608
government	65.235294
shame	41.568627
wine	60.352941
laughing	52.294118
memory	48.568627
loose	41.784314
army	85.686275
career	45.196078
loud	39.823529
spoke	38.627451
beauty	48.235294
biggest	40.882353
correct	44.941176
older	41.862745
dumb	46.960784
flying	50.568627
bear	57.411765
bite	40.784314
local	41.725490
nowhere	39.117647
remind	36.921569
beyond	43.137255
credit	45.823529
suggest	39.235294
brings	35.117647
tape	68.843137
personally	36.666667
horrible	42.431373
large	41.450980
Mama	103.705882
tie	44.431373
usual	37.235294
feed	42.392157
planning	37.294118
several	38.784314
French	69.431373
lied	43.803922
papers	51.725490
cop	86.137255
sees	37.235294
spirit	49.352941
expecting	36.196078
whenever	35.098039
East	49.549020
patient	63.647059
cell	54.352941
invited	40.470588
boat	95.784314
practice	45.686275
rough	37.392157
built	41.156863
rain	48.901961
copy	52.274510
games	44.843137
famous	45.019608
ugly	42.156863
agreed	35.921569
opinion	42.000000
onto	36.686275
destroy	47.176471
keys	51.000000
breathe	48.509804
itself	39.784314
stories	43.431373
bullshit	69.352941
arrived	38.215686
study	49.039216
danger	43.666667
sooner	37.019608
view	38.529412
total	37.647059
tea	58.627451
split	38.313725
wet	39.215686
desk	43.901961
bright	44.411765
killer	62.862745
main	42.725490
shirt	46.372549
Agent	102.647059
driver	47.372549
realized	35.960784
ours	35.313725
dancing	54.392157
eh	51.352941
faster	43.784314
prepared	35.784314
familiar	34.509804
camera	57.000000
account	44.705882
cat	66.333333
escape	44.274510
meaning	37.333333
Christmas	122.431373
guest	39.941176
hero	49.843137
hurts	37.392157
condition	37.960784
Chief	77.901961
animal	45.490196
insane	38.686275
sending	35.098039
cook	45.568627
ordered	36.960784
color	39.431373
lonely	41.666667
serve	37.941176
subject	36.960784
opening	38.431373
flight	59.686275
pair	37.254902
aware	35.647059
downstairs	38.921569
draw	40.411765
Saturday	47.509804
wash	40.725490
blind	45.823529
cards	48.019608
sea	59.843137
States	54.098039
ideas	38.960784
lines	38.431373
expected	33.254902
cream	48.705882
recognize	34.313725
truly	35.882353
health	40.274510
church	69.666667
screw	37.490196
fantastic	39.784314
introduce	34.725490
stayed	32.705882
Unfortunately	32.392157
incredible	37.803922
Friday	47.627451
Nope	34.960784
regular	33.862745
add	33.058824
Mommy	70.921569
responsibility	35.411765
sometime	33.313725
purpose	35.078431
matters	33.529412
checking	32.470588
flowers	47.588235
master	87.254902
ticket	45.568627
opened	33.843137
block	40.529412
cars	45.627451
followed	34.098039
falling	36.019608
heat	40.078431
code	53.117647
prefer	32.921569
believed	35.058824
sudden	33.470588
guns	60.627451
assume	33.470588
teacher	55.725490
cheap	36.235294
signed	36.058824
Frank	159.392157
runs	32.098039
stars	46.137255
y	85.196078
planned	31.843137
shower	41.117647
suspect	44.196078
shake	39.627451
weight	36.274510
butt	38.568627
forgotten	34.725490
showing	31.117647
beach	56.627451
Gee	46.313725
Brown	60.117647
nearly	33.745098
Subtitles	28.137255
mood	34.039216
finger	36.666667
E	72.588235
meat	43.647059
nights	33.862745
ate	33.764706
exciting	34.823529
hook	38.000000
picking	32.509804
dogs	53.019608
pocket	35.705882
covered	31.607843
file	44.039216
lies	36.921569
ears	33.431373
movies	46.000000
terrific	41.921569
among	33.901961
asshole	61.607843
selling	37.627451
coat	42.078431
brothers	47.058824
confused	32.411765
pieces	34.960784
lift	34.137255
bedroom	36.705882
reasons	32.450980
buying	32.921569
milk	42.529412
scare	33.568627
slept	35.490196
speed	41.254902
center	45.784314
knife	46.803922
gentleman	41.862745
mentioned	30.509804
whom	35.196078
dig	46.215686
noise	34.882353
numbers	39.607843
saving	30.117647
Shh	55.098039
restaurant	46.529412
someday	33.843137
fingers	33.254902
com	34.313725
Yo	81.901961
strike	45.568627
ends	30.647059
throat	36.019608
Aw	40.764706
indeed	40.490196
strength	36.921569
fancy	34.843137
sky	44.803922
weapon	46.647059
rush	31.411765
crowd	37.372549
enemy	48.509804
someplace	31.588235
drinks	34.196078
mister	45.607843
finds	29.254902
Sunday	43.254902
depends	28.568627
blew	31.568627
computer	59.039216
throwing	29.176471
magic	52.686275
witness	51.392157
faith	46.333333
stomach	33.823529
powerful	35.117647
naked	39.254902
barely	29.058824
heading	33.470588
ended	29.627451
clearly	29.980392
drugs	48.313725
arrested	34.921569
river	55.470588
soft	32.019608
Ow	56.921569
records	40.509804
pregnant	52.019608
jealous	38.274510
outta	62.450980
kinda	42.411765
remain	33.215686
fixed	32.294118
growing	29.941176
St	50.235294
obvious	29.568627
screaming	38.137255
legal	35.705882
pool	46.980392
freak	36.745098
cake	45.058824
operation	43.941176
understood	32.137255
bird	45.450980
singing	44.725490
spread	31.294118
prepare	33.549020
crack	32.843137
headed	30.784314
market	36.235294
shape	30.235294
issue	34.137255
queen	54.686275
spare	30.843137
waited	29.117647
example	29.941176
ruin	28.529412
brilliant	35.803922
harm	31.784314
liar	35.137255
weak	31.509804
doors	34.411765
thoughts	33.392157
language	35.098039
program	42.627451
chest	40.980392
damage	33.058824
stage	45.568627
victim	47.725490
chances	28.862745
travel	33.372549
genius	34.764706
release	36.294118
harder	30.274510
professional	32.274510
devil	41.333333
suck	34.882353
positive	31.627451
character	38.156863
Joe	128.078431
moon	49.960784
kicked	30.568627
repeat	33.019608
George	146.549020
ship	98.882353
tickets	43.352941
touched	29.509804
romantic	35.176471
warning	31.960784
including	27.549020
United	50.274510
wherever	29.411765
yourselves	29.000000
changes	29.039216
laid	29.941176
race	61.901961
dealing	28.235294
details	29.039216
roof	35.647059
goodness	32.450980
safety	32.333333
page	37.490196
pulling	27.137255
R	70.176471
sugar	37.764706
borrow	29.313725
hired	33.000000
loss	29.117647
tall	32.333333
filled	27.176471
balls	40.156863
grew	29.274510
student	43.039216
animals	39.078431
U	49.137255
handsome	33.019608
mission	47.058824
social	33.392157
murdered	38.568627
discovered	28.764706
national	38.156863
cheese	39.039216
battle	42.254902
trade	35.196078
screwed	29.784314
band	53.411765
burning	30.607843
ls	97.392157
carrying	28.450980
lesson	32.235294
tongue	31.156863
bless	35.058824
eggs	38.647059
Angel	78.274510
nor	35.980392
brave	31.705882
invite	29.588235
proof	34.392157
jerk	33.137255
mail	36.843137
belongs	27.901961
ha	122.745098
member	28.784314
sat	28.607843
Tom	109.568627
survive	30.137255
towards	27.431373
expensive	27.941176
fake	36.333333
decent	28.098039
ear	32.000000
male	33.941176
style	30.078431
property	33.294118
toast	33.470588
bodies	33.215686
doctors	36.372549
drove	28.862745
la	68.980392
pleased	28.529412
unbelievable	29.411765
answers	29.941176
mostly	26.078431
nurse	44.980392
fan	35.137255
training	35.137255
load	29.215686
neighborhood	36.686275
particular	27.901961
began	32.509804
buried	34.078431
camp	51.215686
drug	45.215686
failed	28.764706
tiny	32.215686
speech	38.039216
smells	27.274510
changing	26.254902
video	41.274510
honestly	27.254902
Michael	198.333333
received	28.156863
shock	28.784314
criminal	34.470588
destroyed	30.843137
recently	26.039216
faces	26.725490
n	55.098039
pray	36.215686
schedule	29.764706
forced	26.450980
Doc	80.823529
Mike	111.901961
deliver	28.352941
focus	29.392157
square	31.764706
stolen	34.313725
watched	26.529412
available	25.941176
concern	26.117647
moves	27.843137
parts	29.431373
permission	31.117647
rent	34.549020
enter	29.725490
streets	31.588235
oil	41.078431
appointment	30.568627
lips	31.176471
riding	32.000000
pig	39.137255
badly	26.196078
complicated	27.156863
lower	27.784314
manager	39.960784
Mary	88.078431
tied	26.745098
justice	37.450980
