Word	Length	Pinyin	Pinyin.Input	WCount	W.million	log10W	W-CD	W-CD%	log10CD	Dominant.PoS	Dominant.PoS.Freq	All.PoS	All.PoS.Freq	Eng.Tran.
把	1	ba3/ba4	ba	124534	3712.28	5.0953	6234	99.86	3.7948	p	120882	.p.qv.v.m.	.120882.2851.765.36.	to hold/to contain/to grasp/to take hold of/a handle/particle marking the following noun as a direct object/classifier for objects with handle; handle
让	1	rang4	rang	123809	3690.67	5.0928	6230	99.79	3.7945	v	123809	.v.	.123809.	to yield/to permit/to let sb do sth/to have sb do sth
做	1	zuo4	zuo	122364	3647.59	5.0877	6226	99.73	3.7942	v	122364	.v.	.122364.	to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance
给	1	gei3/ji3	gei	117218	3494.19	5.069	6235	99.87	3.7948	p	100607	.p.v.u.	.100607.16408.203.	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle); to supply/provide
一个	2	yi1 ge4	yige	116726	3479.53	5.0672	6228	99.76	3.7943	mq	116726	.mq.	.116726.	a/an
上	1	shang3/shang4	shang	114371	3409.33	5.0583	6238	99.92	3.795	f	80565	.f.v.g.	.80565.33802.4.	on/on top/upon/first (of two parts)/previous or last (week etc)/upper/higher/above/previous/to climb/to go into/above/to go up/to attend (class or university)/third tone of putonghua
你们	2	ni3 men5	nimen	112946	3366.85	5.0529	6171	98.85	3.7904	r	112946	.r.	.112946.	you (plural)
过	1	guo1/guo4	guo	112388	3350.21	5.0507	6236	99.89	3.7949	u	86206	.u.v.d.g.	.86206.21277.4878.27.	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/excessively/too-/surname Guo
没有	2	mei2 you3	mei2you3/you4	108237	3226.48	5.0344	6218	99.6	3.7937	v	74595	.v.d.	.74595.33642.	haven't/hasn't/doesn't exist/to not have/to not be
得	1	de2/de5/dei3	de	105189	3135.62	5.022	6215	99.55	3.7934	u	65464	.u.v.	.65464.39725.	"to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; to have to/must/ought to/to need to"
看	1	kan1/kan4	kan	102546	3056.83	5.0109	6235	99.87	3.7948	v	102543	.v.u.	.102543.3.	to look after/to take care of/to watch/to guard; to see/to look at/to read/to watch/to consider/to regard as/to view as/to treat as/to judge/(after repeated verb) to give it a try/depending on (how you're judging)/to visit/to call on/to treat (an illness)/to look after/Watch out! (for a danger)
真	1	zhen1	zhen	102445	3053.82	5.0105	6224	99.7	3.7941	d	55127	.d.a.g.	.55127.47312.6.	really/truly/indeed/real/true/genuine
着	1	zhao1/zhao2/zhe5/zhuo2	zhuo	100091	2983.65	5.0004	6222	99.66	3.7939	u	99446	.u.v.n.q.	.99446.613.22.10.	"catch/receive/suffer; to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn; particle attached after verb to indicate action in progress, like -ing ending; to wear (clothes)/to contact/to use/to apply"
事	1	shi4	shi	97715	2912.82	4.99	6198	99.28	3.7923	n	97710	.n.g.	.97710.5.	matter/thing/item/work/affair
这个	2	zhe4 ge5	zhege	92058	2744.19	4.9641	6229	99.78	3.7944	r	92058	.r.	.92058.	this/this one
怎么	2	zen3 me5	zenme	89166	2657.98	4.9502	6210	99.47	3.7931	r	89166	.r.	.89166.	how?/what?/why?
现在	2	xian4 zai4	xianzai	88120	2626.8	4.9451	6227	99.74	3.7943	t	88120	.t.	.88120.	now/at present/modern/current/nowadays
可以	2	ke3 yi3	keyi	79198	2360.84	4.8987	6206	99.41	3.7928	v	79198	.v.	.79198.	can/may/possible/able to
点	1	dian3	dian	77665	2315.14	4.8902	6194	99.22	3.792	qt	43487	.qt.n.t.v.	.43487.21747.6426.6005.	point/dot/speck/drop/decimal point/point of a scale/point in a theory or argument/downwards-right convex character stroke/a little (usually 一点)/a jot/beat (of percussion instrument)/to draw a dot/to touch slightly/to drip/classifier for items/classifier for small indeterminate quantities/to nod/to select item from a list/to order (food in a restaurant)/to count/o'clock/one fifth of a two hour watch (old)/hour/point of time/iron bell (used to mark time)/pastry/dimsum 炥心|点心
呢	1	na4/ne4/ne5/ni2	ne	76752	2287.93	4.8851	6196	99.25	3.7921	y	76752	.y.	.76752.	(question particle for subjects already mentioned); woolen material
如果	2	ru2 guo3	ruguo	76417	2277.94	4.8832	6157	98.62	3.7894	c	76396	.c.v.	.76396.21.	if/in case/in the event that
只	1	zhi1/zhi3	zhi	72698	2167.08	4.8615	6223	99.68	3.794	d	64447	.d.q.	.64447.8251.	"classifier for birds and certain animals, one of a pair, some utensils, vessels etc; but/only; only/merely/just/but"
别	1	bie2/bie4	bie	69865	2082.63	4.8443	6143	98.4	3.7884	d	68133	.d.v.r.vn.	.68133.1142.576.14.	"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin; see 别扭, contrary/difficult/awkward"
哦	1	e2/o2/o4/wo2/wo4	o	69380	2068.17	4.8412	5428	86.95	3.7346	o	41180	.o.e.	.41180.28200.	to chant; oh is that so
但	1	dan4	dan	68241	2034.22	4.834	5812	93.1	3.7643	c	68236	.c.d.	.68236.5.	but/yet/however/only/merely/still
被	1	bei4	bei	65695	1958.33	4.8175	6150	98.51	3.7889	p	65537	.p.g.d.	.65537.112.46.	by (indicates passive-voice sentences or clauses)/to cover/to wear
走	1	zou3	zou	65258	1945.3	4.8146	6158	98.64	3.7894	v	65258	.v.	.65258.	"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走)/to change (shape, form, meaning)"
太	1	tai4	tai	65151	1942.11	4.8139	6180	98.99	3.791	d	64580	.d.b.	.64580.571.	highest/greatest/too (much)/very/extremely
这样	2	zhe4 yang4	zheyang	64295	1916.59	4.8082	6194	99.22	3.792	r	64295	.r.	.64295.	"this (kind of, sort of)/this way/such/like this/such"
里	1	li3	li	63276	1886.22	4.8012	6179	98.97	3.7909	f	62728	.f.q.	.62728.548.	Chinese mile (approx. 0.5 km)/neighborhood/hometown/surname Li; inside/internal/interior/lining/village/basic unit of city administration; inside/internal/interior/lining/village/basic unit of city administration
跟	1	gen1	gen	62979	1877.36	4.7992	5801	92.92	3.7635	p	51138	.p.v.	.51138.11841.	heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)
告诉	2	gao4 su5	gaosu	61222	1824.99	4.7869	6141	98.37	3.7882	v	61222	.v.	.61222.	to tell/to inform/to let know
因为	2	yin1 wei4	yinwei	59823	1783.29	4.7769	6148	98.48	3.7887	p	49246	.p.c.	.49246.10577.	because/owing to/on account of
自己	2	zi4 ji3	ziji	57978	1728.29	4.7633	6155	98.59	3.7892	r	57962	.r.v.	.57962.16.	self/(reflexive pronoun)/own
再	1	zai4	zai	56520	1684.82	4.7522	6197	99.26	3.7922	d	56519	.d.g.	.56519.1.	"again/once more/re-/second/another/then (after sth, and not until then)"
听	1	ting1	ting	54888	1636.18	4.7395	6145	98.43	3.7885	v	54888	.v.	.54888.	to listen/to hear/to obey/a can (loan from English tin)/classifier for canned beverages; to let/to allow
这里	2	zhe4 li3	zheli	53900	1606.72	4.7316	5879	94.17	3.7693	r	53900	.r.	.53900.	here
快	1	kuai4	kuai	53510	1595.1	4.7284	5924	94.89	3.7726	a	34590	.a.d.g.	.34590.18910.10.	"rapid/quick/speed/rate/soon/shortly/quick-witted/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant/police runner (in former times, official to arrest criminals)"
谁	1	shei2/shui2	shui	52782	1573.4	4.7225	6152	98.54	3.789	r	52782	.r.	.52782.	"who/also pronounced shui2; variant pronunciation of shei2, who/surname Shui"
但是	2	dan4 shi4	danshi	52718	1571.49	4.722	5615	89.94	3.7493	c	52718	.c.	.52718.	but/however
多	1	duo1	duo	52605	1568.12	4.721	6189	99.14	3.7916	a	26937	.a.m.ad.d.v.g.	.26937.19498.3976.2094.80.20.	many/much/a lot of/numerous/multi-
用	1	yong4	yong	52436	1563.08	4.7196	6173	98.88	3.7905	v	26638	.v.p.g.	.26638.25784.14.	to use
时候	2	shi2 hou5	shihou	52176	1555.33	4.7175	6130	98.19	3.7875	n	52176	.n.	.52176.	time/length of time/moment/period
下	1	xia4	xia	51975	1549.34	4.7158	6171	98.85	3.7904	v	26287	.v.f.qt.g.	.26287.25624.62.2.	down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down
已经	2	yi3 jing1	yijing	51772	1543.29	4.7141	6123	98.08	3.787	d	51772	.d.	.51772.	already
谢谢	2	xie4 xie5	xiexie	51457	1533.9	4.7114	6006	96.2	3.7786	v	51457	.v.	.51457.	to thank/thanks
为什么	3	wei4 shen2 me5	weishime	51063	1522.16	4.7081	6072	97.26	3.7833	r	51063	.r.	.51063.	why?/for what reason?
觉得	2	jue2 de5	juede	51047	1521.68	4.708	5956	95.4	3.775	v	51047	.v.	.51047.	to think/to feel
天	1	tian1	tian	50660	1510.14	4.7047	6117	97.98	3.7865	qt	39303	.qt.n.	.39303.11357.	day/sky/heaven
像	1	xiang4	xiang	50229	1497.29	4.701	6057	97.02	3.7823	v	38786	.v.p.n.d.	.38786.10936.339.168.	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
这么	2	zhe4 me5	zheme	49082	1463.1	4.6909	6104	97.77	3.7856	r	49082	.r.	.49082.	so much/this much/how much?/this way/like this
它	1	ta1	ta	49024	1461.37	4.6904	5777	92.54	3.7617	r	49024	.r.	.49024.	it (used for things)
从	1	cong1/cong2	cong	47313	1410.37	4.675	6129	98.17	3.7874	p	47212	.p.g.	.47212.101.	"lax/yielding/unhurried; from/via/passing through/through (a gap)/past/ever (followed by negative, meaning never)/(formerly pr. zong4 and related to ~1|纵) to follow/to comply with/to obey/to join/to engage in/adopting some mode of action or attitude/follower/retainer/accessory/accomplice/related by common paternal grandfather or earlier ancestor/surname Cong; second cousin"
先生	2	xian1 sheng5	xiansheng	46864	1396.99	4.6708	5211	83.47	3.7169	n	46864	.n.	.46864.	sir/mister/teacher/(title of respect)
找	1	zhao3	zhao	46647	1390.52	4.6688	6006	96.2	3.7786	v	46647	.v.	.46647.	to try to find/to look for/to call on sb/to find/to seek/to return/to look for/to give change
最	1	zui4	zui	46464	1385.06	4.6671	6129	98.17	3.7874	d	46454	.d.g.	.46454.10.	most/the most/-est
喜欢	2	xi3 huan5	xihuan	46146	1375.58	4.6641	5856	93.8	3.7676	v	46144	.v.vn.	.46144.2.	to like/to be fond of
可	1	ke3/ke4	ke	46123	1374.9	4.6639	5922	94.86	3.7725	v	39232	.v.c.d.	.39232.4728.2163.	can/may/able to/to approve/to permit/certain(ly)/to suit/(particle used for emphasis)
为	1	wei2/wei4	wei	45565	1358.26	4.6586	6091	97.57	3.7847	p	27023	.p.v.	.27023.18542.	as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do; because of/for/to
大	1	da4/dai4	da	45061	1343.24	4.6538	6109	97.85	3.786	a	42333	.a.d.n.g.	.42333.2723.3.2.	big/huge/large/major/great/wide/deep/oldest/eldest; doctor
可能	2	ke3 neng2	keneng	44424	1324.25	4.6476	6005	96.19	3.7785	v	37876	.v.n.	.37876.6548.	might (happen)/possible/probable/possibility/probability
需要	2	xu1 yao4	xuyao	44362	1322.4	4.647	5982	95.82	3.7768	v	42486	.v.n.vn.	.42486.1856.20.	to need/to want/to demand/needs/to require
是的	2	shi4 de5	shide	44210	1317.87	4.6455	5568	89.19	3.7457	v	44210	.v.	.44210.	yes
死	1	si3	si	44056	1313.28	4.644	5748	92.07	3.7595	v	40486	.v.a.vn.d.	.40486.3257.308.5.	to die/impassable/uncrossable/inflexible/rigid/extremely
次	1	ci4	ci	43873	1307.83	4.6422	6105	97.79	3.7857	qv	43823	.qv.a.g.	.43823.27.23.	"next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chem., meaning extra oxygen atom)/classifier for enumerated events: time"
出	1	chu1	chu	42784	1275.36	4.6313	6120	98.03	3.7868	v	42781	.v.q.	.42781.3.	"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/classifier for dramas, plays, operas etc"
那么	2	na4 me5	name	41794	1245.85	4.6211	5917	94.78	3.7721	r	26452	.r.c.	.26452.15342.	like that/in that way/or so/so/so very much/about/in that case
干	1	gan1/gan4	gan	41651	1241.59	4.6196	5949	95.29	3.7744	v	41569	.v.a.	.41569.82.	dry/clean/surname Gan; to concern/to interfere/shield/stem; to work/to do/to manage; tree trunk/main part of sth/to manage/to work/to do/capable/cadre (in communist party)/to kill (slang)/to fuck (taboo word)
那个	2	nei4 ge4	nage	41417	1234.61	4.6172	6022	96.46	3.7797	r	41417	.r.	.41417.	that one; that one
嘿	1	hai1/hei1/mo4	hei	41175	1227.4	4.6146	4817	77.16	3.6828	e	41175	.e.	.41175.	hey
们	1	men5	men	39958	1191.12	4.6016	5590	89.54	3.7474	k	39958	.k.	.39958.	plural marker for pronouns and a small number of animate nouns
话	1	hua4	hua	39900	1189.39	4.601	6048	96.88	3.7816	n	39887	.n.v.	.39887.13.	dialect/language/spoken words/speech/talk/words/conversation/what sb said
而	1	er2	er	39381	1173.92	4.5953	5899	94.49	3.7708	cc	39380	.cc.u.	.39380.1.	and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)
么	1	ma5/me5	me	39120	1166.14	4.5924	3260	52.22	3.5132	y	38918	.y.nr.	.38918.202.	"interrogative final particle; interrogative final particle; suffix, used to form interrogative 什么, what?, indefinite 这么 thus etc"
东西	2	dong1 xi5	dongxi	38127	1136.54	4.5812	5958	95.43	3.7751	n	37700	.n.f.nr.	.37700.415.12.	east and west; thing/stuff/person
应该	2	ying1 gai1	yinggai	37811	1127.12	4.5776	5960	95.47	3.7752	v	37811	.v.	.37811.	ought to/should/must
孩子	2	hai2 zi5	haizi	37243	1110.19	4.571	5216	83.55	3.7173	n	37243	.n.	.37243.	child
起来	2	qi3 lai5	qilai	37205	1109.06	4.5706	5973	95.68	3.7762	v	37205	.v.	.37205.	beginning or continuing an action/upward movement/stand up
所以	2	suo3 yi3	suoyi	37014	1103.36	4.5684	5910	94.67	3.7716	c	37014	.c.	.37014.	therefore/as a result/so
这些	2	zhe4 xie1	zhexie	36735	1095.05	4.5651	5954	95.37	3.7748	r	36735	.r.	.36735.	these
才	1	cai2	cai	36716	1094.48	4.5649	6073	97.28	3.7834	d	32881	.d.c.n.	.32881.3805.30.	ability/talent/endowment/gift/an expert/only (then)/only if/just; just/not until
两	1	liang3	liang	36580	1090.43	4.5632	5953	95.35	3.7747	m	36569	.m.t.	.36569.11.	both/two/ounce/some/a few/tael
错	1	cuo4	cuo	36166	1078.09	4.5583	5950	95.31	3.7745	v	31349	.v.n.	.31349.4817.	mistake/error/blunder/fault/cross/uneven/wrong
还有	2	hai2 you3	huanyou	35932	1071.11	4.5555	6078	97.36	3.7838	v	35932	.v.	.35932.	furthermore/in addition/still/also
又	1	you4	you	35561	1060.05	4.551	6000	96.11	3.7782	d	34210	.d.c.	.34210.1351.	(once) again/also/both... and.../again
小	1	xiao3	xiao	34967	1042.34	4.5437	5838	93.51	3.7663	a	34790	.a.ad.	.34790.177.	small/tiny/few/young
中	1	zhong1/zhong4	zhong	34862	1039.21	4.5424	5837	93.5	3.7662	f	32087	.f.b.v.	.32087.2713.62.	within/among/in/middle/center/while (doing sth)/during/China/Chinese; hit (the mark)
叫	1	jiao4	jiao	34648	1032.83	4.5397	5853	93.75	3.7674	v	33278	.v.p.n.	.33278.1369.1.	to call/to yell/to order/to ask/to be called
嗯	1	n2/n3/n4/ng2/ng3/ng4	en	34639	1032.57	4.5396	4451	71.3	3.6485	e	34639	.e.	.34639.	"(a groaning sound); (nonverbal grunt as interjection)/OK, yeah/what?; interjection indicating approval, appreciation or agreement"
该	1	gai1	gai	34169	1018.56	4.5336	5878	94.15	3.7692	v	24842	.v.r.	.24842.9327.	that/the above-mentioned/most likely/to deserve/should/ought to/owe
等	1	deng3	deng	34016	1014	4.5317	5928	94.95	3.7729	v	26297	.v.u.	.26297.7719.	class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once
问题	2	wen4 ti2	wenti	33364	994.56	4.5233	5848	93.67	3.767	n	33364	.n.	.33364.	question/problem/issue/topic
一起	2	yi1 qi3	yiqi	32889	980.4	4.5171	5873	94.07	3.7689	s	23366	.s.d.nr.	.23366.9522.1.	together
拿	1	na2	na	32361	964.66	4.51	5858	93.83	3.7677	v	32361	.v.	.32361.	to hold/to seize/to catch/to apprehend/to take
更	1	geng1/geng4	geng	32253	961.44	4.5086	5936	95.08	3.7735	d	32253	.d.	.32253.	to change; more/even more/further/still/still more
开始	2	kai1 shi3	kaishi	32126	957.66	4.5069	5934	95.05	3.7733	v	32077	.v.vn.	.32077.49.	to begin/beginning/to start/initial
帮	1	bang1	bang	31793	947.73	4.5023	5730	91.78	3.7582	v	30383	.v.q.	.30383.1410.	"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/group/gang/clique/party/secret society"
打	1	da2/da3	da	31223	930.74	4.4945	5626	90.12	3.7502	v	31223	.v.	.31223.	dozen; to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/since/from
爱	1	ai4	ai	31122	927.73	4.4931	5314	85.12	3.7254	v	29380	.v.vn.b.	.29380.1729.13.	to love/affection/to be fond of/to like
带	1	dai4	dai	31069	926.15	4.4923	5852	93.74	3.7673	v	31069	.v.	.31069.	band/belt/girdle/ribbon/tire/area/zone/region/to wear/to carry/to lead/to bring/to look after/to raise
时间	2	shi2 jian1	shijian	30703	915.24	4.4872	5902	94.54	3.771	n	30703	.n.	.30703.	time/period
年	1	nian2	nian	30648	913.6	4.4864	5578	89.35	3.7465	qt	23830	.qt.t.n.	.23830.6737.81.	year
请	1	qing3	qing	30598	912.11	4.4857	5588	89.51	3.7473	v	30598	.v.	.30598.	to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
回	1	hui2	hui	30259	902	4.4809	5948	95.27	3.7744	v	23670	.v.qv.	.23670.6589.	to circle/to go back/to turn around/to answer/to return/to revolve/Hui religious minority (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)
工作	2	gong1 zuo4	gongzuo	30191	899.97	4.4799	5295	84.81	3.7239	vn	26389	.vn.v.n.	.26389.3767.35.	job/work/construction/task
然后	2	ran2 hou4	ranhou	29752	886.89	4.4735	5749	92.09	3.7596	c	29752	.c.	.29752.	after/then (afterwards)/after that/afterwards
当	1	dang1/dang4	dang	29619	882.92	4.4716	5787	92.7	3.7625	p	24032	.p.v.	.24032.5587.	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at; at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
见	1	jian4/xian4	jian	29340	874.61	4.4675	5856	93.8	3.7676	v	29328	.v.g.	.29328.12.	to see/to meet/to appear (to be sth)/to interview; appear
钱	1	qian2	qian	29221	871.06	4.4657	4602	73.71	3.6629	n	29217	.n.nr.	.29217.4.	coin/money/surname Qian
噢	1	o1	o	29190	870.14	4.4652	3548	56.83	3.55	y	15891	.y.e.	.15891.13299.	Oh!
一样	2	yi1 yang4	yiyang	28861	860.33	4.4603	5906	94.6	3.7713	u	20799	.u.a.ad.	.20799.7975.87.	same/like/equal to/the same as/just like
事情	2	shi4 qing2	shiqing	28176	839.91	4.4499	5367	85.97	3.7297	n	28176	.n.	.28176.	affair/matter/thing/business
就是	2	jiu4 shi4	jiushi	28137	838.75	4.4493	5877	94.14	3.7692	v	24136	.v.d.	.24136.4001.	(emphasizes that sth is precisely or exactly as stated)/precisely/exactly/even/if/just like/in the same way as
吃	1	chi1	chi	27913	832.07	4.4458	5155	82.57	3.7122	v	27913	.v.	.27913.	to eat/to have one's meal/to eradicate/to destroy/to absorb/to suffer/to exhaust; stammer
所有	2	suo3 you3	suoyou	27749	827.18	4.4432	5681	91	3.7544	b	27569	.b.v.	.27569.180.	all/to have/to possess/to own
开	1	kai1	kai	27382	816.24	4.4375	5709	91.45	3.7566	v	27360	.v.q.	.27360.22.	to open/to start/to turn on/to write out (a medical prescription)/to operate (vehicle)/abbr. for 开尔文 degrees Kelvin
