model,system_mode,frame,superego,n_scene,refusal,exit,scene
allenai/OLMoE-1B-7B-0125-Instruct,empty,continue,23.7,224,6.4,1.2,60.1
allenai/OLMoE-1B-7B-0125-SFT,empty,raw,24.2,368,0.4,25.8,50.1
allenai/OLMoE-1B-7B-0125-SFT,empty,prefill,25.0,8,0.1,1.5,32.2
allenai/OLMoE-1B-7B-0125-SFT,empty,continue,33.3,6,6.3,3.3,45.2
allenai/Olmo-3-7B-Instruct,empty,raw,21.6,352,3.2,38.1,43.8
allenai/Olmo-3-7B-Instruct,empty,prefill,18.6,242,5.4,18.8,48.9
allenai/Olmo-3-7B-Instruct,empty,continue,100.0,2,66.8,6.4,4.1
allenai/Olmo-3-7B-Instruct-DPO,empty,raw,14.5,338,2.1,42.0,43.7
allenai/Olmo-3-7B-Instruct-DPO,empty,prefill,18.0,311,4.2,19.3,50.1
allenai/Olmo-3-7B-Instruct-DPO,empty,continue,50.0,4,65.6,3.6,5.5
allenai/Olmo-3-7B-Instruct-SFT,empty,raw,20.5,268,0.9,44.1,33.9
allenai/Olmo-3-7B-Instruct-SFT,empty,prefill,17.3,156,0.3,15.4,43.1
allenai/Olmo-3-7B-Instruct-SFT,empty,continue,14.3,7,44.9,7.5,15.6
baichuan-inc/Baichuan2-7B-Chat,default,raw,26.2,408,0.0,5.1,59.8
baichuan-inc/Baichuan2-7B-Chat,default,prefill,29.1,258,1.1,6.2,47.3
baichuan-inc/Baichuan2-7B-Chat,default,continue,11.1,451,1.0,2.3,65.1
google/gemma-2-9b-it,default,raw,39.0,344,4.2,22.0,50.8
google/gemma-2-9b-it,default,prefill,35.0,20,35.6,46.5,41.5
google/gemma-2-9b-it,default,continue,25.0,8,59.0,24.3,8.7
inceptionai/jais-family-6p7b-chat,empty,raw,20.2,396,0.0,7.2,67.8
inceptionai/jais-family-6p7b-chat,empty,prefill,25.6,78,0.6,4.2,51.1
inceptionai/jais-family-6p7b-chat,empty,continue,5.1,451,0.3,2.3,64.8
llm-jp/llm-jp-3-7.2b-instruct3,empty,raw,41.9,403,0.1,12.5,57.0
llm-jp/llm-jp-3-7.2b-instruct3,empty,prefill,45.0,151,2.4,10.0,49.2
llm-jp/llm-jp-3-7.2b-instruct3,empty,continue,30.9,282,5.2,29.2,51.7
lomahony/eleuther-pythia6.9b-hh-dpo,default,raw,34.6,437,0.0,4.5,63.4
lomahony/eleuther-pythia6.9b-hh-dpo,default,prefill,34.2,38,17.5,67.9,21.1
lomahony/eleuther-pythia6.9b-hh-dpo,default,continue,38.5,13,33.1,68.3,3.0
m-a-p/neo_7b_instruct_v0.1,empty,raw,26.7,258,1.0,29.0,38.1
m-a-p/neo_7b_instruct_v0.1,empty,prefill,21.7,355,5.0,25.3,52.1
m-a-p/neo_7b_instruct_v0.1,empty,continue,8.3,109,48.5,2.5,15.7
m-a-p/neo_7b_sft_v0.1,empty,raw,17.9,212,1.0,41.9,30.2
m-a-p/neo_7b_sft_v0.1,empty,prefill,20.4,157,1.4,11.1,45.7
m-a-p/neo_7b_sft_v0.1,empty,continue,12.6,95,53.0,1.5,10.9
meta-llama/Llama-3.1-8B-Instruct,default,raw,16.8,273,0.2,46.3,40.8
meta-llama/Llama-3.1-8B-Instruct,default,prefill,--,0,5.0,16.6,18.7
meta-llama/Llama-3.1-8B-Instruct,default,continue,20.0,50,56.0,0.6,8.5
openbmb/MiniCPM5-1B,empty,raw,14.3,98,1.2,65.4,14.7
openbmb/MiniCPM5-1B,empty,prefill,12.5,40,1.6,17.2,15.2
openbmb/MiniCPM5-1B,empty,continue,21.4,14,8.2,32.0,19.8
stabilityai/stablelm-2-zephyr-1_6b,empty,raw,16.1,411,0.0,25.7,60.1
stabilityai/stablelm-2-zephyr-1_6b,empty,prefill,22.8,403,1.7,23.1,58.1
stabilityai/stablelm-2-zephyr-1_6b,empty,continue,13.8,392,0.0,3.5,57.5
tiiuae/Falcon3-10B-Instruct,empty,raw,27.3,484,6.0,5.7,70.1
tiiuae/Falcon3-10B-Instruct,empty,prefill,16.0,119,7.2,5.5,60.5
tiiuae/Falcon3-10B-Instruct,empty,continue,15.4,26,68.8,0.3,2.3
tiiuae/Falcon3-1B-Instruct,empty,raw,17.5,160,12.2,44.5,23.7
tiiuae/Falcon3-1B-Instruct,empty,prefill,0.0,2,2.2,3.7,16.8
tiiuae/Falcon3-1B-Instruct,empty,continue,27.3,150,23.2,0.7,17.6
tiiuae/Falcon3-3B-Instruct,empty,raw,32.7,171,31.1,31.3,29.5
tiiuae/Falcon3-3B-Instruct,empty,prefill,47.5,61,1.9,2.3,22.4
tiiuae/Falcon3-3B-Instruct,empty,continue,48.7,199,22.7,1.0,24.5
tiiuae/Falcon3-7B-Instruct,empty,raw,25.3,470,6.7,7.1,69.1
tiiuae/Falcon3-7B-Instruct,empty,prefill,12.9,85,17.4,6.2,41.8
tiiuae/Falcon3-7B-Instruct,empty,continue,22.2,9,70.7,0.1,1.0
tiiuae/Falcon3-Mamba-7B-Instruct,empty,raw,24.0,467,0.3,4.3,73.6
tiiuae/Falcon3-Mamba-7B-Instruct,empty,prefill,19.3,457,1.0,18.1,61.9
tiiuae/Falcon3-Mamba-7B-Instruct,empty,continue,17.9,435,4.1,0.8,60.4
tiiuae/falcon-mamba-7b-instruct,empty,raw,15.2,508,0.1,6.3,72.1
tiiuae/falcon-mamba-7b-instruct,empty,prefill,13.9,309,0.9,21.3,44.9
tiiuae/falcon-mamba-7b-instruct,empty,continue,13.9,432,0.2,3.7,61.0
togethercomputer/RedPajama-INCITE-7B-Chat,default,raw,20.4,506,0.1,26.6,74.8
togethercomputer/RedPajama-INCITE-7B-Chat,default,prefill,10.5,427,0.4,74.8,63.3
togethercomputer/RedPajama-INCITE-7B-Chat,default,continue,6.4,280,2.1,82.3,41.5
