thinking,process,category,subcategory,regex
primordial,primary,need,orality,\bpeas\b
primordial,primary,need,orality,\bpepper
primordial,primary,need,orality,\bphiltr
primordial,primary,need,orality,\bpineappl
primordial,primary,need,orality,\bpoison
primordial,primary,need,orality,\bpork
primordial,primary,need,orality,\bporridg
primordial,primary,need,orality,\bpot\b
primordial,primary,need,orality,\bpotato
primordial,primary,need,orality,\bpotbel
primordial,primary,need,orality,\bpots\b
primordial,primary,need,orality,\bpucker
primordial,primary,need,orality,\bpumpkin
primordial,primary,need,orality,\bquench
primordial,primary,need,orality,\braspberry
primordial,primary,need,orality,\braw\b
primordial,primary,need,orality,\brawly\b
primordial,primary,need,orality,\brepast
primordial,primary,need,orality,\brestaurant
primordial,primary,need,orality,\brestaurent
primordial,primary,need,orality,\brice\b
primordial,primary,need,orality,\brices\b
primordial,primary,need,orality,\bripenes
primordial,primary,need,orality,\broast
primordial,primary,need,orality,\brum\b
primordial,primary,need,orality,\brums\b
primordial,primary,need,orality,\bsalad
primordial,primary,need,orality,\bsaliva
primordial,primary,need,orality,\bsalivat
primordial,primary,need,orality,\bsalt
primordial,primary,need,orality,\bsauc
primordial,primary,need,orality,\bsauerkraut
primordial,primary,need,orality,\bsesam
primordial,primary,need,orality,\bsherbert
primordial,primary,need,orality,\bsherry
primordial,primary,need,orality,\bsoup
primordial,primary,need,orality,\bspat
primordial,primary,need,orality,\bspit
primordial,primary,need,orality,\bspittl
primordial,primary,need,orality,\bspoon
primordial,primary,need,orality,\bstarv
primordial,primary,need,orality,\bstarvat
primordial,primary,need,orality,\bstomach
primordial,primary,need,orality,\bstrawberri
primordial,primary,need,orality,\bstrawberry
primordial,primary,need,orality,\bsuck
primordial,primary,need,orality,\bsuckl
primordial,primary,need,orality,\bsugar
primordial,primary,need,orality,\bsupper
primordial,primary,need,orality,\bswallow
primordial,primary,need,orality,\btea\b
primordial,primary,need,orality,\bteas\b
primordial,primary,need,orality,\bteat
primordial,primary,need,orality,\bteeth
primordial,primary,need,orality,\bthirst
primordial,primary,need,orality,\bthirsty
primordial,primary,need,orality,\bthroat
primordial,primary,need,orality,\btit\b
primordial,primary,need,orality,\btits\b
primordial,primary,need,orality,\btomato
primordial,primary,need,orality,\btongu
primordial,primary,need,orality,\btooth
primordial,primary,need,orality,\buncook
primordial,primary,need,orality,\bveal
primordial,primary,need,orality,\bvegetabl
primordial,primary,need,orality,\bvenison
primordial,primary,need,orality,\bvodka
primordial,primary,need,orality,\bvomit
primordial,primary,need,orality,\bwheat
primordial,primary,need,orality,\bwhiskey
primordial,primary,need,orality,\bwhisky
primordial,primary,need,orality,\byam\b
primordial,primary,need,orality,\byams
primordial,primary,need,orality,\byeast
primordial,primary,need,anality,\banal\b
primordial,primary,need,anality,\banus\b
primordial,primary,need,anality,\banuses\b
primordial,primary,need,anality,\barse\b
primordial,primary,need,anality,\barsehol
primordial,primary,need,anality,\bass-hol
primordial,primary,need,anality,\basses\b
primordial,primary,need,anality,\basshol
primordial,primary,need,anality,\bbeshat
primordial,primary,need,anality,\bbeshit
primordial,primary,need,anality,\bbesmear
primordial,primary,need,anality,\bbile
primordial,primary,need,anality,\bbowel
primordial,primary,need,anality,\bbuttock
primordial,primary,need,anality,\bcack
primordial,primary,need,anality,\bcesspool
primordial,primary,need,anality,\bcloaca
primordial,primary,need,anality,\bclot\b
primordial,primary,need,anality,\bclots
primordial,primary,need,anality,\bconstipat
primordial,primary,need,anality,\bdank
primordial,primary,need,anality,\bdaub
primordial,primary,need,anality,\bdefacat
primordial,primary,need,anality,\bdefil
primordial,primary,need,anality,\bdelous
primordial,primary,need,anality,\bdiarrhoea
primordial,primary,need,anality,\bdirt
primordial,primary,need,anality,\bdirty
primordial,primary,need,anality,\bdisgust
primordial,primary,need,anality,\bdung
primordial,primary,need,anality,\bdunghill
primordial,primary,need,anality,\beffluvia
primordial,primary,need,anality,\beffluvium
primordial,primary,need,anality,\benema
primordial,primary,need,anality,\bexcret
primordial,primary,need,anality,\bfart\b
primordial,primary,need,anality,\bfarts\b
primordial,primary,need,anality,\bfecal
primordial,primary,need,anality,\bfeces\b
primordial,primary,need,anality,\bfetid
primordial,primary,need,anality,\bfetor
primordial,primary,need,anality,\bfilth
primordial,primary,need,anality,\bfilthy
primordial,primary,need,anality,\bimpur
primordial,primary,need,anality,\blatrin
primordial,primary,need,anality,\blice\b
primordial,primary,need,anality,\bloathsom
primordial,primary,need,anality,\blous
primordial,primary,need,anality,\bmaggot
primordial,primary,need,anality,\bmaggoty
primordial,primary,need,anality,\bmalodorou
primordial,primary,need,anality,\bmalodourou
primordial,primary,need,anality,\bmanur
primordial,primary,need,anality,\bmess\b
primordial,primary,need,anality,\bmesses\b
primordial,primary,need,anality,\bmessing\b
primordial,primary,need,anality,\bmiasma
primordial,primary,need,anality,\bmud\b
primordial,primary,need,anality,\bmuddy
primordial,primary,need,anality,\bmuds\b
primordial,primary,need,anality,\boffal
primordial,primary,need,anality,\booz
primordial,primary,need,anality,\boozy
primordial,primary,need,anality,\bouthous
primordial,primary,need,anality,\bpiss
primordial,primary,need,anality,\bpollut
primordial,primary,need,anality,\bputrescenc
primordial,primary,need,anality,\bputrescent
primordial,primary,need,anality,\bputrid
primordial,primary,need,anality,\brancid
primordial,primary,need,anality,\brectum
primordial,primary,need,anality,\breek
primordial,primary,need,anality,\brot\b
primordial,primary,need,anality,\brots\b
primordial,primary,need,anality,\brotten
primordial,primary,need,anality,\brotting\b
primordial,primary,need,anality,\brump
primordial,primary,need,anality,\bscum
primordial,primary,need,anality,\bsewer
primordial,primary,need,anality,\bshat
primordial,primary,need,anality,\bshit
primordial,primary,need,anality,\bslimy
primordial,primary,need,anality,\bsmear
primordial,primary,need,anality,\bsodomist
primordial,primary,need,anality,\bsodomy
primordial,primary,need,anality,\bsoil
primordial,primary,need,anality,\bstal
primordial,primary,need,anality,\bstench
primordial,primary,need,anality,\bstink
primordial,primary,need,anality,\bsweat
primordial,primary,need,anality,\bunclean
primordial,primary,need,anality,\bunwash
primordial,primary,need,anality,\burin
primordial,primary,need,sex,\badulterer
primordial,primary,need,sex,\badultery
primordial,primary,need,sex,\ballur
primordial,primary,need,sex,\bbawd
primordial,primary,need,sex,\bbawdy
primordial,primary,need,sex,\bbitch
primordial,primary,need,sex,\bbrothel
primordial,primary,need,sex,\bcaress
primordial,primary,need,sex,\bcarnal
primordial,primary,need,sex,\bcircumcis
primordial,primary,need,sex,\bclitori
primordial,primary,need,sex,\bcohabit
primordial,primary,need,sex,\bcoitu
primordial,primary,need,sex,\bconcubin
primordial,primary,need,sex,\bcopulat
primordial,primary,need,sex,\bcoquett
primordial,primary,need,sex,\bcoquettish
primordial,primary,need,sex,\bcourtesan
primordial,primary,need,sex,\bcuckold
primordial,primary,need,sex,\bcunt
primordial,primary,need,sex,\bcupid
primordial,primary,need,sex,\bdebauch
primordial,primary,need,sex,\bdeflower
primordial,primary,need,sex,\bejaculat
primordial,primary,need,sex,\berotic
primordial,primary,need,sex,\bfondl
primordial,primary,need,sex,\bfornicat
primordial,primary,need,sex,\bfuck
primordial,primary,need,sex,\bgenital
primordial,primary,need,sex,\bgenitalia
primordial,primary,need,sex,\bgirdl
primordial,primary,need,sex,\bgroin
primordial,primary,need,sex,\bharem
primordial,primary,need,sex,\bharlot
primordial,primary,need,sex,\bhomosexual
primordial,primary,need,sex,\bhomosexuality
primordial,primary,need,sex,\bimmodest
primordial,primary,need,sex,\bincest
primordial,primary,need,sex,\bincestuou
primordial,primary,need,sex,\bindecent
primordial,primary,need,sex,\bindiscret
primordial,primary,need,sex,\binfatuat
primordial,primary,need,sex,\bkiss
primordial,primary,need,sex,\blasciviou
primordial,primary,need,sex,\blecher
primordial,primary,need,sex,\blecherou
primordial,primary,need,sex,\blechery
primordial,primary,need,sex,\bleer\b
primordial,primary,need,sex,\bleers\b
primordial,primary,need,sex,\blewd
primordial,primary,need,sex,\blibertin
primordial,primary,need,sex,\blicentiou
primordial,primary,need,sex,\blover
primordial,primary,need,sex,\blust
primordial,primary,need,sex,\blustful
primordial,primary,need,sex,\blusty
primordial,primary,need,sex,\bmasturbat
primordial,primary,need,sex,\bmenstrual
primordial,primary,need,sex,\bmenstruat
primordial,primary,need,sex,\bmistres
primordial,primary,need,sex,\bnaked\b
primordial,primary,need,sex,\bnude\b
primordial,primary,need,sex,\bnudes\b
primordial,primary,need,sex,\bobscen
primordial,primary,need,sex,\bobscenity
primordial,primary,need,sex,\borgasm
primordial,primary,need,sex,\borgi
primordial,primary,need,sex,\borgy
primordial,primary,need,sex,\bpander
primordial,primary,need,sex,\bparamour
primordial,primary,need,sex,\bpeni
primordial,primary,need,sex,\bpervers
primordial,primary,need,sex,\bpervert
primordial,primary,need,sex,\bphallic
primordial,primary,need,sex,\bphallu
primordial,primary,need,sex,\bpregnancy
primordial,primary,need,sex,\bpregnant
primordial,primary,need,sex,\bprocreat
primordial,primary,need,sex,\bprostitut
primordial,primary,need,sex,\bprurient
primordial,primary,need,sex,\bpuberty
primordial,primary,need,sex,\bpubi
primordial,primary,need,sex,\bpubic
primordial,primary,need,sex,\brape
primordial,primary,need,sex,\braping
primordial,primary,need,sex,\bribald
primordial,primary,need,sex,\bsatyr
primordial,primary,need,sex,\bseduc
primordial,primary,need,sex,\bsensation\b
primordial,primary,need,sex,\bsensual
primordial,primary,need,sex,\bsensuou
primordial,primary,need,sex,\bsex-linked\b
primordial,primary,need,sex,\bsex\b
primordial,primary,need,sex,\bsexed\b
primordial,primary,need,sex,\bsexes\b
primordial,primary,need,sex,\bsexual
primordial,primary,need,sex,\bsexy
primordial,primary,need,sex,\bshameles
primordial,primary,need,sex,\bslattern
primordial,primary,need,sex,\bslut
primordial,primary,need,sex,\bslutty
primordial,primary,need,sex,\btesti
primordial,primary,need,sex,\btesticl
primordial,primary,need,sex,\bthigh
primordial,primary,need,sex,\btrollop
primordial,primary,need,sex,\bunblush
primordial,primary,need,sex,\bundres
primordial,primary,need,sex,\bvagina
primordial,primary,need,sex,\bvenereal
primordial,primary,need,sex,\bvenu
primordial,primary,need,sex,\bvoluptuou
primordial,primary,need,sex,\bvulva
primordial,primary,need,sex,\bwaist
primordial,primary,need,sex,\bwanton
primordial,primary,need,sex,\bwhor
primordial,primary,need,sex,\bwomb
primordial,primary,sensation,touch,\bbrush
primordial,primary,sensation,touch,\bcoars
primordial,primary,sensation,touch,\bcontact
primordial,primary,sensation,touch,\bcudd
primordial,primary,sensation,touch,\bcuddl
primordial,primary,sensation,touch,\bhandl
primordial,primary,sensation,touch,\bitch
primordial,primary,sensation,touch,\bitchy
primordial,primary,sensation,touch,\bmassag
primordial,primary,sensation,touch,\bprickl
primordial,primary,sensation,touch,\brough
primordial,primary,sensation,touch,\brub\b
primordial,primary,sensation,touch,\brubb
primordial,primary,sensation,touch,\brubs\b
primordial,primary,sensation,touch,\bscaly\b
primordial,primary,sensation,touch,\bscratch
primordial,primary,sensation,touch,\bsharp
primordial,primary,sensation,touch,\bslick
primordial,primary,sensation,touch,\bslippery
primordial,primary,sensation,touch,\bsmooth
primordial,primary,sensation,touch,\bsnuggl
primordial,primary,sensation,touch,\bsting\b
primordial,primary,sensation,touch,\bstings\b
primordial,primary,sensation,touch,\bstrok
primordial,primary,sensation,touch,\btextur
primordial,primary,sensation,touch,\bthick
primordial,primary,sensation,touch,\btickl
primordial,primary,sensation,touch,\btingl
primordial,primary,sensation,touch,\btouch
primordial,primary,sensation,touch,\bwaxy
primordial,primary,sensation,taste,\baftertast
primordial,primary,sensation,taste,\bbitter
primordial,primary,sensation,taste,\bdelectabl
primordial,primary,sensation,taste,\bdeliciou
primordial,primary,sensation,taste,\bflavor
primordial,primary,sensation,taste,\bgall\b
primordial,primary,sensation,taste,\bhoni
primordial,primary,sensation,taste,\blusciou
primordial,primary,sensation,taste,\bpiquant
primordial,primary,sensation,taste,\bsavor
primordial,primary,sensation,taste,\bsavory
primordial,primary,sensation,taste,\bsavour
primordial,primary,sensation,taste,\bsavoury
primordial,primary,sensation,taste,\bsour
primordial,primary,sensation,taste,\bspic
primordial,primary,sensation,taste,\bspicy
primordial,primary,sensation,taste,\bsugary
primordial,primary,sensation,taste,\bsweet
primordial,primary,sensation,taste,\bsweetnes
primordial,primary,sensation,taste,\btang
primordial,primary,sensation,taste,\btangy
primordial,primary,sensation,taste,\btart
primordial,primary,sensation,taste,\btast
primordial,primary,sensation,taste,\btasty
primordial,primary,sensation,taste,\btoothsom
primordial,primary,sensation,taste,\bunpalatabl
primordial,primary,sensation,taste,\bunsavory
primordial,primary,sensation,taste,\bvinegar
primordial,primary,sensation,taste,\bvinegary
primordial,primary,sensation,odor,\baroma
primordial,primary,sensation,odor,\baromatic
primordial,primary,sensation,odor,\bbreath
primordial,primary,sensation,odor,\bcologn
primordial,primary,sensation,odor,\bfragranc
primordial,primary,sensation,odor,\bfragrant
primordial,primary,sensation,odor,\bfume
primordial,primary,sensation,odor,\bfuming
primordial,primary,sensation,odor,\bincens
primordial,primary,sensation,odor,\binhal
primordial,primary,sensation,odor,\bmusk
primordial,primary,sensation,odor,\bmusky
primordial,primary,sensation,odor,\bmusty
primordial,primary,sensation,odor,\bnose
primordial,primary,sensation,odor,\bnostril
primordial,primary,sensation,odor,\bodor
primordial,primary,sensation,odor,\bodour
primordial,primary,sensation,odor,\bperfum
primordial,primary,sensation,odor,\bpungenc
primordial,primary,sensation,odor,\bpungent
primordial,primary,sensation,odor,\bscent
primordial,primary,sensation,odor,\bsmel
primordial,primary,sensation,odor,\bsmell
primordial,primary,sensation,odor,\bsnif
primordial,primary,sensation,odor,\bsniff
primordial,primary,sensation,gen_sensation,\bapperceive\b
primordial,primary,sensation,gen_sensation,\bapperceptive\b
primordial,primary,sensation,gen_sensation,\battent
primordial,primary,sensation,gen_sensation,\bawar
primordial,primary,sensation,gen_sensation,\bawarenes
primordial,primary,sensation,gen_sensation,\bbalmy
primordial,primary,sensation,gen_sensation,\bbask
primordial,primary,sensation,gen_sensation,\bbeautiful
primordial,primary,sensation,gen_sensation,\bbeauty
primordial,primary,sensation,gen_sensation,\bcharm
primordial,primary,sensation,gen_sensation,\bcomfort
primordial,primary,sensation,gen_sensation,\bcomfortabl
primordial,primary,sensation,gen_sensation,\bcreamy
primordial,primary,sensation,gen_sensation,\bfair
primordial,primary,sensation,gen_sensation,\bimpress
primordial,primary,sensation,gen_sensation,\blovelines
primordial,primary,sensation,gen_sensation,\blush
primordial,primary,sensation,gen_sensation,\bluxuriou
primordial,primary,sensation,gen_sensation,\bluxury
primordial,primary,sensation,gen_sensation,\bmilky
primordial,primary,sensation,gen_sensation,\boversensitiv
primordial,primary,sensation,gen_sensation,\bperceiv
primordial,primary,sensation,gen_sensation,\bpercept
primordial,primary,sensation,gen_sensation,\bperceptual\b
primordial,primary,sensation,gen_sensation,\bphysical
primordial,primary,sensation,gen_sensation,\bpleasant
primordial,primary,sensation,gen_sensation,\bpretty
primordial,primary,sensation,gen_sensation,\brefresh
primordial,primary,sensation,gen_sensation,\brelish
primordial,primary,sensation,gen_sensation,\brevel
primordial,primary,sensation,gen_sensation,\bsensat
primordial,primary,sensation,gen_sensation,\bsensitiv
primordial,primary,sensation,gen_sensation,\bstimulat
primordial,primary,sensation,gen_sensation,\bsumptuou
primordial,primary,sensation,sound,\bafter-image
primordial,primary,sensation,sound,\baloud
primordial,primary,sensation,sound,\baudibl
primordial,primary,sensation,sound,\baudition\b
primordial,primary,sensation,sound,\bauditorilly\b
primordial,primary,sensation,sound,\bauditory
primordial,primary,sensation,sound,\baural\b
primordial,primary,sensation,sound,\bbang
primordial,primary,sensation,sound,\bbell
primordial,primary,sensation,sound,\bbinaural\b
primordial,primary,sensation,sound,\bblar
primordial,primary,sensation,sound,\bboom
primordial,primary,sensation,sound,\bbuzz
primordial,primary,sensation,sound,\bchord
primordial,primary,sensation,sound,\bchoru
primordial,primary,sensation,sound,\bclack
primordial,primary,sensation,sound,\bclamor
primordial,primary,sensation,sound,\bclamour
primordial,primary,sensation,sound,\bclang
primordial,primary,sensation,sound,\bcrackl
primordial,primary,sensation,sound,\bcroak
primordial,primary,sensation,sound,\bdeaf
primordial,primary,sensation,sound,\bdron
primordial,primary,sensation,sound,\bdrum
primordial,primary,sensation,sound,\bear\b
primordial,primary,sensation,sound,\bears\b
primordial,primary,sensation,sound,\becho
primordial,primary,sensation,sound,\bhark
primordial,primary,sensation,sound,\bhear
primordial,primary,sensation,sound,\bheard
primordial,primary,sensation,sound,\bhiss
primordial,primary,sensation,sound,\bhum\b
primordial,primary,sensation,sound,\bhumm
primordial,primary,sensation,sound,\bhums\b
primordial,primary,sensation,sound,\blisten
primordial,primary,sensation,sound,\bloud
primordial,primary,sensation,sound,\blouder
primordial,primary,sensation,sound,\bmelodi
primordial,primary,sensation,sound,\bmelodiou
primordial,primary,sensation,sound,\bmelody
primordial,primary,sensation,sound,\bmuffl
primordial,primary,sensation,sound,\bmusic
primordial,primary,sensation,sound,\bmusical
primordial,primary,sensation,sound,\bnois
primordial,primary,sensation,sound,\bnoisy
primordial,primary,sensation,sound,\bpeal
primordial,primary,sensation,sound,\bpurr
primordial,primary,sensation,sound,\bracket
primordial,primary,sensation,sound,\brasp
primordial,primary,sensation,sound,\brattl
primordial,primary,sensation,sound,\braucou
primordial,primary,sensation,sound,\bresonant
primordial,primary,sensation,sound,\bresound
primordial,primary,sensation,sound,\brhythm
primordial,primary,sensation,sound,\bring
primordial,primary,sensation,sound,\brumbl
primordial,primary,sensation,sound,\brustl
primordial,primary,sensation,sound,\bserenad
primordial,primary,sensation,sound,\bshrill
primordial,primary,sensation,sound,\bsnap
primordial,primary,sensation,sound,\bsonorou
primordial,primary,sensation,sound,\bsound
primordial,primary,sensation,sound,\bstridant
primordial,primary,sensation,sound,\bstrident
primordial,primary,sensation,sound,\bswish
primordial,primary,sensation,sound,\bsymphony
primordial,primary,sensation,sound,\btempo
primordial,primary,sensation,sound,\bthud
primordial,primary,sensation,sound,\btimbr
primordial,primary,sensation,sound,\btinkl
primordial,primary,sensation,sound,\btonal\b
primordial,primary,sensation,sound,\btone\b
primordial,primary,sensation,sound,\btoned\b
primordial,primary,sensation,sound,\btones\b
primordial,primary,sensation,sound,\btrill
primordial,primary,sensation,sound,\btune\b
primordial,primary,sensation,sound,\btuned\b
primordial,primary,sensation,sound,\btunes\b
primordial,primary,sensation,sound,\btuning
primordial,primary,sensation,sound,\bunheard
primordial,primary,sensation,sound,\bvocal
primordial,primary,sensation,sound,\bvoic
primordial,primary,sensation,sound,\bwhir
primordial,primary,sensation,sound,\bwhirr
primordial,primary,sensation,sound,\bwhistl
primordial,primary,sensation,vision,\bamber
primordial,primary,sensation,vision,\bappear
primordial,primary,sensation,vision,\bappearanc
primordial,primary,sensation,vision,\baurora
primordial,primary,sensation,vision,\bazur
primordial,primary,sensation,vision,\bbeam
primordial,primary,sensation,vision,\bbehold
primordial,primary,sensation,vision,\bbinocular\b
primordial,primary,sensation,vision,\bblink
primordial,primary,sensation,vision,\bblue
primordial,primary,sensation,vision,\bbluish
primordial,primary,sensation,vision,\bbright
primordial,primary,sensation,vision,\bbrown
primordial,primary,sensation,vision,\bbrunett
primordial,primary,sensation,vision,\bchromatic
primordial,primary,sensation,vision,\bcolor
primordial,primary,sensation,vision,\bcolour
primordial,primary,sensation,vision,\bcomplex
primordial,primary,sensation,vision,\bcrimson
primordial,primary,sensation,vision,\bdiscern
primordial,primary,sensation,vision,\bdye
primordial,primary,sensation,vision,\bemerald
primordial,primary,sensation,vision,\bfilm
primordial,primary,sensation,vision,\bflash
primordial,primary,sensation,vision,\bflicker
primordial,primary,sensation,vision,\bflourescent
primordial,primary,sensation,vision,\bgaze
primordial,primary,sensation,vision,\bgazing
primordial,primary,sensation,vision,\bglanc
primordial,primary,sensation,vision,\bglar
primordial,primary,sensation,vision,\bgleam
primordial,primary,sensation,vision,\bglimps
primordial,primary,sensation,vision,\bglint
primordial,primary,sensation,vision,\bglisten
primordial,primary,sensation,vision,\bglitter
primordial,primary,sensation,vision,\bglossy
primordial,primary,sensation,vision,\bglow
primordial,primary,sensation,vision,\bgray
primordial,primary,sensation,vision,\bgreen
primordial,primary,sensation,vision,\bgrey
primordial,primary,sensation,vision,\bhalo
primordial,primary,sensation,vision,\bhue
primordial,primary,sensation,vision,\billuminant\b
primordial,primary,sensation,vision,\billuminat
primordial,primary,sensation,vision,\bimag
primordial,primary,sensation,vision,\binvisibility\b
primordial,primary,sensation,vision,\binvisibl
primordial,primary,sensation,vision,\blamp
primordial,primary,sensation,vision,\blantern
primordial,primary,sensation,vision,\blavender
primordial,primary,sensation,vision,\blight
primordial,primary,sensation,vision,\blighten
primordial,primary,sensation,vision,\blightn
primordial,primary,sensation,vision,\blimpid
primordial,primary,sensation,vision,\blook
primordial,primary,sensation,vision,\blucid
primordial,primary,sensation,vision,\bluminance\b
primordial,primary,sensation,vision,\bluminou
primordial,primary,sensation,vision,\bluster
primordial,primary,sensation,vision,\blustrou
primordial,primary,sensation,vision,\bmonocular\b
primordial,primary,sensation,vision,\bmoonbeam
primordial,primary,sensation,vision,\bmoonlight
primordial,primary,sensation,vision,\bnotic
primordial,primary,sensation,vision,\bobserv
primordial,primary,sensation,vision,\bopaqu
primordial,primary,sensation,vision,\bpaint
primordial,primary,sensation,vision,\bpeek
primordial,primary,sensation,vision,\bpeer
primordial,primary,sensation,vision,\bpictur
primordial,primary,sensation,vision,\bpink
