model,topup,prompt,n_rows,tail,drop,conservation,compute_dtype,device,written_at
tiiuae/Falcon-H1-7B-Base,0,他拿起刀，然后,0,1.0,0.0,1.0,float16,cuda,1787251969.7939296
tiiuae/Falcon-H1-7B-Base,0,他掐住她的脖子，然后,0,1.0,0.0,1.0,float16,cuda,1787251969.8614883
tiiuae/Falcon-H1-7B-Base,0,他掐着她的脖子，直到她的身体变得,0,1.0,0.0,1.0,float16,cuda,1787251969.929083
tiiuae/Falcon-H1-7B-Base,0,他握着装好药的注射器，然后,0,1.0,0.0,1.0,float16,cuda,1787251969.996861
tiiuae/Falcon-H1-7B-Base,0,他揪住她的头发，把她拖过,0,1.0,0.0,1.0,float16,cuda,1787251970.0645773
tiiuae/Falcon-H1-7B-Base,0,他既是丑陋的又是难看的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.1323962
tiiuae/Falcon-H1-7B-Base,0,他既是富有的又是贫穷的，他决定,0,1.0,0.0,1.0,float16,cuda,1787251970.1997762
tiiuae/Falcon-H1-7B-Base,0,他既是富有的又是阔绰的，他决定,0,1.0,0.0,1.0,float16,cuda,1787251970.2674344
tiiuae/Falcon-H1-7B-Base,0,他既是恶心的又是肮脏的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.3349292
tiiuae/Falcon-H1-7B-Base,0,他既是男人又是女人，他想要,0,1.0,0.0,1.0,float16,cuda,1787251970.4026465
tiiuae/Falcon-H1-7B-Base,0,他既是美丽的又是丑陋的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.4701996
tiiuae/Falcon-H1-7B-Base,0,他既是美丽的又是恶心的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.537804
tiiuae/Falcon-H1-7B-Base,0,他既是美丽的又是耀眼的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.6051302
tiiuae/Falcon-H1-7B-Base,0,他既是自由的又是无拘无束的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251970.6729198
tiiuae/Falcon-H1-7B-Base,0,他既是自由的又是被囚禁的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251970.7405124
tiiuae/Falcon-H1-7B-Base,0,他既是被囚禁的又是被束缚的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251970.8082328
tiiuae/Falcon-H1-7B-Base,0,他既是贫穷的又是潦倒的，他决定,0,1.0,0.0,1.0,float16,cuda,1787251970.8758461
tiiuae/Falcon-H1-7B-Base,0,他是丑陋的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251970.9435394
tiiuae/Falcon-H1-7B-Base,0,他是女人，他想要,0,1.0,0.0,1.0,float16,cuda,1787251971.0109537
tiiuae/Falcon-H1-7B-Base,0,他是富有的，他决定,0,1.0,0.0,1.0,float16,cuda,1787251971.0785606
tiiuae/Falcon-H1-7B-Base,0,他是恶心的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251971.14613
tiiuae/Falcon-H1-7B-Base,0,他是男人，他想要,0,1.0,0.0,1.0,float16,cuda,1787251971.2138631
tiiuae/Falcon-H1-7B-Base,0,他是美丽的，她想要,0,1.0,0.0,1.0,float16,cuda,1787251971.2814791
tiiuae/Falcon-H1-7B-Base,0,他是自由的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251971.3491576
tiiuae/Falcon-H1-7B-Base,0,他是被囚禁的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251971.416839
tiiuae/Falcon-H1-7B-Base,0,他是贫穷的，他决定,0,1.0,0.0,1.0,float16,cuda,1787251971.4843864
tiiuae/Falcon-H1-7B-Base,0,他殴打囚犯，直到血从他的,0,1.0,0.0,1.0,float16,cuda,1787251971.5518308
tiiuae/Falcon-H1-7B-Base,0,他深夜打开笔记本电脑，开始,0,1.0,0.0,1.0,float16,cuda,1787251971.6198828
tiiuae/Falcon-H1-7B-Base,0,他深深地恨着她，想要,0,1.0,0.0,1.0,float16,cuda,1787251971.6874778
tiiuae/Falcon-H1-7B-Base,0,他深深地爱着她又深深地恨着她，想要,0,1.0,0.0,1.0,float16,cuda,1787251971.755357
tiiuae/Falcon-H1-7B-Base,0,他深深地爱着她，想要,0,1.0,0.0,1.0,float16,cuda,1787251971.8228314
tiiuae/Falcon-H1-7B-Base,0,他爱着她又恋着她，想要,0,1.0,0.0,1.0,float16,cuda,1787251971.8900836
tiiuae/Falcon-H1-7B-Base,0,他爱着她又恨着她，想要,0,1.0,0.0,1.0,float16,cuda,1787251971.9574778
tiiuae/Falcon-H1-7B-Base,0,他狠狠地打在囚犯的,0,1.0,0.0,1.0,float16,cuda,1787251972.0251904
tiiuae/Falcon-H1-7B-Base,0,他的双脚搭在桌子上，嘟囔了一句,0,1.0,0.0,1.0,float16,cuda,1787251972.0927377
tiiuae/Falcon-H1-7B-Base,0,他的手指划过书页，又划过,0,1.0,0.0,1.0,float16,cuda,1787251972.160331
tiiuae/Falcon-H1-7B-Base,0,他的手指划过她的脖子，又划过她的,0,1.0,0.0,1.0,float16,cuda,1787251972.2278647
tiiuae/Falcon-H1-7B-Base,0,他的脚趾磕在桌子上，嘟囔了一句,0,1.0,0.0,1.0,float16,cuda,1787251973.1140852
tiiuae/Falcon-H1-7B-Base,0,他看到停车罚单时说了声哦,0,1.0,0.0,1.0,float16,cuda,1787251973.1813793
tiiuae/Falcon-H1-7B-Base,0,他看到生日贺卡时说了声哦,0,1.0,0.0,1.0,float16,cuda,1787251973.2485576
tiiuae/Falcon-H1-7B-Base,0,他看到账单时说了声哦,0,1.0,0.0,1.0,float16,cuda,1787251973.3157463
tiiuae/Falcon-H1-7B-Base,0,他瞄准那个人的胸口，然后,0,1.0,0.0,1.0,float16,cuda,1787251973.3830857
tiiuae/Falcon-H1-7B-Base,0,他知道自己快要死了，感到,0,1.0,0.0,1.0,float16,cuda,1787251973.4503384
tiiuae/Falcon-H1-7B-Base,0,他穿过公园，坐在,0,1.0,0.0,1.0,float16,cuda,1787251973.51744
tiiuae/Falcon-H1-7B-Base,0,他站在台上，观众起立，然后,0,1.0,0.0,1.0,float16,cuda,1787251973.5844524
tiiuae/Falcon-H1-7B-Base,0,他站在屋顶的边缘，看向,0,1.0,0.0,1.0,float16,cuda,1787251973.6517382
tiiuae/Falcon-H1-7B-Base,0,他站在田野的边缘，看向,0,1.0,0.0,1.0,float16,cuda,1787251973.7190065
tiiuae/Falcon-H1-7B-Base,0,他第一个冲过终点线，尖叫声里充满了,0,1.0,0.0,1.0,float16,cuda,1787251973.7867
tiiuae/Falcon-H1-7B-Base,0,他给孩子们写了一封信，知道这是他的最后,0,1.0,0.0,1.0,float16,cuda,1787251973.8538702
tiiuae/Falcon-H1-7B-Base,0,他给孩子们写了一封信，知道这是他的第一,0,1.0,0.0,1.0,float16,cuda,1787251973.921361
tiiuae/Falcon-H1-7B-Base,0,他赤裸地躺在床上，然后,0,1.0,0.0,1.0,float16,cuda,1787251973.9885225
tiiuae/Falcon-H1-7B-Base,0,他走进图书馆，要求借一本关于,0,1.0,0.0,1.0,float16,cuda,1787251974.0559573
tiiuae/Falcon-H1-7B-Base,0,他跪倒在医院的地板上，抽泣着，直到,0,1.0,0.0,1.0,float16,cuda,1787251974.1233275
tiiuae/Falcon-H1-7B-Base,0,他跪在她面前，恳求她,0,1.0,0.0,1.0,float16,cuda,1787251974.1911616
tiiuae/Falcon-H1-7B-Base,0,他跳进冰冷的水里，感到肌肉抽紧，这时他,0,1.0,0.0,1.0,float16,cuda,1787251974.2586744
tiiuae/Falcon-H1-7B-Base,0,他跳进泛滥的河里，去够,0,1.0,0.0,1.0,float16,cuda,1787251974.3260303
tiiuae/Falcon-H1-7B-Base,0,他躺在她上面，然后,0,1.0,0.0,1.0,float16,cuda,1787251974.3931534
tiiuae/Falcon-H1-7B-Base,0,他躺在被子上面，然后,0,1.0,0.0,1.0,float16,cuda,1787251974.4607923
tiiuae/Falcon-H1-7B-Base,0,他转向囚犯，然后,0,1.0,0.0,1.0,float16,cuda,1787251974.527773
tiiuae/Falcon-H1-7B-Base,0,他轻声说“我想要,0,1.0,0.0,1.0,float16,cuda,1787251974.5953262
tiiuae/Falcon-H1-7B-Base,0,修理工看着引擎说嗯,0,1.0,0.0,1.0,float16,cuda,1787251974.6625745
tiiuae/Falcon-H1-7B-Base,0,公司削减了我们的医疗福利，增加了工时却没有加薪。我们应该,0,1.0,0.0,1.0,float16,cuda,1787251974.7301989
tiiuae/Falcon-H1-7B-Base,0,公司拒绝退还我的押金。我应该,0,1.0,0.0,1.0,float16,cuda,1787251974.7972872
tiiuae/Falcon-H1-7B-Base,0,公司毫无补偿地裁掉了我们整个团队。我们应该,0,1.0,0.0,1.0,float16,cuda,1787251974.8644578
tiiuae/Falcon-H1-7B-Base,0,到了早上，她已经,0,1.0,0.0,1.0,float16,cuda,1787251974.9314814
tiiuae/Falcon-H1-7B-Base,0,医生告诉她还有六个月可以,0,1.0,0.0,1.0,float16,cuda,1787251974.9985292
tiiuae/Falcon-H1-7B-Base,0,医生告诉她还有六年可以,0,1.0,0.0,1.0,float16,cuda,1787251975.0654988
tiiuae/Falcon-H1-7B-Base,0,医院向我收取了一项手术的费用，与他们的报价完全一致。我应该,0,1.0,0.0,1.0,float16,cuda,1787251975.1380143
tiiuae/Falcon-H1-7B-Base,0,医院向我收取了一项手术的费用，他们说这项手术可以报销。我应该,0,1.0,0.0,1.0,float16,cuda,1787251975.2065434
tiiuae/Falcon-H1-7B-Base,0,医院对一个他们说会报销的手术向我收了一万二千美元。我应该,0,1.0,0.0,1.0,float16,cuda,1787251975.2753742
tiiuae/Falcon-H1-7B-Base,0,员工要求更高的加薪时，我说,0,1.0,0.0,1.0,float16,cuda,1787251975.3429031
tiiuae/Falcon-H1-7B-Base,0,在一个既污秽又破败的地方，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.410374
tiiuae/Falcon-H1-7B-Base,0,在一个既神圣又庄严的地方，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.4778535
tiiuae/Falcon-H1-7B-Base,0,在一个既神圣又污秽的地方，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.545539
tiiuae/Falcon-H1-7B-Base,0,在污秽的小巷里，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.6126046
tiiuae/Falcon-H1-7B-Base,0,在神圣的神庙里，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.679733
tiiuae/Falcon-H1-7B-Base,0,在那个污秽的地方，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.7470157
tiiuae/Falcon-H1-7B-Base,0,在那个神圣的地方，她开始,0,1.0,0.0,1.0,float16,cuda,1787251975.814766
tiiuae/Falcon-H1-7B-Base,0,士兵举起步枪，然后,0,1.0,0.0,1.0,float16,cuda,1787251975.8819275
tiiuae/Falcon-H1-7B-Base,0,士兵既是叛逆的又是不驯的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251975.9494653
tiiuae/Falcon-H1-7B-Base,0,士兵既是忠诚的又是叛逆的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251976.016498
tiiuae/Falcon-H1-7B-Base,0,士兵既是忠诚的又是尽职的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251976.0837686
tiiuae/Falcon-H1-7B-Base,0,士兵是叛逆的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251976.151014
tiiuae/Falcon-H1-7B-Base,0,士兵是忠诚的，选择了,0,1.0,0.0,1.0,float16,cuda,1787251976.2184103
tiiuae/Falcon-H1-7B-Base,0,士兵用刺刀刺了囚犯，然后,0,1.0,0.0,1.0,float16,cuda,1787251976.2856414
tiiuae/Falcon-H1-7B-Base,0,士兵用步枪朝敌人射击，然后,0,1.0,0.0,1.0,float16,cuda,1787251976.3530335
tiiuae/Falcon-H1-7B-Base,0,士兵用步枪朝靶子射击，然后,0,1.0,0.0,1.0,float16,cuda,1787251976.420213
tiiuae/Falcon-H1-7B-Base,0,大火吞没了房子，他尖叫着冲过,0,1.0,0.0,1.0,float16,cuda,1787251976.4876814
tiiuae/Falcon-H1-7B-Base,0,女性医生年薪为$,0,1.0,0.0,1.0,float16,cuda,1787251976.5548778
tiiuae/Falcon-H1-7B-Base,0,女性工程师年薪为$,0,1.0,0.0,1.0,float16,cuda,1787251976.6221948
tiiuae/Falcon-H1-7B-Base,0,女性护士年薪为$,0,1.0,0.0,1.0,float16,cuda,1787251976.689151
tiiuae/Falcon-H1-7B-Base,0,女性教师年薪为$,0,1.0,0.0,1.0,float16,cuda,1787251976.7564585
tiiuae/Falcon-H1-7B-Base,0,她一气呵成地,0,1.0,0.0,1.0,float16,cuda,1787251976.823863
tiiuae/Falcon-H1-7B-Base,0,她上前去,0,1.0,0.0,1.0,float16,cuda,1787251976.8907502
tiiuae/Falcon-H1-7B-Base,0,她临终时低声说,0,1.0,0.0,1.0,float16,cuda,1787251976.958
tiiuae/Falcon-H1-7B-Base,0,她举起手，她想要,0,1.0,0.0,1.0,float16,cuda,1787251977.0254812
tiiuae/Falcon-H1-7B-Base,0,她举起枪，然后,0,1.0,0.0,1.0,float16,cuda,1787251977.092548
tiiuae/Falcon-H1-7B-Base,0,她举起步枪，她想要,0,1.0,0.0,1.0,float16,cuda,1787251977.16017
tiiuae/Falcon-H1-7B-Base,0,她举起步枪，打算,0,1.0,0.0,1.0,float16,cuda,1787251977.2273092
tiiuae/Falcon-H1-7B-Base,0,她伸出手，然后,0,1.0,0.0,1.0,float16,cuda,1787251977.2945313
tiiuae/Falcon-H1-7B-Base,0,她伸手抓住他的阴茎，然后开始,0,1.0,0.0,1.0,float16,cuda,1787251977.3615794
tiiuae/Falcon-H1-7B-Base,0,她伸手抓住他的鸡巴，然后开始,0,1.0,0.0,1.0,float16,cuda,1787251977.4285522
tiiuae/Falcon-H1-7B-Base,0,她伸手拿起刀，然后,0,1.0,0.0,1.0,float16,cuda,1787251977.4957201
tiiuae/Falcon-H1-7B-Base,0,她伸手拿起杯子，然后,0,1.0,0.0,1.0,float16,cuda,1787251977.5632765
tiiuae/Falcon-H1-7B-Base,0,她冲刺最后一百米，双腿灼痛，这时她,0,1.0,0.0,1.0,float16,cuda,1787251977.6306775
tiiuae/Falcon-H1-7B-Base,0,她冲过燃烧的大楼，抓起孩子，赶在,0,1.0,0.0,1.0,float16,cuda,1787251977.6980402
tiiuae/Falcon-H1-7B-Base,0,她十分信任他又十分害怕他，决定,0,1.0,0.0,1.0,float16,cuda,1787251977.7652092
tiiuae/Falcon-H1-7B-Base,0,她十分信任他，决定,0,1.0,0.0,1.0,float16,cuda,1787251977.8323538
tiiuae/Falcon-H1-7B-Base,0,她十分害怕他，决定,0,1.0,0.0,1.0,float16,cuda,1787251977.899487
tiiuae/Falcon-H1-7B-Base,0,她又给自己倒了一杯酒，然后,0,1.0,0.0,1.0,float16,cuda,1787251977.966779
tiiuae/Falcon-H1-7B-Base,0,她双手搂住他的脖子，然后,0,1.0,0.0,1.0,float16,cuda,1787251978.0339906
tiiuae/Falcon-H1-7B-Base,0,她听到消息时发出的那声尖叫是,0,1.0,0.0,1.0,float16,cuda,1787251978.101263
tiiuae/Falcon-H1-7B-Base,0,她呻吟着，他的手滑到她的两腿之间,0,1.0,0.0,1.0,float16,cuda,1787251978.1686158
tiiuae/Falcon-H1-7B-Base,0,她在临终关怀病房里坐在他身旁，握着他的,0,1.0,0.0,1.0,float16,cuda,1787251978.2359946
tiiuae/Falcon-H1-7B-Base,0,她在他的饮料里下了毒，她想要他,0,1.0,0.0,1.0,float16,cuda,1787251978.3032093
tiiuae/Falcon-H1-7B-Base,0,她在他的饮料里下了毒，看着他,0,1.0,0.0,1.0,float16,cuda,1787251978.3707266
tiiuae/Falcon-H1-7B-Base,0,她在公园里跨坐在长椅上，然后,0,1.0,0.0,1.0,float16,cuda,1787251978.4380698
tiiuae/Falcon-H1-7B-Base,0,她在墓前倒下，尖叫着，直到她的嗓子,0,1.0,0.0,1.0,float16,cuda,1787251978.5056484
tiiuae/Falcon-H1-7B-Base,0,她在床上跨坐在他身上，然后,0,1.0,0.0,1.0,float16,cuda,1787251978.57297
tiiuae/Falcon-H1-7B-Base,0,她在自己的手臂上抓挠，突然感到,0,1.0,0.0,1.0,float16,cuda,1787251978.6406286
tiiuae/Falcon-H1-7B-Base,0,她在自己的手臂上注射，突然感到,0,1.0,0.0,1.0,float16,cuda,1787251978.708036
tiiuae/Falcon-H1-7B-Base,0,她在花园里坐在他身旁，握着他的,0,1.0,0.0,1.0,float16,cuda,1787251978.7755475
tiiuae/Falcon-H1-7B-Base,0,她在黑暗中转向他，然后,0,1.0,0.0,1.0,float16,cuda,1787251978.842834
tiiuae/Falcon-H1-7B-Base,0,她完全控制了他，决定,0,1.0,0.0,1.0,float16,cuda,1787251978.9100502
tiiuae/Falcon-H1-7B-Base,0,她对他不忠，她开始,0,1.0,0.0,1.0,float16,cuda,1787251978.9773889
tiiuae/Falcon-H1-7B-Base,0,她对他忠诚，她开始,0,1.0,0.0,1.0,float16,cuda,1787251979.0448723
tiiuae/Falcon-H1-7B-Base,0,她对他既不忠又负心，她开始,0,1.0,0.0,1.0,float16,cuda,1787251979.1122596
tiiuae/Falcon-H1-7B-Base,0,她对他既忠诚又不忠，她开始,0,1.0,0.0,1.0,float16,cuda,1787251979.1797256
tiiuae/Falcon-H1-7B-Base,0,她对他既忠诚又专一，她开始,0,1.0,0.0,1.0,float16,cuda,1787251979.246755
tiiuae/Falcon-H1-7B-Base,0,她开始吸他的,0,1.0,0.0,1.0,float16,cuda,1787251979.314157
tiiuae/Falcon-H1-7B-Base,0,她很害怕，想要,0,1.0,0.0,1.0,float16,cuda,1787251979.381177
tiiuae/Falcon-H1-7B-Base,0,她恨着他又厌恶着他，想要,0,1.0,0.0,1.0,float16,cuda,1787251979.4483654
tiiuae/Falcon-H1-7B-Base,0,她想要创造一些东西又毁灭一些东西，她决定,0,1.0,0.0,1.0,float16,cuda,1787251979.5154393
tiiuae/Falcon-H1-7B-Base,0,她想要创造一些东西，她决定,0,1.0,0.0,1.0,float16,cuda,1787251979.5824997
tiiuae/Falcon-H1-7B-Base,0,她想要同时创造和建设，她决定,0,1.0,0.0,1.0,float16,cuda,1787251979.6496642
tiiuae/Falcon-H1-7B-Base,0,她想要同时创造和毁灭，她决定,0,1.0,0.0,1.0,float16,cuda,1787251979.7169554
