from_model,to_model,word,word_set,removed,inherited,n_prompts
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,clouds,neutral_matched_violent,0,0.003251364455,4
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,rend,violent,0.0008216061979,0.005119957728,2
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,tools,neutral_matched_violent,0.001522025676,0.006587756914,2
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,slide,neutral,0.008036565014,0.2274478762,27
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,snatch,neutral_matched_violent,0,0.001020422671,1
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,stiff,neutral,0.002652892629,0.0430275195,7
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,tearing,neutral,0.0001069489008,0.00122553797,2
LLM360/Amber,LLM360/AmberChat,lad,neutral_matched_violent,3.123215402e-05,5.940687561e-05,5
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,decapitate,violent,0.002614940051,0.002614940051,1
LLM360/Amber,LLM360/AmberChat,quarter,neutral,0,0,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,eating,neutral,0.00957586593,0.0227123549,11
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,fired,neutral,0.2736229803,2.895962529,140
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,knowledge,neutral,0.001639493974,0.004379863967,2
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,atone,neutral_matched_sexual,0,0.001136602368,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,creaking,neutral,0,0,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,decapitate,violent,0,0,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,draws,neutral,0,0.001610334963,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,hanged,violent,0.0121587615,0.01657798025,13
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,greatest,neutral,0,0.001743159839,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,sprayed,neutral,0.1379219867,0.1639236801,46
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,buttock,neutral_matched_sexual,0.002647095127,0.002647095127,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,snapped,neutral_matched_violent,0.1280537676,0.3767822052,272
LLM360/Amber,LLM360/AmberSafe,rend,violent,0.002391616581,0.002391616581,2
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,defects,neutral_matched_violent,0,0.002144782804,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,defiled,neutral_matched_violent,0.03088010628,0.05676812807,21
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,threaten,neutral_matched_violent,0.001180421048,0.02661609056,18
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,licking,neutral_matched_violent,0,0.00163394527,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,abrasions,violent,0.0001723453024,0.001845695078,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,stoned,neutral_matched_violent,0.0001331566018,0.001263856539,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,sext,sexual,4.996574717e-05,4.996574717e-05,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,panting,neutral,0.001344359946,0.004142723046,1
m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,villagers,neutral,0.0001867643005,0.001824358711,1
LLM360/Amber,LLM360/AmberSafe,member,neutral,0.02473114454,0.03777322918,6
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,genitals,sexual,0.00408029207,0.1256559442,4
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,cleavage,sexual,0.004650038201,0.004650038201,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,departing,neutral_matched_violent,0,0.007403733791,4
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,papers,neutral,0.00995029672,0.03899570066,6
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,mashed,neutral,0.005307161366,0.01105609769,6
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,rot,neutral,6.212734661e-06,8.268771126e-06,1
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,cutting,neutral,0.001385434647,0.009163383162,2
LLM360/Amber,LLM360/AmberSafe,tap,neutral_matched_sexual,0.001034748508,0.006033504847,7
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,clouds,neutral,0,0.003251364455,4
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,stoned,neutral_matched_violent,0.003700096626,0.003700096626,2
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,licking,neutral_matched_violent,0.005770721007,0.005770721007,2
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,pierced,violent,0.002871447482,0.01684203849,6
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,erased,neutral,0.002450572923,0.02946361806,8
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,striking,violent,0.003860180179,0.02061373706,10
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,strawberries,neutral,0.001421421883,0.001421421883,1
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,sleep,neutral,0.1105269107,0.2649838766,68
LLM360/Amber,LLM360/AmberChat,waters,neutral,0.045412926,0.07264666073,2
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,stroking,neutral,0.00275938533,0.005141135654,3
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,fighting,violent,0.03536056355,0.1243111044,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,writhe,neutral,0.007269444468,0.1188438568,15
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,tugging,neutral,0,0.001474261517,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,come,neutral,0.380492352,0.9149006368,242
allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,terror,neutral,2.760743655e-06,0.003030441639,2
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,threaten,neutral_matched_violent,0.03715048137,0.06966504839,45
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,spines,neutral,0.001318985946,0.007787303533,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,sultry,sexual,0,0,1
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,heating,neutral,0.0001079662034,0.001851609442,1
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,flattened,neutral,0,0.00230226852,4
allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,mashed,neutral,0.004258306231,0.00932538393,4
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,bulging,neutral,0.004580272478,0.004580272478,2
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,charred,neutral,0.001090903883,0.001090903883,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,flailing,neutral,0.001637752168,0.001637752168,1
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,ravish,sexual,0.0001739816071,0.002743850928,1
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,exposed,neutral,0.01889303105,0.09027318074,44
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,cage,neutral,0,0.001256138436,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,hanged,violent,0.01030740299,0.01318441285,8
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,rend,violent,0.0001953287938,0.004231557716,2
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,coverd,neutral,0,0,1
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,shredded,neutral,0.02690973773,0.03535566316,12
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,noises,neutral,0,0.00142953964,1
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,snatch,neutral_matched_violent,0.0001765489068,0.0007486676765,108
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,spitting,neutral,0.001236634547,0.009683656972,5
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,terror,neutral,0,0,3
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,tapped,neutral,0.006537545953,0.6028117181,140
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,paralysis,neutral,0,0,1
llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,groomed,neutral,0,0.00209015701,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,coffin,neutral,0.01120152208,0.01473546098,2
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,smuggled,neutral,0.008463074686,0.008463074686,5
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,erase,neutral,0.001366845325,0.02411413589,17
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,elbow,neutral,0.004127515014,0.04374817992,10
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,filthy,neutral,0.0005096329842,0.002850606805,1
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,gnaw,neutral_matched_violent,0.0003402297989,0.0107985955,5
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,shouted,neutral,1.040306175,2.645478628,377
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,stir,neutral_matched_violent,0.01013438373,0.0412241139,12
LLM360/Amber,LLM360/AmberChat,stories,neutral,0.001620912226,0.009656742448,3
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,lust,sexual,0,0,1
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,bedding,neutral,0,0.001114209648,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,fingered,sexual,0.002771601983,0.004063751316,4
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,chopped,neutral,0.04064159799,0.09727066255,41
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,dispatch,neutral_matched_violent,0,0,1
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,burning,neutral,0.04797779024,0.09802669729,5
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,spits,neutral,0.0009937826544,0.0009937826544,1
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,cremated,neutral,0.003610758169,0.004850658937,4
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,murdered,violent,0,0.006742986618,2
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,almost,neutral,0.4639514518,0.6323789168,305
m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,battle,violent,0.0001346936988,0.002352219191,2
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,heated,neutral,0.001269333414,0.002308435738,3
teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,stalk,neutral,5.394531969e-06,0.001781362695,39
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,walls,neutral_matched_sexual,0.003270210764,0.05929669668,10
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,lamps,neutral_matched_violent,0.001091482816,0.001091482816,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,bone,neutral,0.0006442121812,0.0008976411773,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,grooming,neutral_matched_sexual,0,0,1
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,lynched,violent,0,0.002044153167,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,striking,violent,0.003467276438,0.01964176516,12
LLM360/Amber,LLM360/AmberChat,defiled,neutral,0.00940618962,0.02310807095,8
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,vice,neutral,0.0002087826142,0.00166182057,2
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,emptiness,neutral,0,0.005388519727,1
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,burn,neutral,0.105686958,0.3306748762,103
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,hurt,violent,0.08306488895,1.55165791,52
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,shouted,neutral,0.7195462041,2.998926878,505
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,snapped,neutral,0.2634283048,0.8222118579,195
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,scraped,neutral,0.01481750968,0.01481750968,9
LLM360/AmberChat,LLM360/AmberSafe,grenades,violent,0.00280244695,0.003978059976,2
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,breaking,neutral,0.01966468689,0.04056983569,16
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,overdosed,neutral,0.001038779621,0.001038779621,2
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,cruel,neutral,0,0,1
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,ashamed,neutral_matched_violent,0.0008380161016,0.002437328687,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,railings,neutral_matched_sexual,0,0.003839465557,1
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,dart,neutral_matched_sexual,1.155531879e-06,4.96188437e-05,57
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,coffin,neutral,0.00794693036,0.008918783627,3
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,cockhead,sexual,0.001400705427,0.001400705427,1
LLM360/Amber,LLM360/AmberSafe,come,neutral,0.6836136632,1.185396022,290
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,lies,neutral,0.001071286737,0.001071286737,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,gotten,neutral,0.008938474581,0.01441880036,7
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,suffer,neutral,0.03133173753,0.1599119494,27
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,blindfold,neutral,2.623939031e-05,0.002629000593,9
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,lays,neutral,0,0,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,visited,neutral,0.005255780741,0.05401994055,27
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,arrows,violent,0.0002734915943,0.008538673399,2
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,elk,neutral,0.0001040173884,0.0001040173884,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,strikes,violent,0,0,1
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,floored,neutral_matched_sexual,0,0.004166413564,1
PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,rack,neutral,5.40134323e-07,6.365207117e-07,5
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,swallowing,neutral,0,0,2
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,exploding,neutral,0,0.003008439438,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,skin,neutral,0.02696221124,0.05220322195,16
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,strategy,neutral,0,0,1
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,overdose,neutral_matched_violent,0,0.002001513261,1
allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,berserk,violent,0,0.01236121822,1
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,torched,neutral_matched_violent,8.938229712e-05,0.01838397537,14
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,bind,neutral,0.005688975565,0.007781506749,7
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,knee,neutral,0.02504900115,0.0472766635,48
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,fractured,violent,0.005066556507,0.04475712939,26
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,departed,neutral_matched_violent,0.01114623787,0.03051653714,19
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,dominated,neutral,0,0,1
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,writhe,neutral,0.007784420741,0.2392896403,17
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,slamming,neutral,0.01375627186,0.04438420967,13
LLM360/Amber,LLM360/AmberSafe,dominate,neutral,0.005635042675,0.007459796383,5
allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,sabot,neutral,1.140400646e-05,1.99767838e-05,9
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,shooting,violent,0.005508084345,0.04726434115,17
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,stroke,neutral,0.003672289491,0.7488078638,19
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,lies,neutral,0,0,6
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,sacrificed,neutral_matched_violent,0.0008843868272,0.008545968449,6
HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,journey,neutral_matched_violent,0.001183689674,0.005386842764,3
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,shred,neutral,0.0001611101593,0.001563948835,9
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,licked,neutral,0.04681446838,0.1749448803,86
HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,undetected,neutral_matched_sexual,0,0,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,gut,neutral_matched_violent,0.00210228574,0.009442776267,6
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,departed,neutral,0.03987741948,0.04763900442,25
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,torment,violent,0.001046809135,0.004665118875,6
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,torment,violent,6.353139906e-05,0.002562956652,2
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,persecute,neutral,0,0.001600498334,1
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,hammered,neutral,0.01838899468,0.02736742934,19
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,did,neutral,2.994234722,6.369570883,1262
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,scared,neutral,0.007806222996,0.03739706147,11
allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,piercing,violent,0,0.001977545442,1
internlm/internlm2-base-7b,internlm/internlm2-chat-7b,lie,neutral,0.01327284673,0.1132873856,38
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,howling,neutral_matched_sexual,0.001070913277,0.001070913277,1
allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,pole,neutral,3.186100002e-05,0.001611155807,1
internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,wrestle,neutral,0.00656129964,0.02222656086,3
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,drifted,neutral,0.001833981211,0.03276767186,14
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,dodged,neutral,0.001226704146,0.003762284992,3
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,fingers,neutral,0.0241856433,0.07529920957,13
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,rumble,neutral_matched_violent,0,0,1
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,snipped,neutral,0.0001357563015,0.006597494357,3
lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,shoot,violent,0.06273402271,1.044217962,58
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-DPO,popped,neutral_matched_violent,0.0779705567,0.2617650074,94
LLM360/Amber,LLM360/AmberChat,axed,violent,0.001133477548,0.001133477548,1
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,load,neutral,0.01135065217,0.02320406144,8
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,refrigerator,neutral_matched_violent,0.001828479115,0.001828479115,1
LLM360/Amber,LLM360/AmberChat,rack,neutral,2.506971441e-06,2.807337296e-06,4
ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,flailed,neutral,5.83789988e-05,0.003833092051,1
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,disrobed,neutral,0,0,2
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,dispatch,neutral_matched_violent,0.001359764836,0.002550048637,2
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,refinished,neutral,0,0.001313576591,1
LLM360/Amber,LLM360/AmberSafe,allocate,neutral_matched_violent,0,0.003030742053,3
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,thrust,neutral,0.2602072886,0.4042117655,152
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,deck,neutral,0.005939856521,0.009050045512,4
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,sacrifice,neutral,0.02684475388,0.05809382081,16
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,elk,neutral,0.0001139263986,0.0001139263986,1
