analysis,comparison,prompt,item,domain,n_words,n_lineages,n_folds,model,r2
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,emp_mean,0.0344658446787518
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,names12,0.02347606777364175
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,bge_pcs,0.02171969202189039
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,bge_axis,0.003920097068271788
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,logp,-0.0044488986361477245
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,names_logp,0.026603131303922667
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:aggression,-0.0071590196687352226
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:deliberation,-0.011563807095208434
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:directedness,-0.013657076167337578
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:fit,-0.01150975210757843
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:harm,-0.006365774409997194
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:hedged,-0.01088222974145836
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:interiority,-0.007869046122022993
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:makes_better,-0.0036917395981088674
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:makes_worse,-0.00241449745304001
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:mundanity,-0.009353517359599106
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:superego,0.0119035035788152
loo,v6_only,The cop pinned him to the ground and started to,nn_andstartedto_ded505ff,violence,81,20,20,1:vocalisation,-0.0018772226514480739
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,emp_mean,-0.0006991143663250821
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,names12,-0.0006245871760430788
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,bge_pcs,0.011292289043818293
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,bge_axis,-0.003931313911886614
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,logp,-0.0056007219181939405
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,names_logp,0.002594441644065637
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:aggression,-0.0031775378684304467
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:deliberation,-0.007133201781978071
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:directedness,-0.009848798477645193
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:fit,-0.010048864529079937
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:harm,-0.008967840040860153
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:hedged,-0.007263448745961076
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:interiority,-0.005457116802023654
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:makes_better,-0.006951832829943383
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:makes_worse,-0.00927321385219626
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:mundanity,-0.007658304057676091
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:superego,-2.59141665690521e-05
loo,v6_only,The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,20,1:vocalisation,-0.006457551898020775
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,emp_mean,0.10094717812060106
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,names12,0.04391155094500876
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,bge_pcs,0.08765396066304643
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,bge_axis,0.060309408423984356
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,logp,0.0029234249766220133
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,names_logp,0.08239410911835576
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:aggression,-0.007524629471417299
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:deliberation,-0.006661872991646556
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:directedness,0.02004618653039869
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:fit,-0.009527814833873549
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:harm,-0.007655862886119635
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:hedged,-0.006661872991646556
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:interiority,-0.009365780132026824
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:makes_better,0.003545932098899529
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:makes_worse,-0.0076815311638682715
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:mundanity,0.04411424207686088
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:superego,-0.006661872991646556
loo,v6_only,She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,20,1:vocalisation,-0.006661872991646556
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,emp_mean,0.007584404833214875
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,names12,0.013349993439000785
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,bge_pcs,0.03435080548087899
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,bge_axis,0.027657535786305143
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,logp,-0.0002517679397651129
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,names_logp,0.025640950891606562
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:aggression,-0.0071705482415898025
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:deliberation,-0.005543710987005124
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:directedness,0.005173318957107487
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:fit,-0.012856131343087274
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:harm,-0.009092745952934633
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:hedged,-0.005543710987005124
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:interiority,-0.005543710987005124
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:makes_better,-0.010165718791565581
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:makes_worse,-0.007741049288884527
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:mundanity,0.02333559379494965
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:superego,-0.005543710987005124
loo,v6_only,He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,20,1:vocalisation,-0.005543710987005124
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,emp_mean,0.011510892283162377
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,names12,0.004541862344656811
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,bge_pcs,0.0006402929292324
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,bge_axis,-4.580879890814238e-05
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,logp,-0.004277542691066394
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,names_logp,0.00206513329192215
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:aggression,0.0038597745206793155
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:deliberation,-0.007083289088596345
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:directedness,-0.006880977847037784
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:fit,0.003781875735446305
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:harm,-0.007251037586038844
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:hedged,-0.006013522943272065
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:interiority,-0.005876762453239426
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:makes_better,-0.0008033972441310322
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:makes_worse,-0.005299715207791822
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:mundanity,-0.00261907459608679
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:superego,-0.006474331489257246
loo,v6_only,She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,20,1:vocalisation,-0.0030652437363811735
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,emp_mean,-0.002869771090130202
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,names12,-0.00980408262710819
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,bge_pcs,0.0009584483966380564
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,bge_axis,0.0008494805780960846
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,logp,-0.01356775218974171
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,names_logp,-0.00556758829931181
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:aggression,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:deliberation,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:directedness,-0.014101767484290928
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:fit,-0.014564341772112854
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:harm,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:hedged,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:interiority,-0.010329516545119377
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:makes_better,-0.002510864510882227
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:makes_worse,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:mundanity,-0.01609645357158418
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:superego,-0.013799865169967118
loo,v6_only,She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,20,1:vocalisation,-0.013976785258189572
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,emp_mean,0.03390499641379374
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,names12,-0.003576657872867095
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,bge_pcs,0.052518917248358
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,bge_axis,0.0025026075448362217
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,logp,0.0026959295541113537
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,names_logp,0.011421936918769804
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:aggression,-0.00951731737177508
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:deliberation,-0.008602933793355527
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:directedness,-0.012292122502670644
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:fit,-0.01155024501837043
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:harm,-0.00951731737177508
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:hedged,-0.009663684236647763
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:interiority,-0.001098614401448872
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:makes_better,-0.010110415776927839
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:makes_worse,-0.012744232010368561
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:mundanity,-0.010398156097428446
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:superego,-0.007950079187323933
loo,v6_only,He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,20,1:vocalisation,-0.01069380217177951
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,emp_mean,0.013764561272180731
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,names12,-0.00801500183473558
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,bge_pcs,0.04352755475185721
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,bge_axis,0.007484036804299432
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,logp,-0.012264329026325793
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,names_logp,-0.010176884467199221
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:aggression,-0.007174392135003149
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:deliberation,-0.010132374341337291
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:directedness,-0.010235251864629813
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:fit,-0.006244084660431248
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:harm,-0.007844176617063825
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:hedged,-0.01091232187327762
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:interiority,0.0018167056158558959
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:makes_better,-0.009952352685560495
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:makes_worse,-0.015747248416689397
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:mundanity,-0.0048188953842926985
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:superego,-0.00917854453837319
loo,v6_only,She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,20,1:vocalisation,-0.007844176617063825
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,emp_mean,0.03531388564172866
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,names12,0.02634455009457859
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,bge_pcs,0.03109122023406019
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,bge_axis,-0.004096121471599545
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,logp,-5.419619165580869e-05
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,names_logp,0.02466529146443497
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:aggression,0.01637000628673113
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:deliberation,0.0005902953766864227
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:directedness,-0.004607937670022766
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:fit,0.02324862217529411
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:harm,8.532536174055139e-05
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:hedged,-0.001748815382543123
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:interiority,-0.003134835201691777
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:makes_better,0.013051771073459117
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:makes_worse,0.014257764902272152
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:mundanity,0.013942350995514996
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:superego,-0.003498039030409128
loo,v6_only,He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,20,1:vocalisation,-0.004848733658872062
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,emp_mean,0.002078212163484472
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,names12,0.006728021345938862
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,bge_pcs,-0.00046344892391525505
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,bge_axis,-0.003488398264769099
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,logp,-0.008657140200419855
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,names_logp,0.006257147386072304
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:aggression,-0.007460043990398901
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:deliberation,-0.007460043990398901
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:directedness,-0.009854574153876472
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:fit,-0.008092363736355912
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:harm,-0.00980508384030343
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:hedged,-0.007460043990398901
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:interiority,0.007297752378849109
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:makes_better,-0.001037413314827873
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:makes_worse,-0.006990361629182429
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:mundanity,-0.010396352384757446
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:superego,-0.007460043990398901
loo,v6_only,She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,20,1:vocalisation,-0.008016522431242734
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,emp_mean,0.033329532107013726
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,names12,-0.013256609811236775
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,bge_pcs,0.01725017780237381
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,bge_axis,-0.00686365734501293
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,logp,-0.011581209192131237
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,names_logp,-0.013653350292174737
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:aggression,-0.010785706501670989
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:deliberation,-0.010785706501670989
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:directedness,-0.010785706501670989
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:fit,-0.01304928650962811
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:harm,-0.011956925349201564
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:hedged,-0.010785706501670989
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:interiority,-0.00667418849361745
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:makes_better,-0.011429159932442312
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:makes_worse,-0.01240260988881059
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:mundanity,-0.011860277010434572
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:superego,-0.010785706501670989
loo,v6_only,He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,20,1:vocalisation,-0.01097249838205494
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,emp_mean,0.08047909168664669
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,names12,0.04215126629412724
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,bge_pcs,0.05189726304107567
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,bge_axis,0.04811412365268808
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,logp,0.03506099007521546
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,names_logp,0.07504771710747282
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:aggression,-0.008044003503799413
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:deliberation,0.020097445927802937
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:directedness,-0.008044003503799413
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:fit,-0.005905832645091591
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:harm,-0.006071710149058163
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:hedged,-0.008044003503799413
loo,v6_only,She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,20,1:interiority,-0.008044003503799413
