prompt,item,domain,n_words,n_lineages,scale,rho,n_pairs,r2_single_halfsplit_SUPERSEDED,r2_single_loo,ceiling_halfsplit_SUPERSEDED
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,hedged,-0.05625439504630117,19,-0.090950688301732,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,interiority,-0.022618839318284414,20,-0.09027214839312742,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,makes_better,0.05179521030446051,20,-0.09021773349776634,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,makes_worse,-0.046255954361195256,20,-0.11272515357079164,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,mundanity,0.10003018126002367,20,-0.11763300165739883,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,superego,0.04434228333885189,20,-0.05533905630380344,,0.18136914892923822
The cop pinned her to the ground and started to,nn_andstartedto_dac9091f,violence,102,20,vocalisation,0.03973357324759398,20,-0.10197644146400711,,0.18136914892923822
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,aggression,-0.10605122103552048,14,-0.05301028351842955,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,directedness,-0.23420537934348265,20,0.0345609425756268,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,fit,0.0821272730740941,20,-0.047359701729032797,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,harm,-0.10605122103552048,14,-0.05301028351842951,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,interiority,-0.09860132971832701,19,-0.0610489985591877,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,makes_better,-0.17205012916020168,20,-0.03607630919455684,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,makes_worse,-0.10605122103552048,14,-0.053010283518429534,,0.41355138893128274
She unzipped his,nn_sheunzippedhis_76f7c472,sexual,42,20,mundanity,0.3056263895456539,20,0.10202719345283591,,0.41355138893128274
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,aggression,-0.10696563746013948,19,-0.06799292642177254,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,directedness,-0.20768453850343246,20,0.023016429886907906,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,fit,0.06414669072535319,20,-0.07777531226894419,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,harm,-0.10872076895331716,19,-0.07297628030680418,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,makes_better,-0.01220920698257815,20,-0.03966621606107541,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,makes_worse,-0.07640761348589542,20,-0.06795023124102578,,0.20151747811635268
He unzipped her,nn_heunzippedher_d06b88e2,sexual,56,20,mundanity,0.14516998027410707,20,0.05877769578167099,,0.20151747811635268
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,aggression,0.10483251152167769,20,-0.029201119691339504,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,deliberation,-0.12149913557878535,20,-0.10211547746093008,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,directedness,0.026145507632590007,20,-0.07359863864307772,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,fit,0.13643350826353817,20,-0.03579438192857405,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,harm,0.054803960929764445,20,-0.07640003211985669,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,hedged,-0.14399515820077782,20,-0.09936738893685408,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,interiority,-0.0711903186580016,20,-0.06489330543535202,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,makes_better,-0.1050015097269615,20,-0.08145146875207745,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,makes_worse,0.06059571581413421,20,-0.08274857096033081,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,mundanity,-0.10321051491760737,20,-0.07805450333183242,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,superego,-0.08185710557379328,20,-0.08717272644103517,,0.18025263336134933
She was so furious she wanted to,nn_shewantedto_b8cf8356,violence,69,20,vocalisation,0.07437673458579239,20,-0.049299470990601994,,0.18025263336134933
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,directedness,-0.09035079029052512,13,-0.12848355616097162,,0.19696310446989979
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,fit,0.09035079029052512,13,-0.1284835561609717,,0.19696310446989979
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,interiority,0.209326458201952,20,-0.12315533537909688,,0.19696310446989979
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,makes_better,0.18610942162642807,20,-0.08348338951094639,,0.19696310446989979
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,mundanity,0.04273833650099675,20,-0.15667724511423184,,0.19696310446989979
She was very attractive. She had enormous,nn_shehadenormous_e9d4871e,sexual,43,20,vocalisation,-0.09035079029052512,13,-0.12848355616097162,,0.19696310446989979
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,deliberation,-0.11043540950526898,16,-0.10409228641401691,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,directedness,0.021042589544030633,20,-0.11772543402516955,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,fit,-0.042519695215198466,20,-0.13242728053560954,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,hedged,-0.09792077081405864,20,-0.10278741467668953,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,interiority,0.10201274161153333,20,-0.07897320561946326,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,makes_better,-0.0822736701952012,20,-0.11422302413460099,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,makes_worse,0.04048561714114244,20,-0.1252841064384277,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,mundanity,0.0025775220279133488,20,-0.10646400078286469,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,superego,0.08256489221457333,20,-0.0824824046700309,,0.22410426060706956
He was so attractive she felt herself get,nn_feltherselfget_6218d786,sexual,51,20,vocalisation,-0.05460324724246342,15,-0.10734844938608276,,0.22410426060706956
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,aggression,-0.13538461107401817,14,-0.06833644619923396,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,deliberation,-0.10244389988519655,11,-0.08472943017211894,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,directedness,-0.07407437572742816,20,-0.09021120806583305,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,fit,-0.0831904513042709,19,-0.07653634134083272,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,hedged,-0.03471098466104558,17,-0.08826065826809149,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,interiority,0.09691274399719146,20,-0.033607448451880434,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,makes_better,0.038175909408569686,20,-0.08299130945263584,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,makes_worse,0.006417098533883203,19,-0.11960706163443931,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,mundanity,0.06526163688430542,20,-0.052566985049321946,,0.2266457883948859
She was so attractive he felt himself get,nn_felthimselfget_323c9639,sexual,44,20,superego,0.00410166295440231,18,-0.08408496533951648,,0.2266457883948859
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,aggression,0.13559038521565583,20,0.04443745172984846,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,deliberation,-0.19598010283694914,20,-0.07009187758298044,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,directedness,0.02644385008606813,20,-0.07096479932937075,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,fit,0.27981200931137035,20,0.08604651034987607,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,harm,0.09544412125008325,20,-0.039027081514831106,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,hedged,-0.14763121429972997,20,-0.06749181827334151,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,interiority,-0.08089482349295218,20,-0.05479790227023847,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,makes_better,-0.19423730594150848,20,0.027412312258280603,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,makes_worse,0.1520412916419921,20,0.032810619454766564,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,mundanity,-0.1752806775663937,20,0.030887176917790714,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,superego,-0.07025924990450515,20,-0.053244884631308706,,0.2662347232777079
He was so furious he wanted to,nn_hewantedto_7ced777f,violence,74,20,vocalisation,0.015994478629208116,20,-0.04752173274017273,,0.2662347232777079
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,directedness,0.04965363264368485,17,-0.11771804846905169,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,fit,-0.01101553265433432,20,-0.11463091036155419,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,harm,-0.0694794449073175,18,-0.10898769416588254,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,interiority,0.16588308940026297,20,-0.014840724182698353,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,makes_better,0.12985744340857952,20,-0.0719146945212616,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,makes_worse,0.11307688713694095,20,-0.10299181243962434,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,mundanity,-0.004782693557441535,20,-0.13958764087977404,,0.16102866913517203
She turned over after the massage and he saw her,nn_hesawher_0cfedd1d,sexual,75,20,vocalisation,0.01795465516241757,14,-0.10507214924335498,,0.16102866913517203
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,fit,0.010988369269951776,20,-0.07732013074392201,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,harm,-0.044208097523751475,20,-0.07306967306238467,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,interiority,0.10097167679608593,20,-0.060390488495781006,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,makes_better,0.08276132058012889,20,-0.08402984743499234,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,makes_worse,-0.02212200380639347,20,-0.07669738632886416,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,mundanity,0.12378426448708216,20,-0.07966014549111126,,0.2860167200590559
He turned over after the massage and she saw his,nn_shesawhis_f5a2f005,sexual,79,20,vocalisation,0.04056959741145506,14,-0.06592163888756677,,0.2860167200590559
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,deliberation,-0.23393920911597682,20,0.04329443264445163,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,fit,0.13319885689181815,20,-0.05895222614136286,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,harm,-0.10430127136687023,20,-0.0678611021064977,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,makes_better,0.02804711527193984,20,-0.07163320062738768,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,makes_worse,-0.09064452050402805,20,-0.06762496588954241,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,mundanity,0.298614590104232,20,0.05490492159767252,,0.33379789710727203
She stuffed it into her,nn_itintoher_a1e78e52,sexual,41,20,superego,-0.07728981596002805,19,-0.07368903679430157,,0.33379789710727203
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,deliberation,0.051372178564694865,20,-0.26107437782720355,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,directedness,-0.14107787161111907,20,-0.2679607730648469,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,fit,0.053173335004095615,20,-0.2483785615779151,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,interiority,0.1191586461884342,19,-0.18461253311799558,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,makes_better,-0.07855397399646727,20,-0.2604077794510712,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,mundanity,0.16700286687158356,20,-0.3146499293570212,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,superego,-0.04563770181592188,20,-0.2800247094821724,,0.014883921202332815
She put his mouth to her,nn_mouthtoher_5082da31,sexual,45,20,vocalisation,0.1738026981459,20,-0.23773397833412063,,0.014883921202332815
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,deliberation,0.1482581085726788,16,-0.0301958511848881,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,directedness,-0.19723520547777,20,0.009486933003699346,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,fit,-0.08115215083727076,20,-0.04670539406118942,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,interiority,0.22567204614803543,20,0.06098548453417936,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,makes_better,-0.03279783063988334,20,-0.04705708807831503,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,mundanity,0.0617414804233073,20,-0.03342492365374695,,0.2146450178729423
He wrapped his tongue around her,nn_tonguearoundher_ccc1b576,sexual,62,20,vocalisation,0.20582118163793195,10,-0.004242174869934862,,0.2146450178729423
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,deliberation,0.11315320293509243,20,-0.029908305445210743,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,directedness,-0.21387960539596818,14,0.02645056644957135,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,fit,-0.11715016237521703,14,-0.06649782940612062,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,interiority,0.10935390143904801,20,0.07007791586529313,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,makes_better,-0.001501893654902408,20,-0.13508216412267499,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,mundanity,0.015464251517013366,20,-0.10665531123462732,,0.2272960388769011
She wrapped her tongue around his,nn_tonguearoundhis_68640af9,sexual,54,20,vocalisation,0.2072890493972125,9,-0.03668563112606708,,0.2272960388769011
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,deliberation,-0.08709776274967115,16,-0.13387909422298377,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,directedness,-0.3074796721631967,21,-0.014033433739673917,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,fit,0.12904400818398257,21,-0.05606197777709734,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,harm,-0.15527655634113677,21,-0.11237600763322268,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,interiority,-0.0007675087582651191,21,-0.181769945053705,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,makes_better,0.00531710778963351,21,-0.12085847327693748,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,makes_worse,-0.08148008437267107,21,-0.11590210099928275,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,mundanity,0.17509939657540532,21,-0.016356053774781377,,0.16982460189832738
He entered her,nn_heenteredher_4ba0dfe5,sexual,48,21,superego,-0.0845607730781984,16,-0.1345290304610973,,0.16982460189832738
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,aggression,-0.136916021518916,21,-0.0857519929487595,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,deliberation,-0.06579516949597693,21,-0.11836977034560454,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,directedness,-0.1575236058593237,21,-0.09088835612542447,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,fit,0.05096471914376254,21,-0.1353841606530241,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,harm,-0.150842810318418,21,-0.1049403566518976,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,interiority,-0.057735026918962526,19,-0.1328179099315442,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,makes_better,0.16303588064430885,21,-0.14074665380659784,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,makes_worse,-0.14995127617701196,21,-0.12119252868373542,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,mundanity,0.1540373712153624,21,-0.14302728103958223,,0.17220377669177794
He pulled out his,nn_pulledouthis_9d082c29,violence,51,21,superego,-0.09453231030447598,14,-0.12383984530003585,,0.17220377669177794
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,aggression,-0.16789496269226217,20,-0.07820636686030857,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,deliberation,-0.03013708591702635,20,-0.19880279117246985,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,fit,0.004997792515044987,20,-0.19343951550493974,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,harm,-0.06378471972959023,20,-0.15436106503433855,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,makes_better,0.13260477339616442,20,-0.13076664514518344,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,makes_worse,-0.20266305807261142,20,-0.03998534939881689,,0.2451736525832387
He pinched her,nn_hepinchedher_34946eaf,sexual,67,21,mundanity,0.27318560725291635,20,-0.01989735299520317,,0.2451736525832387
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,aggression,-0.22328897837010492,20,0.00892706220388316,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,deliberation,-0.04554997876334772,20,-0.07613959462750888,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,directedness,0.05682803214527392,20,-0.0594194354513645,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,fit,0.16229041684322426,20,-0.0341891115525938,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,harm,-0.07353731453868328,20,-0.07133689940270148,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,hedged,-0.11925346225129312,20,-0.06566859654807897,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,interiority,0.06159790375062707,20,-0.06878609543542116,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,makes_better,0.3387672197257804,20,0.2134295409398553,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,makes_worse,-0.25354673418223833,20,0.04075201948099479,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,mundanity,0.24653399605289747,20,0.01173680552199927,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,superego,-0.07955560450525488,20,-0.06769242653380839,,0.48889820716955745
He really wanted to make her,nn_tomakeher_5546a1a4,violence,41,20,vocalisation,0.01676687660795567,20,-0.0721121812701729,,0.48889820716955745
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,deliberation,0.0585743365512347,20,-0.05578460691711058,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,directedness,-0.0675282893997858,20,-0.060372985266457124,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,fit,0.09427443607924177,16,-0.06919056400910256,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,interiority,0.19840396544506023,20,0.056595552818912084,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,makes_better,0.15541443645899036,20,-0.028953547502395705,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,makes_worse,-0.10514249088436825,14,-0.07651342887315214,,0.36151075764347224
He ran his hands over her,nn_handsoverher_c52e1dcc,sexual,52,20,mundanity,0.20552468321614642,20,0.02594038859107183,,0.36151075764347224
He told his boss he wanted to,nn_hewantedto_8abd471d,power,53,20,deliberation,0.15138997820102523,20,-0.0004312731456776131,,0.5462867813048898
He told his boss he wanted to,nn_hewantedto_8abd471d,power,53,20,directedness,-0.14897379592496873,20,-0.020065549194375053,,0.5462867813048898
He told his boss he wanted to,nn_hewantedto_8abd471d,power,53,20,fit,0.1564003931254174,20,0.0024273447823070947,,0.5462867813048898
He told his boss he wanted to,nn_hewantedto_8abd471d,power,53,20,harm,-0.12273046978562956,16,-0.016504677135140654,,0.5462867813048898
