word,group,condition,side,share,n,units
concerns,inst,"Aligned, chat",institution,0.36283068783068784,7560,42
concerns,inst,API,individual,0.12638888888888888,720,4
concerns,inst,API,institution,0.38333333333333336,720,4
ensure,inst,"Base, raw",individual,0.027248677248677248,7560,42
ensure,inst,"Base, raw",institution,0.0458994708994709,7560,42
ensure,inst,"Aligned, raw",individual,0.09748677248677248,7560,42
ensure,inst,"Aligned, raw",institution,0.19087301587301586,7560,42
ensure,inst,"Aligned, chat",individual,0.16164021164021164,7560,42
ensure,inst,"Aligned, chat",institution,0.29788359788359786,7560,42
ensure,inst,API,individual,0.05555555555555555,720,4
ensure,inst,API,institution,0.175,720,4
offer,inst,"Base, raw",individual,0.036904761904761905,7560,42
offer,inst,"Base, raw",institution,0.05568783068783069,7560,42
offer,inst,"Aligned, raw",individual,0.0667989417989418,7560,42
offer,inst,"Aligned, raw",institution,0.14603174603174604,7560,42
offer,inst,"Aligned, chat",individual,0.10674603174603174,7560,42
offer,inst,"Aligned, chat",institution,0.25912698412698415,7560,42
offer,inst,API,individual,0.2263888888888889,720,4
offer,inst,API,institution,0.30694444444444446,720,4
