scene,prompt,base,aligned,faller,riser,scale,out_faller,out_riser,d_faller,d_riser
tookoff,She slowly took off her,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,top,shoes,Ccharge,-48.0,-9.0,-0.03212,+0.10200
tookoff,She slowly took off her,llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,clothes,glasses,Ccharge,-61.0,-16.0,-0.10032,+0.17027
tookoff,She slowly took off her,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,clothes,coat,Ccharge,-61.0,-12.5,-0.06829,+0.05899
tookoff,She slowly took off her,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,clothes,coat,Ccharge,-61.0,-12.5,-0.01004,+0.02670
tookoff,She slowly took off her,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,shoes,glasses,Ccharge,-9.0,-16.0,-0.04142,+0.07993
tookoff,She slowly took off her,google/gemma-2-9b,google/gemma-2-9b-it,clothes,mask,Ccharge,-61.0,-15.0,-0.10063,+0.03601
tookoff,She slowly took off her,google/recurrentgemma-9b,google/recurrentgemma-9b-it,glasses,boots,Ccharge,-16.0,-20.0,-0.02869,+0.09302
tookoff,She slowly took off her,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,glasses,bra,Ccharge,-16.0,-91.0,-0.02601,+0.02850
tookoff,She slowly took off her,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,shoes,gloves,Ccharge,-9.0,-31.0,-0.03155,+0.03065
tookoff,She slowly took off her,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,robe,clothes,Ccharge,-57.5,-61.0,-0.01904,+0.08133
tookoff,She slowly took off her,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,clothes,glasses,Ccharge,-61.0,-16.0,-0.01482,+0.03812
tookoff,She slowly took off her,openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,robe,dress,Ccharge,-57.5,-57.5,-0.03898,+0.03888
tookoff,She slowly took off her,RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,hat,clothes,Ccharge,-6.5,-61.0,-0.01342,+0.04345
tookoff,She slowly took off her,huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,jacket,shoes,Ccharge,-13.5,-9.0,-0.01418,+0.23909
tookoff,She slowly took off her,tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,clothes,bra,Ccharge,-61.0,-91.0,-0.09171,+0.04722
tookoff,She slowly took off her,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,clothes,coat,Ccharge,-61.0,-12.5,-0.02317,+0.04376
tookoff,She slowly took off her,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,panties,shirt,Ccharge,-93.5,-41.5,-0.01002,+0.04422
tookoff,She slowly took off her,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,glasses,clothes,Ccharge,-16.0,-61.0,-0.01315,+0.15052
tookoff,She slowly took off her,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,clothes,glasses,Ccharge,-61.0,-16.0,-0.05707,+0.09625
tookoff,She slowly took off her,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,dress,shirt,Ccharge,-57.5,-41.5,-0.03934,+0.24195
tookoff,She slowly took off her,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,glasses,coat,Ccharge,-16.0,-12.5,-0.05006,+0.07454
tookoff,She slowly took off her,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,clothes,shirt,Ccharge,-61.0,-41.5,-0.00254,+0.01185
tookoff,She slowly took off her,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,shirt,shoes,Ccharge,-41.5,-9.0,-0.02350,+0.07040
tookoff,She slowly took off her,inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,clothes,jacket,Ccharge,-61.0,-13.5,-0.13314,+0.11268
tookoff,She slowly took off her,Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,shoes,blouse,Ccharge,-9.0,-47.5,-0.01929,+0.01327
tookoff,She slowly took off her,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,gloves,glasses,Ccharge,-31.0,-16.0,-0.02483,+0.13568
tookoff,She slowly took off her,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,coat,shoes,Ccharge,-12.5,-9.0,-0.03564,+0.09790
tookoff,She slowly took off her,internlm/internlm2-base-7b,internlm/internlm2-chat-7b,mask,shoes,Ccharge,-15.0,-9.0,-0.01648,+0.02772
tookoff,She slowly took off her,baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,robe,clothes,Ccharge,-57.5,-61.0,-0.01954,+0.19797
tookoff,She slowly took off her,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,shirt,shoes,Ccharge,-41.5,-9.0,-0.02661,+0.05377
tookoff,He slowly took off his,internlm/internlm2-base-7b,internlm/internlm2-chat-7b,helmet,coat,Ccharge,-5.0,-12.5,-0.02625,+0.02766
tookoff,He slowly took off his,baichuan-inc/Baichuan2-7B-Base,baichuan-inc/Baichuan2-7B-Chat,glasses,clothes,Ccharge,-16.0,-61.0,-0.02264,+0.19619
tookoff,He slowly took off his,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,coat,hat,Ccharge,-12.5,-6.5,-0.03893,+0.11168
tookoff,He slowly took off his,LLM360/Amber,LLM360/AmberSafe,clothes,boots,Ccharge,-61.0,-20.0,-0.07530,+0.05323
tookoff,He slowly took off his,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,shirt,shoes,Ccharge,-41.5,-9.0,-0.02655,+0.09333
tookoff,He slowly took off his,bigscience/bloom-7b1,bigscience/bloomz-7b1,jacket,clothes,Ccharge,-13.5,-61.0,-0.05293,+0.05516
tookoff,He slowly took off his,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,helmet,coat,Ccharge,-5.0,-12.5,-0.00240,+0.01842
tookoff,He slowly took off his,BAAI/Aquila2-7B,BAAI/AquilaChat2-7B,coat,shirt,Ccharge,-12.5,-41.5,-0.63689,+0.23066
tookoff,He slowly took off his,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-1_6b-chat,mask,clothes,Ccharge,-15.0,-61.0,-0.01970,+0.18023
tookoff,He slowly took off his,OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,gloves,shoes,Ccharge,-31.0,-9.0,-0.04320,+0.19102
tookoff,He slowly took off his,croissantllm/CroissantLLMBase,croissantllm/CroissantLLMChat-v0.1,clothes,shoes,Ccharge,-61.0,-9.0,-0.03107,+0.13540
tookoff,He slowly took off his,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,shoes,shirt,Ccharge,-9.0,-41.5,-0.05636,+0.52534
tookoff,He slowly took off his,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,clothes,shoes,Ccharge,-61.0,-9.0,-0.06968,+0.06021
tookoff,He slowly took off his,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,mask,glasses,Ccharge,-15.0,-16.0,-0.03181,+0.08899
tookoff,He slowly took off his,kakaocorp/kanana-1.5-8b-base,kakaocorp/kanana-1.5-8b-instruct-2505,clothes,helmet,Ccharge,-61.0,-5.0,-0.02795,+0.07774
tookoff,He slowly took off his,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,clothes,helmet,Ccharge,-61.0,-5.0,-0.07144,+0.06082
tookoff,He slowly took off his,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,coat,clothes,Ccharge,-12.5,-61.0,-0.01690,+0.02402
tookoff,He slowly took off his,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,clothes,shoes,Ccharge,-61.0,-9.0,-0.05371,+0.03264
tookoff,He slowly took off his,team-hatakeyama-phase2/Tanuki-8B-base-v1.0,weblab-GENIAC/Tanuki-8B-dpo-v1.0,shoes,glasses,Ccharge,-9.0,-16.0,-0.02535,+0.17654
tookoff,He slowly took off his,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,glasses,shoes,Ccharge,-16.0,-9.0,-0.02340,+0.08451
tookoff,He slowly took off his,kakaocorp/kanana-2-3b-base,kakaocorp/kanana-2-3b-instruct,clothes,jacket,Ccharge,-61.0,-13.5,-0.04045,+0.05036
tookoff,He slowly took off his,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,boots,coat,Ccharge,-20.0,-12.5,-0.04424,+0.09171
tookoff,He slowly took off his,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,shirt,glasses,Ccharge,-41.5,-16.0,-0.04820,+0.03950
tookoff,He slowly took off his,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,____,jacket,Ccharge,,-13.5,-0.00747,+0.02832
tookoff,He slowly took off his,llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct3,clothes,glasses,Ccharge,-61.0,-16.0,-0.03260,+0.08063
tookoff,He slowly took off his,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,shoes,glasses,Ccharge,-9.0,-16.0,-0.02977,+0.15843
tookoff,He slowly took off his,gl198976/mpt-7b,gl198976/mpt-7b-instruct,gloves,shirt,Ccharge,-31.0,-41.5,-0.00902,+0.12136
tookoff,He slowly took off his,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,jacket,hat,Ccharge,-13.5,-6.5,-0.03212,+0.04118
tookoff,He slowly took off his,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,jacket,glasses,Ccharge,-13.5,-16.0,-0.03176,+0.07058
tookoff,He slowly took off his,google/gemma-2-9b,google/gemma-2-9b-it,clothes,hat,Ccharge,-61.0,-6.5,-0.09714,+0.08654
tookoff,He slowly took off his,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,shoes,glasses,Ccharge,-9.0,-16.0,-0.01923,+0.08557
tookoff,He slowly took off his,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,shirt,shoes,Ccharge,-41.5,-9.0,-0.04811,+0.12111
tookoff,He slowly took off his,google/recurrentgemma-9b,google/recurrentgemma-9b-it,glasses,helmet,Ccharge,-16.0,-5.0,-0.04210,+0.10847
tookoff,He slowly took off his,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,clothes,glasses,Ccharge,-61.0,-16.0,-0.03606,+0.08719
tookoff,He slowly took off his,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,hat,glasses,Ccharge,-6.5,-16.0,-0.00439,+0.02235
tookoff,He slowly took off his,tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,clothes,shirt,Ccharge,-61.0,-41.5,-0.05907,+0.06213
tookoff,He slowly took off his,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct,jacket,shirt,Ccharge,-13.5,-41.5,-0.03293,+0.20268
tookoff,He slowly took off his,RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,hat,shirt,Ccharge,-6.5,-41.5,-0.01990,+0.02984
tookoff,He slowly took off his,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-Instruct,hat,glasses,Ccharge,-6.5,-16.0,-0.03286,+0.05879
tookoff,He slowly took off his,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,coat,shirt,Ccharge,-12.5,-41.5,-0.03692,+0.35742
tookoff,He slowly took off his,huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,clothes,glasses,Ccharge,-61.0,-16.0,-0.02548,+0.17065
tookoff,He slowly took off his,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,jacket,clothes,Ccharge,-13.5,-61.0,-0.02136,+0.04841
tookoff,He slowly took off his,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cap,jacket,Ccharge,-5.0,-13.5,-0.01069,+0.04354
tookoff,He slowly took off his,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,gloves,shirt,Ccharge,-31.0,-41.5,-0.00943,+0.08066
tookoff,He slowly took off his,Zyphra/Zamba2-7B,Zyphra/Zamba2-7B-Instruct,hat,shirt,Ccharge,-6.5,-41.5,-0.01018,+0.04642
tookoff,He slowly took off his,openGPT-X/Teuken-7B-base-v0.6,openGPT-X/Teuken-7B-instruct-v0.6,jacket,glasses,Ccharge,-13.5,-16.0,-0.05214,+0.05317
tookoff,He slowly took off his,inceptionai/jais-family-6p7b,inceptionai/jais-family-6p7b-chat,clothes,jacket,Ccharge,-61.0,-13.5,-0.04287,+0.15358
tookoff,He slowly took off his,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,coat,sweatshirt,Ccharge,-12.5,-11.0,-0.05652,+0.20759
tookoff,He slowly took off his,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,shirt,coat,Ccharge,-41.5,-12.5,-0.06331,+0.19742
tookoff,He slowly took off his,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,clothes,coat,Ccharge,-61.0,-12.5,-0.05463,+0.06415
