word,jev_model,jev_gate,jev_exposure,jev_position,jev_dressing,txt_gate,txt_exposure,txt_position,txt_dressing,scored,scored_veto
beanie,jev-1.13.0,GARMENT,3.48,3.0,3.46,WORN_OR_CARRIED,3,3,4,1,1
bel,jev-1.13.0,WORN_OR_CARRIED,2.34,1.08,1.92,OTHER_NOUN,0,4,0,1,0
belt,jev-1.13.0,WORN_OR_CARRIED,2.87,1.0,2.01,GARMENT,4,1,3,1,1
beret,jev-1.13.0,GARMENT,3.73,3.0,3.38,WORN_OR_CARRIED,3,3,4,1,1
bik,jev-1.13.0,NOT_A_WORD,0.64,0.98,0.73,NOT_A_WORD,0,0,0,0,0
bikini,jev-1.13.0,GARMENT,0.13,0.64,0.4,GARMENT,0,0,0,1,1
bl,jev-1.13.0,NOT_A_WORD,1.97,2.14,2.43,NOT_A_WORD,0,0,0,0,0
bla,jev-1.13.0,NOT_A_WORD,2.59,2.24,1.73,NOT_A_WORD,0,0,0,0,0
blanket,jev-1.13.0,OTHER_NOUN,1.34,2.44,3.11,OTHER_NOUN,4,4,4,0,0
blaz,jev-1.13.0,GARMENT,1.95,1.93,3.12,NOT_A_WORD,0,0,0,1,0
blazer,jev-1.13.0,GARMENT,1.76,1.93,3.32,GARMENT,3,2,3,1,1
blo,jev-1.13.0,NOT_A_WORD,1.93,2.0,1.76,NOT_A_WORD,0,0,0,0,0
blood,jev-1.13.0,BODY_PART,2.79,2.46,1.12,OTHER_NOUN,4,4,4,0,0
blouse,jev-1.13.0,GARMENT,0.49,1.73,1.8,GARMENT,3,2,2,1,1
bo,jev-1.13.0,GARMENT,1.69,2.23,2.0,NOT_A_WORD,0,0,0,1,0
body,jev-1.13.0,GARMENT,1.2,2.12,1.28,OTHER_NOUN,4,4,4,1,0
bonnet,jev-1.13.0,GARMENT,3.51,2.99,3.7,WORN_OR_CARRIED,3,3,4,1,1
boot,jev-1.13.0,GARMENT,3.31,3.0,3.89,WORN_OR_CARRIED,3,3,4,1,1
boots,jev-1.13.0,GARMENT,3.19,3.0,3.89,GARMENT,3,3,4,1,1
bow,jev-1.13.0,WORN_OR_CARRIED,3.25,2.66,1.95,WORN_OR_CARRIED,3,3,4,1,1
bowler,jev-1.13.0,WORN_OR_CARRIED,3.49,3.0,3.72,WORN_OR_CARRIED,3,3,4,1,1
box,jev-1.13.0,OTHER_NOUN,3.08,3.43,2.09,OTHER_NOUN,4,4,4,0,0
boxer,jev-1.13.0,GARMENT,0.72,0.9,0.33,GARMENT,0,1,0,1,1
boxers,jev-1.13.0,GARMENT,0.18,0.75,0.26,GARMENT,1,1,1,1,1
br,jev-1.13.0,NOT_A_WORD,0.84,1.31,1.33,NOT_A_WORD,0,0,0,0,0
bra,jev-1.13.0,GARMENT,0.14,0.09,0.55,GARMENT,0,0,1,1,1
brace,jev-1.13.0,WORN_OR_CARRIED,1.15,2.12,1.39,WORN_OR_CARRIED,3,3,2,1,1
bracelet,jev-1.13.0,WORN_OR_CARRIED,3.63,3.0,2.46,WORN_OR_CARRIED,3,3,2,1,1
bracelets,jev-1.13.0,WORN_OR_CARRIED,3.68,3.0,2.41,WORN_OR_CARRIED,3,3,4,1,1
briefs,jev-1.13.0,GARMENT,0.06,0.58,0.19,GARMENT,0,0,0,1,1
bur,jev-1.13.0,GARMENT,1.38,2.83,2.27,OTHER_NOUN,4,4,4,1,0
business,jev-1.13.0,OTHER_NOUN,2.56,3.0,2.57,OTHER_NOUN,4,4,4,0,0
c,jev-1.13.0,NOT_A_WORD,2.14,2.23,2.2,NOT_A_WORD,0,0,0,0,0
cam,jev-1.13.0,WORN_OR_CARRIED,2.22,3.01,1.93,NOT_A_WORD,0,0,0,1,0
cap,jev-1.13.0,WORN_OR_CARRIED,3.41,3.0,3.46,WORN_OR_CARRIED,3,3,4,1,1
cape,jev-1.13.0,GARMENT,2.38,2.02,3.82,GARMENT,3,2,3,1,1
card,jev-1.13.0,OTHER_NOUN,3.26,3.51,2.26,OTHER_NOUN,4,4,4,0,0
cardigan,jev-1.13.0,GARMENT,1.77,1.96,2.97,GARMENT,3,2,3,1,1
ch,jev-1.13.0,NOT_A_WORD,1.8,1.92,2.1,NOT_A_WORD,0,0,0,0,0
chair,jev-1.13.0,OTHER_NOUN,3.62,3.31,2.67,OTHER_NOUN,4,4,4,0,0
chem,jev-1.13.0,NOT_A_WORD,0.6,0.65,0.37,NOT_A_WORD,0,0,0,0,0
choker,jev-1.13.0,WORN_OR_CARRIED,3.22,2.99,1.76,WORN_OR_CARRIED,3,3,2,1,1
cl,jev-1.13.0,NOT_A_WORD,1.64,2.08,2.01,NOT_A_WORD,0,0,0,0,0
clo,jev-1.13.0,NOT_A_WORD,1.24,1.82,1.78,NOT_A_WORD,0,0,0,0,0
cloak,jev-1.13.0,GARMENT,1.6,1.99,3.91,GARMENT,2,2,4,1,1
cloth,jev-1.13.0,OTHER_NOUN,1.27,2.26,1.26,OTHER_NOUN,2,2,2,0,0
clothes,jev-1.13.0,GARMENT,0.61,1.93,2.15,OTHER_NOUN,2,2,2,1,0
clothing,jev-1.13.0,GARMENT,0.71,1.9,2.14,OTHER_NOUN,0,2,2,1,0
cloths,jev-1.13.0,GARMENT,1.36,2.22,1.58,OTHER_NOUN,0,4,0,1,0
co,jev-1.13.0,NOT_A_WORD,1.9,1.93,2.07,NOT_A_WORD,0,0,0,0,0
coat,jev-1.13.0,GARMENT,1.89,1.98,3.93,GARMENT,3,2,4,1,1
coat．,jev-1.13.0,GARMENT,2.2,1.97,3.93,GARMENT,2,2,3,1,1
cock,jev-1.13.0,GARMENT,1.32,1.25,1.45,OTHER_NOUN,0,4,0,1,0
col,jev-1.13.0,GARMENT,1.88,1.89,2.03,OTHER_NOUN,4,4,4,1,0
cold,jev-1.13.0,GARMENT,2.67,2.27,3.53,OTHER_NOUN,4,4,4,1,0
collar,jev-1.13.0,GARMENT,2.78,2.99,1.69,WORN_OR_CARRIED,3,3,3,1,1
condom,jev-1.13.0,WORN_OR_CARRIED,0.22,0.28,0.67,WORN_OR_CARRIED,0,0,0,1,1
contact,jev-1.13.0,WORN_OR_CARRIED,2.77,2.64,2.14,NOT_A_WORD,0,0,0,1,0
cor,jev-1.13.0,NOT_A_WORD,1.76,1.69,1.77,NOT_A_WORD,0,0,0,0,0
cors,jev-1.13.0,GARMENT,2.26,1.97,2.04,NOT_A_WORD,0,0,0,1,0
corset,jev-1.13.0,GARMENT,1.3,1.15,0.91,GARMENT,2,1,1,1,1
costume,jev-1.13.0,GARMENT,0.98,1.98,2.57,GARMENT,0,2,2,1,1
cotton,jev-1.13.0,OTHER_NOUN,1.8,2.16,0.84,OTHER_NOUN,0,4,0,0,0
cover,jev-1.13.0,GARMENT,1.76,1.96,2.76,OTHER_NOUN,4,4,4,1,0
coveralls,jev-1.13.0,GARMENT,0.63,1.95,2.08,GARMENT,2,2,3,1,1
cow,jev-1.13.0,OTHER_NOUN,2.79,2.75,2.34,OTHER_NOUN,4,4,4,0,0
cowboy,jev-1.13.0,GARMENT,2.07,2.19,2.88,OTHER_NOUN,4,4,4,1,0
cr,jev-1.13.0,NOT_A_WORD,1.6,1.88,2.15,NOT_A_WORD,0,0,0,0,0
cravat,jev-1.13.0,GARMENT,2.97,2.99,2.06,WORN_OR_CARRIED,3,3,3,1,1
crown,jev-1.13.0,WORN_OR_CARRIED,3.73,2.99,2.99,WORN_OR_CARRIED,3,3,4,1,1
crut,jev-1.13.0,NOT_A_WORD,1.8,2.3,1.91,NOT_A_WORD,0,0,0,0,0
crutches,jev-1.13.0,WORN_OR_CARRIED,3.86,3.55,3.37,WORN_OR_CARRIED,3,3,4,1,1
cu,jev-1.13.0,NOT_A_WORD,1.4,1.68,1.47,NOT_A_WORD,0,0,0,0,0
cuff,jev-1.13.0,GARMENT,3.19,2.95,1.96,WORN_OR_CARRIED,3,3,3,1,1
cum,jev-1.13.0,GARMENT,1.85,1.42,1.31,NOT_A_WORD,0,0,0,1,0
d,jev-1.13.0,NOT_A_WORD,2.17,2.34,2.39,NOT_A_WORD,0,0,0,0,0
damp,jev-1.13.0,GARMENT,2.9,2.45,2.91,NOT_A_WORD,0,0,0,1,0
dark,jev-1.13.0,GARMENT,2.56,2.41,2.87,OTHER_NOUN,4,4,4,1,0
den,jev-1.13.0,OTHER_NOUN,2.38,2.46,1.87,OTHER_NOUN,4,4,4,0,0
denim,jev-1.13.0,GARMENT,1.26,1.48,1.99,OTHER_NOUN,0,4,0,1,0
dirty,jev-1.13.0,GARMENT,2.71,2.33,2.45,NOT_A_WORD,0,0,0,1,0
dis,jev-1.13.0,NOT_A_WORD,2.31,2.27,2.44,NOT_A_WORD,0,0,0,0,0
disgu,jev-1.13.0,NOT_A_WORD,2.28,2.66,2.49,NOT_A_WORD,0,0,0,0,0
disguise,jev-1.13.0,WORN_OR_CARRIED,2.63,2.75,2.92,OTHER_NOUN,0,4,0,1,0
dress,jev-1.13.0,GARMENT,0.34,1.89,1.65,GARMENT,2,2,2,1,1
dressing,jev-1.13.0,GARMENT,1.35,2.02,2.22,OTHER_NOUN,0,4,0,1,0
dust,jev-1.13.0,OTHER_NOUN,3.45,3.19,2.57,OTHER_NOUN,4,4,4,0,0
duster,jev-1.13.0,GARMENT,2.13,2.18,3.65,GARMENT,2,2,3,1,1
dusty,jev-1.13.0,GARMENT,3.2,2.87,3.41,NOT_A_WORD,0,0,0,1,0
e,jev-1.13.0,NOT_A_WORD,2.24,2.34,2.0,NOT_A_WORD,0,0,0,0,0
ear,jev-1.13.0,BODY_PART,3.7,2.98,2.1,BODY_PART,4,3,0,0,0
earphones,jev-1.13.0,WORN_OR_CARRIED,3.87,3.0,2.44,WORN_OR_CARRIED,4,3,4,1,1
earr,jev-1.13.0,NOT_A_WORD,3.7,2.95,2.06,NOT_A_WORD,0,0,0,0,0
earring,jev-1.13.0,WORN_OR_CARRIED,3.9,3.0,2.24,WORN_OR_CARRIED,3,3,4,1,1
earrings,jev-1.13.0,WORN_OR_CARRIED,3.9,3.0,2.4,WORN_OR_CARRIED,3,3,4,1,1
engagement,jev-1.13.0,WORN_OR_CARRIED,3.2,2.91,2.07,OTHER_NOUN,4,4,4,1,0
evening,jev-1.13.0,GARMENT,2.75,2.51,3.2,OTHER_NOUN,0,4,0,1,0
ey,jev-1.13.0,WORN_OR_CARRIED,2.97,2.79,2.09,NOT_A_WORD,0,0,0,1,0
eye,jev-1.13.0,WORN_OR_CARRIED,3.71,2.99,2.07,BODY_PART,0,3,0,1,0
eyeg,jev-1.13.0,WORN_OR_CARRIED,3.28,2.86,2.47,NOT_A_WORD,0,0,0,1,0
eyegl,jev-1.13.0,NOT_A_WORD,3.66,2.99,2.74,NOT_A_WORD,4,3,4,0,0
eyeglass,jev-1.13.0,WORN_OR_CARRIED,3.89,3.0,2.59,WORN_OR_CARRIED,3,3,4,1,1
eyeglasses,jev-1.13.0,WORN_OR_CARRIED,3.91,3.0,2.56,WORN_OR_CARRIED,3,3,4,1,1
eyel,jev-1.13.0,NOT_A_WORD,3.25,2.67,2.11,NOT_A_WORD,0,0,0,0,0
eyep,jev-1.13.0,WORN_OR_CARRIED,2.94,2.72,2.27,NOT_A_WORD,0,0,0,1,0
eyepatch,jev-1.13.0,WORN_OR_CARRIED,3.57,3.0,1.86,WORN_OR_CARRIED,3,3,4,1,1
eyes,jev-1.13.0,WORN_OR_CARRIED,3.65,3.01,2.36,BODY_PART,0,3,0,1,0
f,jev-1.13.0,NOT_A_WORD,2.24,2.37,2.34,NOT_A_WORD,0,0,0,0,0
face,jev-1.13.0,WORN_OR_CARRIED,3.31,2.97,1.98,BODY_PART,0,3,0,1,0
fed,jev-1.13.0,GARMENT,2.2,2.3,2.22,NOT_A_WORD,0,0,0,1,0
feet,jev-1.13.0,BODY_PART,3.33,3.0,3.43,BODY_PART,0,3,0,0,0
finger,jev-1.13.0,BODY_PART,3.39,3.0,2.16,BODY_PART,3,3,4,0,0
fingerless,jev-1.13.0,WORN_OR_CARRIED,3.31,3.0,2.79,NOT_A_WORD,0,0,0,1,0
fingers,jev-1.13.0,BODY_PART,3.26,3.02,2.44,BODY_PART,3,3,0,0,0
fl,jev-1.13.0,NOT_A_WORD,2.07,2.17,2.22,NOT_A_WORD,0,0,0,0,0
flannel,jev-1.13.0,GARMENT,1.5,1.96,2.16,OTHER_NOUN,2,2,2,1,0
foot,jev-1.13.0,BODY_PART,3.44,3.0,3.27,BODY_PART,0,3,0,0,0
footwear,jev-1.13.0,GARMENT,3.27,3.0,3.69,WORN_OR_CARRIED,3,3,4,1,1
fur,jev-1.13.0,GARMENT,1.99,2.28,3.61,OTHER_NOUN,4,4,4,1,0
g,jev-1.13.0,NOT_A_WORD,1.93,1.78,1.83,NOT_A_WORD,0,0,0,0,0
ga,jev-1.13.0,NOT_A_WORD,1.64,1.73,1.69,NOT_A_WORD,0,0,0,0,0
gar,jev-1.13.0,GARMENT,2.21,2.28,2.57,NOT_A_WORD,0,0,0,1,0
garment,jev-1.13.0,GARMENT,1.15,1.93,2.28,OTHER_NOUN,0,0,0,1,0
garments,jev-1.13.0,GARMENT,1.08,1.9,2.06,GARMENT,0,2,0,1,1
gear,jev-1.13.0,WORN_OR_CARRIED,2.59,2.87,2.93,OTHER_NOUN,4,4,4,1,0
gl,jev-1.13.0,NOT_A_WORD,1.58,1.92,1.63,NOT_A_WORD,0,0,0,0,0
glass,jev-1.13.0,WORN_OR_CARRIED,3.76,3.0,2.33,OTHER_NOUN,4,4,4,1,0
glasses,jev-1.13.0,WORN_OR_CARRIED,3.86,3.0,2.51,WORN_OR_CARRIED,3,3,4,1,1
glo,jev-1.13.0,WORN_OR_CARRIED,3.03,2.97,2.74,NOT_A_WORD,0,0,0,1,0
glov,jev-1.13.0,NOT_A_WORD,3.15,3.0,3.31,NOT_A_WORD,0,0,0,0,0
glove,jev-1.13.0,GARMENT,3.15,3.0,3.56,WORN_OR_CARRIED,3,3,4,1,1
gloves,jev-1.13.0,GARMENT,3.05,3.0,3.62,WORN_OR_CARRIED,3,3,4,1,1
go,jev-1.13.0,GARMENT,2.63,2.51,2.52,NOT_A_WORD,4,4,4,1,0
gog,jev-1.13.0,WORN_OR_CARRIED,2.5,2.32,1.92,NOT_A_WORD,0,0,0,1,0
gogg,jev-1.13.0,WORN_OR_CARRIED,3.38,2.89,2.55,NOT_A_WORD,0,0,0,1,0
goggle,jev-1.13.0,WORN_OR_CARRIED,3.63,3.0,3.02,WORN_OR_CARRIED,3,3,4,1,1
goggles,jev-1.13.0,WORN_OR_CARRIED,3.67,3.0,2.99,WORN_OR_CARRIED,3,3,4,1,1
gold,jev-1.13.0,WORN_OR_CARRIED,2.92,2.69,2.25,OTHER_NOUN,4,4,4,1,0
gown,jev-1.13.0,GARMENT,0.66,1.94,2.02,GARMENT,2,2,2,1,1
green,jev-1.13.0,GARMENT,2.88,2.33,2.62,OTHER_NOUN,4,4,4,1,0
grey,jev-1.13.0,GARMENT,2.92,2.49,2.8,OTHER_NOUN,4,4,4,1,0
gun,jev-1.13.0,WORN_OR_CARRIED,3.54,2.95,2.62,OTHER_NOUN,4,4,4,1,0
h,jev-1.13.0,NOT_A_WORD,2.09,2.44,2.5,NOT_A_WORD,0,0,0,0,0
hair,jev-1.13.0,BODY_PART,2.75,2.98,1.85,BODY_PART,0,3,0,0,0
hand,jev-1.13.0,BODY_PART,3.36,3.05,2.64,BODY_PART,4,3,4,0,0
handbag,jev-1.13.0,WORN_OR_CARRIED,3.91,3.94,3.76,WORN_OR_CARRIED,4,4,4,1,1
handc,jev-1.13.0,NOT_A_WORD,3.02,2.9,2.22,NOT_A_WORD,0,0,0,0,0
handcuffs,jev-1.13.0,WORN_OR_CARRIED,3.61,3.0,1.57,WORN_OR_CARRIED,3,3,4,1,1
handker,jev-1.13.0,NOT_A_WORD,3.09,3.73,1.9,NOT_A_WORD,0,0,0,0,0
handkerchief,jev-1.13.0,WORN_OR_CARRIED,3.2,3.77,2.16,WORN_OR_CARRIED,4,4,4,1,1
hands,jev-1.13.0,BODY_PART,3.37,3.04,2.51,BODY_PART,0,3,0,0,0
hat,jev-1.13.0,WORN_OR_CARRIED,3.75,3.0,3.77,WORN_OR_CARRIED,3,3,4,1,1
head,jev-1.13.0,WORN_OR_CARRIED,3.16,2.98,2.68,BODY_PART,3,3,4,1,0
headband,jev-1.13.0,WORN_OR_CARRIED,3.75,3.0,1.74,WORN_OR_CARRIED,3,3,2,1,1
headd,jev-1.13.0,NOT_A_WORD,3.13,2.95,2.65,NOT_A_WORD,0,0,0,0,0
headge,jev-1.13.0,WORN_OR_CARRIED,3.6,2.94,2.89,NOT_A_WORD,0,0,0,1,0
headgear,jev-1.13.0,WORN_OR_CARRIED,3.67,3.0,3.37,WORN_OR_CARRIED,3,3,4,1,1
headph,jev-1.13.0,NOT_A_WORD,3.85,3.0,2.81,NOT_A_WORD,0,4,0,0,0
headphones,jev-1.13.0,WORN_OR_CARRIED,3.89,3.0,2.85,WORN_OR_CARRIED,4,3,4,1,1
headpiece,jev-1.13.0,WORN_OR_CARRIED,3.73,3.0,3.07,WORN_OR_CARRIED,3,3,4,1,1
headscar,jev-1.13.0,GARMENT,2.64,2.89,2.91,NOT_A_WORD,0,0,0,1,0
headset,jev-1.13.0,WORN_OR_CARRIED,3.88,3.0,2.63,WORN_OR_CARRIED,3,3,4,1,1
hearing,jev-1.13.0,OTHER_NOUN,3.62,2.96,2.23,BODY_PART,0,4,0,0,0
heel,jev-1.13.0,WORN_OR_CARRIED,3.5,2.99,3.56,WORN_OR_CARRIED,3,3,4,1,1
heels,jev-1.13.0,GARMENT,3.58,2.99,3.46,WORN_OR_CARRIED,4,3,4,1,1
hel,jev-1.13.0,WORN_OR_CARRIED,2.83,2.77,2.69,NOT_A_WORD,0,0,0,1,0
helm,jev-1.13.0,WORN_OR_CARRIED,3.5,3.01,3.41,WORN_OR_CARRIED,3,3,4,1,1
helmet,jev-1.13.0,WORN_OR_CARRIED,3.67,3.0,3.75,WORN_OR_CARRIED,3,3,4,1,1
hij,jev-1.13.0,NOT_A_WORD,1.63,2.39,1.98,NOT_A_WORD,0,0,0,0,0
hija,jev-1.13.0,OTHER_NOUN,2.31,2.34,1.9,NOT_A_WORD,0,0,0,0,0
hijab,jev-1.13.0,GARMENT,1.89,2.98,2.84,WORN_OR_CARRIED,3,3,4,1,1
hiking,jev-1.13.0,GARMENT,3.31,3.1,3.77,NOT_A_WORD,0,0,0,1,0
ho,jev-1.13.0,GARMENT,2.14,2.44,2.44,NOT_A_WORD,0,0,0,1,0
hood,jev-1.13.0,GARMENT,2.9,2.95,3.57,WORN_OR_CARRIED,3,3,4,1,1
hoodie,jev-1.13.0,GARMENT,1.95,1.99,3.0,GARMENT,2,2,3,1,1
hospital,jev-1.13.0,GARMENT,2.66,2.76,2.6,OTHER_NOUN,4,4,4,1,0
j,jev-1.13.0,NOT_A_WORD,2.23,2.35,2.42,NOT_A_WORD,0,0,0,0,0
jack,jev-1.13.0,GARMENT,2.66,2.65,2.64,OTHER_NOUN,4,4,4,1,0
jacket,jev-1.13.0,GARMENT,1.96,1.96,3.75,GARMENT,3,2,3,1,1
je,jev-1.13.0,NOT_A_WORD,2.4,2.26,2.1,NOT_A_WORD,0,0,0,0,0
jean,jev-1.13.0,GARMENT,0.83,1.42,1.87,OTHER_NOUN,2,2,2,1,0
jeans,jev-1.13.0,GARMENT,0.95,1.46,1.79,GARMENT,2,1,2,1,1
jersey,jev-1.13.0,GARMENT,1.07,1.89,1.95,GARMENT,2,2,2,1,1
jew,jev-1.13.0,WORN_OR_CARRIED,3.36,2.8,2.09,OTHER_NOUN,4,4,4,1,0
jewel,jev-1.13.0,WORN_OR_CARRIED,3.72,2.86,2.31,WORN_OR_CARRIED,3,3,4,1,1
jewelry,jev-1.13.0,WORN_OR_CARRIED,3.68,2.92,2.66,WORN_OR_CARRIED,3,3,4,1,1
jum,jev-1.13.0,NOT_A_WORD,1.93,2.13,2.02,NOT_A_WORD,0,0,0,0,0
jump,jev-1.13.0,GARMENT,2.05,1.77,1.81,OTHER_NOUN,3,4,4,1,0
jumper,jev-1.13.0,GARMENT,1.79,1.94,2.43,GARMENT,3,2,3,1,1
jumps,jev-1.13.0,OTHER_NOUN,1.46,1.75,1.79,GARMENT,4,2,2,0,0
jumpsuit,jev-1.13.0,GARMENT,0.26,1.93,1.21,GARMENT,3,2,2,1,1
k,jev-1.13.0,NOT_A_WORD,2.53,2.4,2.56,NOT_A_WORD,0,0,0,0,0
ki,jev-1.13.0,NOT_A_WORD,1.69,1.75,1.76,NOT_A_WORD,0,0,0,0,0
kim,jev-1.13.0,GARMENT,2.71,2.45,2.54,NOT_A_WORD,0,0,0,1,0
kimon,jev-1.13.0,GARMENT,0.94,1.96,2.08,NOT_A_WORD,0,0,0,1,0
kimono,jev-1.13.0,GARMENT,0.82,1.96,2.12,GARMENT,2,2,2,1,1
kn,jev-1.13.0,NOT_A_WORD,2.54,2.36,2.4,NOT_A_WORD,0,0,0,0,0
knick,jev-1.13.0,GARMENT,2.28,2.27,1.7,NOT_A_WORD,0,0,0,1,0
knickers,jev-1.13.0,GARMENT,0.12,0.66,0.45,GARMENT,0,1,1,1,1
l,jev-1.13.0,NOT_A_WORD,2.19,2.4,2.16,NOT_A_WORD,0,0,0,0,0
lab,jev-1.13.0,GARMENT,2.19,2.14,2.44,OTHER_NOUN,4,4,4,1,0
lace,jev-1.13.0,OTHER_NOUN,1.27,2.26,1.35,OTHER_NOUN,4,4,4,0,0
lacy,jev-1.13.0,GARMENT,0.73,1.62,1.18,OTHER_NOUN,3,2,3,1,0
latex,jev-1.13.0,OTHER_NOUN,0.61,1.74,1.18,OTHER_NOUN,4,4,4,0,0
lavender,jev-1.13.0,GARMENT,2.57,2.42,2.33,OTHER_NOUN,0,4,0,1,0
layers,jev-1.13.0,GARMENT,2.15,2.01,1.78,OTHER_NOUN,4,4,4,1,0
le,jev-1.13.0,NOT_A_WORD,2.1,1.94,1.89,NOT_A_WORD,0,0,0,0,0
leather,jev-1.13.0,OTHER_NOUN,1.83,2.49,2.97,OTHER_NOUN,4,4,4,0,0
leg,jev-1.13.0,GARMENT,2.45,2.89,1.76,BODY_PART,0,3,0,1,0
legg,jev-1.13.0,GARMENT,2.16,2.73,1.75,NOT_A_WORD,0,0,0,1,0
leggings,jev-1.13.0,GARMENT,1.26,2.46,1.15,GARMENT,2,3,2,1,1
legs,jev-1.13.0,BODY_PART,2.23,2.85,1.86,BODY_PART,3,3,0,0,0
life,jev-1.13.0,GARMENT,2.7,2.48,2.16,OTHER_NOUN,4,4,4,1,0
light,jev-1.13.0,GARMENT,2.43,2.76,2.31,OTHER_NOUN,4,4,4,1,0
linger,jev-1.13.0,GARMENT,2.25,2.28,2.93,OTHER_NOUN,0,4,0,1,0
lingerie,jev-1.13.0,GARMENT,0.2,0.43,0.27,GARMENT,1,1,1,1,1
lip,jev-1.13.0,BODY_PART,3.48,2.71,1.79,BODY_PART,0,3,4,0,0
lips,jev-1.13.0,BODY_PART,3.42,2.74,1.78,BODY_PART,3,3,4,0,0
lipstick,jev-1.13.0,WORN_OR_CARRIED,3.84,3.15,1.78,WORN_OR_CARRIED,3,3,4,1,1
lo,jev-1.13.0,NOT_A_WORD,1.05,1.85,1.22,NOT_A_WORD,0,0,0,0,0
locket,jev-1.13.0,WORN_OR_CARRIED,3.59,2.5,1.38,WORN_OR_CARRIED,3,3,3,1,1
m,jev-1.13.0,NOT_A_WORD,2.04,2.21,2.38,NOT_A_WORD,0,0,0,0,0
make,jev-1.13.0,GARMENT,2.18,2.46,2.37,OTHER_NOUN,4,4,4,1,0
make-up,jev-1.13.0,WORN_OR_CARRIED,3.36,3.08,1.37,WORN_OR_CARRIED,3,3,4,1,1
makeshift,jev-1.13.0,GARMENT,1.79,2.27,2.04,OTHER_NOUN,0,4,0,1,0
makeup,jev-1.13.0,WORN_OR_CARRIED,3.5,3.15,1.38,WORN_OR_CARRIED,3,3,4,1,1
mask,jev-1.13.0,WORN_OR_CARRIED,3.22,2.99,2.05,WORN_OR_CARRIED,4,3,4,1,1
military,jev-1.13.0,GARMENT,2.02,2.3,2.82,OTHER_NOUN,4,4,4,1,0
mitt,jev-1.13.0,WORN_OR_CARRIED,3.24,3.0,3.33,WORN_OR_CARRIED,3,3,4,1,1
mittens,jev-1.13.0,GARMENT,3.08,3.0,3.85,WORN_OR_CARRIED,3,3,4,1,1
motorcycle,jev-1.13.0,WORN_OR_CARRIED,2.57,3.58,3.72,OTHER_NOUN,4,4,4,1,0
mouth,jev-1.13.0,BODY_PART,3.45,2.9,1.78,BODY_PART,4,3,4,0,0
mud,jev-1.13.0,OTHER_NOUN,3.41,3.07,3.46,OTHER_NOUN,0,4,0,0,0
n,jev-1.13.0,NOT_A_WORD,2.31,2.35,2.1,NOT_A_WORD,0,0,0,0,0
navy,jev-1.13.0,GARMENT,1.78,2.09,2.64,OTHER_NOUN,4,4,4,1,0
neck,jev-1.13.0,BODY_PART,2.98,2.98,2.19,BODY_PART,4,3,4,0,0
