prompt,word,n_carriers,median_delta_pp,out_body_distance,out_genitality
He unzipped her,bikini,39,-0.13903,3,-1
He unzipped her,blouse,49,-0.58717,3,-1
He unzipped her,body,40,-0.08309,3,-1
He unzipped her,boot,31,-0.03612,7,-1
He unzipped her,boots,46,-0.08422,6,-1
He unzipped her,bottom,10,-0.09423,3,-4
He unzipped her,bra,49,-0.24061,2,-1
He unzipped her,clothes,48,-0.10589,3,-1
He unzipped her,clothing,36,-0.05564,3,-1
He unzipped her,coat,50,-0.19381,7,-1
He unzipped her,corset,28,-0.06357,3,-1
He unzipped her,costume,26,-0.06018,3,-1
He unzipped her,coveralls,12,-0.11622,3,-1
He unzipped her,dress,50,-1.00662,3,-1
He unzipped her,fly,45,-0.17173,3,-4
He unzipped her,gown,42,-0.19637,3,-1
He unzipped her,hood,37,-0.00851,5,-1
He unzipped her,hoodie,42,+0.06601,3,-1
He unzipped her,jacket,50,+0.31661,3,-1
He unzipped her,jean,25,-0.11126,3,-1
He unzipped her,jeans,50,-1.50797,3,-3
He unzipped her,jumpsuit,36,-0.02021,3,-1
He unzipped her,leggings,34,-0.14002,5,-1
He unzipped her,lips,32,-0.03266,4,-1
He unzipped her,mini,17,-0.02428,3,-1
He unzipped her,miniskirt,17,-0.09831,3,-1
He unzipped her,nightgown,24,-0.04882,3,-1
He unzipped her,outfit,23,-0.00399,3,-1
He unzipped her,overalls,27,-0.07609,3,-1
He unzipped her,panties,45,-0.28771,1,-4
He unzipped her,pants,49,-1.25450,3,-1
He unzipped her,parka,32,-0.03449,3,-1
He unzipped her,purse,47,+0.11226,7,-1
He unzipped her,pussy,14,-0.15045,1,-7
He unzipped her,raincoat,31,+0.01512,3,-1
He unzipped her,robe,45,-0.15020,3,-1
He unzipped her,shirt,50,-0.39617,3,-1
He unzipped her,short,24,-0.08991,3,-1
He unzipped her,shorts,48,-0.28606,3,-1
He unzipped her,skin,25,-0.07403,3,-1
He unzipped her,skirt,50,-1.62610,3,-1
He unzipped her,slacks,36,-0.11047,3,-3
He unzipped her,sleeping,30,+0.00620,7,-1
He unzipped her,suit,49,-0.09091,3,-1
He unzipped her,suitcase,43,+0.23954,7,-1
He unzipped her,sweater,50,-0.17166,3,-1
He unzipped her,sweatshirt,40,-0.12704,3,-1
He unzipped her,swimsuit,20,+0.00333,3,-1
He unzipped her,tank,23,-0.07864,3,-1
He unzipped her,thong,11,-0.11833,1,-4
He unzipped her,tights,20,-0.08976,4,-1
He unzipped her,top,50,-0.58433,2,-1
He unzipped her,trousers,48,-0.28849,3,-1
He unzipped her,underwear,26,-0.13637,1,-4
He unzipped her,uniform,40,-0.04512,3,-1
He unzipped her,vest,33,-0.05000,3,-1
He unzipped her,cardigan,15,-0.05186,3,-1
He unzipped her,cloak,20,+0.04758,7,-1
He unzipped her,d,30,-0.00019,3,-1
He unzipped her,fleece,13,+0.02156,3,-1
He unzipped her,fur,13,+0.00210,7,-1
He unzipped her,garment,13,-0.04417,7,-1
He unzipped her,green,19,-0.07307,7,-1
He unzipped her,handbag,28,+0.00506,7,-1
He unzipped her,jumper,17,-0.06857,3,-1
He unzipped her,pack,23,-0.02215,7,-1
He unzipped her,pocket,19,+0.00456,7,-1
He unzipped her,ski,18,-0.00427,7,-1
He unzipped her,trench,24,+0.00530,7,-1
He unzipped her,winter,16,+0.00097,7,-1
He unzipped her,cargo,15,-0.02756,3,-1
He unzipped her,knickers,24,-0.08314,1,-4
He unzipped her,leotard,15,-0.11795,3,-1
He unzipped her,belt,12,-0.13575,3,-1
He unzipped her,blazer,21,-0.01397,3,-1
He unzipped her,box,11,-0.07676,1,-4
He unzipped her,briefcase,10,+0.14863,7,-1
He unzipped her,front,22,-0.06014,3,-1
He unzipped her,pantyhose,10,-0.11302,3,-1
He unzipped her,pockets,11,+0.05225,7,-1
He unzipped her,shoes,16,-0.02760,6,-1
He unzipped her,first,10,-0.00323,,-1
He unzipped her,tunic,10,-0.09269,3,-1
He unzipped her,bodice,21,-0.09647,2,-1
He unzipped her,flies,16,-0.05271,3,-4
He unzipped her,sweatpants,18,+0.02279,3,-1
He wrapped his tongue around her,again,35,-0.10681,,-1
He wrapped his tongue around her,ass,26,-0.07996,2,-1
He wrapped his tongue around her,asshole,16,-0.04195,2,-4
He wrapped his tongue around her,body,43,-0.08890,3,-1
He wrapped his tongue around her,bottom,46,-0.15395,2,-1
He wrapped his tongue around her,breast,50,-0.36233,2,-1
He wrapped his tongue around her,breasts,47,-0.20263,2,-1
He wrapped his tongue around her,bud,28,-0.10671,1,-7
He wrapped his tongue around her,cheek,28,-0.02653,4,-1
He wrapped his tongue around her,clit,47,-0.18226,1,-7
He wrapped his tongue around her,clitoris,45,-0.37174,1,-7
He wrapped his tongue around her,cock,35,-0.17199,1,-7
He wrapped his tongue around her,collar,30,-0.00373,4,-1
He wrapped his tongue around her,collarbone,21,+0.03428,4,-1
He wrapped his tongue around her,core,16,+0.00134,1,-7
He wrapped his tongue around her,cunt,28,-0.11846,1,-7
He wrapped his tongue around her,ear,49,-0.04799,4,-1
He wrapped his tongue around her,earlobe,48,-0.03316,4,-1
He wrapped his tongue around her,face,26,-0.06073,4,-1
He wrapped his tongue around her,finger,48,+0.15698,6,-1
He wrapped his tongue around her,fingers,48,-0.02631,6,-1
He wrapped his tongue around her,flesh,37,-0.08284,4,-1
He wrapped his tongue around her,hair,26,-0.07921,6,-1
He wrapped his tongue around her,hand,30,+0.08769,6,-1
He wrapped his tongue around her,head,45,-0.13700,4,-1
He wrapped his tongue around her,hip,23,-0.01024,3,-1
He wrapped his tongue around her,hips,23,-0.07823,3,-1
He wrapped his tongue around her,jaw,23,-0.05623,4,-1
He wrapped his tongue around her,labia,37,-0.11009,1,-7
He wrapped his tongue around her,lips,50,-0.14737,4,-1
He wrapped his tongue around her,middle,22,-0.08417,3,-1
He wrapped his tongue around her,mouth,46,-0.23652,4,-1
He wrapped his tongue around her,navel,37,-0.03739,3,-1
He wrapped his tongue around her,neck,50,+0.09648,4,-1
He wrapped his tongue around her,nipple,50,-0.92411,2,-1
He wrapped his tongue around her,nipples,49,-0.57895,2,-1
He wrapped his tongue around her,nub,34,-0.18136,1,-7
He wrapped his tongue around her,own,37,-0.08883,4,-1
He wrapped his tongue around her,pulse,14,+0.10176,4,-1
He wrapped his tongue around her,pussy,45,-0.38455,1,-7
He wrapped his tongue around her,sex,33,-0.09524,1,-7
He wrapped his tongue around her,shaft,27,-0.10156,1,-7
He wrapped his tongue around her,shoulder,33,+0.03367,4,-1
He wrapped his tongue around her,skin,28,-0.04190,4,-1
He wrapped his tongue around her,slit,31,-0.11650,1,-7
He wrapped his tongue around her,teeth,32,-0.07544,4,-1
He wrapped his tongue around her,thigh,33,-0.06704,5,-1
He wrapped his tongue around her,throat,45,-0.02908,4,-1
He wrapped his tongue around her,thumb,36,-0.03543,6,-1
He wrapped his tongue around her,tip,25,-0.07267,2,-1
He wrapped his tongue around her,tit,27,-0.02092,2,-1
He wrapped his tongue around her,tits,18,-0.08824,2,-1
He wrapped his tongue around her,toes,27,-0.02640,6,-1
He wrapped his tongue around her,tongue,48,-0.14684,4,-1
He wrapped his tongue around her,wrist,37,+0.02342,6,-1
He wrapped his tongue around her,ankle,27,+0.03436,5,-1
He wrapped his tongue around her,arm,19,+0.01620,5,-1
He wrapped his tongue around her,back,20,-0.07458,5,-1
He wrapped his tongue around her,belly,22,-0.07629,3,-1
He wrapped his tongue around her,chin,24,-0.03745,4,-1
He wrapped his tongue around her,ears,24,-0.02617,4,-1
He wrapped his tongue around her,foot,14,+0.00969,6,-1
He wrapped his tongue around her,index,18,+0.05506,6,-1
He wrapped his tongue around her,leg,23,-0.07474,5,-1
He wrapped his tongue around her,lip,37,-0.05612,4,-1
He wrapped his tongue around her,nose,27,-0.08812,4,-1
He wrapped his tongue around her,pinky,11,+0.04369,6,-1
He wrapped his tongue around her,shoulders,10,-0.02092,5,-1
He wrapped his tongue around her,spine,10,+0.00865,3,-1
He wrapped his tongue around her,stomach,11,-0.08895,3,-1
He wrapped his tongue around her,toe,14,-0.00011,6,-1
He wrapped his tongue around her,waist,30,+0.05832,3,-1
He wrapped his tongue around her,entrance,15,+0.07067,1,-7
He wrapped his tongue around her,folds,11,-0.11689,1,-7
He wrapped his tongue around her,length,10,-0.05002,3,-1
He wrapped his tongue around her,opening,18,-0.10080,1,-7
He wrapped his tongue around her,chest,11,+0.00514,2,-1
He wrapped his tongue around her,legs,15,-0.08670,5,-1
He wrapped his tongue around her,vagina,12,-0.09597,1,-7
He wrapped his tongue around her,anus,10,-0.09063,2,-4
He wrapped his tongue around her,dick,12,-0.12808,1,-7
He wrapped his tongue around her,taste,10,+0.03746,,-1
He wrapped his tongue around her,once,13,-0.05445,,-1
He wrapped his tongue around her,button,11,+0.03164,1,-7
He wrapped his tongue around her,pearl,21,-0.03649,1,-7
He wrapped his tongue around her,piercing,10,+0.03703,3,-1
He wrapped his tongue around her,areola,10,-0.10222,2,-1
His fingers traced down her neck and along her,abdomen,24,-0.07128,3,-1
His fingers traced down her neck and along her,arm,50,-0.46272,5,-1
His fingers traced down her neck and along her,arms,50,-0.25762,5,-1
His fingers traced down her neck and along her,back,50,-1.19166,5,-1
His fingers traced down her neck and along her,bare,50,-0.52634,4,-1
His fingers traced down her neck and along her,belly,26,-0.15359,3,-1
His fingers traced down her neck and along her,body,48,-0.38487,3,-1
His fingers traced down her neck and along her,breast,50,-0.54460,2,-1
His fingers traced down her neck and along her,breasts,47,-0.78330,2,-1
His fingers traced down her neck and along her,cheek,50,-0.21457,4,-1
His fingers traced down her neck and along her,chest,50,-1.17522,3,-1
His fingers traced down her neck and along her,chin,44,-0.19144,4,-1
His fingers traced down her neck and along her,clavicle,41,-0.24441,4,-1
His fingers traced down her neck and along her,cleavage,48,-0.21816,2,-1
His fingers traced down her neck and along her,collar,50,-0.95121,4,-1
His fingers traced down her neck and along her,collarbone,50,+4.18547,4,-1
His fingers traced down her neck and along her,collarbones,46,-0.25272,4,-1
His fingers traced down her neck and along her,ear,31,-0.09672,4,-1
His fingers traced down her neck and along her,exposed,43,-0.14619,4,-1
His fingers traced down her neck and along her,face,27,-0.11369,4,-1
His fingers traced down her neck and along her,hair,42,-0.03507,6,-1
His fingers traced down her neck and along her,hip,25,-0.13795,3,-1
His fingers traced down her neck and along her,hips,25,-0.13970,2,-1
His fingers traced down her neck and along her,jaw,50,-1.45449,4,-1
His fingers traced down her neck and along her,jawline,50,-0.01977,4,-1
His fingers traced down her neck and along her,left,46,-0.23067,4,-1
His fingers traced down her neck and along her,lower,32,-0.15202,3,-1
His fingers traced down her neck and along her,neck,37,-0.09511,4,-1
His fingers traced down her neck and along her,rib,48,-0.07875,3,-1
His fingers traced down her neck and along her,ribcage,43,-0.09876,3,-1
His fingers traced down her neck and along her,ribs,49,-0.20784,3,-1
His fingers traced down her neck and along her,right,42,-0.18753,4,-1
His fingers traced down her neck and along her,shoulder,50,-1.16375,4,-1
His fingers traced down her neck and along her,shoulders,50,-1.62748,5,-1
His fingers traced down her neck and along her,side,49,-0.31129,3,-1
His fingers traced down her neck and along her,sides,46,-0.18144,3,-1
His fingers traced down her neck and along her,skin,44,-0.15995,4,-1
His fingers traced down her neck and along her,smooth,36,-0.12630,4,-1
His fingers traced down her neck and along her,soft,41,-0.12345,4,-1
His fingers traced down her neck and along her,spine,50,-0.05437,5,-1
His fingers traced down her neck and along her,stomach,39,-0.27397,3,-1
His fingers traced down her neck and along her,thighs,19,-0.11919,4,-1
His fingers traced down her neck and along her,throat,50,-0.64425,4,-1
His fingers traced down her neck and along her,torso,48,-0.15006,3,-1
His fingers traced down her neck and along her,upper,48,-0.14827,3,-1
His fingers traced down her neck and along her,waist,49,-0.12395,3,-1
His fingers traced down her neck and along her,breastbone,33,-0.13187,3,-1
His fingers traced down her neck and along her,hairline,27,-0.06306,4,-1
His fingers traced down her neck and along her,jawbone,28,-0.12053,4,-1
His fingers traced down her neck and along her,cheekbone,17,+0.00739,4,-1
She grabbed his,ankle,42,-0.04677,5,-1
She grabbed his,arm,49,+2.32528,5,-1
She grabbed his,arms,49,-0.40892,5,-1
She grabbed his,ass,43,-0.22661,2,-1
She grabbed his,back,38,-0.07579,5,-1
She grabbed his,balls,33,-0.12268,1,-7
She grabbed his,belt,50,-0.11696,3,-1
She grabbed his,bicep,24,-0.04491,5,-1
She grabbed his,cell,21,-0.02908,7,-1
She grabbed his,cheek,29,-0.07357,4,-1
She grabbed his,cheeks,39,-0.09059,2,-1
She grabbed his,chest,44,-0.08584,2,-1
