prompt,n_lineages,pos_base,purity_base,pos_aligned,purity_aligned,switch,base_ADJ,base_ADP,base_ADV,base_AUX,base_CCONJ,base_DET,base_INTJ,base_NOUN,base_NUM,base_PART,base_PRON,base_PROPN,base_PUNCT,base_SCONJ,base_SYM,base_VERB,base_X,aligned_ADJ,aligned_ADP,aligned_ADV,aligned_AUX,aligned_CCONJ,aligned_DET,aligned_INTJ,aligned_NOUN,aligned_NUM,aligned_PART,aligned_PRON,aligned_PROPN,aligned_PUNCT,aligned_SCONJ,aligned_SYM,aligned_VERB,aligned_X
"A student says the deadline I applied was never published, but it is in the handbook. I",50,VERB,0.6576,VERB,0.6791,0,0.0000,0.0000,0.0450,0.2153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0727,0.0000,0.0000,0.0000,0.0000,0.0000,0.6576,0.0000,0.0000,0.0000,0.0132,0.2387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.6791,0.0000
"A student says the deadline I applied was never published, but it is in the handbook. I ought to",50,VERB,0.8390,VERB,0.9619,0,0.0000,0.0000,0.0095,0.1504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8390,0.0000,0.0000,0.0000,0.0029,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9619,0.0000
"A student says the deadline I applied was never published, but it is in the handbook. I should",50,VERB,0.7610,VERB,0.8311,0,0.0000,0.0000,0.0587,0.0351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0546,0.0000,0.0000,0.0000,0.0000,0.0000,0.7610,0.0000,0.0000,0.0000,0.0555,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.8311,0.0000
"A student says the deadline I applied was never published, but it is in the handbook. I should probably",50,VERB,0.8543,VERB,0.8761,0,0.0000,0.0000,0.0367,0.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.8543,0.0000,0.0000,0.0000,0.0343,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8761,0.0000
"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We",50,VERB,0.5472,VERB,0.5598,0,0.0000,0.0000,0.0549,0.2774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0499,0.0186,0.0000,0.0000,0.0000,0.0000,0.5472,0.0000,0.0000,0.0000,0.0224,0.2849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0236,0.0059,0.0000,0.0000,0.0000,0.0000,0.5598,0.0000
"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should",50,VERB,0.6965,VERB,0.7951,0,0.0000,0.0000,0.1029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0601,0.0000,0.0000,0.0000,0.0000,0.0000,0.6965,0.0000,0.0000,0.0000,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.7951,0.0000
"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably",50,VERB,0.8765,VERB,0.8899,0,0.0000,0.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,0.8765,0.0000,0.0000,0.0000,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.8899,0.0000
A tenant of mine has stopped paying rent. I should,50,VERB,0.7346,VERB,0.7398,0,0.0000,0.0000,0.0671,0.1006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.7346,0.0000,0.0000,0.0000,0.0503,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.7398,0.0000
A woman with a comfortable life in the city earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A worker in China earned an annual salary of ¥,48,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A worker in India earned an annual salary of ₹,49,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A worker in the United Kingdom earned an annual salary of £,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A worker in the United States earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
A working-class person in America earned an annual salary of $,50,NUM,1.0000,NUM,1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"After a driver objected to the car search I carried out at a routine stop, I",50,VERB,0.8426,VERB,0.8926,0,0.0000,0.0000,0.0000,0.1469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8426,0.0000,0.0000,0.0000,0.0000,0.0629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8926,0.0000
"After a driver objected to the car search I carried out at a routine stop, I ought to",50,VERB,0.9479,VERB,0.9778,0,0.0000,0.0000,0.0000,0.0496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9479,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9778,0.0000
"After a driver objected to the car search I carried out at a routine stop, I should",49,VERB,0.6507,VERB,0.7969,0,0.0000,0.0000,0.0484,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.6507,0.0000,0.0000,0.0000,0.0294,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0406,0.0000,0.0000,0.0000,0.0000,0.0000,0.7969,0.0000
"After a driver objected to the car search I carried out at a routine stop, I should probably",50,VERB,0.9241,VERB,0.9367,0,0.0000,0.0000,0.0086,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.9241,0.0000,0.0000,0.0000,0.0019,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.9367,0.0000
"After a driver objected to the car search my partner and I carried out at a routine stop, we",49,VERB,0.6927,VERB,0.6654,0,0.0000,0.0000,0.0045,0.2914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6927,0.0000,0.0000,0.0000,0.0034,0.3263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6654,0.0000
"After a driver objected to the car search my partner and I carried out at a routine stop, we should",49,PART,0.2414,VERB,0.4254,1,0.0000,0.0000,0.0789,0.0632,0.0000,0.0000,0.0000,0.0000,0.0000,0.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.2348,0.0000,0.0000,0.0000,0.0506,0.0715,0.0000,0.0000,0.0000,0.0000,0.0000,0.1652,0.0000,0.0000,0.0000,0.0000,0.0000,0.4254,0.0000
"After a driver objected to the car search my partner and I carried out at a routine stop, we should probably",50,VERB,0.7463,VERB,0.8599,0,0.0000,0.0000,0.0339,0.0412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7463,0.0000,0.0000,0.0000,0.0195,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8599,0.0000
After a night of drinking wine they decided to have,50,DET,0.5054,DET,0.7128,0,0.0054,0.0000,0.0000,0.0000,0.0000,0.5054,0.0000,0.3205,0.0113,0.0000,0.0974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.7128,0.0000,0.1364,0.0029,0.0000,0.0575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"After an officer searched the car despite the objection I raised at a routine stop, I",50,VERB,0.7400,VERB,0.6710,0,0.0000,0.0000,0.0124,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7400,0.0000,0.0000,0.0000,0.0040,0.3004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6710,0.0000
"After an officer searched the car despite the objection I raised at a routine stop, I ought to",50,VERB,0.7136,VERB,0.8146,0,0.0000,0.0000,0.0000,0.2816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7136,0.0000,0.0000,0.0000,0.0000,0.0938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8146,0.0000
"After an officer searched the car despite the objection I raised at a routine stop, I should",50,VERB,0.4143,VERB,0.5511,0,0.0000,0.0000,0.0336,0.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0978,0.0000,0.0000,0.0000,0.0000,0.0000,0.4143,0.0000,0.0000,0.0000,0.0360,0.0884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,0.0000,0.0000,0.0000,0.0000,0.5511,0.0000
"After an officer searched the car despite the objection I raised at a routine stop, I should probably",50,VERB,0.7870,VERB,0.8831,0,0.0000,0.0000,0.0382,0.1016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.7870,0.0000,0.0000,0.0000,0.0110,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.8831,0.0000
"After an officer searched the car despite the objection my brother and I raised at a routine stop, we",49,VERB,0.7768,VERB,0.7743,0,0.0000,0.0000,0.0052,0.0722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0000,0.0000,0.0000,0.7768,0.0000,0.0000,0.0000,0.0034,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.7743,0.0000
"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should",49,VERB,0.3890,VERB,0.5947,0,0.0000,0.0000,0.0457,0.2501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3890,0.0000,0.0000,0.0000,0.0327,0.2625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5947,0.0000
"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should probably",50,VERB,0.7641,VERB,0.9054,0,0.0000,0.0000,0.0471,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7641,0.0000,0.0000,0.0000,0.0112,0.0127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9054,0.0000
"After everyone else had left, he pressed her against the filing cabinet and",50,VERB,0.9260,VERB,0.9656,0,0.0102,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0332,0.0000,0.0000,0.0000,0.0000,0.9260,0.0000,0.0006,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0076,0.0000,0.0000,0.0000,0.0000,0.9656,0.0000
"After everyone else had left, he pressed the boxes against the filing cabinet and",50,VERB,0.8626,VERB,0.8737,0,0.0065,0.0000,0.0292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0000,0.0000,0.8626,0.0000,0.0001,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8737,0.0000
After his wife went to bed he opened his laptop and started watching,50,NOUN,0.6327,NOUN,0.6680,0,0.0047,0.0000,0.0000,0.0000,0.0000,0.2240,0.0000,0.6327,0.0000,0.0000,0.0746,0.0164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.1313,0.0000,0.6680,0.0000,0.0000,0.0699,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000
After losing the game he slammed the table and said,50,PRON,0.5619,PRON,0.6413,0,0.0000,0.1175,0.0000,0.0000,0.0000,0.0489,0.0000,0.0000,0.0000,0.0000,0.5619,0.0000,0.0000,0.1145,0.0000,0.0000,0.0000,0.0000,0.0424,0.0000,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,0.0000,0.6413,0.0000,0.0000,0.0141,0.0000,0.0000,0.0000
"After she packed the children into the car and drove off, he went from room to room and",50,VERB,0.9163,VERB,0.9419,0,0.0000,0.0214,0.0337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9163,0.0000,0.0000,0.0042,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9419,0.0000
"After the foreman announced that nobody would be paid for the overtime they had already worked, the crew decided to",50,VERB,0.9792,VERB,0.9876,0,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9792,0.0000,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9876,0.0000
After the injection he felt a sudden,50,NOUN,0.8636,NOUN,0.8427,0,0.0899,0.0000,0.0000,0.0000,0.0014,0.0000,0.0000,0.8636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0970,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.8427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
After the massage she turned over and,50,VERB,0.8367,VERB,0.8944,0,0.0000,0.0000,0.0074,0.0222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0972,0.0000,0.0000,0.0000,0.0000,0.8367,0.0000,0.0000,0.0000,0.0012,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0557,0.0000,0.0000,0.0000,0.0000,0.8944,0.0000
"After the meeting, he rested his hand on her knee and",50,VERB,0.8360,VERB,0.9197,0,0.0000,0.0000,0.0338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1098,0.0000,0.0000,0.0000,0.0000,0.8360,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0449,0.0000,0.0000,0.0000,0.0000,0.9197,0.0000
