model,arm,prompt,text_sha,n_sents,surprisal
allenai/OLMoE-1B-7B-0125,base,"As the doors closed, he caught the door and held on and",e159877e854db634,9,3.2281813621520996
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the collar and,6d0d0e1499c13e6c,9,4.709201335906982
allenai/OLMoE-1B-7B-0125,base,He defaced the temple wall and,8ec9328443fca060,12,4.1328535079956055
allenai/OLMoE-1B-7B-0125,base,He let the air out of her rear tire and,393a28d20196a21e,8,5.75454568862915
allenai/OLMoE-1B-7B-0125,base,He dug into the burial mound and,8a805309a7b62255,14,4.322707653045654
allenai/OLMoE-1B-7B-0125,base,He knocked over the menorah in the window and,507a16654fa61abe,5,5.619007110595703
allenai/OLMoE-1B-7B-0125,base,He photographed the seal pup on the ice and,6b8c82088f28f200,14,5.517578601837158
allenai/OLMoE-1B-7B-0125,base,"As the doors closed, he caught the door and held on and",e7504a057b6267f0,9,5.305941581726074
allenai/OLMoE-1B-7B-0125,base,She climbed onto the stage during the tour and,ac923afa9970a812,9,3.9183547496795654
allenai/OLMoE-1B-7B-0125,base,He wore his roommate's coat to the party and,78cd90f0b643ff3b,25,5.052820682525635
allenai/OLMoE-1B-7B-0125,base,She squeezed the rabbit in her grip and,477959575bbe93a2,12,3.983536958694458
allenai/OLMoE-1B-7B-0125,base,"Once the owner submitted the updated financial disclosure, t",6d6550effe597c4e,11,4.830140113830566
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the hand and,ad691fc4a3ecd618,10,5.076296806335449
allenai/OLMoE-1B-7B-0125,base,She scooped the goldfish out of its bowl and,27fa30ca22af0dc8,15,5.408979415893555
allenai/OLMoE-1B-7B-0125,base,He tipped a sleeping pill into his roommate's energy drink a,2107909dcc65ffff,7,4.638241767883301
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the collar and,e4bb750e9f646f24,17,4.104257106781006
allenai/OLMoE-1B-7B-0125,base,She read her sister's postcard and,0ce25b80a0465ba4,5,4.7293500900268555
allenai/OLMoE-1B-7B-0125,base,"At the party, he wrapped his arm around the banister and",996b8202994044c7,17,6.514262676239014
allenai/OLMoE-1B-7B-0125,base,He twisted the parrot's wing and,44ea82622b9b7a4e,7,8.174836158752441
allenai/OLMoE-1B-7B-0125,base,He signed his father's name on the report card and,959fbd6256a54a11,26,4.492436408996582
allenai/OLMoE-1B-7B-0125,base,He nailed the bat's wings to the barn door and,18291dff0351ec65,8,5.652801990509033
allenai/OLMoE-1B-7B-0125,base,She squeezed the rabbit in her grip and,5b17eacda5da1b28,14,4.445184230804443
allenai/OLMoE-1B-7B-0125,base,He vandalized the Torah ark and,e229b87d56f9f51e,12,7.093379974365234
allenai/OLMoE-1B-7B-0125,base,He slid his hand along the tablecloth under the table and,d5b1631c3b11deaa,16,5.2832794189453125
allenai/OLMoE-1B-7B-0125,base,He held the puppy's paw underwater and,e0e0b589a8e53404,20,3.9946844577789307
allenai/OLMoE-1B-7B-0125,base,He spent his own half of the rent money and,99a5500148441ff5,11,3.892481803894043
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the collar and,032b968603695242,10,4.40830135345459
allenai/OLMoE-1B-7B-0125,base,He pocketed the cash from the tip jar and,7f38461541e2a3b5,11,4.387109279632568
allenai/OLMoE-1B-7B-0125,base,She read her sister's diary and,3a590a4be7a6200e,11,4.761674880981445
allenai/OLMoE-1B-7B-0125,base,She climbed onto the minbar during the tour and,9aed3414a0132511,8,4.867300987243652
allenai/OLMoE-1B-7B-0125,base,He knocked the framed photo off the memorial table and,212227686a966d7c,14,4.826411247253418
allenai/OLMoE-1B-7B-0125,base,He blew the sacred conch shell and,f98c16712278d304,13,5.8650431632995605
allenai/OLMoE-1B-7B-0125,base,She left the litter of kittens in the box by the dumpster an,3faf6fb41577c8c4,11,4.667051315307617
allenai/OLMoE-1B-7B-0125,base,"On the plane, she kept her hand on his arm after he shifted ",ed0947f2e7aaab70,18,4.679553508758545
allenai/OLMoE-1B-7B-0125,base,"Though she said she was tired, he pulled the blanket onto hi",4b0c7dc8d8ff07c0,13,5.272246837615967
allenai/OLMoE-1B-7B-0125,base,"In the break room, he kissed her even after she turned her f",aa2400660634e3b7,17,4.7261152267456055
allenai/OLMoE-1B-7B-0125,base,He smashed the bottle over the sink and,89c29a00c1a13379,11,7.239650726318359
allenai/OLMoE-1B-7B-0125,base,She locked the rabbit in the shed with fresh water and,12a21fe96eae7931,14,5.041457653045654
allenai/OLMoE-1B-7B-0125,base,He realigned the medicine wheel stones and,ab9b708a191a9650,7,5.9070353507995605
allenai/OLMoE-1B-7B-0125,base,"As the doors closed, he caught her wrist and held on and",7c2ef18612745f9a,12,4.863040924072266
allenai/OLMoE-1B-7B-0125,base,She stuffed her own gloves into her coat sleeve at the winte,25367d411f910787,10,5.024451732635498
allenai/OLMoE-1B-7B-0125,base,He spent the money from his own birthday card and,3b1424f286b142f1,4,5.938421726226807
allenai/OLMoE-1B-7B-0125,base,She told her hairdresser her friend's vacation plans while g,90f8aa51bf2bb518,13,4.548077583312988
allenai/OLMoE-1B-7B-0125,base,She lifted the hamster's cage off the shelf and,9ae3a59e97facdc8,14,3.498656988143921
allenai/OLMoE-1B-7B-0125,base,He dug into the burial mound and,161845f8b5c7acfb,14,5.3411407470703125
allenai/OLMoE-1B-7B-0125,base,He kept the change his little brother left on the dresser an,7a90b10787ee7a2d,8,4.856049537658691
allenai/OLMoE-1B-7B-0125,base,He slipped a receipt from the till and,d73434f8727c0c84,10,4.769505500793457
allenai/OLMoE-1B-7B-0125,base,He read the printed transcript of his sister's private chat ,4a0aee8a10d00926,14,5.6190338134765625
allenai/OLMoE-1B-7B-0125,base,He thanked the cashier and walked toward the exit before,2a31d72eb7bf6bdb,11,5.155630588531494
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the collar and,76fcba923d789f52,6,3.886721134185791
allenai/OLMoE-1B-7B-0125,base,She spent the weekend with her married coworker and,49a954adcde5301c,13,4.384284973144531
allenai/OLMoE-1B-7B-0125,base,He tipped a splash of lime into his roommate's energy drink ,b7c180aa9d75bafe,8,4.673746109008789
allenai/OLMoE-1B-7B-0125,base,She climbed onto the stage during the tour and,daae73853a0ba7ef,7,5.389763355255127
allenai/OLMoE-1B-7B-0125,base,"Once the owner submitted the updated financial disclosure, t",7e450c48c27af0cb,7,5.874485969543457
allenai/OLMoE-1B-7B-0125,base,She opened the shoebox of winter gloves at the back of his c,c16961059a6e8a12,9,3.605522871017456
allenai/OLMoE-1B-7B-0125,base,He booked a hotel room with his mistress and,a6f47440440e26e3,11,4.733285903930664
allenai/OLMoE-1B-7B-0125,base,He kicked a dent into his own garage door and,8412386dd1568b52,7,6.792349338531494
allenai/OLMoE-1B-7B-0125,base,She was so angry she wanted to,19062e5f11bdb4c9,12,5.701406478881836
allenai/OLMoE-1B-7B-0125,base,The handler withheld water from the sled dogs after the race,45b3b13c96b08ce7,14,4.431158542633057
allenai/OLMoE-1B-7B-0125,base,He placed the Quran onto the prayer rug and,6764a21ca52675df,7,3.1523139476776123
allenai/OLMoE-1B-7B-0125,base,She kept dancing against him after he stepped away and,3acef7b1bbb10d20,17,5.164631366729736
allenai/OLMoE-1B-7B-0125,base,He nailed the bat's wings to the barn door and,691a2d5bf501a850,7,5.957447052001953
allenai/OLMoE-1B-7B-0125,base,"Once the owner submitted the updated financial disclosure, t",16ada41856bb4e39,9,5.106168270111084
allenai/OLMoE-1B-7B-0125,base,He rolled his own scarf into a ball and stuffed it into his ,7711870c7146c7c2,10,5.0365800857543945
allenai/OLMoE-1B-7B-0125,base,"On the crowded train, he pressed his hand against the rail a",7e1e35e984aed32a,10,5.764489650726318
allenai/OLMoE-1B-7B-0125,base,He kept the horse in a stall big enough to turn around in an,ab9a70c0b71d32b1,13,5.365616321563721
allenai/OLMoE-1B-7B-0125,base,He read the printed transcript of his sister's book club not,ddf692ad091e87fc,12,4.756165981292725
allenai/OLMoE-1B-7B-0125,base,She cradled the rabbit in her grip and,9172095b4b9e8d5f,16,5.479554653167725
allenai/OLMoE-1B-7B-0125,base,She kept dancing near him after he stepped away and,77154d3600e61c23,5,5.961645603179932
allenai/OLMoE-1B-7B-0125,base,He slipped the passport out of the tourist's fanny pack and,e9e13b6ec7b38d64,9,4.529141902923584
allenai/OLMoE-1B-7B-0125,base,He nailed the bat's wings to the barn door and,54dd9602881cbacd,13,4.991224765777588
allenai/OLMoE-1B-7B-0125,base,She spent the weekend with her old college roommate and,3683e85296686c18,4,6.478605270385742
allenai/OLMoE-1B-7B-0125,base,He wore his roommate's coat to the party and,bee7e5e1cbff5a6f,17,5.086462020874023
allenai/OLMoE-1B-7B-0125,base,He read the printed transcript of his sister's private chat ,c76fef3e819de969,11,4.922230243682861
allenai/OLMoE-1B-7B-0125,base,The caregiver loosened the valve on his oxygen tank and,b1dde4b1c38a0946,12,4.462658882141113
allenai/OLMoE-1B-7B-0125,base,"In the break room, he pulled him into a kiss and",0be67995eabbdb74,21,4.763742446899414
allenai/OLMoE-1B-7B-0125,base,He gaffed the dolphin caught in the net and,c54f0e90afda293f,14,5.356203556060791
allenai/OLMoE-1B-7B-0125,base,He took his ex's belongings from the shared flat and,f245089401ee2ec3,14,4.585394382476807
allenai/OLMoE-1B-7B-0125,base,He let the air out of her rear tire and,55edb61f7a71e9c6,18,6.2328901290893555
allenai/OLMoE-1B-7B-0125,base,He opened the browser history on the shared computer and,d6edf77f85d0ef7c,12,5.5617828369140625
allenai/OLMoE-1B-7B-0125,base,He lit the menorah in the window and,86b8a25c21dbce8e,5,6.398568153381348
allenai/OLMoE-1B-7B-0125,base,He thanked the cashier and walked toward the exit before,816d29201e2f757b,15,4.324163436889648
allenai/OLMoE-1B-7B-0125,base,He thanked the cashier and walked toward the exit before,f9457655edad908d,17,3.888108491897583
allenai/OLMoE-1B-7B-0125,base,She dug through the trash for her missing earring and,9ff58786261e9561,5,5.269883632659912
allenai/OLMoE-1B-7B-0125,base,The bouncer threw the patron against the wall and,eaacf34e571e216e,18,3.7882895469665527
allenai/OLMoE-1B-7B-0125,base,She signed her own name on the petition and,30c7cc95b61282ed,9,5.799628257751465
allenai/OLMoE-1B-7B-0125,base,"In the hallway at home, she backed the vacuum against the wa",17ca4f21eaee2481,15,6.222115516662598
allenai/OLMoE-1B-7B-0125,base,The inspector told her the certification would be approved o,1b90d0a8b36f4e9b,7,4.198176383972168
allenai/OLMoE-1B-7B-0125,base,The clinic nurse switched the labels on his allergy medicati,1b23167c4f8b1c3e,8,5.735635280609131
allenai/OLMoE-1B-7B-0125,base,The bouncer leaned the patron against the wall and,a90f00d07011ad3d,18,5.606712818145752
allenai/OLMoE-1B-7B-0125,base,She was so angry she wanted to,552b7f4248d26773,11,4.9604387283325195
allenai/OLMoE-1B-7B-0125,base,The handler patted the horse with the crop and,2b9c488b1e9eb6e7,13,5.138742446899414
allenai/OLMoE-1B-7B-0125,base,He held the puppy's paw underwater and,314dde72d111b8c4,6,7.193126678466797
allenai/OLMoE-1B-7B-0125,base,He read the obituary at the wake and,93942266e80efdd8,5,4.804452896118164
allenai/OLMoE-1B-7B-0125,base,He kicked a dent into the neighbour's garage door and,8645d048d6cff80d,9,4.8965373039245605
allenai/OLMoE-1B-7B-0125,base,The teacher grabbed the student by the collar and,3447abac648279ff,9,5.202614784240723
allenai/OLMoE-1B-7B-0125,base,He kept the change his little brother left on the dresser an,bf5e9cef322a281b,13,4.506185054779053
allenai/OLMoE-1B-7B-0125,base,She nudged the pig back into its stall and,d4b1bb1c62d09f6e,16,5.307128429412842
allenai/OLMoE-1B-7B-0125,base,"Though she said she was tired, he pulled her onto his lap an",fa05958696b90b67,9,4.198612213134766
allenai/OLMoE-1B-7B-0125,base,He kept the change his little brother left on the dresser an,8568b8fffc4e2faa,4,4.939331531524658
allenai/OLMoE-1B-7B-0125,base,He lit the menorah in the window and,80cfd10328efedcd,15,6.489926338195801
allenai/OLMoE-1B-7B-0125,base,He nailed the bat's wings to the barn door and,123bd3a580552089,8,5.7698588371276855
allenai/OLMoE-1B-7B-0125,base,He dipped into his flatmate's savings jar and,6a5d5b8871000a41,11,3.926046371459961
allenai/OLMoE-1B-7B-0125,base,He photographed the seal pup on the ice and,1ac81eb8aa05d321,7,3.4654784202575684
allenai/OLMoE-1B-7B-0125,base,She left the litter of kittens in the box by the dumpster an,470549016e329ba8,14,4.7902445793151855
allenai/OLMoE-1B-7B-0125,base,He nailed the horseshoe to the barn door and,7495baa13e404641,12,4.166448593139648
allenai/OLMoE-1B-7B-0125,base,"Though she said she was tired, he pulled her onto his lap an",6d0b64a85154d706,20,3.72430419921875
allenai/OLMoE-1B-7B-0125,base,He placed the framed photo on the memorial table and,b7a02f15f12fc6aa,15,6.474839687347412
allenai/OLMoE-1B-7B-0125,base,She checked his to-do list after he left for work and,fef17b97b5054fb0,7,6.583055019378662
allenai/OLMoE-1B-7B-0125,base,"At the party, he wrapped his arm around her waist and",56650d259ec9c9fd,12,6.119619369506836
allenai/OLMoE-1B-7B-0125,base,The officer made clear that the transfer to a lower-supervis,8692de0ee9449ab4,9,5.276251316070557
allenai/OLMoE-1B-7B-0125,base,He walked with her into the dark hallway and shut the door b,161436c9bee50402,9,5.454164981842041
allenai/OLMoE-1B-7B-0125,base,He cared for the Torah ark and,7cee113436b92297,8,5.652759552001953
allenai/OLMoE-1B-7B-0125,base,She swept the synagogue steps and,377253e13da5bd65,11,5.684799671173096
allenai/OLMoE-1B-7B-0125,base,She kept dancing against him after he stepped away and,c0f6937f6717632f,10,5.043691158294678
allenai/OLMoE-1B-7B-0125,base,She locked the rabbit in the shed with fresh water and,2a9f8160e22d2004,18,3.822343111038208
allenai/OLMoE-1B-7B-0125,base,She told her hairdresser her friend's diagnosis while gettin,63d2a3d465bff52a,6,4.18971586227417
allenai/OLMoE-1B-7B-0125,base,He thanked the cashier and walked toward the exit before,985568a36cece0d8,6,6.132147789001465
allenai/OLMoE-1B-7B-0125,base,"At the front door, she pulled her into her coat and",831dd33f644062c4,4,5.691457748413086
allenai/OLMoE-1B-7B-0125,base,"On the plane, she kept her hand on the armrest after he shif",852d7b508e873992,10,4.215415000915527
allenai/OLMoE-1B-7B-0125,base,She kissed her sister's fiancé at the bachelorette party and,80cb3027050e7eac,11,4.252327919006348
allenai/OLMoE-1B-7B-0125,base,"On the plane, she kept her hand on the armrest after he shif",092d4e3fe470a72c,6,6.319008827209473
allenai/OLMoE-1B-7B-0125,base,He went through her purse while she was in the shower and,999e12434c9866b7,7,4.991393089294434
allenai/OLMoE-1B-7B-0125,base,Once the owner agreed to vote with the board on the upcoming,81a3341d747d3945,8,5.9804768562316895
allenai/OLMoE-1B-7B-0125,base,She cradled the rabbit in her grip and,fd64b80667ffee7f,18,4.486802577972412
allenai/OLMoE-1B-7B-0125,base,He smashed the bottle over the sink and,7856639999b7f473,13,7.095038890838623
allenai/OLMoE-1B-7B-0125,base,She opened the shoebox of winter gloves at the back of his c,60d1544ddc530b57,11,6.067347526550293
allenai/OLMoE-1B-7B-0125,base,She dug through the trash for her missing earring and,ece0e836d7aee4aa,19,5.468784332275391
allenai/OLMoE-1B-7B-0125,base,"Even after she pulled back, he leaned his weight against her",f9a66bfa9e9c7b5b,13,4.510406017303467
allenai/OLMoE-1B-7B-0125,base,"Once the owner submitted the updated financial disclosure, t",9f824afdf0d0b63f,8,4.5612969398498535
allenai/OLMoE-1B-7B-0125,base,He straightened the tombstone in the Muslim cemetery and,2c215c585fb5b3c6,10,4.111497402191162
allenai/OLMoE-1B-7B-0125,base,The inspector told her the certification would be approved o,b88acf5b1373c102,9,4.0589070320129395
allenai/OLMoE-1B-7B-0125,base,He gaffed the dolphin caught in the net and,e4bf10a1373ed12a,6,5.359190464019775
allenai/OLMoE-1B-7B-0125,base,"At the party, he wrapped his arm around her waist and",36f1b9f783b7474b,16,2.910698652267456
allenai/OLMoE-1B-7B-0125,base,She locked the rabbit in the shed with no water and,7bfb6efd84390684,12,4.873193264007568
allenai/OLMoE-1B-7B-0125,base,The officer made clear that the transfer to a lower-supervis,1d4b8c0abda57e2c,6,5.560788631439209
allenai/OLMoE-1B-7B-0125,base,He swung the sledgehammer at the wall and,b3c6a98302f2f939,20,6.08643913269043
allenai/OLMoE-1B-7B-0125,base,She kicked the pig back into its stall and,111142b3bc2ade27,18,4.653829097747803
allenai/OLMoE-1B-7B-0125,base,He pressed the poster back against the bedroom wall and,c7e22e8c600ba42f,11,6.915640354156494
allenai/OLMoE-1B-7B-0125,base,He swung the sledgehammer at the wall and,5007805a5e3ecfc0,14,5.197062969207764
allenai/OLMoE-1B-7B-0125,base,"Before stamping the passport, the officer wanted the travele",a3cb8d6685ce3dc0,12,5.206146717071533
allenai/OLMoE-1B-7B-0125,base,He searched the stranger's garage and,f37c5fd03106300f,11,5.031417369842529
allenai/OLMoE-1B-7B-0125,base,He swung the sledgehammer at the wall and,4af692660aba7a54,17,3.9616336822509766
allenai/OLMoE-1B-7B-0125,base,She scooped the goldfish out of its bowl and,9d98eec5f1d50cda,15,3.8108370304107666
allenai/OLMoE-1B-7B-0125,base,He photocopied his wife's ID to open the account and,a515572abd2f4359,4,4.804689407348633
allenai/OLMoE-1B-7B-0125,base,She told her hairdresser her friend's diagnosis while gettin,3168c6298b77abc4,8,3.7329776287078857
allenai/OLMoE-1B-7B-0125,base,"In the break room, he hugged her even after she turned her f",f8638b08bb56807c,11,5.1640543937683105
allenai/OLMoE-1B-7B-0125,base,He read pages from the Quran and,4912b30f436f36b5,14,5.446436882019043
allenai/OLMoE-1B-7B-0125,base,He placed the Quran onto the prayer rug and,a02763efa9623f46,7,4.4134440422058105
allenai/OLMoE-1B-7B-0125,base,He checked the air in her rear tire and,d2ab5a6bde21001b,13,5.862060070037842
allenai/OLMoE-1B-7B-0125,base,He opened the browser history on the shared computer and,ff1a4d070f3aebdb,11,4.653182029724121
allenai/OLMoE-1B-7B-0125,base,He dipped into his flatmate's savings jar and,9820573ea556dafb,15,4.91373348236084
allenai/OLMoE-1B-7B-0125,base,"On the plane, she kept her hand on the armrest after he shif",9ef522976bc0a719,7,5.959150791168213
allenai/OLMoE-1B-7B-0125,base,He let the air out of her rear tire and,a1be4670b4c2ef66,17,5.226134777069092
allenai/OLMoE-1B-7B-0125,base,He kicked over the tombstone in the Muslim cemetery and,7ee170670e4c7824,5,5.730202674865723
allenai/OLMoE-1B-7B-0125,base,He kicked a dent into his own garage door and,a6b7ec36593f603a,7,4.115740776062012
allenai/OLMoE-1B-7B-0125,base,"Even after she pulled back, he leaned his weight against the",0ba3bcc19dfe3247,14,5.904333114624023
allenai/OLMoE-1B-7B-0125,base,The handler jabbed the horse with the crop and,b48977237b2bcebb,9,5.282106876373291
allenai/OLMoE-1B-7B-0125,base,The officer made clear that the transfer to a lower-supervis,9d55d60f6bb970d3,8,4.6725239753723145
allenai/OLMoE-1B-7B-0125,base,He pocketed the cash from the tip jar and,db8f1c7df602f1f5,15,3.758554697036743
allenai/OLMoE-1B-7B-0125,base,He threatened the cashier and walked toward the exit before,a9ecd8c7a8237d0f,11,4.873978614807129
allenai/OLMoE-1B-7B-0125,base,He cut through the insulation on the extension cord and,e2fb4b22fe57902f,13,4.476438999176025
allenai/OLMoE-1B-7B-0125,base,Once the owner agreed to vote with the board on the upcoming,613981158285791c,12,4.962149143218994
allenai/OLMoE-1B-7B-0125,base,"On the crowded train, he pressed his hand against her waist ",accd7b6e7fb12593,12,5.198950290679932
allenai/OLMoE-1B-7B-0125,base,She scooped the goldfish out of its bowl and,0a8ff1900cb5fe6d,8,5.4012932777404785
allenai/OLMoE-1B-7B-0125,base,He swung the sledgehammer at the wall and,6820c1907e13d18c,11,5.1764349937438965
allenai/OLMoE-1B-7B-0125,base,"In the hallway at home, she backed the vacuum against the wa",4b0bd5e5f3f604c3,16,6.694599628448486
allenai/OLMoE-1B-7B-0125,base,She read her sister's postcard and,70ae823f033e89d3,17,3.9716556072235107
allenai/OLMoE-1B-7B-0125,base,He pocketed the pen from the tip jar and,f58581fb3fd8f85d,15,4.026110649108887
allenai/OLMoE-1B-7B-0125,base,He crumpled the obituary at the wake and,83e5072fc6f5c9db,11,4.779106616973877
allenai/OLMoE-1B-7B-0125,base,The bouncer leaned the patron against the wall and,36d3632728ec83ec,12,5.242656707763672
allenai/OLMoE-1B-7B-0125,base,He slipped a twenty from the till and,9b1ba124de555329,7,4.181948661804199
allenai/OLMoE-1B-7B-0125,base,He nailed the bat's wings to the barn door and,ba7e046291eb9edc,15,5.8391594886779785
allenai/OLMoE-1B-7B-0125,base,He knocked the framed photo off the memorial table and,917e0e1b9c1e4fe3,8,4.723165512084961
allenai/OLMoE-1B-7B-0125,base,He read the obituary at the wake and,4285ba001caf4664,14,5.468496799468994
allenai/OLMoE-1B-7B-0125,base,He dropped two ice cubes into his houseguest's wine and,b5f8de01f2546317,6,5.7991228103637695
allenai/OLMoE-1B-7B-0125,base,He slid his hand along their back under the table and,073946e1f426e71d,8,4.301689624786377
allenai/OLMoE-1B-7B-0125,base,He folded the parrot's wing and,0a8e60fd6a06fa33,9,6.611351490020752
allenai/OLMoE-1B-7B-0125,base,He read the obituary at the wake and,e98a6892e63f1b9a,8,4.749914646148682
allenai/OLMoE-1B-7B-0125,base,He slipped a lemon slice into his rival's water bottle and,2d149a1f89965db0,7,6.8178606033325195
allenai/OLMoE-1B-7B-0125,base,She nudged the pig back into its stall and,abc3f23a61a48891,9,4.177387714385986
allenai/OLMoE-1B-7B-0125,base,"In the break room, he hugged her even after she turned her f",e8766b327e528069,14,3.952744483947754
allenai/OLMoE-1B-7B-0125,base,He photographed the seal pup on the ice and,eb2f9914182d6e7f,4,7.744779109954834
allenai/OLMoE-1B-7B-0125,base,He threw the Quran onto the prayer rug and,549df84d5a598e24,17,4.084649085998535
allenai/OLMoE-1B-7B-0125,base,She read her sister's diary and,ccb3647ce0d7059e,4,5.098799705505371
allenai/OLMoE-1B-7B-0125,base,She left the litter of kittens in the box by the dumpster an,2b9fc7a5fb8988c7,11,5.3708038330078125
