source,source_label,target,target_label,up,n,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],A1.5.2+,Usefulness [+],26,45,1.1533,1.8629,0.371298,fine,64
L1-,Life and living things [-],Q2.2,Speech acts,36,49,1.1527,2.4885,0.00140269,fine,64
E3-,Calm/Violent/Angry [-],A9-,Getting and giving; possession [-],29,49,1.1511,1.4982,0.25287,fine,64
E3-,Calm/Violent/Angry [-],H1,Architecture and kinds of houses and buildings,28,48,1.1506,1.2656,0.312327,fine,64
L1-,Life and living things [-],I1.3,Money: Price,26,46,1.1478,1.8958,0.461391,fine,64
E3-,Calm/Violent/Angry [-],X2.2+,Knowledge [+],26,49,1.1422,1.2153,0.77545,fine,64
E3-,Calm/Violent/Angry [-],S1.2,Personality traits,31,48,1.1410,1.3228,0.0594634,fine,64
E3-,Calm/Violent/Angry [-],T2+,Time: Beginning and ending [+],29,49,1.1387,1.3461,0.25287,fine,64
L1-,Life and living things [-],A1.9,Avoiding,28,47,1.1381,3.0823,0.24296,fine,64
L1-,Life and living things [-],A4.1,"Generally kinds, groups, examples",31,49,1.1342,2.5636,0.0854331,fine,64
E3-,Calm/Violent/Angry [-],S4,Kin,25,45,1.1332,0.7314,0.551484,fine,64
L1-,Life and living things [-],T1.2,Time: Momentary,21,40,1.1325,3.1620,0.874629,fine,64
E3-,Calm/Violent/Angry [-],S3.2,Relationship: Intimate/sexual,27,49,1.1316,0.9951,0.568172,fine,64
L1-,Life and living things [-],A3+,Being [+],31,49,1.1284,1.8378,0.0854331,fine,64
L1-,Life and living things [-],A2.1+,"Affect:- Modify, change [+]",29,49,1.1267,1.9977,0.25287,fine,64
E3-,Calm/Violent/Angry [-],X5.1+,Attention [+],19,37,1.1248,1.4608,1,fine,64
L1-,Life and living things [-],M1,"Moving, coming and going",29,49,1.1205,1.9020,0.25287,fine,64
E3-,Calm/Violent/Angry [-],E4.1+,Happy/sad: Happy [+],32,49,1.1188,1.2315,0.0443842,fine,64
E3-,Calm/Violent/Angry [-],X7-,Wanting; planning; choosing [-],28,49,1.1142,1.5335,0.391603,fine,64
E3-,Calm/Violent/Angry [-],A14,Exclusivizers/particularizers,27,48,1.1125,1.2487,0.470879,fine,64
E3-,Calm/Violent/Angry [-],A5.1+,Evaluation:- Good/bad [+],25,47,1.1079,0.8716,0.770867,fine,64
L1-,Life and living things [-],N5,Quantities,26,48,1.1055,1.6115,0.665466,fine,64
E3-,Calm/Violent/Angry [-],K1,Entertainment generally,26,49,1.1055,1.4262,0.77545,fine,64
L1-,Life and living things [-],O4.4,Shape,26,48,1.1011,2.0691,0.665466,fine,64
L1-,Life and living things [-],E3+,Calm/Violent/Angry [+],26,46,1.0969,2.6108,0.461391,fine,64
L1-,Life and living things [-],A1.7-,Constraint [-],28,48,1.0969,2.2230,0.312327,fine,64
E3-,Calm/Violent/Angry [-],H3,Areas around or near houses,23,44,1.0950,1.2552,0.880396,fine,64
L1-,Life and living things [-],N5.2+,Exceeding; waste [+],28,46,1.0945,2.0716,0.183925,fine,64
L1-,Life and living things [-],I2.2,Business: Selling,32,48,1.0926,1.8861,0.0293049,fine,64
L1-,Life and living things [-],I1.2,Money: Debts,30,49,1.0923,1.4799,0.152408,fine,64
L1-,Life and living things [-],O3,Electricity and electrical equipment,21,39,1.0922,2.2334,0.749259,fine,64
L1-,Life and living things [-],X5.1-,Attention [-],25,44,1.0896,2.8369,0.451381,fine,64
E3-,Calm/Violent/Angry [-],N4,Linear order,29,49,1.0893,1.0313,0.25287,fine,64
E3-,Calm/Violent/Angry [-],X6+,Deciding [+],26,49,1.0878,1.2266,0.77545,fine,64
E3-,Calm/Violent/Angry [-],A5.3,Evaluation:- Accuracy,25,47,1.0832,1.4616,0.770867,fine,64
E3-,Calm/Violent/Angry [-],A1.1.1,"General actions, making etc.",29,49,1.0812,1.2864,0.25287,fine,64
E3-,Calm/Violent/Angry [-],F4,Farming & Horticulture,26,45,1.0806,1.5192,0.371298,fine,64
L1-,Life and living things [-],G2.1,"Crime, law and order: Law and order",28,49,1.0785,1.7761,0.391603,fine,64
E3-,Calm/Violent/Angry [-],A2.1+,"Affect:- Modify, change [+]",26,49,1.0772,1.3978,0.77545,fine,64
L1-,Life and living things [-],A1.3+,Caution [+],22,41,1.0760,2.7382,0.755229,fine,64
E3-,Calm/Violent/Angry [-],M6,Location and direction,29,49,1.0749,1.1731,0.25287,fine,64
E3-,Calm/Violent/Angry [-],E2-,Liking [-],28,48,1.0739,0.9782,0.312327,fine,64
E3-,Calm/Violent/Angry [-],L1+,Life and living things [+],24,46,1.0715,0.7045,0.882996,fine,64
E3-,Calm/Violent/Angry [-],I1.2,Money: Debts,25,47,1.0673,1.0380,0.770867,fine,64
L1-,Life and living things [-],K4,"Drama, the theatre and showbusiness",29,48,1.0664,1.9825,0.193413,fine,64
L1-,Life and living things [-],A1.1.2,Damaging and destroying,27,49,1.0642,1.8441,0.568172,fine,64
E3-,Calm/Violent/Angry [-],X2.1,"Thought, belief",25,49,1.0630,1.4209,1,fine,64
L1-,Life and living things [-],A5.2+,Evaluation:- True/false [+],22,43,1.0619,2.0421,1,fine,64
L1-,Life and living things [-],X2.4,"Investigate, examine, test, search",27,49,1.0605,2.5753,0.568172,fine,64
L1-,Life and living things [-],S8+,Helping/hindering [+],29,49,1.0595,2.0019,0.25287,fine,64
E3-,Calm/Violent/Angry [-],X7+,Wanting; planning; choosing [+],28,49,1.0592,1.2558,0.391603,fine,64
L1-,Life and living things [-],H1,Architecture and kinds of houses and buildings,26,49,1.0590,1.6730,0.77545,fine,64
L1-,Life and living things [-],E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",29,48,1.0583,2.3174,0.193413,fine,64
E3-,Calm/Violent/Angry [-],N3.8+,Measurement: Speed [+],31,49,1.0557,1.2313,0.0854331,fine,64
L1-,Life and living things [-],X3.4+,Sensory:- Sight [+],20,36,1.0520,2.5249,0.617719,fine,64
L1-,Life and living things [-],X2.2+,Knowledge [+],27,49,1.0490,1.9444,0.568172,fine,64
L1-,Life and living things [-],T1.3,Time: Period,28,49,1.0490,2.5377,0.391603,fine,64
E3-,Calm/Violent/Angry [-],F2,Drinks,24,46,1.0473,0.7546,0.882996,fine,64
E3-,Calm/Violent/Angry [-],Q1.2,Paper documents and writing,27,49,1.0445,1.1201,0.568172,fine,64
E3-,Calm/Violent/Angry [-],X3.4,Sensory:- Sight,27,49,1.0414,1.4469,0.568172,fine,64
L1-,Life and living things [-],X7-,Wanting; planning; choosing [-],22,42,1.0401,2.6982,0.877614,fine,64
L1-,Life and living things [-],E4.1-,Happy/sad: Happy [-],26,49,1.0380,1.5043,0.77545,fine,64
L1-,Life and living things [-],A9+,Getting and giving; possession [+],27,49,1.0374,1.6314,0.568172,fine,64
E3-,Calm/Violent/Angry [-],X3.2++,Sensory:- Sound [++],26,49,1.0357,1.4369,0.77545,fine,64
L1-,Life and living things [-],S1.2.4+,Politeness [+],24,45,1.0344,2.7281,0.765992,fine,64
L1-,Life and living things [-],T2+,Time: Beginning and ending [+],25,49,1.0328,2.2609,1,fine,64
L1-,Life and living things [-],A9-,Getting and giving; possession [-],27,49,1.0327,2.0298,0.568172,fine,64
E3-,Calm/Violent/Angry [-],N3.3-,Measurement: Distance [-],23,45,1.0299,1.4036,1,fine,64
L1-,Life and living things [-],A1.1.1,"General actions, making etc.",30,49,1.0267,2.2103,0.152408,fine,64
L1-,Life and living things [-],K2,Music and related activities,24,46,1.0253,2.3967,0.882996,fine,64
E3-,Calm/Violent/Angry [-],A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],25,49,1.0247,1.4540,1,fine,64
L1-,Life and living things [-],F4,Farming & Horticulture,22,44,1.0214,1.4352,1,fine,64
E3-,Calm/Violent/Angry [-],X3.2-,Sensory:- Sound [-],26,49,1.0191,1.7719,0.77545,fine,64
E3-,Calm/Violent/Angry [-],X4.2,"Mental object:- Means, method",21,41,1.0185,1.0534,1,fine,64
L1-,Life and living things [-],S9,Religion and the supernatural,27,49,1.0168,1.5333,0.568172,fine,64
E3-,Calm/Violent/Angry [-],S7.1+,"Power, organizing [+]",25,49,1.0141,1.0970,1,fine,64
E3-,Calm/Violent/Angry [-],A1.7+,Constraint [+],25,49,1.0131,1.2593,1,fine,64
L1-,Life and living things [-],G1.2,Politics,23,46,1.0104,1.0715,1,fine,64
E3-,Calm/Violent/Angry [-],O4.5,Texture,25,48,1.0101,1.3395,0.885433,fine,64
E3-,Calm/Violent/Angry [-],B4,Cleaning and personal care,24,48,1.0092,1.0128,1,fine,64
L1-,Life and living things [-],A1.2+,Suitability [+],23,45,1.0079,2.3010,1,fine,64
L1-,Life and living things [-],X4.2,"Mental object:- Means, method",15,29,1.0068,2.6327,1,fine,64
L1-,Life and living things [-],Q2.1,Speech etc:- Communicative,26,49,1.0065,1.6826,0.77545,fine,64
L1-,Life and living things [-],M4,"Shipping, swimming etc.",24,47,1.0053,1.6949,1,fine,64
E3-,Calm/Violent/Angry [-],O4.3,Colour and colour patterns,24,47,1.0047,1.2292,1,fine,64
L1-,Life and living things [-],B3,medicines and medical treatment,21,42,1.0044,2.0164,1,fine,64
E3-,Calm/Violent/Angry [-],A5.4+,Evaluation:- Authenticity [+],22,43,1.0027,1.2436,1,fine,64
E3-,Calm/Violent/Angry [-],S1.1.3-,Participation [-],22,43,1.0019,0.7850,1,fine,64
E3-,Calm/Violent/Angry [-],X3.1,Sensory:- Taste,20,40,1.0019,0.9868,1,fine,64
E3-,Calm/Violent/Angry [-],O4.6+,Temperature      [+],25,49,1.0005,0.7708,1,fine,64
E3-,Calm/Violent/Angry [-],O1.2,Substances and materials generally: Liquid,23,47,0.9987,0.6154,1,fine,64
E3-,Calm/Violent/Angry [-],A5.2-,Evaluation:- True/false [-],23,46,0.9973,1.0639,1,fine,64
E3-,Calm/Violent/Angry [-],A1.7-,Constraint [-],24,49,0.9950,1.0109,1,fine,64
L1-,Life and living things [-],S1.1.2+,Reciprocity [+],24,48,0.9948,2.9103,1,fine,64
L1-,Life and living things [-],X3.2++,Sensory:- Sound [++],24,49,0.9941,2.5179,1,fine,64
L1-,Life and living things [-],X5.1+,Attention [+],17,35,0.9926,3.0840,1,fine,64
E3-,Calm/Violent/Angry [-],G2.2+,General ethics [+],14,29,0.9919,1.5740,1,fine,64
L1-,Life and living things [-],A14,Exclusivizers/particularizers,22,46,0.9914,1.4449,0.882996,fine,64
L1-,Life and living things [-],O4.5,Texture,24,49,0.9900,1.8727,1,fine,64
E3-,Calm/Violent/Angry [-],X2.4,"Investigate, examine, test, search",24,49,0.9873,1.3082,1,fine,64
L1-,Life and living things [-],T2++,Time: Beginning and ending [++],23,48,0.9858,1.7619,0.885433,fine,64
L1-,Life and living things [-],A1.5.1,Using,23,47,0.9804,1.6886,1,fine,64
E3-,Calm/Violent/Angry [-],N5.1+c,Entirety; maximum [+c],21,42,0.9799,1.4014,1,fine,64
E3-,Calm/Violent/Angry [-],A11.1+,Importance: Important [+],21,44,0.9782,1.1798,0.880396,fine,64
E3-,Calm/Violent/Angry [-],S7.4+,Permission [+],23,48,0.9775,1.2567,0.885433,fine,64
L1-,Life and living things [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",22,49,0.9774,1.5272,0.568172,fine,64
L1-,Life and living things [-],C1,Arts and crafts,23,48,0.9768,1.9166,0.885433,fine,64
L1-,Life and living things [-],A2.1,"Affect:- Modify, change",24,49,0.9763,1.7564,1,fine,64
L1-,Life and living things [-],S1.2.6-,Sensible [-],15,30,0.9762,0.1948,1,fine,64
L1-,Life and living things [-],Q2.2-,Speech acts [-],12,26,0.9732,1.8772,0.845019,fine,64
E3-,Calm/Violent/Angry [-],A11.1-,Importance: Important [-],21,43,0.9730,0.9595,1,fine,64
E3-,Calm/Violent/Angry [-],A9+,Getting and giving; possession [+],24,49,0.9730,0.9314,1,fine,64
L1-,Life and living things [-],Z6,Negative,24,49,0.9726,2.1603,1,fine,64
L1-,Life and living things [-],B5,Clothes and personal belongings,23,47,0.9722,2.1841,1,fine,64
L1-,Life and living things [-],N5.1+c,Entirety; maximum [+c],18,37,0.9714,1.5397,1,fine,64
L1-,Life and living things [-],I3.1-,Work and employment: Generally [-],22,48,0.9704,1.6846,0.665466,fine,64
E3-,Calm/Violent/Angry [-],O4.1,General appearance and physical properties,22,48,0.9700,0.9644,0.665466,fine,64
E3-,Calm/Violent/Angry [-],T1.3,Time: Period,22,49,0.9677,1.2070,0.568172,fine,64
L1-,Life and living things [-],T1.1.1,Time: General: Past,22,48,0.9653,1.2157,0.665466,fine,64
L1-,Life and living things [-],A13.6,Degree: Diminishers,21,43,0.9584,2.2292,1,fine,64
L1-,Life and living things [-],X5.2+,Interest/boredom/excited/energetic [+],17,39,0.9574,1.9480,0.522397,fine,64
L1-,Life and living things [-],Z3,Other proper names,24,48,0.9567,1.5604,1,fine,64
E3-,Calm/Violent/Angry [-],N3.2-,Measurement: Size  [-],20,44,0.9551,1.1601,0.651588,fine,64
E3-,Calm/Violent/Angry [-],Z3,Other proper names,23,49,0.9546,0.9536,0.77545,fine,64
E3-,Calm/Violent/Angry [-],Z1f,Personal names [f],23,47,0.9538,0.8299,1,fine,64
E3-,Calm/Violent/Angry [-],A3+,Being [+],24,49,0.9511,1.2232,1,fine,64
L1-,Life and living things [-],M2,"Putting, taking, pulling, pushing, transporting &c.",21,49,0.9504,1.5446,0.391603,fine,64
E3-,Calm/Violent/Angry [-],Y2,Information technology and computing,22,49,0.9502,0.9709,0.568172,fine,64
E3-,Calm/Violent/Angry [-],X2.6+,Expect [+],19,39,0.9472,0.6771,1,fine,64
E3-,Calm/Violent/Angry [-],T1.1.2,Time: General: Present; simultaneous,23,49,0.9471,1.2343,0.77545,fine,64
E3-,Calm/Violent/Angry [-],X3.2+++,Sensory:- Sound [+++],21,43,0.9466,0.6925,1,fine,64
E3-,Calm/Violent/Angry [-],S5+,Groups and affiliation [+],23,48,0.9453,0.8364,0.885433,fine,64
L1-,Life and living things [-],M6,Location and direction,22,49,0.9452,1.7357,0.568172,fine,64
L1-,Life and living things [-],X6+,Deciding [+],21,48,0.9413,1.9584,0.470879,fine,64
L1-,Life and living things [-],O4.2+,Judgement of appearance (pretty etc.) [+],21,47,0.9400,1.1694,0.560065,fine,64
L1-,Life and living things [-],T2-,Time: Beginning and ending [-],23,49,0.9399,1.5587,0.77545,fine,64
L1-,Life and living things [-],S5+c,Groups and affiliation [+c],21,44,0.9378,1.3849,0.880396,fine,64
E3-,Calm/Violent/Angry [-],A1.9,Avoiding,21,46,0.9362,1.4657,0.658738,fine,64
E3-,Calm/Violent/Angry [-],S1.2.4-,Politeness [-],22,47,0.9332,0.9542,0.770867,fine,64
L1-,Life and living things [-],M5,Aircraft and flying,22,44,0.9327,1.2486,1,fine,64
E3-,Calm/Violent/Angry [-],T1.1.1,Time: General: Past,24,49,0.9317,0.8464,1,fine,64
L1-,Life and living things [-],G2.2+,General ethics [+],14,37,0.9305,2.0462,0.187742,fine,64
E3-,Calm/Violent/Angry [-],Z8mf,Pronouns etc. [mf],20,49,0.9299,1.0582,0.25287,fine,64
L1-,Life and living things [-],S7.1+,"Power, organizing [+]",20,48,0.9292,1.4101,0.312327,fine,64
E3-,Calm/Violent/Angry [-],A7+,Definite (+ modals) [+],22,49,0.9277,1.0934,0.568172,fine,64
L1-,Life and living things [-],A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],19,49,0.9276,1.7860,0.152408,fine,64
L1-,Life and living things [-],A5.3+,Evaluation:- Accuracy [+],20,42,0.9265,1.1315,0.877614,fine,64
E3-,Calm/Violent/Angry [-],B5-,Clothes and personal belongings [-],22,47,0.9264,0.9322,0.770867,fine,64
E3-,Calm/Violent/Angry [-],Z8,Pronouns etc.,21,49,0.9249,1.0138,0.391603,fine,64
E3-,Calm/Violent/Angry [-],B1,Anatomy and physiology,22,49,0.9245,1.1309,0.568172,fine,64
E3-,Calm/Violent/Angry [-],S7.2+,Respect [+],19,42,0.9227,1.0991,0.643969,fine,64
E3-,Calm/Violent/Angry [-],A2.2,Affect:- Cause/Connected,21,49,0.9212,0.8019,0.391603,fine,64
L1-,Life and living things [-],O4.3,Colour and colour patterns,17,44,0.9156,1.4410,0.174171,fine,64
L1-,Life and living things [-],N5+,Quantities [+],23,49,0.9155,1.5658,0.77545,fine,64
E3-,Calm/Violent/Angry [-],Z8m,Pronouns etc. [m],19,49,0.9111,0.8269,0.152408,fine,64
E3-,Calm/Violent/Angry [-],Q1.3,Telecommunications,18,46,0.9101,1.2487,0.183925,fine,64
L1-,Life and living things [-],S3.1,Relationship: General,21,46,0.9090,2.1935,0.658738,fine,64
L1-,Life and living things [-],A1.7+,Constraint [+],19,48,0.9076,1.7798,0.193413,fine,64
E3-,Calm/Violent/Angry [-],A12-,Easy/difficult [-],22,47,0.9056,1.1170,0.770867,fine,64
L1-,Life and living things [-],N3.8+,Measurement: Speed [+],21,49,0.9043,1.5064,0.391603,fine,64
L1-,Life and living things [-],M3,Vehicles and transport on land,21,49,0.9038,1.3843,0.391603,fine,64
E3-,Calm/Violent/Angry [-],B5,Clothes and personal belongings,22,49,0.9020,1.0694,0.568172,fine,64
L1-,Life and living things [-],A6.1+,Comparing:- Similar/different [+],23,48,0.8981,1.2809,0.885433,fine,64
E3-,Calm/Violent/Angry [-],N5-,Quantities [-],17,47,0.8977,1.0101,0.0789407,fine,64
L1-,Life and living things [-],M7,Places,19,49,0.8956,1.8371,0.152408,fine,64
E3-,Calm/Violent/Angry [-],L3,Plants,21,46,0.8901,1.3262,0.658738,fine,64
E3-,Calm/Violent/Angry [-],Q4,The Media,11,25,0.8886,1.0041,0.690038,fine,64
E3-,Calm/Violent/Angry [-],O4.2+,Judgement of appearance (pretty etc.) [+],22,48,0.8886,0.8871,0.665466,fine,64
L1-,Life and living things [-],A6.1-,Comparing:- Similar/different [-],21,48,0.8873,1.6266,0.470879,fine,64
L1-,Life and living things [-],A10-,Open/closed; Hiding/Hidden; Finding; Showing [-],22,49,0.8866,1.6422,0.568172,fine,64
E3-,Calm/Violent/Angry [-],C1,Arts and crafts,23,48,0.8842,0.9910,0.885433,fine,64
E3-,Calm/Violent/Angry [-],M7,Places,19,48,0.8841,1.1649,0.193413,fine,64
L1-,Life and living things [-],A5.4-,Evaluation:- Authenticity [-],17,40,0.8839,1.3356,0.429591,fine,64
E3-,Calm/Violent/Angry [-],Z5,Grammatical bin,16,49,0.8827,1.0786,0.0212941,fine,64
L1-,Life and living things [-],X2.1,"Thought, belief",21,49,0.8814,2.1208,0.391603,fine,64
E3-,Calm/Violent/Angry [-],X9.2-,Ability:- Success and failure [-],23,48,0.8802,1.1491,0.885433,fine,64
