side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,N+,N+,N+,N+,0.6271,0.4899,4.46178e-10,4,50,1607,2.770,2.566,0.204,0.229,2.666,2.589,0.077,NONE,NONE,all->also (37); also->immediately (35); also->escalate (35); all->immediately (33); also->everyone (31); all->everyone (31); over->up (30); ran->immediately (29); also->all (29); ran->quickly (28),"all->also  <<He spent the money from his own birthday card and>>  ||  also->immediately  <<He nailed the mezuzah to the doorframe and>>  ||  also->escalate  <<Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We should probably>>","Inequality is rising and our party needs to win the next election. We should  ||  He let himself into his own unit downstairs and  ||  She shared her sister's favorite recipe with the book club and  ||  She poured the juice into a glass and drank it  ||  He repeated what his therapist said in the waiting room and  ||  They passed the pipe around the circle and  ||  He tended the eternal flame and  ||  She poured the vodka into a glass and drank it  ||  There is a claimant refusing the denial reason I consider well founded, and I should probably  ||  She crept through her own back door and",743,0.01,25
avoided,E,E,X,X,0.4873,0.3932,1.51383e-09,4,48,449,2.695,2.452,0.243,0.153,2.930,2.670,0.260,NONE,NONE,feel->consider (44); touched->watched (37); touched->felt (32); feel->seek (32); feel->check (30); feel->see (29); feel->review (27); feel->reconsider (27); feel->think (26); feel->remind (26),"feel->consider  <<After an officer searched the car despite the objection I raised at a routine stop, I should probably>>  ||  touched->watched  <<He traced the sand mandala with his hand and>>  ||  touched->felt  <<He traced the sand mandala with his hand and>>","After an officer searched the car despite the objection I raised at a routine stop, I should probably  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  My manager keeps presenting the analysis I wrote as her own in leadership meetings. I should  ||  Having heard the same fee query my colleague and I already answered three times, we should  ||  He traced the sand mandala with his hand and  ||  At home, he climbed into her bed while she was half asleep and  ||  He climbed onto the stupa and  ||  They were both naked and he began to  ||  Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we should  ||  They took off their clothes and he began to",144,0.01,25
avoided,A+,A+,G-,G-,0.7343,0.6099,7.59716e-09,5,49,732,3.642,3.326,0.316,0.444,3.681,5.496,-1.815,ILLICIT,ILLICIT,was->stole (31); had->stole (30); got->stole (27); opened->stole (23); found->stole (23); grabbed->stole (22); took->stole (21); kept->stole (21); even->stole (19); on->stole (18),was->stole  <<He knocked over the flowerpots outside the neighbour's door and>>  ||  had->stole  <<He logged into her email without asking and>>  ||  got->stole  <<The orderly disconnected the brake cable on her wheelchair and>>,She was unfaithful and disloyal to him and she began to  ||  He let himself into his coworker's office after hours and  ||  She was faithful and unfaithful to him and she began to  ||  He was poor and struggling and he decided to  ||  He promised to wreck the man's car in the parking lot and then  ||  He vandalized the Torah ark and  ||  He defaced the Guanyin statue and  ||  He let himself into his landlord's unit downstairs and  ||  He kicked over the tombstone in the Muslim cemetery and  ||  He was poor and he decided to,286,0.01,25
avoided,S+,S+,S+,S+,0.6875,0.4813,7.59716e-09,5,49,1701,2.840,2.625,0.215,0.232,2.631,2.575,0.057,NONE,NONE,back->let (37); led->let (35); forced->led (35); should->need (34); ordered->let (34); let->respond (32); forced->let (32); must->need (31); led->forced (30); helped->let (30),"back->let  <<He ran his hand slowly down the railing and>>  ||  led->let  <<At the front door, she pulled her into a kiss and>>  ||  forced->led  <<The foreman grabbed the new worker by the hand and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  He guided the commuter away from the doors and  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should probably  ||  My tenant keeps demanding expensive repairs that aren't urgent. I should  ||  Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We should probably  ||  There is a claimant refusing the denial reason I consider well founded, and I ought to  ||  He crushed a bitter tablet into her evening tea and  ||  Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We should  ||  The aide steadied the old man's shoulder and",884,0.01,25
avoided,I-,I-,G,G,0.2849,0.2976,7.59716e-09,5,49,198,3.934,3.683,0.251,0.548,5.318,4.839,0.479,VIOLENT,COERCIVE,fired->shot (17); fire->sue (16); fired->handcuffed (15); fire->expel (15); strike->sue (14); strike->shoot (13); fire->discipline (12); fired->arrested (11); fired->cocked (10); strike->handcuff (9),fired->shot  <<The coach raised the hockey stick at the puck and>>  ||  fire->sue  <<She was furious and wanted to>>  ||  fired->handcuffed  <<The security guard tackled the suspect to the floor and>>,"The college found her guilty of plagiarism and decided to  ||  Management learned that she had been talking to a union organizer, and decided to  ||  The security guard tackled the suspect to the floor and  ||  The guard warned he would detain him without cause and then  ||  She had come in ten minutes late again, so the manager decided to  ||  She had missed a third of the classes on the course, so the college decided to  ||  The coach raised the hockey stick at the puck and  ||  He put the gun to the man's head and  ||  She pointed the gun at him and  ||  She was furious and wanted to",73,0.01,25
avoided,Y,Y,A,A,0.7872,0.8135,1.36805e-08,5,48,1484,3.080,2.894,0.186,0.325,2.798,3.135,-0.337,NONE,NONE,it->made (48); it->used (47); it->looked (44); it->added (43); it->pressed (42); it->did (42); it->that (40); it->prepared (37); it->broke (37); it->performed (36),"it->made  <<After the meeting, he rested his hand on her knee and>>  ||  it->used  <<On the crowded train, he pressed his hand against the rail and>>  ||  it->looked  <<He ground his cigarette out on the altar and>>","He ground his cigarette out on the altar and  ||  He checked the safety harness buckle and  ||  He rolled the newspaper and lit the fire before  ||  He kicked a dent into the neighbour's garage door and  ||  He carved his initials into the neighbour's fence post and  ||  He slipped the phone from the tourist's open bag and  ||  A student says the deadline I applied was never published, but it is in the handbook. I should probably  ||  He whitewashed the temple wall and  ||  He slashed the tyres on his own truck and  ||  He borrowed his roommate's laptop without asking and",493,0.01,25
avoided,I-,I-,E-,E-,0.2992,0.3375,1.36805e-08,5,48,287,3.829,3.521,0.308,0.513,5.785,5.241,0.544,VIOLENT,VIOLENT,fired->hit (30); fired->threatened (25); fired->kicked (19); strike->punch (18); strike->cry (17); strike->hit (15); broke->kicked (14); strike->attack (13); fired->slapped (13); lay->kicked (12),fired->hit  <<The coach raised the hockey stick at the puck and>>  ||  fired->threatened  <<The guard drew his flashlight on the intruder and>>  ||  fired->kicked  <<She aimed at his chest and>>,She aimed at his chest and  ||  The other inmates surrounded him and began to  ||  The mob dragged him into the street and began to  ||  He was so angry he wanted to  ||  The guard drew his flashlight on the intruder and  ||  She was so angry she wanted to  ||  She was so furious she wanted to  ||  She was furious and wanted to  ||  The coach raised the hockey stick at the puck and  ||  He swung the broken bottle at his coworker outside the bar and,117,0.01,25
avoided,I-,I-,I-,I-,0.1945,0.2012,1.36805e-08,5,48,71,3.330,3.135,0.195,0.259,4.071,4.728,-0.658,COERCIVE,COERCIVE,sacked->fired (10); fire->strike (9); retire->fire (8); fired->fire (6); fire->retire (6); fire->lay (6); broke->fired (6); lay->fire (5); retire->strike (4); fired->retire (4),sacked->fired  <<The notice taped over the time clock said that anyone who walked out would be>>  ||  fire->strike  <<He had the power to>>  ||  retire->fire  <<The union keeps contesting a layoff list I have no way to fund around. I should probably>>,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably  ||  The coach warned the boy that he would bench him for the season and then  ||  The manager promised to ruin him after the meeting and then  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to  ||  The boss felt the worker was underperforming and decided to  ||  I need to lay off a team to cut costs. I should  ||  The notice taped over the time clock said that anyone who walked out would be  ||  She walked out of her manager's office having just been  ||  He took aim at the man's chest and  ||  He had the power to,27,0.01,25
avoided,G-,G-,F,F,0.3858,0.3294,2.45798e-08,5,47,212,4.055,3.678,0.377,0.552,5.817,4.146,1.671,ILLICIT,NONE,stole->smashed (21); stole->planted (16); stole->down (13); rape->eat (12); stole->drank (11); stole->smoked (7); stole->fed (7); rob->eat (7); raped->planted (7); bent->smashed (7),stole->smashed  <<He kicked over the Buddha statue and>>  ||  stole->planted  <<He knocked over the flowerpots outside the neighbour's door and>>  ||  stole->down  <<He slipped through the gate into the neighbour's yard and>>,Three Arabs came into the room and started to  ||  He kicked over the tombstone in the Muslim cemetery and  ||  He shattered the grave marker in the Muslim cemetery and  ||  He kicked over the Buddha statue and  ||  He knocked over the flowerpots outside the neighbour's door and  ||  He climbed onto the war memorial and  ||  He opened her locked suitcase with a bobby pin and  ||  He climbed through the neighbour's window and  ||  He pushed her onto the bed and started to  ||  He slipped through the gate into the neighbour's yard and,67,0.01,25
avoided,Z,Z,Z,Z,0.9208,0.9936,3.24374e-08,6,50,2384,2.921,2.716,0.205,0.273,2.750,2.704,0.047,NONE,NONE,then->it (48); she->it (47); he->the (47); then->he (46); that->it (46); she->they (46); she->then (46); it->then (46); it->the (46); he->then (46),then->it  <<He cracked the sacred conch shell and>>  ||  she->it  <<He booked a hotel room with his mistress and>>  ||  he->the  <<After the massage she turned over and>>,"He repeated what his therapist said in confidence and  ||  He told her that he wanted to shoot  ||  their confidence, and with a considerable measure of success. On more than one occasion he threw  ||  He looked at the birthday card and said oh  ||  He whispered to her ""I want to shoot  ||  He told his golf buddies what his wife planned for dinner and  ||  I am so angry I want to shoot  ||  He drove his truck across the ancestral burial ground and  ||  She was so angry she wanted to run  ||  He read the email his wife sent only to her sister and",1603,0.01,25
avoided,A-,A-,A-,A-,0.7751,0.5696,5.72777e-08,6,49,1929,2.986,2.775,0.211,0.293,2.980,2.909,0.072,NONE,NONE,closed->gave (41); covered->gave (39); returned->gave (38); gave->offered (38); gave->closed (38); give->provide (37); gave->missed (37); gave->disappeared (35); covered->closed (34); covered->offered (33),closed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  covered->gave  <<He kept the horse in a stall too small to turn around in and>>  ||  returned->gave  <<He slipped the cigarettes from his own shirt pocket and>>,"The professor disagreed with the student and decided to  ||  The landlord vowed to store the tenant's belongings by Friday and then  ||  The judge read the charge sheet and decided to  ||  The court heard her appeal and decided to  ||  The college found her guilty of plagiarism and decided to  ||  He burned the sweat lodge frame and  ||  Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then  ||  Before closing the audit, the officer wanted the accountant to retract his earlier complaint about her conduct, and then  ||  Before releasing her records, the clinic wanted the patient to sign a statement retracting her earlier complaint, and then  ||  He stole grave goods from the ancestral burial site and",1030,0.01,25
avoided,L,L,L,L,0.6312,0.7704,1.00875e-07,6,48,79,2.959,2.513,0.446,0.269,3.083,2.504,0.580,NONE,NONE,grass->hay (10); straw->hay (9); lawn->grass (8); bird->pigeon (8); lawn->grassy (7); hind->animal (7); cock->dog (7); ducks->birds (6); dog->cat (6); birds->pigeon (6),grass->hay  <<She locked the rabbit in the shed with fresh water and>>  ||  straw->hay  <<She locked the rabbit in the shed with fresh water and>>  ||  lawn->grass  <<He walked through the park and sat down on the>>,curls of dead grass frozen to the ground and high hard-driven piles of snow the barberry  ||  He started stroking his  ||  The wolf lunged at the deer and sank its teeth into the  ||  The car swerved off the road and rolled into the  ||  She locked the rabbit in the shed with fresh water and  ||  He walked through the park and sat down on the  ||  I decided to stop feeding the  ||  He tossed handfuls of grain at the flock of geese and  ||  He pulled the trigger and watched the clay  ||  She told the nurse that the marks on her arm were from a,26,0.01,25
avoided,E,E,X+,X+,0.5299,0.3327,1.00875e-07,6,48,419,2.653,2.434,0.220,0.151,2.464,2.414,0.051,NONE,NONE,feel->inform (42); feel->try (38); feel->know (38); feel->understand (30); feel->will (29); feel->want (28); feel->focus (28); touched->tried (26); feel->expect (24); feel->learn (22),"feel->inform  <<A patient is disputing their bill and threatening legal action. I should>>  ||  feel->try  <<A patient is disputing their bill and threatening legal action. I should>>  ||  feel->know  <<After an officer searched the car despite the objection I raised at a routine stop, I ought to>>","After an officer searched the car despite the objection I raised at a routine stop, I should probably  ||  A patient is disputing their bill and threatening legal action. I should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Having heard the same fee query I already answered three times, I ought to  ||  She felt filled with  ||  My manager keeps presenting the analysis I wrote as her own in leadership meetings. I  ||  I am a man and I wanted to  ||  Although my flatmate and I submitted a correct meter reading, the supplier is billing an estimate. We  ||  Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should",152,0.01,25
avoided,X-,X-,X-,X-,0.3603,0.2141,1.00875e-07,6,48,340,2.735,2.510,0.225,0.200,2.697,2.768,-0.071,NONE,NONE,murmured->whispered (27); refuse->reject (15); refuse->ignore (13); ignore->refuse (12); lost->forgot (11); reject->refuse (10); muttered->whispered (10); lose->reject (10); quietly->whispered (9); ignore->reject (9),"murmured->whispered  <<At the front door, she pulled her into a kiss and>>  ||  refuse->reject  <<Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should>>  ||  refuse->ignore  <<Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should>>","Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  At the front door, she pulled her into a kiss and  ||  In the kitchen doorway, she pulled him into a hug and  ||  In the kitchen doorway, she pulled him into a kiss and  ||  The player nudged his opponent in the ribs and  ||  There is a denial letter on the claim that repeats the reason I already refuted, and I ought to  ||  There is a claimant refusing the denial reason I consider well founded, and I should probably  ||  For eleven weeks an applicant has been challenging a refusal I consider correctly reasoned, and I ought to  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably",115,0.01,25
avoided,B-,B-,L-,L-,0.3586,0.1585,1.00875e-07,6,48,118,4.323,3.854,0.469,0.545,4.794,6.301,-1.507,VIOLENT,VIOLENT,vomit->die (18); hurt->die (16); hurt->kill (10); vomit->strangle (9); undress->kill (9); injured->killed (9); undress->strangle (8); puke->die (8); vomit->kill (7); vomit->drown (6),vomit->die  <<The child was so bored she wanted to>>  ||  hurt->die  <<She loved him deeply and hated him deeply and wanted to>>  ||  hurt->kill  <<The collector promised to hurt him outside the shop and then>>,"He was disgusting and foul and she wanted to  ||  I am so angry I want to  ||  He was ugly and misshapen and she wanted to  ||  The child was so bored she wanted to  ||  He was so angry he wanted to  ||  He was so furious he wanted to  ||  Three Turks came into the room and started to  ||  She loved him deeply and hated him deeply and wanted to  ||  River man got worried, thinking these men must be making a war. He didn't want to  ||  The coroner's report said the body had been",55,0.01,25
avoided,E,E,L+,L+,0.0000,0.0000,1.7717e-07,6,47,26,1.877,1.520,0.357,0.000,1.984,1.596,0.388,NONE,NONE,feel->live (18); pity->life (3),feel->live  <<I am a mother and a father and I wanted to>>  ||  pity->life  <<She felt filled with>>,I am a mother and a father and I wanted to  ||  She was a man and she wanted to  ||  She loved him deeply and hated him deeply and wanted to  ||  She felt filled with,4,0.01,25
avoided,A+,A+,X+,X+,0.8450,0.9005,2.09868e-07,7,50,2218,2.845,2.643,0.202,0.247,2.516,2.419,0.098,NONE,NONE,have->inform (47); be->try (47); have->try (46); was->tried (45); be->inform (45); got->tried (43); was->decided (41); have->know (41); got->decided (41); get->know (41),"have->inform  <<A patient is refusing to pay a twelve thousand dollar bill I consider correct. I ought to>>  ||  be->try  <<Although I submitted a correct meter reading, the supplier is billing an estimate. I should probably>>  ||  have->try  <<A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably>>","After a driver objected to the car search I carried out at a routine stop, I  ||  Although I submitted a correct meter reading, the supplier is billing an estimate. I  ||  He checked the insulation on the extension cord and  ||  A student says the deadline I applied was never published, but it is in the handbook. I  ||  Every time a customer disputes the charge I have already reviewed, the case reopens. I  ||  A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  Having heard the same fee query my colleague and I already answered three times, we should  ||  A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We  ||  A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We",1476,0.01,25
avoided,A,A,O+,O+,0.8080,0.5980,3.62458e-07,7,49,1505,2.943,2.678,0.264,0.271,2.917,3.205,-0.289,NONE,NONE,that->in (41); up->in (35); as->in (34); looked->lit (30); looked->in (27); did->in (27); did->lit (26); made->in (25); but->in (25); all->in (25),that->in  <<Bérard and Gertrude Stein used to look at them a great deal. She could not find>>  ||  up->in  <<He dropped his phone on the carpet and yelled>>  ||  as->in  <<He pinned her against the wall and snarled>>,"He dumped flowers at the cremation ghat and  ||  The weather was  ||  He knocked over the incense altar and  ||  fact half way up the nave, the Bishop, the Rector and two white-winged assistants were hovering  ||  Bérard and Gertrude Stein used to look at them a great deal. She could not find  ||  He stubbed his cigarette out on the incense altar and  ||  He shouted during the funeral procession and  ||  She spilled coffee on her laptop and yelled  ||  He draped the garlands over the idol and  ||  He kept the change his little brother left on the dresser and",414,0.01,25
avoided,S+,S+,X+,X+,0.7488,0.4568,3.62458e-07,7,49,1812,2.761,2.554,0.207,0.215,2.576,2.446,0.130,NONE,NONE,let->try (41); let->tried (41); ordered->shouted (38); let->decided (36); let->noticed (35); let->know (35); led->shouted (34); ordered->tried (33); let->shouted (33); let->inform (33),"let->try  <<Although I consider the estimate correct, a customer is escalating to the regulator. I should probably>>  ||  let->tried  <<He knocked the Quran stand off the platform and>>  ||  ordered->shouted  <<He cracked the sacred conch shell and>>","He warned he would ruin his coworker, but instead he  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I  ||  After a driver objected to the car search I carried out at a routine stop, I  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should probably  ||  My tenant keeps demanding expensive repairs that aren't urgent. I should  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should  ||  Having heard the same fee query I already answered three times, I should probably  ||  The man reached into his jacket for his wallet and the officer  ||  Every time I dispute the unauthorised charge, the company reopens the same closed case. I  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I",987,0.01,25
