text,basic_idx,orig_idx,n_paras,jaccard,basic_words,orig_words,basic,original
hemingway.cat-in-the-rain,34-38,36-40,5,,127,122,"""You look pretty darn nice,"" he said. She put the mirror down on the dresser and went over to the window and looked out. It was getting dark. ""I want to pull my hair back tight and smooth and make a big knot at the back that I can feel,"" she said. ""I desire to have a young cat to sit on my lap and purr when I rub her softly."" ""Yes?"" George said from the bed. ""And I desire to take food at a table with my own silver and I desire wax light. And I desire it to be spring and I want to brush my hair out in front of a mirror and I desire a young cat and I desire some new clothes.""","""You look pretty darn nice,"" he said. She laid the mirror down on the dresser and went over to the window and looked out. It was getting dark. ""I want to pull my hair back tight and smooth and make a big knot at the back that I can feel,"" she said. ""I want to have a kitty to sit on my lap and purr when I stroke her."" ""Yeah?"" George said from the bed. ""And I want to eat at a table with my own silver and I want candles. And I want it to be spring and I want to brush my hair out in front of a mirror and I want a kitty and I want some new clothes."""
hemingway.cat-in-the-rain,39-45,41-48,7,,152,130,"""Oh, shut up and get something to read,"" George said. He was reading again. His wife was looking out of the window. It was quite dark now and still raining in the trees. ""Anyway, I want a cat,"" she said, ""I want a cat. I want a cat now. If I can't have long hair or any amusement, I can have a cat."" George was not giving an ear to it. He was reading his book. His wife looked out of the window where the light had come on in the square. Someone gave a sign of having come at the door. ""Avanti,"" George said. He looked up from his book. In the doorway was the maid. She had a big cat with black, cream and brownish markings pushed tight against her and hung down against her body. ""Excuse me,"" she said, ""the padrone requested me to bring this for the Signora.""","""Oh, shut up and get something to read,"" George said. He was reading again. His wife was looking out of the window. It was quite dark now and still raining in the palm trees. ""Anyway, I want a cat,"" she said, ""I want a cat. I want a cat now. If I can't have long hair or any fun, I can have a cat."" George was not listening. He was reading his book. His wife looked out of the window where the light had come on in the square. Someone knocked at the door. In the doorway stood the maid. She held a big tortoise-shell cat pressed tight against her and swung down against her body. ""Excuse me,"" she said, ""the padrone asked me to bring this for the Signora."""
mansfield.garden-party,0-0,0-0,1,,151,135,"And after all the weather was great. They could not have had a better day for a garden-meeting if they had ordered it, it was all that was desired. Windless, warm, the sky without a cloud. Only the blue was kept from view with a mist of light gold, as it is sometimes in early summer. The gardener had been up since the start of the day, cutting the grass and cleaning them, until the grass and the dark flat rosettes where the daisy plants had been seemed to shine. As for the roses, you could not help feeling they were certain that roses are the only flowers that have strong effect on mind of people at garden-meetings; the only flowers that everybody is certain of knowing. Hundreds, yes, truly hundreds, had come out in a single night; the green plants bent down as though they had been seen by archangels.","And after all the weather was ideal. They could not have had a more perfect day for a garden-party if they had ordered it. Windless, warm, the sky without a cloud. Only the blue was veiled with a haze of light gold, as it is sometimes in early summer. The gardener had been up since dawn, mowing the lawns and sweeping them, until the grass and the dark flat rosettes where the daisy plants had been seemed to shine. As for the roses, you could not help feeling they understood that roses are the only flowers that impress people at garden- parties; the only flowers that everybody is certain of knowing. Hundreds, yes, literally hundreds, had come out in a single night; the green bushes bowed down as though they had been visited by archangels."
mansfield.garden-party,1-6,1-6,6,,167,152,"Breakfast was not yet over before the men came to put up the canvas house. ""Where do you want it put, mother?"" ""My dear child, it's no use asking me. I've made up my mind to give everything to you children this year. Put out of mind I am your mother. Give attention to me as a respected guest."" But Meg could not possibly go and oversee the men. She had washed her hair before breakfast, and she sat drinking her coffee in a green turban, with a dark wet curl stamped on each cheek. Jose, the butterfly, always came down in a silk petticoat and a kimono jacket. ""You'll have to go, Laura; you're the artistic one."" Away Laura flew, still holding her piece of bread-and-butter. It's with so good a taste to have let it be overlooked for eating out of doors, and besides, she loved having to put things in order; she always felt she could do it so much better than anybody else.","Breakfast was not yet over before the men came to put up the marquee. ""Where do you want the marquee put, mother?"" ""My dear child, it's no use asking me. I'm determined to leave everything to you children this year. Forget I am your mother. Treat me as an honoured guest."" But Meg could not possibly go and supervise the men. She had washed her hair before breakfast, and she sat drinking her coffee in a green turban, with a dark wet curl stamped on each cheek. Jose, the butterfly, always came down in a silk petticoat and a kimono jacket. ""You'll have to go, Laura; you're the artistic one."" Away Laura flew, still holding her piece of bread-and-butter. It's so delicious to have an excuse for eating out of doors, and besides, she loved having to arrange things; she always felt she could do it so much better than anybody else."
mansfield.garden-party,7-9,7-9,3,,163,143,"Four men in their shirt-arm part of the clothes stood grouped together on the garden footway. They took sticks covered with rolls of canvas, and they had big tool-bags put over their backs. They had a deep effect on mind. Laura desired now that she was not holding that piece of bread-and-butter, but there was nowhere to put it, and she couldn't possibly let it fall. She became red and attempted to look cruel and even a little bit of a person seeing near as she came up to them. ""Good morning,"" she said, copying her mother's voice. But that sounded so fearfully not natural that she was feeling shame, and talked with stops like a little girl, ""Oh–er–have you come–is it about the canvas house?"" ""That's right, miss,"" said the tallest of the men, a tall and thin, sun-marked fellow, and he changed his tool-bag in position, gave a blow at his straw hat and smiled down at her. ""That's about it.""","Four men in their shirt-sleeves stood grouped together on the garden path. They carried staves covered with rolls of canvas, and they had big tool-bags slung on their backs. They looked impressive. Laura wished now that she had not got the bread-and-butter, but there was nowhere to put it, and she couldn't possibly throw it away. She blushed and tried to look severe and even a little bit short-sighted as she came up to them. ""Good morning,"" she said, copying her mother's voice. But that sounded so fearfully affected that she was ashamed, and stammered like a little girl, ""Oh - er - have you come - is it about the marquee?"" ""That's right, miss,"" said the tallest of the men, a lanky, freckled fellow, and he shifted his tool-bag, knocked back his straw hat and smiled down at her. ""That's about it."""
mansfield.garden-party,10-13,10-13,4,,175,152,"His smile was so simple, so friendly, that Laura got over her state. What nice eyes he had, small, but such a dark blue! And now she looked at the others, they were smiling too. ""Cheer up (a cry of approval), we won't bite,"" their smile seemed to say. How very nice workmen were! And what a beautiful morning! She mustn't say anything about the morning; she must be business-like. The canvas house. ""Well, what about the lily-space with grass? Would that do?"" And she pointed to the lily-space with grass with the hand that didn't keep grip of the bread-and-butter. They turned, they looked fixedly in the direction. A little fat boy pushed out his under-lip, and the tall man looked troubled. ""I don't have an idea of it,"" said he. ""Not readily seen enough. You see, with a thing like a canvas house,"" and he turned to Laura in his simple way, ""you want to put it somewhere where it'll give you a sudden blow in the eye, if you go after me.""","His smile was so easy, so friendly that Laura recovered. What nice eyes he had, small, but such a dark blue! And now she looked at the others, they were smiling too. ""Cheer up, we won't bite,"" their smile seemed to say. How very nice workmen were! And what a beautiful morning! She mustn't mention the morning; she must be business-like. The marquee. ""Well, what about the lily-lawn? Would that do?"" And she pointed to the lily-lawn with the hand that didn't hold the bread-and- butter. They turned, they stared in the direction. A little fat chap thrust out his under-lip, and the tall fellow frowned. ""I don't fancy it,"" said he. ""Not conspicuous enough. You see, with a thing like a marquee,"" and he turned to Laura in his easy way, ""you want to put it somewhere where it'll give you a bang slap in the eye, if you follow me."""
mansfield.garden-party,14-19,14-19,6,,228,178,"Laura's training made her surprise for a moment whether it was quite respectful of a workman to talk to her of sudden blow in the eye. But she did quite go after him. ""An angle of the place for playing tennis,"" she made a suggestion. ""But the band's going to be in one angle."" ""H'm, going to have a band, are you?"" said another of the workmen. His face was white. He had a tired look as his dark eyes looked at either part of the place for playing tennis. What did he have in mind? ""Only a very small band,"" said Laura gently. Perhaps he wouldn't mind so much if the band was quite small. But the tall boy put a stop to it. ""Look here, miss, that's the place. Against those trees. Over there. That'll do fine."" Against the karakas ( a kind of the tree.) Then the karaka-trees would be put out of the way. And they were so lovely, with their wide, leaves giving light, and their mass of yellow fruit. They were like trees you had an idea of growing on a island of the waste of sand, having a very high opinion and being by themselves, lifting their leaves and fruits to the sun in a kind of quiet beauty. Must they be put out of the way by a canvas house?","Laura's upbringing made her wonder for a moment whether it was quite respectful of a workman to talk to her of bangs slap in the eye. But she did quite follow him. ""A corner of the tennis-court,"" she suggested. ""But the band's going to be in one corner."" ""H'm, going to have a band, are you?"" said another of the workmen. He was pale. He had a haggard look as his dark eyes scanned the tennis-court. What was he thinking? ""Only a very small band,"" said Laura gently. Perhaps he wouldn't mind so much if the band was quite small. But the tall fellow interrupted. ""Look here, miss, that's the place. Against those trees. Over there. That'll do fine."" Against the karakas. Then the karaka-trees would be hidden. And they were so lovely, with their broad, gleaming leaves, and their clusters of yellow fruit. They were like trees you imagined growing on a desert island, proud, solitary, lifting their leaves and fruits to the sun in a kind of silent splendour. Must they be hidden by a marquee?"
mansfield.garden-party,20-20,20-20,1,,138,123,"They have to. Up to now the men had burned their sticks and were making for the place. Only the tall boy didn’t go. He bent down, gripped a small branch of lavender, put his thumb and forefinger to his nose and smelled them. When Laura saw that motion of hand as a sign she put out of mind all about the karakas in her wonder at him caring for things like that–caring for the smell of lavender. How many men that she knew would have done such a thing? Oh, how surprisingly nice workmen were, she had thoughts in mind. Why couldn't she have workmen for her friends rather than the foolish boys she danced with and who came to Sunday night last meal of the day? She would get on much better with men like these.","They must. Already the men had shouldered their staves and were making for the place. Only the tall fellow was left. He bent down, pinched a sprig of lavender, put his thumb and forefinger to his nose and snuffed up the smell. When Laura saw that gesture she forgot all about the karakas in her wonder at him caring for things like that - caring for the smell of lavender. How many men that she knew would have done such a thing? Oh, how extraordinarily nice workmen were, she thought. Why couldn't she have workmen for her friends rather than the silly boys she danced with and who came to Sunday night supper? She would get on much better with men like these."
mansfield.garden-party,21-21,21-21,1,,139,124,"It's a complete fault, she came to a decision, as the tall boy pulled something on the back of a cover of the letter, something that was to be circled up or left to hang, of these foolish different points in class. Well, for her part, she wasn’t conscious of them. Not a bit, not an atom. . . . And now there came the chock-chock of wooden hammers. Someone whistled, someone sang out, ""Are you right there, matey?"" ""Matey!"" The friendliness of it, the–the–Just to make certain how happy she was, just to make clear for the tall boy how at home she was, and how she hated stupid forms of common behaviour, Laura took a big bite of her bread-and-butter as she looked fixedly at the little picture. She was conscious of being just like a work-girl.","It's all the fault, she decided, as the tall fellow drew something on the back of an envelope, something that was to be looped up or left to hang, of these absurd class distinctions. Well, for her part, she didn't feel them. Not a bit, not an atom ... And now there came the chock-chock of wooden hammers. Some one whistled, some one sang out, ""Are you right there, matey?"" ""Matey!"" The friendliness of it, the - the - Just to prove how happy she was, just to show the tall fellow how at home she felt, and how she despised stupid conventions, Laura took a big bite of her bread-and-butter as she stared at the little drawing. She felt just like a work-girl."
mansfield.garden-party,22-26,22-26,5,,148,128,"""Laura, Laura, where are you? Telephone, Laura!"" a voice cried from the house. ""Coming!"" Away she went quickly, over the space of grass, up the footway, up the steps, across the railed walk outside a window, and into the roofed doorway. In the hall her father and Laurie were brushing their hats ready to go to the office. ""I say, Laura,"" said Laurie very quickly, ""you might just give a tight grip at my coat before this afternoon. See if it needs ironing."" ""I will,"" said she. Suddenly she couldn't stop herself. She ran at Laurie and gave him a small, quick tight grip. ""Oh, I do love meeting of friends, don't you?"" Laura took quick, short breath. ""Ra-ther,"" said Laurie's warm, voice like that of the boy, and he gripped tightly his sister too, and gave her a quiet push. ""Go quickly to the telephone, old girl.""","""Laura, Laura, where are you? Telephone, Laura!"" a voice cried from the house. ""Coming!"" Away she skimmed, over the lawn, up the path, up the steps, across the veranda, and into the porch. In the hall her father and Laurie were brushing their hats ready to go to the office. ""I say, Laura,"" said Laurie very fast, ""you might just give a squiz at my coat before this afternoon. See if it wants pressing."" ""I will,"" said she. Suddenly she couldn't stop herself. She ran at Laurie and gave him a small, quick squeeze. ""Oh, I do love parties, don't you?"" gasped Laura. ""Rather,"" said Laurie's warm, boyish voice, and he squeezed his sister too, and gave her a gentle push. ""Dash off to the telephone, old girl."""
mansfield.garden-party,27-30,27-30,4,,300,273,"The telephone. ""Yes, yes; oh yes. Kitty? Good morning, dear. Come to lunch? Do, dear. Pleased of course. It will only be a very little meal–just the sandwich and broken meringue-shells and what's left over. Yes, isn't it a complete morning? Your white? Oh, I certainly should. One moment–keep the ear part of the telephone. Mother's calling."" And Laura took a seat back. ""What, mother? Can't get you."" Mrs. Sheridan's voice went down the stairs. ""Tell her to put on that sweet hat she had on last Sunday."" ""Mother says you're to put on that sweet hat you had on last Sunday. Good. One o'clock. Bye-bye."" Laura put back the ear part of the telephone, put her arms over her head, took a deep breath, stretched and let them fall. ""Huh,"" she breathed deeply, and the moment after the breath she sat up quickly. She was quiet, giving her ear to everything. All the doors in the house seemed to be open. The house was living with soft, quick steps and running voices. The green baize door that led to the kitchen regions went from side to side open and shut with a soft sound. And now there came a long, laughing absurd sound. It was the piano of great weight being moved on its stiff small wheels on the legs. But the air! If you stopped to see, was the air always like this? Little feeble winds were playing an attempt to overtake in at the tops of the windows, out at the doors. And there were two very small marks of sun, one on the inkpot, one on a silver photograph frame, playing too. Dear little marks. Specially the one on the inkpot cover. It was quite warm. A warm little silver star. She could have kissed it.","The telephone. ""Yes, yes; oh yes. Kitty? Good morning, dear. Come to lunch? Do, dear. Delighted of course. It will only be a very scratch meal - just the sandwich crusts and broken meringue-shells and what's left over. Yes, isn't it a perfect morning? Your white? Oh, I certainly should. One moment - hold the line. Mother's calling."" And Laura sat back. ""What, mother? Can't hear."" Mrs. Sheridan's voice floated down the stairs. ""Tell her to wear that sweet hat she had on last Sunday."" ""Mother says you're to wear that sweet hat you had on last Sunday. Good. One o'clock. Bye-bye."" Laura put back the receiver, flung her arms over her head, took a deep breath, stretched and let them fall. ""Huh,"" she sighed, and the moment after the sigh she sat up quickly. She was still, listening. All the doors in the house seemed to be open. The house was alive with soft, quick steps and running voices. The green baize door that led to the kitchen regions swung open and shut with a muffled thud. And now there came a long, chuckling absurd sound. It was the heavy piano being moved on its stiff castors. But the air! If you stopped to notice, was the air always like this? Little faint winds were playing chase, in at the tops of the windows, out at the doors. And there were two tiny spots of sun, one on the inkpot, one on a silver photograph frame, playing too. Darling little spots. Especially the one on the inkpot lid. It was quite warm. A warm little silver star. She could have kissed it."
