pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering,s_self,s_cross,s_by_base,s_by_aligned,s_cross_minus_self,s_aligned_minus_base
p000016,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,4,True,HOLDS,SHIFTS,1,TOLD,19,0.407287,0.605411,0.116128,0.663935,7.331161,0.090563,0.460778,-0.053491,2.021644,2.165466,2.021644,2.165466,0.143822,0.143822
p000017,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,6,False,HOLDS,HOLDS,2,TOLD,13,0.453459,0.56961,0.078701,0.688233,5.441502,0.126479,0.473876,-0.020418,3.111047,3.341592,3.111047,3.341592,0.230545,0.230545
p000018,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,8,False,SHIFTS,SHIFTS,0,NONE,14,0.496481,0.599122,0.088033,0.643207,6.454257,0.099656,0.496524,-4.3e-05,3.313168,3.49131,3.313168,3.49131,0.178142,0.178142
p000019,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,9,False,HOLDS,SHIFTS,2,TOLD,17,0.452418,0.583055,0.097153,0.68302,7.238689,0.094357,0.512655,-0.060237,3.058271,3.165211,3.058271,3.165211,0.10694,0.10694
p000020,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,10,True,HOLDS,HOLDS,2,TOLD,8,0.581168,0.681672,0.086425,0.707558,4.068173,0.173925,0.580521,0.000647,3.092955,3.229016,3.092955,3.229016,0.136061,0.136061
p000021,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,11,False,HOLDS,HOLDS,2,TOLD,10,0.487918,0.59429,0.066471,0.703145,4.391259,0.160124,0.538061,-0.050143,2.529561,2.665113,2.529561,2.665113,0.135552,0.135552
p000022,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,13,False,HOLDS,HOLDS,1,TOLD,2,,,,,,,,,3.645594,3.940527,3.645594,3.940527,0.294933,0.294933
p000023,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,17,True,HOLDS,HOLDS,2,SHOWN,17,0.493392,0.657173,0.117849,0.822012,7.89427,0.104128,0.553616,-0.060224,2.94687,3.129458,2.94687,3.129458,0.182589,0.182589
p000024,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and adored her and wanted to,19,False,UNMOORED,UNMOORED,1,TOLD,9,0.593666,0.748071,0.084802,0.748071,4.749331,0.157511,0.580439,0.013227,3.225103,3.388236,3.225103,3.388236,0.163133,0.163133
p000025,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,3,True,HOLDS,HOLDS,3,TOLD,22,0.387635,0.522641,0.079278,0.617876,8.140345,0.075903,0.432988,-0.045352,2.58766,2.709267,2.58766,2.709267,0.121608,0.121608
p000026,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,5,True,SHIFTS,SHIFTS,3,TOLD,14,0.458909,0.576134,0.072062,0.674204,5.965819,0.113011,0.490463,-0.031554,2.893153,3.115376,2.893153,3.115376,0.222223,0.222223
p000027,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,7,False,HOLDS,HOLDS,2,TOLD,18,0.523903,0.66765,0.096803,0.699319,8.906349,0.078519,0.5475,-0.023597,2.828494,3.091331,2.828494,3.091331,0.262837,0.262837
p000028,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,9,False,SHIFTS,SHIFTS,1,TOLD,16,0.482318,0.701925,0.101646,0.701925,7.234764,0.097021,0.530682,-0.048365,3.416071,3.696462,3.416071,3.696462,0.280391,0.280391
p000029,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,14,True,HOLDS,HOLDS,2,SHOWN,19,0.476555,0.643722,0.106805,0.730169,8.577999,0.085121,0.538606,-0.06205,2.256984,2.446552,2.256984,2.446552,0.189568,0.189568
p000030,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her and hated her and wanted to,17,True,HOLDS,HOLDS,3,SHOWN,15,0.539552,0.64984,0.05253,0.670811,7.553726,0.088805,0.538362,0.00119,3.019084,3.137489,3.019084,3.137489,0.118405,0.118405
p000031,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,0,True,HOLDS,HOLDS,3,SHOWN,15,0.458854,0.609723,0.075626,0.705856,6.423951,0.109879,0.509284,-0.05043,2.54463,2.760386,2.54463,2.760386,0.215757,0.215757
p000032,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,8,True,SHIFTS,SHIFTS,2,SHOWN,16,0.485946,0.584746,0.067031,0.66997,7.289196,0.091913,0.509473,-0.023526,3.458386,3.733311,3.458386,3.733311,0.274926,0.274926
p000033,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,11,True,HOLDS,HOLDS,2,TOLD,10,0.403067,0.703121,0.154638,0.703121,3.627603,0.193825,0.484453,-0.081386,2.32891,2.433094,2.32891,2.433094,0.104183,0.104183
p000034,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,13,False,UNMOORED,UNMOORED,0,NONE,17,0.52221,0.667778,0.104152,0.765144,8.355362,0.091575,0.587302,-0.065091,2.369824,2.543667,2.369824,2.543667,0.173843,0.173843
p000035,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,14,True,HOLDS,HOLDS,2,TOLD,22,0.496249,0.684455,0.083015,0.728883,10.421225,0.069942,0.535838,-0.039589,2.852921,3.068982,2.852921,3.068982,0.216062,0.216062
p000036,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,17,False,SHIFTS,SHIFTS,1,TOLD,8,0.481452,0.575336,0.046709,0.680958,3.370162,0.202055,0.530121,-0.048669,2.893707,3.080595,2.893707,3.080595,0.186888,0.186888
p000037,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,18,True,HOLDS,HOLDS,3,SHOWN,9,0.482688,0.634271,0.069578,0.672895,3.861501,0.174257,0.500555,-0.017868,2.80599,2.928805,2.80599,2.928805,0.122815,0.122815
p000038,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and hated her deeply and wanted to,19,False,HOLDS,HOLDS,1,TOLD,13,0.483464,0.621168,0.096108,0.668734,5.801566,0.115268,0.540933,-0.05747,3.870877,3.980396,3.870877,3.980396,0.109519,0.109519
p000039,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,6,True,HOLDS,HOLDS,2,TOLD,4,0.397287,0.44746,0.043493,0.496945,1.191862,0.416948,0.432126,-0.034838,3.063822,3.270593,3.063822,3.270593,0.206771,0.206771
p000040,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,7,False,HOLDS,HOLDS,2,TOLD,11,0.496495,0.634645,0.07862,0.658859,4.964949,0.132702,0.519115,-0.02262,3.042682,3.221678,3.042682,3.221678,0.178997,0.178997
p000041,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,10,False,SHIFTS,SHIFTS,1,TOLD,4,0.485906,0.573462,0.110305,0.584838,1.457719,0.401201,0.517707,-0.0318,3.355215,3.624224,3.355215,3.624224,0.269009,0.269009
p000042,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,11,True,HOLDS,HOLDS,3,SHOWN,19,0.4396,0.568768,0.086516,0.693372,7.912801,0.087627,0.494094,-0.054494,2.326527,2.472895,2.326527,2.472895,0.146368,0.146368
p000043,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,12,False,UNMOORED,UNMOORED,1,TOLD,12,0.509303,0.71676,0.10167,0.809059,5.602333,0.144415,0.562713,-0.05341,3.699636,4.009348,3.699636,4.009348,0.309712,0.309712
p000044,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He loved her deeply and wanted to,16,False,HOLDS,HOLDS,2,TOLD,9,0.5063,0.741727,0.132656,0.746349,4.050401,0.184266,0.53184,-0.02554,2.714107,2.833662,2.714107,2.833662,0.119556,0.119556
p000045,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,0,True,HOLDS,HOLDS,1,TOLD,3,0.492774,0.494991,0.002216,0.494991,0.985549,0.502249,0.481965,0.010809,2.609429,2.800558,2.609429,2.800558,0.191128,0.191128
p000046,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,2,False,UNMOORED,UNMOORED,1,TOLD,20,0.529195,0.65912,0.086397,0.743581,10.054708,0.073954,0.551907,-0.022712,3.168801,3.375959,3.168801,3.375959,0.207158,0.207158
p000047,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,9,False,SHIFTS,SHIFTS,1,TOLD,8,0.470492,0.57834,0.096547,0.593442,3.293442,0.180189,0.510447,-0.039955,3.520153,3.864871,3.520153,3.864871,0.344718,0.344718
p000048,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,10,True,HOLDS,HOLDS,2,SHOWN,3,0.487066,0.494636,0.00757,0.599573,0.974132,0.615494,0.524568,-0.037502,3.88133,4.090645,3.88133,4.090645,0.209316,0.209316
p000049,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,14,False,UNMOORED,UNMOORED,0,NONE,14,0.563673,0.641569,0.053968,0.6865,7.327749,0.093685,0.562912,0.000761,3.322934,3.479572,3.322934,3.479572,0.156637,0.156637
p000050,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and a woman and he wanted to,17,True,HOLDS,HOLDS,2,TOLD,11,0.507491,0.582535,0.071698,0.690572,5.074914,0.136076,0.548163,-0.040672,3.03902,3.197366,3.03902,3.197366,0.158346,0.158346
p000051,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,2,False,HOLDS,HOLDS,1,SHOWN,19,0.426304,0.574746,0.109658,0.760108,7.673471,0.099057,0.503262,-0.076958,3.12165,3.302252,3.12165,3.302252,0.180602,0.180602
p000052,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,5,False,SHIFTS,HOLDS,0,NONE,6,0.523184,0.584942,0.050002,0.584942,2.615919,0.223609,0.507399,0.015785,2.80671,2.918964,2.80671,2.918964,0.112254,0.112254
p000053,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,6,True,HOLDS,HOLDS,1,TOLD,7,0.532688,0.583727,0.051537,0.604659,3.19613,0.189185,0.522438,0.01025,3.114477,3.246747,3.114477,3.246747,0.132271,0.132271
p000054,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,7,False,UNMOORED,UNMOORED,0,NONE,8,0.553565,0.609206,0.047615,0.680865,3.874955,0.175709,0.563232,-0.009667,4.43181,4.642346,4.43181,4.642346,0.210536,0.210536
p000055,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,9,True,HOLDS,HOLDS,1,TOLD,1,,,,,,,,,2.89556,2.985933,2.89556,2.985933,0.090373,0.090373
p000056,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,14,True,SHIFTS,SHIFTS,3,SHOWN,16,0.484213,0.659037,0.094478,0.682329,7.263201,0.093943,0.525247,-0.041034,2.926766,3.157253,2.926766,3.157253,0.230487,0.230487
p000057,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,15,False,UNMOORED,UNMOORED,0,NONE,3,0.377414,0.418082,0.040668,0.524631,0.754827,0.695034,0.426486,-0.049072,3.764577,4.099138,3.764577,4.099138,0.334561,0.334561
p000058,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a man and he wanted to,19,False,HOLDS,HOLDS,1,TOLD,11,0.497556,0.62443,0.080139,0.651993,4.97556,0.131039,0.507948,-0.010392,2.924553,3.054929,2.924553,3.054929,0.130376,0.130376
p000059,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,2,True,HOLDS,HOLDS,2,SHOWN,12,0.420449,0.629572,0.115397,0.661635,4.624943,0.143058,0.459711,-0.039261,3.265851,3.412145,3.265851,3.412145,0.146294,0.146294
p000060,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,3,False,SHIFTS,SHIFTS,0,NONE,15,0.535113,0.673626,0.0777,0.700521,7.491581,0.093508,0.547916,-0.012803,2.992668,3.139765,2.992668,3.139765,0.147096,0.147096
p000061,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was a woman and he wanted to,4,False,HOLDS,HOLDS,1,TOLD,11,0.514595,0.645256,0.096608,0.684538,5.145953,0.133025,0.54525,-0.030655,2.783035,2.861689,2.783035,2.861689,0.078654,0.078654
p000062,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,0,True,HOLDS,HOLDS,1,TOLD,8,0.391072,0.46953,0.068484,0.573811,2.737506,0.209611,0.437758,-0.046686,2.601895,2.720194,2.601895,2.720194,0.118299,0.118299
p000063,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,1,True,HOLDS,HOLDS,3,SHOWN,8,0.448007,0.567933,0.073233,0.669179,3.136052,0.213383,0.469328,-0.021321,3.17187,3.411821,3.17187,3.411821,0.239951,0.239951
p000064,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,4,True,HOLDS,HOLDS,0,NONE,13,0.51146,0.616716,0.058123,0.727622,6.13752,0.118553,0.53483,-0.02337,3.099488,3.337397,3.099488,3.337397,0.237909,0.237909
p000065,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,7,True,HOLDS,HOLDS,2,TOLD,12,0.444547,0.525162,0.055322,0.670266,4.890017,0.137068,0.513698,-0.069151,2.343483,2.468792,2.343483,2.468792,0.125308,0.125308
p000066,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,13,True,HOLDS,HOLDS,2,TOLD,1,,,,,,,,,3.504203,3.739084,3.504203,3.739084,0.234881,0.234881
p000067,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,14,True,HOLDS,HOLDS,2,SHOWN,15,0.45208,0.527259,0.057165,0.57873,6.329114,0.091439,0.453066,-0.000987,2.959426,3.204646,2.959426,3.204646,0.24522,0.24522
p000068,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and disgusting and she wanted to,17,True,HOLDS,HOLDS,3,SHOWN,16,0.439098,0.679147,0.14508,0.70698,6.586467,0.107338,0.460625,-0.021528,2.640798,2.781286,2.640798,2.781286,0.140487,0.140487
p000069,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,1,False,SHIFTS,SHIFTS,1,SHOWN,18,0.467367,0.612003,0.089426,0.74278,7.945239,0.093487,0.528638,-0.061271,3.396673,3.715656,3.396673,3.715656,0.318983,0.318983
p000070,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,4,False,HOLDS,HOLDS,1,TOLD,12,0.525896,0.706218,0.107978,0.729877,5.78486,0.12617,0.556638,-0.030742,3.541433,3.806528,3.541433,3.806528,0.265095,0.265095
p000071,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,6,True,HOLDS,HOLDS,0,NONE,16,0.456466,0.591536,0.078257,0.697312,6.846988,0.101842,0.503274,-0.046808,3.249225,3.409807,3.249225,3.409807,0.160582,0.160582
p000072,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,10,True,HOLDS,HOLDS,3,TOLD,15,0.455662,0.700732,0.115778,0.700732,6.379261,0.109845,0.462948,-0.007287,3.412464,3.574829,3.412464,3.574829,0.162365,0.162365
p000073,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,12,False,SHIFTS,HOLDS,2,TOLD,7,0.523469,0.655534,0.089652,0.681015,3.140816,0.216827,0.54091,-0.01744,3.199406,3.33703,3.199406,3.33703,0.137624,0.137624
p000074,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,14,True,HOLDS,HOLDS,3,SHOWN,13,0.481703,0.599853,0.067765,0.676095,5.780441,0.116963,0.509191,-0.027488,2.664235,2.894007,2.664235,2.894007,0.229772,0.229772
p000075,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,16,True,SHIFTS,SHIFTS,2,SHOWN,8,0.436222,0.538773,0.067942,0.652246,3.053555,0.213602,0.51963,-0.083408,2.944797,3.147261,2.944797,3.147261,0.202464,0.202464
p000076,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and radiant and she wanted to,19,True,HOLDS,HOLDS,2,TOLD,16,0.445753,0.583244,0.073926,0.668723,6.686301,0.100014,0.478145,-0.032391,2.665806,2.849156,2.665806,2.849156,0.18335,0.18335
p000077,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,1,False,HOLDS,HOLDS,1,TOLD,14,0.475447,0.559071,0.06123,0.606149,6.180805,0.09807,0.46962,0.005826,2.893106,3.106736,2.893106,3.106736,0.21363,0.21363
p000078,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,2,False,UNMOORED,UNMOORED,1,TOLD,5,0.542689,0.603812,0.051805,0.731957,2.170757,0.33719,0.575447,-0.032758,3.160015,3.433918,3.160015,3.433918,0.273903,0.273903
p000079,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,3,True,HOLDS,HOLDS,2,SHOWN,13,0.514763,0.573999,0.05125,0.701105,6.177158,0.1135,0.531399,-0.016636,3.332387,3.577491,3.332387,3.577491,0.245105,0.245105
p000080,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,6,False,HOLDS,HOLDS,1,TOLD,14,0.445227,0.576892,0.085971,0.728402,5.787952,0.125848,0.509721,-0.064494,2.931543,3.113464,2.931543,3.113464,0.181922,0.181922
p000081,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,7,False,SHIFTS,SHIFTS,2,TOLD,15,0.395326,0.561437,0.127255,0.62583,5.534559,0.113077,0.462805,-0.067479,2.43141,2.599258,2.43141,2.599258,0.167848,0.167848
p000082,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,10,True,HOLDS,HOLDS,2,TOLD,11,0.413736,0.599398,0.104872,0.599398,4.137359,0.144874,0.459178,-0.045443,2.70493,2.840903,2.70493,2.840903,0.135974,0.135974
p000083,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,13,True,HOLDS,HOLDS,2,TOLD,19,0.435079,0.542702,0.077591,0.566094,7.831421,0.072285,0.432802,0.002277,2.559228,2.6893,2.559228,2.6893,0.130072,0.130072
p000084,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,15,False,SHIFTS,SHIFTS,0,NONE,10,0.468298,0.603136,0.116373,0.647389,4.21468,0.153603,0.503524,-0.035226,2.34104,2.503715,2.34104,2.503715,0.162675,0.162675
p000085,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and she wanted to,17,False,SHIFTS,SHIFTS,1,TOLD,9,0.38896,0.517059,0.075965,0.64549,3.111681,0.207441,0.476383,-0.087423,3.068503,3.241237,3.068503,3.241237,0.172734,0.172734
p000086,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,0,True,HOLDS,HOLDS,0,NONE,3,0.523329,0.567879,0.044549,0.567879,1.046659,0.542563,0.522247,0.001082,2.122779,2.298398,2.122779,2.298398,0.17562,0.17562
p000087,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,1,True,HOLDS,HOLDS,3,SHOWN,25,0.412537,0.585945,0.095732,0.651837,9.90089,0.065836,0.428777,-0.01624,2.487584,2.581004,2.487584,2.581004,0.09342,0.09342
p000088,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,3,False,UNMOORED,UNMOORED,0,NONE,17,0.422584,0.726476,0.148106,0.726476,6.761343,0.107445,0.533374,-0.11079,2.642137,2.983373,2.642137,2.983373,0.341236,0.341236
p000089,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,6,True,HOLDS,HOLDS,2,SHOWN,13,0.462486,0.650074,0.116142,0.657429,5.549831,0.118459,0.513109,-0.050623,3.578951,3.903057,3.578951,3.903057,0.324106,0.324106
p000090,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,7,True,HOLDS,HOLDS,3,TOLD,3,0.43369,0.440285,0.006595,0.466922,0.867379,0.538313,0.444767,-0.011077,2.781024,2.871913,2.781024,2.871913,0.090889,0.090889
p000091,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He was beautiful and ugly and she wanted to,10,True,HOLDS,HOLDS,1,TOLD,1,,,,,,,,,3.059332,3.203806,3.059332,3.203806,0.144475,0.144475
