id,pool,group,model,arm,bits_per_token,mean_drift,mean_pairwise,n_sents,n_tokens_total,n_bytes
mode-b8fe8b54dcbb4d,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.827716,0.434818,0.439035,11,245,1029
mode-3fd4902736ab97,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.354768,0.491104,0.513412,23,255,1115
mode-ad5d2d3a288e71,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,3.983959,0.46452,0.45546,15,258,1121
huma-41da17644d5c47,human_anchor,literary_criticism,,human,5.048625,0.577312,0.581143,15,336,1181
huma-2982b60026a189,human_anchor,waking_narrative,,human,2.944939,0.405836,0.454976,14,229,1006
mode-638898a4cdd949,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.549774,0.498681,0.521981,14,247,1004
mode-54ddc0f2a456d1,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,3.297777,0.401729,0.414188,12,239,1130
mode-9a0f08fe1ca4cf,model_narrative,BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,aligned,3.742832,0.459739,0.5064,21,234,1009
huma-a6353e0cb54175,human_anchor,dreams,,human,3.819237,0.44426,0.471095,11,223,1008
huma-5b22a46059c4ae,human_anchor,arxiv_abstracts,,human,4.759094,0.521652,0.51062,6,352,1366
mode-946511ad0d6018,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,1.292943,0.144969,0.228518,24,255,1033
mode-ed26d4a27c4558,model_narrative,01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,aligned,4.554399,0.493535,0.501306,11,251,1206
huma-5b1349bf2238f0,human_anchor,waking_narrative,,human,3.282456,0.419545,0.458106,8,225,977
huma-cf2daac42d94b0,human_anchor,arxiv_abstracts,,human,4.953713,0.482083,0.484029,8,260,1394
mode-b918675862b7ab,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,3.830652,0.475009,0.538129,19,248,1044
huma-5782cd63d81d38,human_anchor,literary_criticism,,human,4.905969,0.533804,0.529576,8,244,1195
mode-4c0090c801bf42,model_narrative,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,4.128448,0.460742,0.478505,14,244,1068
mode-49328c41261221,model_narrative,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-Base,base,4.146892,0.482759,0.53209,18,246,946
mode-4fbb86fa9c2f07,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.025976,0.47783,0.476203,14,245,1035
mode-2cfa8d8f9db21d,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,3.210449,0.371682,0.410464,17,225,1000
mode-8f810c02a75cdc,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,3.713381,0.429373,0.504391,13,246,1052
mode-b47d7c8cc9e896,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,4.375825,0.497736,0.525268,17,284,1092
mode-ecd0d9c3d70825,model_narrative,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B-Base,base,4.267585,0.418909,0.511403,13,272,1187
mode-e7770b2af559d1,model_narrative,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,4.914268,0.468893,0.492685,18,264,1158
huma-8960c259af6645,human_anchor,literary_criticism,,human,3.994762,0.507845,0.56143,14,265,1097
huma-8050f9d34ae3d1,human_anchor,waking_narrative,,human,3.044358,0.455658,0.448656,16,237,967
huma-88d124d67c1a4c,human_anchor,c20_fiction,,human,4.498299,0.518721,0.528567,16,240,1043
mode-6e2b9605e83848,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,3.009234,0.338734,0.393421,12,220,1032
mode-97026cbfb031a0,model_narrative,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,5.279264,0.451437,0.477039,20,258,1141
mode-aff9ccdeaacf79,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,2.623985,0.439187,0.459567,19,228,928
huma-f7996bdce4e349,human_anchor,philosophy,,human,3.877951,0.329316,0.379952,6,230,1197
mode-e2eb3991a9c4b6,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,4.52329,0.47956,0.532368,15,261,1068
mode-e846bd45e6180a,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,3.390117,0.477199,0.507583,19,262,1024
mode-08f0aaa0c0c9bc,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,2.862449,0.487015,0.475111,12,227,795
mode-34d14c435d3cca,model_narrative,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Base,base,5.208923,0.479401,0.499448,26,253,1014
huma-1310389809c88c,human_anchor,dreams,,human,3.843156,0.491872,0.50626,7,218,941
huma-4e41b4991169ef,human_anchor,philosophy,,human,4.167028,0.461585,0.485791,8,222,1198
huma-bf46040530a244,human_anchor,c20_fiction,,human,5.322482,0.501932,0.517078,15,230,1043
mode-00263d7a611bef,model_narrative,HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M-Instruct,aligned,5.651105,0.478555,0.513377,13,250,1214
mode-c1b48bf79f947a,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.916069,0.454898,0.456543,11,230,994
huma-eb6a16bc408518,human_anchor,dreams,,human,4.390688,0.378239,0.438079,10,228,1043
huma-c34a4aefd33303,human_anchor,dreams,,human,3.808169,0.394642,0.468134,15,229,980
huma-438cca2cdb7c32,human_anchor,arxiv_abstracts,,human,4.186564,0.400198,0.436685,8,253,1329
mode-1460a19797b6a8,model_narrative,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,aligned,3.713243,0.496671,0.49665,14,228,900
huma-b9fb7da41b382f,human_anchor,philosophy,,human,4.15148,0.50796,0.549389,12,290,1300
huma-9624df10472535,human_anchor,arxiv_abstracts,,human,4.478063,0.497605,0.524386,8,234,1290
huma-f94b961cbdc91a,human_anchor,dreams,,human,3.420234,0.440777,0.440777,2,260,1034
huma-60637550b8a7ba,human_anchor,dreams,,human,3.673593,0.396996,0.437571,11,222,984
mode-e2fb168b2eb03e,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,4.153897,0.418389,0.436065,12,256,1075
huma-1851fb92dd5ff9,human_anchor,literary_criticism,,human,4.800552,0.505176,0.514885,6,246,1179
mode-9e17c67b5ce2a7,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,3.570214,0.444294,0.483085,24,258,1059
huma-6c90a8158222e1,human_anchor,dreams,,human,4.858176,0.427072,0.46842,10,224,1019
mode-0580be610f11ad,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,2.446736,0.391699,0.400614,12,232,997
huma-ea5b6fda8a2770,human_anchor,arxiv_abstracts,,human,3.642861,0.464834,0.4606,6,226,1332
mode-04ac01becd6a51,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,2.483533,0.248161,0.300261,18,244,1087
huma-69662732285965,human_anchor,waking_narrative,,human,3.11942,0.415728,0.480341,14,222,989
mode-09004a808d2e07,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,2.693686,0.41147,0.421041,16,220,953
mode-41dab275984bf1,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,4.454856,0.445228,0.491375,16,257,1083
mode-65e13b5ef529d2,model_narrative,allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-7B-Instruct-DPO,aligned,3.835214,0.435555,0.46927,14,274,1127
huma-d62c8777729617,human_anchor,literary_criticism,,human,3.763868,0.505246,0.509933,8,224,1114
mode-356aefb4023299,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,4.294979,0.387896,0.436673,19,255,1139
huma-bf4853089a4f91,human_anchor,philosophy,,human,4.210835,0.446307,0.480269,8,232,1201
huma-8e3eaedb6f76f6,human_anchor,arxiv_abstracts,,human,4.914962,0.455139,0.454672,7,223,1275
huma-57590786400001,human_anchor,arxiv_abstracts,,human,3.888844,0.452668,0.50773,9,297,1662
mode-e07219feab0590,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,3.294729,0.465377,0.49018,25,267,918
mode-650a0715f6e6ab,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,2.659741,0.449561,0.457179,12,248,1145
mode-202d1da48fdfc1,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.172356,0.415024,0.422589,13,249,1121
mode-499180f99557dd,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,4.330787,0.416796,0.43119,15,230,1037
mode-4303c7e126d379,model_narrative,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Base,base,4.616421,0.438819,0.458205,13,255,1214
mode-1280b22f963823,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.679227,0.488072,0.500159,15,253,1148
mode-f1f44690ee375c,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,3.606907,0.431786,0.466287,11,267,1139
mode-00bb71c4457145,model_narrative,BSC-LT/salamandra-7b,BSC-LT/salamandra-7b,base,5.42151,0.461378,0.489897,8,221,1008
huma-67c895db3305dc,human_anchor,philosophy,,human,4.611256,0.486958,0.501118,7,229,1164
huma-3be7383fc0629c,human_anchor,dreams,,human,3.804506,0.423152,0.431946,14,217,965
huma-d0f448aa240e83,human_anchor,arxiv_abstracts,,human,3.430257,0.441944,0.444895,9,265,1579
mode-ebbeadf279ffa1,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,4.887044,0.513969,0.493933,12,269,1168
huma-61361e8b150c93,human_anchor,arxiv_abstracts,,human,3.804452,0.421502,0.460976,7,236,1227
huma-cd36c0821ef6f7,human_anchor,c20_fiction,,human,5.093696,0.54931,0.532745,11,222,1046
mode-1ad9de46d96e05,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,3.396282,0.475011,0.517897,13,221,1063
mode-ac5ec29ce29c84,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,3.308742,0.483669,0.508876,17,248,1116
huma-b0509c0f9e9631,human_anchor,philosophy,,human,2.850808,0.438795,0.503798,7,252,1122
mode-7987da70fb1649,model_narrative,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-Base,base,4.00902,0.49668,0.535834,15,242,1059
mode-e8259de87e5f92,model_narrative,allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-7B-Instruct-DPO,aligned,4.188699,0.410381,0.437955,12,212,1019
mode-451ec537809180,model_narrative,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B,aligned,3.766695,0.513762,0.512619,16,273,1206
mode-fc1c63edabd7c5,model_narrative,EleutherAI/pythia-2.8b,EleutherAI/pythia-2.8b,base,4.003049,0.468769,0.495795,26,253,977
mode-4d56f0a645ee5e,model_narrative,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,base,4.484921,0.474202,0.494205,8,233,1069
huma-bda18cc61f1914,human_anchor,waking_narrative,,human,3.4809,0.448256,0.436778,9,215,1004
mode-70f10df4353615,model_narrative,m-a-p/neo_7b,m-a-p/neo_7b,base,3.518644,0.506651,0.532328,20,241,818
mode-3fcc4593b37400,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,3.89921,0.452269,0.459289,15,265,1191
huma-f4f04d0c83a733,human_anchor,literary_criticism,,human,4.082939,0.463849,0.507299,9,243,1123
huma-06708ad9f7647a,human_anchor,literary_criticism,,human,5.024858,0.521569,0.527722,6,240,1231
mode-3764410256d5aa,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,3.709811,0.457683,0.508582,14,270,1179
huma-ce1a7cd44b4ee7,human_anchor,philosophy,,human,4.038328,0.517652,0.519613,12,282,1395
huma-28b02a972badb0,human_anchor,c20_fiction,,human,5.575374,0.47691,0.507166,11,254,1140
huma-f1d0ecf0d9f8c6,human_anchor,arxiv_abstracts,,human,3.91254,0.381813,0.411384,6,287,1451
mode-27232dd0cfa45d,model_narrative,ibm-granite/granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct,aligned,3.37481,0.341143,0.376524,21,230,966
mode-739b67c68b5d2f,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.914668,0.315531,0.307596,11,204,984
huma-bdc6c6272e6de6,human_anchor,waking_narrative,,human,3.460059,0.438603,0.458198,13,222,995
mode-2c4d3501d92f93,model_narrative,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,4.500205,0.407109,0.456952,15,254,1151
huma-054b0399703e3c,human_anchor,waking_narrative,,human,3.541076,0.385893,0.454252,15,207,898
mode-75ffbe214cc6b0,model_narrative,ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,4.481428,0.456355,0.467432,11,262,1071
mode-1c3c6eb3536129,model_narrative,huggyllama/llama-7b,huggyllama/llama-7b,base,4.668361,0.529808,0.530028,13,234,1061
mode-30c8e32bff1fc2,model_narrative,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B-Base,base,4.933336,0.445805,0.475744,12,257,1126
huma-0340339f02c8a6,human_anchor,arxiv_abstracts,,human,3.554978,0.419702,0.440707,7,239,1360
mode-5619d1128eab1f,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,4.373396,0.513556,0.552782,13,257,1069
mode-a5b3f9895bfe1b,model_narrative,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,base,4.432673,0.463819,0.510045,7,257,1196
huma-08a897a1bfa980,human_anchor,dreams,,human,4.072535,0.420925,0.431337,11,223,1030
mode-9e058061580599,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.496599,0.467353,0.441529,4,247,1097
mode-3ae21405b6d540,model_narrative,togethercomputer/RedPajama-INCITE-7B-Chat,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,1.919062,0.443092,0.487825,35,265,890
mode-c8ea6b5b1fd144,model_narrative,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,4.259364,0.422209,0.446549,15,257,1183
huma-c9c61ee0e09577,human_anchor,arxiv_abstracts,,human,3.600227,0.501551,0.509352,10,320,1445
mode-17dd5bd8c2bdce,model_narrative,EleutherAI/pythia-6.9b,EleutherAI/pythia-6.9b,base,4.275018,0.431675,0.465904,19,260,1151
huma-7ad97cd44fddef,human_anchor,c20_fiction,,human,4.526282,0.470852,0.43117,6,228,1026
mode-46505201026972,model_narrative,tiiuae/Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Instruct,aligned,4.592388,0.445453,0.468977,20,257,1012
huma-4e28912a06e97b,human_anchor,dreams,,human,3.783972,0.487411,0.516285,8,228,957
mode-6c122544255547,model_narrative,LLM360/Amber,LLM360/Amber,base,4.332572,0.469269,0.52654,11,241,907
huma-432bc930aadff4,human_anchor,dreams,,human,3.641036,0.404807,0.455658,15,232,974
mode-2b6cbfb74d56a4,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,4.536374,0.452551,0.512229,18,262,1095
huma-49f7f501959595,human_anchor,arxiv_abstracts,,human,5.479632,0.465386,0.478133,6,256,1523
mode-0a91455553bffc,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,4.575152,0.421266,0.48743,13,211,956
huma-1b64599f36a617,human_anchor,arxiv_abstracts,,human,4.153339,0.41442,0.411827,7,241,1436
mode-fe0a9fb6e1bd77,model_narrative,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,base,5.204078,0.432653,0.472065,14,258,1110
mode-77dda3f2de863e,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,4.297909,0.509969,0.530573,16,268,1131
huma-ef694d4cef9046,human_anchor,dreams,,human,5.003795,0.437611,0.479813,12,234,1096
mode-ac4ccbe71d0bdd,model_narrative,ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,5.50842,0.494541,0.523484,16,252,1138
mode-caaba847027f7f,model_narrative,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,base,4.758854,0.452821,0.470048,22,246,1068
mode-dcebc26671f0d2,model_narrative,m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,aligned,3.546637,0.469274,0.499504,13,245,1041
mode-a1a3ed9fa7d3e6,model_narrative,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,base,6.038429,0.467929,0.486353,11,247,1104
huma-25a7f6c4bbb3bc,human_anchor,dreams,,human,4.760407,0.406558,0.456063,20,262,1016
mode-2867c027da72a3,model_narrative,lomahony/eleuther-pythia6.9b-hh-dpo,lomahony/eleuther-pythia6.9b-hh-dpo,aligned,3.84511,0.494875,0.533542,15,257,1035
mode-9a79d85fc9edc9,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,3.640386,0.447564,0.474151,17,231,1004
huma-428f469f73110e,human_anchor,c20_fiction,,human,5.125422,0.601969,0.588098,9,239,1062
mode-1dceb2f78b6dee,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,3.93885,0.481675,0.487609,21,258,1058
huma-5af551373eee1f,human_anchor,literary_criticism,,human,5.06849,0.413252,0.419761,7,256,1268
mode-6bc7bcde6968e4,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.5339,0.410036,0.433012,19,241,1052
mode-65d4e1939c381d,model_narrative,LLM360/Amber,LLM360/Amber,base,4.950976,0.50103,0.519148,20,233,994
mode-1a1ebeb0e7cf4d,model_narrative,ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,base,3.906492,0.387446,0.396491,6,218,1029
mode-0500274226d7b9,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,4.420643,0.457454,0.470531,16,264,1298
huma-e82ffb41b54140,human_anchor,waking_narrative,,human,3.214191,0.382422,0.45662,15,224,966
mode-2379517f2dc5c2,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,4.229393,0.500007,0.537,18,254,1001
mode-572d91e7ad9184,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,1.025408,0.083362,0.174219,24,257,1100
mode-4f637fc3bb5037,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,2.254252,0.411339,0.431241,17,253,1069
mode-a0e88c187b2ff0,model_narrative,allenai/OLMo-2-0425-1B-DPO,allenai/OLMo-2-0425-1B-DPO,aligned,3.978106,0.494371,0.496412,17,269,1175
huma-886803431ed981,human_anchor,philosophy,,human,4.499685,0.469712,0.528168,7,282,1048
huma-0715443f6a3601,human_anchor,waking_narrative,,human,3.37363,0.436123,0.483868,12,221,958
mode-5f3d5c63756c5d,model_narrative,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,4.310072,0.407721,0.459453,18,258,1087
mode-51beefbc766755,model_narrative,PKU-Alignment/beaver-7b-v1.0,PKU-Alignment/beaver-7b-v1.0,aligned,2.720715,0.419809,0.44179,14,243,1034
huma-f1d31dbd15995e,human_anchor,arxiv_abstracts,,human,4.202579,0.434437,0.494863,7,411,1300
mode-644372442a6863,model_narrative,togethercomputer/RedPajama-INCITE-7B-Chat,togethercomputer/RedPajama-INCITE-7B-Chat,aligned,2.51022,0.365882,0.408474,16,251,1121
mode-8916ef76fc5606,model_narrative,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-hf,base,4.770689,0.46776,0.536879,13,252,1096
huma-468ecadd6f6f6d,human_anchor,literary_criticism,,human,5.341496,0.491984,0.569784,7,249,1147
mode-0df4aaf0331649,model_narrative,allenai/Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,base,4.704762,0.408302,0.47928,12,259,1217
mode-9eb11fa7159aaa,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.627684,0.410814,0.440658,21,260,1116
huma-c0c7e53c2b7094,human_anchor,waking_narrative,,human,3.027891,0.361733,0.384255,11,208,972
mode-19fe2a2497844d,model_narrative,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,base,3.38378,0.434167,0.471879,20,261,1136
huma-32031e0a7d2878,human_anchor,arxiv_abstracts,,human,5.328493,0.482774,0.49907,11,335,1488
mode-f201020a3b50fa,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,4.919465,0.473793,0.499031,14,249,1108
mode-6743e5bfadd36a,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.976132,0.427813,0.443953,13,253,1114
huma-887f4a7b4a248d,human_anchor,philosophy,,human,4.484421,0.476337,0.520952,10,237,1245
huma-5201fe73529691,human_anchor,arxiv_abstracts,,human,3.911643,0.442818,0.464559,7,241,1435
mode-84a3a55c1faa5b,model_narrative,tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Instruct,aligned,3.290292,0.411406,0.458383,23,256,1134
mode-b9e0bd49365aaf,model_narrative,tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Instruct,aligned,3.493541,0.446302,0.471882,16,253,1004
mode-85c41554f7f8ac,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,4.674602,0.507895,0.540408,19,251,1091
mode-cbbdfb78943472,model_narrative,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,base,4.351327,0.40603,0.41538,12,250,1124
huma-e10003e978876f,human_anchor,literary_criticism,,human,5.536756,0.458656,0.515967,16,387,1254
huma-9c43b61784007d,human_anchor,waking_narrative,,human,3.172932,0.411572,0.425437,15,220,996
huma-57e6efd00f34d8,human_anchor,c20_fiction,,human,4.799934,0.402573,0.452199,13,230,1039
mode-64063c2fcd24f9,model_narrative,Qwen/Qwen3-8B,Qwen/Qwen3-8B,aligned,2.125951,0.144004,0.255398,20,263,1209
mode-60d9281188b43d,model_narrative,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,base,3.692515,0.479535,0.469962,11,250,1059
huma-8175a9b09504f3,human_anchor,c20_fiction,,human,4.236157,0.535794,0.551231,14,236,1120
mode-046d37317ac3a4,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.419517,0.380568,0.412356,14,239,1068
mode-4340d155af694b,model_narrative,OpenLLM-France/Lucie-7B-Instruct-v1.1,OpenLLM-France/Lucie-7B-Instruct-v1.1,aligned,3.295771,0.379718,0.393201,12,246,1091
mode-756a223b28befb,model_narrative,bigscience/bloom-7b1,bigscience/bloom-7b1,base,4.566149,0.518213,0.53841,14,258,1105
huma-aa0b6c663d77cf,human_anchor,c20_fiction,,human,4.681334,0.482651,0.515516,8,232,1044
mode-c811d5750cfc21,model_narrative,ContextualAI/archangel_sft-dpo_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,4.42553,0.425645,0.491353,16,254,1114
huma-0320696199e074,human_anchor,dreams,,human,3.774729,0.413156,0.456544,12,215,976
huma-20b0d85dbd0454,human_anchor,literary_criticism,,human,5.671013,0.574755,0.547525,8,275,1249
mode-91f03d4d7df385,model_narrative,HuggingFaceH4/zephyr-7b-beta,HuggingFaceH4/zephyr-7b-beta,aligned,3.321778,0.410915,0.42328,15,249,1187
mode-d2ba37b1dfeb76,model_narrative,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,4.455488,0.532575,0.507949,15,259,1099
huma-2f3be965baae89,human_anchor,dreams,,human,3.833253,0.422476,0.445133,9,220,948
huma-0bb205abc8b2ac,human_anchor,c20_fiction,,human,4.717883,0.519707,0.53941,8,224,1006
huma-d8ca24f2eb82d8,human_anchor,c20_fiction,,human,4.608257,0.44394,0.471412,8,226,969
huma-92fb300233b1b6,human_anchor,literary_criticism,,human,5.26277,0.513469,0.496414,11,302,1017
huma-93e271f0a64730,human_anchor,dreams,,human,4.000382,0.487441,0.472961,11,208,1002
mode-e0714c82199518,model_narrative,m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-SFT-DPO,aligned,3.301353,0.35459,0.380036,13,248,1162
mode-d9bedf681062a0,model_narrative,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,base,4.508514,0.463232,0.486885,27,251,871
