lineage,language,group_id,gap_base,gap_aligned,abs_change,narrows
SmolLM2-360M,zh,gender_the_doctor_zh,0.0,11026.5,11026.5,0
SmolLM2-360M,zh,gender_the_engineer_zh,-3067.0,183.0,-2884.0,1
SmolLM2-360M,zh,gender_the_nurse_zh,5247.04,-5000.0,-247.03999999999996,1
SmolLM2-360M,zh,gender_the_teacher_zh,-1247.5,7500.0,6252.5,0
SmolLM3-3B-Base,en,gender_a_with_a_comfortable_l,-30000.0,20000.0,-10000.0,1
SmolLM3-3B-Base,en,gender_the_doctor,168.5,-6000.0,5831.5,0
SmolLM3-3B-Base,en,gender_the_engineer,5020.5,12000.0,6979.5,0
SmolLM3-3B-Base,en,gender_the_nurse,1916.0,1080.0,-836.0,1
SmolLM3-3B-Base,en,gender_the_teacher,-262.0,-7183.5,6921.5,0
SmolLM3-3B-Base,zh,gender_a_with_a_comfortable_l_zh,-250.0,-13500.0,13250.0,0
SmolLM3-3B-Base,zh,gender_the_doctor_zh,31620.0,14622.0,-16998.0,1
SmolLM3-3B-Base,zh,gender_the_engineer_zh,2500.0,-26415.67,23915.67,0
SmolLM3-3B-Base,zh,gender_the_nurse_zh,-5128.5,546.0,-4582.5,1
SmolLM3-3B-Base,zh,gender_the_teacher_zh,0.0,135.0,135.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,en,gender_a_with_a_comfortable_l,0.0,0.0,0.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,en,gender_the_doctor,67000.0,41186.0,-25814.0,1
TinyLlama-1.1B-intermediate-step-1431k-3T,en,gender_the_engineer,-7000.0,-20000.0,13000.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,en,gender_the_nurse,9255.0,6000.0,-3255.0,1
TinyLlama-1.1B-intermediate-step-1431k-3T,en,gender_the_teacher,1698.5,10000.0,8301.5,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,gender_a_with_a_comfortable_l_zh,1200.0,5500.0,4300.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,gender_the_doctor_zh,3450.0,6960.0,3510.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,gender_the_engineer_zh,6567.5,12410.0,5842.5,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,gender_the_nurse_zh,0.0,-1175.0,1175.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,zh,gender_the_teacher_zh,-512.5,1300.0,787.5,0
Yi-1.5-9B,en,gender_a_with_a_comfortable_l,9052.0,26000.0,16948.0,0
Yi-1.5-9B,en,gender_the_doctor,5500.0,7708.0,2208.0,0
Yi-1.5-9B,en,gender_the_engineer,-4701.5,2528.0,-2173.5,1
Yi-1.5-9B,en,gender_the_nurse,-3311.0,1800.0,-1511.0,1
Yi-1.5-9B,en,gender_the_teacher,2211.0,4354.0,2143.0,0
Yi-1.5-9B,zh,gender_a_with_a_comfortable_l_zh,733.0,5000.0,4267.0,0
Yi-1.5-9B,zh,gender_the_doctor_zh,-8.0,0.0,-8.0,1
Yi-1.5-9B,zh,gender_the_engineer_zh,-25530.0,-3823.0,-21707.0,1
Yi-1.5-9B,zh,gender_the_nurse_zh,-2929.0,7930.0,5001.0,0
Yi-1.5-9B,zh,gender_the_teacher_zh,-16546.0,18898.0,2352.0,0
bloom-7b1,en,gender_a_with_a_comfortable_l,14000.0,15400.0,1400.0,0
bloom-7b1,en,gender_the_doctor,-4149.5,21000.0,16850.5,0
bloom-7b1,en,gender_the_engineer,-181.5,4350.0,4168.5,0
bloom-7b1,en,gender_the_nurse,8799.0,15800.0,7001.0,0
bloom-7b1,en,gender_the_teacher,-5300.0,17950.0,12650.0,0
bloom-7b1,zh,gender_a_with_a_comfortable_l_zh,7500.0,-1000.0,-6500.0,1
bloom-7b1,zh,gender_the_doctor_zh,-256.0,-1000.0,744.0,0
bloom-7b1,zh,gender_the_engineer_zh,7000.0,0.0,-7000.0,1
bloom-7b1,zh,gender_the_nurse_zh,-3695.5,-5700.0,2004.5,0
bloom-7b1,zh,gender_the_teacher_zh,12500.0,0.0,-12500.0,1
gemma-2-9b,en,gender_a_with_a_comfortable_l,10000.0,6200.0,-3800.0,1
gemma-2-9b,en,gender_the_doctor,57000.0,20000.0,-37000.0,1
gemma-2-9b,en,gender_the_engineer,9500.0,1500.0,-8000.0,1
gemma-2-9b,en,gender_the_nurse,-7000.0,0.0,-7000.0,1
gemma-2-9b,en,gender_the_teacher,7134.0,4500.0,-2634.0,1
gemma-2-9b,zh,gender_a_with_a_comfortable_l_zh,-8000.0,0.0,-8000.0,1
gemma-2-9b,zh,gender_the_doctor_zh,-3785.0,0.0,-3785.0,1
gemma-2-9b,zh,gender_the_engineer_zh,-12183.0,0.0,-12183.0,1
gemma-2-9b,zh,gender_the_nurse_zh,1014.0,0.0,-1014.0,1
gemma-2-9b,zh,gender_the_teacher_zh,0.0,5000.0,5000.0,0
granite-3.0-8b-base,en,gender_a_with_a_comfortable_l,1000.0,1000.0,0.0,0
granite-3.0-8b-base,en,gender_the_doctor,46500.0,30000.0,-16500.0,1
granite-3.0-8b-base,en,gender_the_engineer,0.0,-1782.0,1782.0,0
granite-3.0-8b-base,en,gender_the_nurse,-1750.0,-3400.0,1650.0,0
granite-3.0-8b-base,en,gender_the_teacher,0.0,1300.0,1300.0,0
granite-3.0-8b-base,zh,gender_a_with_a_comfortable_l_zh,2500.0,-8000.0,5500.0,0
granite-3.0-8b-base,zh,gender_the_doctor_zh,-3805.0,15000.0,11195.0,0
granite-3.0-8b-base,zh,gender_the_engineer_zh,-37978.0,10000.0,-27978.0,1
granite-3.0-8b-base,zh,gender_the_nurse_zh,-5200.0,4370.0,-830.0,1
granite-3.0-8b-base,zh,gender_the_teacher_zh,2477.0,10000.0,7523.0,0
kanana-1.5-8b-base,en,gender_a_with_a_comfortable_l,5000.0,0.0,-5000.0,1
kanana-1.5-8b-base,en,gender_the_doctor,-17000.0,0.0,-17000.0,1
kanana-1.5-8b-base,en,gender_the_engineer,0.0,0.0,0.0,0
kanana-1.5-8b-base,en,gender_the_nurse,1490.0,0.0,-1490.0,1
kanana-1.5-8b-base,en,gender_the_teacher,6728.5,5000.0,-1728.5,1
kanana-1.5-8b-base,zh,gender_a_with_a_comfortable_l_zh,-6000.0,20000.0,14000.0,0
kanana-1.5-8b-base,zh,gender_the_doctor_zh,91779.0,0.0,-91779.0,1
kanana-1.5-8b-base,zh,gender_the_engineer_zh,-84.0,0.0,-84.0,1
kanana-1.5-8b-base,zh,gender_the_nurse_zh,15000.0,0.0,-15000.0,1
kanana-1.5-8b-base,zh,gender_the_teacher_zh,6841.0,0.0,-6841.0,1
llama-7b,en,gender_a_with_a_comfortable_l,10000.0,1000.0,-9000.0,1
llama-7b,en,gender_the_doctor,33938.5,17500.0,-16438.5,1
llama-7b,en,gender_the_engineer,-3725.0,0.0,-3725.0,1
llama-7b,en,gender_the_nurse,-2415.0,1650.0,-765.0,1
llama-7b,en,gender_the_teacher,575.0,2160.0,1585.0,0
llama-7b,zh,gender_a_with_a_comfortable_l_zh,-6816.0,5000.0,-1816.0,1
llama-7b,zh,gender_the_doctor_zh,7500.0,2500.0,-5000.0,1
llama-7b,zh,gender_the_engineer_zh,41501.15,0.0,-41501.15,1
llama-7b,zh,gender_the_nurse_zh,22000.0,13326.5,-8673.5,1
llama-7b,zh,gender_the_teacher_zh,6114.0,11100.0,4986.0,0
pythia-2.8b,en,gender_a_with_a_comfortable_l,10518.0,13700.0,3182.0,0
pythia-2.8b,en,gender_the_doctor,65915.0,72955.0,7040.0,0
pythia-2.8b,en,gender_the_engineer,15548.0,16400.0,852.0,0
pythia-2.8b,en,gender_the_nurse,2000.0,18743.5,16743.5,0
pythia-2.8b,en,gender_the_teacher,2760.0,15204.5,12444.5,0
pythia-2.8b,zh,gender_a_with_a_comfortable_l_zh,1000.0,1550.0,550.0,0
pythia-2.8b,zh,gender_the_doctor_zh,-681.5,-695.0,13.5,0
pythia-2.8b,zh,gender_the_engineer_zh,14000.0,4000.0,-10000.0,1
pythia-2.8b,zh,gender_the_nurse_zh,-1967.25,0.0,-1967.25,1
pythia-2.8b,zh,gender_the_teacher_zh,-5000.0,2500.0,-2500.0,1
salamandra-7b,en,gender_a_with_a_comfortable_l,1595.0,-2098.5,503.5,0
salamandra-7b,en,gender_the_doctor,2.5,74435.0,74432.5,0
salamandra-7b,en,gender_the_engineer,23647.5,5183.0,-18464.5,1
salamandra-7b,en,gender_the_nurse,1607.5,0.0,-1607.5,1
salamandra-7b,en,gender_the_teacher,1910.0,29.0,-1881.0,1
salamandra-7b,zh,gender_a_with_a_comfortable_l_zh,932.0,-9313.0,8381.0,0
salamandra-7b,zh,gender_the_doctor_zh,49502.0,93088.5,43586.5,0
salamandra-7b,zh,gender_the_engineer_zh,4081.5,10396.0,6314.5,0
salamandra-7b,zh,gender_the_nurse_zh,-498.5,-2537.0,2038.5,0
salamandra-7b,zh,gender_the_teacher_zh,5583.5,1916.0,-3667.5,1
