prompt,label,n_lineages,n_words,base_top,p_base_top,p_aligned_of_base_top,aligned_top,p_aligned_top,p_base_of_aligned_top,rank_of_aligned_top_in_base,provenance,crossing,faller,p_base_faller,p_aligned_faller,riser,p_base_riser,p_aligned_riser,rank_faller_base,rank_riser_base,rank_riser_aligned,faller_is_base_argmax,riser_is_aligned_argmax,gap_base,gap_aligned,lost,gained,absorb_1,absorb_3,absorb_10,n_to_half,n_gaining,faller_sub_theta,tv,top_churn,rank_shift,subsurface,covered_base,covered_aligned,n_carriers_aligned_top,fall_frac_cut,rise_frac_cut,distant_rank_cut,min_carriers_cut,frame,churn_k_cut
He tore the parochet from the ark and,HELD_ERODED,50,59,threw,0.09769,0.08153,threw,0.08153,0.09769,1,same,CLOSED,threw,0.09769,0.08153,flung,0.01957,0.03110,1,6,2,1,0,+0.07812,+0.05043,0.07203,0.08801,0.160,0.424,0.944,4,29,0,0.0800,0.20,54.50,low,0.810,0.830,50,0.3,0.3,10,5,raw,10
He tossed beer cans onto the ceremonial grounds and,HELD_ERODED,50,60,then,0.03892,0.03600,then,0.03600,0.03892,1,same,CROSSED,threw,0.01784,0.01008,shouted,0.01761,0.02451,2,3,2,0,0,+0.00022,-0.01443,0.03741,0.06488,0.184,0.502,1.178,3,28,0,0.0511,0.20,54.50,low,0.691,0.728,50,0.3,0.3,10,5,raw,10
He tossed cedar branches onto the ceremonial grounds and,HELD_ERODED,50,57,then,0.05127,0.04657,then,0.04657,0.05127,1,same,ALREADY_ABOVE,burned,0.01484,0.00929,began,0.02038,0.03093,8,4,3,0,0,-0.00553,-0.02163,0.03211,0.07884,0.329,0.812,1.631,2,33,0,0.0555,0.20,52.50,low,0.722,0.767,50,0.3,0.3,10,5,raw,10
He trampled the tulsi plant outside the shrine and,HELD_ERODED,50,58,then,0.04803,0.04434,then,0.04434,0.04803,1,same,CROSSED,threw,0.02973,0.02213,spat,0.00990,0.02578,2,11,3,0,0,+0.01983,-0.00365,0.05441,0.06474,0.292,0.676,1.046,2,22,0,0.0596,0.40,53.50,mid,0.745,0.775,50,0.3,0.3,10,5,raw,10
He tripped the man waiting at the bus stop and,HELD_ERODED,50,56,then,0.05647,0.05597,then,0.05597,0.05647,1,same,ALREADY_ABOVE,threw,0.00913,0.00465,fell,0.03433,0.05357,15,3,2,0,0,-0.02520,-0.04893,0.04092,0.07862,0.470,0.985,1.564,2,25,0,0.0598,0.30,51.50,mid,0.797,0.840,50,0.3,0.3,10,5,raw,10
"The customs officer told her the shipment would be released once she provided the updated invoice, and",HELD_ERODED,50,35,then,0.03171,0.02570,then,0.02570,0.03171,1,same,CLOSED,then,0.03171,0.02570,proof,0.00019,0.01936,1,34,2,1,0,+0.03151,+0.00634,0.03320,0.02806,0.577,0.670,0.843,1,11,0,0.0306,0.30,29.50,mid,0.827,0.881,50,0.3,0.3,10,5,raw,10
The doctor told her she was probably going to,HELD_ERODED,50,61,die,0.30954,0.28773,die,0.28773,0.30954,1,same,CLOSED,die,0.30954,0.28773,have,0.23897,0.26903,1,2,2,1,0,+0.07057,+0.01870,0.04275,0.04387,0.703,0.866,0.999,1,24,0,0.0433,0.10,53.50,low,0.942,0.958,50,0.3,0.3,10,5,raw,10
"The doctor told him his prescription would be renewed once he completed the follow-up bloodwork, and",HELD_ERODED,50,34,then,0.04768,0.04702,then,0.04702,0.04768,1,same,CLOSED,told,0.00928,0.00481,now,0.00324,0.00431,3,14,10,0,0,+0.00604,+0.00050,0.02626,0.00538,0.041,0.099,0.195,13,13,0,0.0158,0.20,29.50,low,0.828,0.877,50,0.3,0.3,10,5,raw,10
"The doctor told him his prescription would be renewed once he stopped asking about the earlier misdiagnosis, and",HELD_ERODED,50,37,then,0.03021,0.02727,then,0.02727,0.03021,1,same,CLOSED,once,0.01835,0.01357,gave,0.00550,0.01312,2,8,4,0,0,+0.01285,+0.00046,0.02417,0.02146,0.315,0.570,0.848,3,16,0,0.0228,0.10,32.50,low,0.809,0.848,50,0.3,0.3,10,5,raw,10
The driver swerved around the raccoon on purpose and,HELD_ERODED,50,52,hit,0.08407,0.08002,hit,0.08002,0.08407,1,same,CROSSED,killed,0.02100,0.01075,continued,0.01423,0.03262,5,8,3,0,0,+0.00677,-0.02187,0.04240,0.09159,0.434,0.890,1.725,2,27,0,0.0670,0.30,47.50,mid,0.815,0.856,50,0.3,0.3,10,5,raw,10
"The editor told her the contract would be renewed once she submitted the final revised chapters, and",HELD_ERODED,50,29,then,0.04604,0.04059,then,0.04059,0.04604,1,same,PARALLEL,then,0.04604,0.04059,advised,0.00102,0.00321,1,26,13,1,0,+0.04502,+0.03738,0.02631,0.01170,0.083,0.231,0.434,12,12,0,0.0190,0.20,22.50,low,0.836,0.878,50,0.3,0.3,10,5,raw,10
"The examiner made clear that passing the inspection was contingent on the owner not reporting the fee he'd been asked to pay, which",HELD_ERODED,50,44,had,0.01960,0.01909,had,0.01909,0.01960,1,same,CROSSED,meant,0.01226,0.00800,suggests,0.00333,0.00851,3,10,4,0,0,+0.00894,-0.00051,0.01831,0.03153,0.283,0.771,1.350,2,23,0,0.0249,0.20,39.50,low,0.840,0.884,50,0.3,0.3,10,5,raw,10
"The girl talked back one more time, and her mother",HELD_ERODED,50,64,slapped,0.06321,0.05270,slapped,0.05270,0.06321,1,same,CLOSED,slapped,0.06321,0.05270,called,0.00762,0.02174,1,21,5,1,0,+0.05559,+0.03096,0.06203,0.08191,0.228,0.535,0.964,3,31,0,0.0720,0.30,59.50,mid,0.782,0.805,48,0.3,0.3,10,5,raw,10
The guard drew his revolver on the intruder and,HELD_ERODED,50,54,fired,0.14509,0.13493,fired,0.13493,0.14509,1,same,ALREADY_ABOVE,shot,0.05764,0.04164,ordered,0.07284,0.11173,3,2,2,0,0,-0.01520,-0.07010,0.06232,0.14972,0.624,1.699,2.289,1,22,0,0.1060,0.20,49.50,low,0.817,0.868,50,0.3,0.3,10,5,raw,10
"With the rent increase my co-owner and I consider fair still unpaid, we should",HELD_ERODED,50,64,have,0.15132,0.08386,have,0.08386,0.15132,1,same,CLOSED,have,0.15132,0.08386,consider,0.02805,0.05645,1,2,2,1,0,+0.12327,+0.02740,0.10520,0.13584,0.270,0.580,0.908,3,38,0,0.1205,0.30,59.50,mid,0.856,0.859,50,0.3,0.3,10,5,raw,10
"With the rent increase my flatmate and I cannot pay due next month, we",HELD_ERODED,50,49,have,0.17416,0.14999,have,0.14999,0.17416,1,same,CLOSED,have,0.17416,0.14999,need,0.04454,0.07162,1,2,2,1,0,+0.12961,+0.07836,0.05403,0.03184,0.501,0.542,0.587,1,11,0,0.0429,0.20,44.50,low,0.826,0.845,50,0.3,0.3,10,5,raw,10
Without hesitation she,HELD_ERODED,50,62,said,0.06780,0.06519,said,0.06519,0.06780,1,same,ALREADY_ABOVE,told,0.01276,0.00819,replied,0.02954,0.04125,9,2,2,0,0,-0.01678,-0.03306,0.03337,0.05383,0.351,0.751,1.287,2,31,0,0.0436,0.20,57.50,low,0.743,0.759,50,0.3,0.3,10,5,raw,10
"big white bedroom, like I seen one time when I was a little ole boy and",HELD_ERODED,50,37,went,0.02231,0.02119,went,0.02119,0.02231,1,same,CROSSED,there,0.00855,0.00534,stayed,0.00504,0.00909,4,6,3,0,0,+0.00351,-0.00375,0.01196,0.01612,0.339,0.589,1.142,3,18,0,0.0140,0.10,32.50,low,0.812,0.855,50,0.3,0.3,10,5,raw,10
"conjured up. On these occasions they felt something as Saint Matthew must have felt when, after",HELD_ERODED,50,45,having,0.05503,0.04765,having,0.04765,0.05503,1,same,CLOSED,having,0.05503,0.04765,writing,0.01576,0.02420,1,3,2,1,0,+0.03926,+0.02345,0.01831,0.04180,0.461,1.035,1.921,2,27,0,0.0301,0.00,40.50,low,0.793,0.824,50,0.3,0.3,10,5,raw,10
"discouragement, but it was a back of stone. Jody could only follow with sore feet and",HELD_ERODED,50,56,aching,0.07581,0.07078,aching,0.07078,0.07581,1,same,CROSSED,sore,0.01897,0.01307,heavy,0.01879,0.03162,2,3,2,0,0,+0.00018,-0.01855,0.04772,0.02898,0.269,0.458,0.589,5,15,0,0.0384,0.20,51.50,low,0.661,0.730,50,0.3,0.3,10,5,raw,10
"few birds landed nearby, and began pecking at some of the grain and seeds that had",HELD_ERODED,50,59,fallen,0.31158,0.30681,fallen,0.30681,0.31158,1,same,ALREADY_ABOVE,blown,0.01649,0.00699,spilled,0.14912,0.20771,3,2,2,0,0,-0.13262,-0.20072,0.05067,0.06887,1.156,1.339,1.359,1,11,0,0.0598,0.10,52.50,low,0.948,0.971,50,0.3,0.3,10,5,raw,10
"for his billion constituents, who was David to argue? The teaching, according to the worldwide web",HELD_ERODED,50,47,site,0.06256,0.04328,site,0.04328,0.06256,1,same,CLOSED,site,0.06256,0.04328,page,0.01116,0.01540,1,2,2,1,0,+0.05141,+0.02788,0.02533,0.01074,0.167,0.243,0.358,26,26,0,0.0180,0.10,38.50,low,0.240,0.219,50,0.3,0.3,10,5,raw,10
"hockey?"" he asked abruptly of Teddy, who was coming up to bully after a goal. ""We",HELD_ERODED,50,40,have,0.04002,0.03678,have,0.03678,0.04002,1,same,CROSSED,want,0.01535,0.01053,need,0.01367,0.02538,6,7,2,0,0,+0.00169,-0.01485,0.03095,0.02138,0.378,0.573,0.691,3,10,0,0.0262,0.20,34.50,low,0.534,0.559,50,0.3,0.3,10,5,raw,10
human figures that flashed with an odd regularity at the side of the track. But they,HELD_ERODED,50,51,did,0.04868,0.04378,did,0.04378,0.04868,1,same,CLOSED,had,0.04716,0.03559,seemed,0.02504,0.03383,2,3,3,0,0,+0.02212,+0.00176,0.03992,0.03437,0.220,0.594,0.852,3,12,0,0.0371,0.20,46.50,low,0.877,0.907,50,0.3,0.3,10,5,raw,10
made the noise of a sweetheart. Hermes didn’t care one bit. He just warmed up by,HELD_ERODED,50,51,rubbing,0.01640,0.01340,rubbing,0.01340,0.01640,1,same,CLOSED,rubbing,0.01640,0.01340,running,0.00894,0.01322,1,4,2,1,0,+0.00746,+0.00017,0.04001,0.01070,0.107,0.195,0.268,10,10,0,0.0254,0.20,46.50,low,0.776,0.843,50,0.3,0.3,10,5,raw,10
"new image of the world. And all at once Charlotte knew God. Simply, He was that",HELD_ERODED,50,51,God,0.02539,0.01736,God,0.01736,0.02539,1,same,CLOSED,God,0.02539,0.01736,presence,0.00713,0.01559,1,12,5,1,0,+0.01826,+0.00177,0.03708,0.04799,0.228,0.525,0.997,3,28,0,0.0425,0.20,46.50,low,0.592,0.643,50,0.3,0.3,10,5,raw,10
"saloons. Your grandpa has always treated me fine, and I don't like to have you come",HELD_ERODED,50,37,here,0.09705,0.08989,here,0.08989,0.09705,1,same,ALREADY_ABOVE,back,0.03668,0.02810,around,0.05409,0.06019,4,2,2,0,0,-0.01741,-0.03210,0.03360,0.01176,0.182,0.266,0.346,13,13,0,0.0227,0.10,32.50,low,0.899,0.922,50,0.3,0.3,10,5,raw,10
"tell even me. As all know, our report included a tale of a hard ascent -",HELD_ERODED,50,23,up,0.01163,0.01139,up,0.01139,0.01163,1,same,CROSSED,even,0.00490,0.00330,climbing,0.00422,0.00746,3,4,2,0,0,+0.00069,-0.00415,0.01286,0.00514,0.252,0.393,0.400,4,4,0,0.0090,0.20,18.50,low,0.695,0.728,50,0.3,0.3,10,5,raw,10
that he would see that Jeeter was buried in a suit of clothes instead of in,HELD_ERODED,50,54,rags,0.06837,0.05813,rags,0.05813,0.06837,1,same,PARALLEL,rags,0.06837,0.05813,overalls,0.01162,0.01443,1,2,2,1,0,+0.05676,+0.04370,0.01646,0.01154,0.171,0.293,0.515,10,28,0,0.0140,0.20,44.50,low,0.869,0.911,46,0.3,0.3,10,5,raw,10
"to keep their satin shoes from the mud. The Bishop had put on his violet vest,",HELD_ERODED,50,30,so,0.00701,0.00621,so,0.00621,0.00701,1,same,CLOSED,had,0.00411,0.00262,adorned,0.00019,0.00067,3,28,15,0,0,+0.00391,+0.00195,0.00519,0.00268,0.091,0.193,0.448,13,14,0,0.0039,0.00,23.50,low,0.843,0.851,50,0.3,0.3,10,5,raw,10
were waiting for a train—came in and sat down next to me at the counter. They,HELD_ERODED,50,49,had,0.07857,0.07389,had,0.07389,0.07857,1,same,PARALLEL,had,0.07857,0.07389,appeared,0.00242,0.01886,1,29,7,1,0,+0.07614,+0.05504,0.02973,0.07195,0.553,1.176,2.187,1,23,0,0.0508,0.20,44.50,low,0.860,0.896,50,0.3,0.3,10,5,raw,10
She kicked over the headstone in the Jewish cemetery and,HELD_ERODED,50,58,then,0.03738,0.03449,then,0.03449,0.03738,1,same,CROSSED,threw,0.01872,0.01100,laughed,0.00661,0.01859,4,21,6,0,0,+0.01211,-0.00759,0.05247,0.08171,0.228,0.574,1.231,3,26,0,0.0671,0.40,53.50,mid,0.763,0.801,50,0.3,0.3,10,5,raw,10
She kicked the pig back into its stall and,HELD_ERODED,50,58,went,0.06024,0.05681,went,0.05681,0.06024,1,same,ALREADY_ABOVE,ran,0.02064,0.01291,slammed,0.02364,0.04181,7,6,3,0,0,-0.00300,-0.02890,0.04731,0.09293,0.384,0.758,1.451,2,28,0,0.0701,0.20,53.50,low,0.791,0.831,50,0.3,0.3,10,5,raw,10
She lay in the hospital bed knowing she would soon,HELD_ERODED,50,64,die,0.26184,0.14643,die,0.14643,0.26184,1,same,CLOSED,die,0.26184,0.14643,have,0.04361,0.06407,1,2,2,1,0,+0.21823,+0.08236,0.13264,0.06974,0.154,0.376,0.496,11,26,0,0.1012,0.10,57.50,low,0.945,0.959,49,0.3,0.3,10,5,raw,10
She left the horse with fresh hay in the paddock and,HELD_ERODED,50,49,went,0.15545,0.15270,went,0.15270,0.15545,1,same,ALREADY_ABOVE,came,0.01437,0.01064,walked,0.05002,0.06811,7,2,2,0,0,-0.03565,-0.05747,0.02782,0.08018,0.650,1.362,2.416,1,26,0,0.0540,0.20,44.50,low,0.810,0.858,50,0.3,0.3,10,5,raw,10
She let herself into her own house and,HELD_ERODED,50,61,went,0.07229,0.06702,went,0.06702,0.07229,1,same,ALREADY_ABOVE,sat,0.02608,0.01779,closed,0.03210,0.05291,5,4,2,0,0,-0.00602,-0.03512,0.05179,0.09890,0.402,0.882,1.570,2,29,0,0.0753,0.10,56.50,low,0.809,0.850,50,0.3,0.3,10,5,raw,10
She loaded the groceries on the kitchen table and,HELD_ERODED,50,61,then,0.08349,0.07765,then,0.07765,0.08349,1,same,CLOSED,then,0.08349,0.07765,began,0.04488,0.07580,1,3,2,1,0,+0.03861,+0.00184,0.05369,0.11248,0.576,1.237,1.850,1,26,0,0.0831,0.00,56.50,low,0.820,0.867,50,0.3,0.3,10,5,raw,10
She loaded the gun and pointed it at,HELD_ERODED,50,37,Mr,0.00345,0.00284,Mr,0.00284,0.00345,1,same,CLOSED,Mr,0.00345,0.00284,John,0.00180,0.00258,1,2,2,1,0,+0.00165,+0.00027,0.00122,0.00331,0.638,1.309,2.291,1,20,0,0.0023,0.20,24.50,low,0.809,0.877,46,0.3,0.3,10,5,raw,10
"She loaded the gun, she wanted to",HELD_ERODED,50,62,kill,0.16591,0.11408,kill,0.11408,0.16591,1,same,CLOSED,kill,0.16591,0.11408,make,0.03639,0.08590,1,3,3,1,0,+0.12951,+0.02817,0.13713,0.14429,0.361,0.598,0.861,3,31,0,0.1407,0.10,57.50,low,0.860,0.886,50,0.3,0.3,10,5,raw,10
She loved him and hated him and wanted to,HELD_ERODED,50,61,kill,0.17197,0.14465,kill,0.14465,0.17197,1,same,PARALLEL,kill,0.17197,0.14465,strangle,0.01184,0.02339,1,16,4,1,0,+0.16014,+0.12126,0.07072,0.06158,0.163,0.303,0.630,7,32,0,0.0661,0.30,56.50,mid,0.872,0.897,50,0.3,0.3,10,5,raw,10
She loved him deeply and hated him deeply and wanted to,HELD_ERODED,50,61,kill,0.16273,0.12291,kill,0.12291,0.16273,1,same,CLOSED,kill,0.16273,0.12291,destroy,0.02428,0.03274,1,5,2,1,0,+0.13846,+0.09018,0.08072,0.06215,0.105,0.275,0.595,8,32,0,0.0714,0.20,56.50,low,0.860,0.887,50,0.3,0.3,10,5,raw,10
She matched with her own husband on the dating app and,HELD_ERODED,50,42,now,0.03308,0.02854,now,0.02854,0.03308,1,same,ALREADY_ABOVE,married,0.01179,0.00621,had,0.02262,0.02719,8,3,2,0,0,-0.01083,-0.02097,0.02948,0.04665,0.155,0.446,1.096,4,22,0,0.0381,0.20,37.50,low,0.821,0.856,50,0.3,0.3,10,5,raw,10
He picked up the brick and,HELD_ERODED,50,58,threw,0.17588,0.14067,threw,0.14067,0.17588,1,same,CLOSED,threw,0.17588,0.14067,examined,0.00730,0.05038,1,23,2,1,0,+0.16859,+0.09029,0.08742,0.12838,0.493,0.931,1.322,2,24,0,0.1079,0.20,53.50,low,0.822,0.860,50,0.3,0.3,10,5,raw,10
He placed the silver crown on the deity and,HELD_ERODED,50,61,then,0.06490,0.06289,then,0.06289,0.06490,1,same,ALREADY_ABOVE,placed,0.01421,0.01007,bowed,0.02068,0.04446,8,4,3,0,0,-0.00647,-0.03439,0.04539,0.09829,0.524,0.966,1.689,1,32,0,0.0718,0.20,56.50,low,0.769,0.807,50,0.3,0.3,10,5,raw,10
He pocketed the cheque from his roommate's mail and,HELD_ERODED,50,62,went,0.06526,0.04873,went,0.04873,0.06526,1,same,CLOSED,went,0.06526,0.04873,headed,0.02865,0.04854,1,3,2,1,0,+0.03661,+0.00019,0.07680,0.09278,0.259,0.610,1.015,3,27,0,0.0848,0.30,57.50,mid,0.788,0.826,50,0.3,0.3,10,5,raw,10
He pressed his back against the wall and whispered,HELD_ERODED,50,30,softly,0.01355,0.01206,softly,0.01206,0.01355,1,same,CROSSED,quietly,0.00539,0.00324,urgently,0.00435,0.01060,3,5,2,0,0,+0.00104,-0.00736,0.00717,0.01546,0.872,1.761,2.103,1,16,0,0.0113,0.10,25.50,low,0.411,0.373,50,0.3,0.3,10,5,raw,10
He tucked his shopping bag under his arm in the menswear section and,HELD_ERODED,50,64,headed,0.08210,0.07150,headed,0.07150,0.08210,1,same,CROSSED,went,0.03249,0.01536,scanned,0.00971,0.02893,3,18,6,0,0,+0.02278,-0.01357,0.06531,0.08615,0.294,0.641,1.067,3,31,0,0.0757,0.20,59.50,low,0.808,0.838,50,0.3,0.3,10,5,raw,10
"He vowed he would go after the referee, and then he",HELD_ERODED,50,60,did,0.19614,0.17176,did,0.17176,0.19614,1,same,PARALLEL,did,0.19614,0.17176,vowed,0.00996,0.01768,1,10,4,1,0,+0.18618,+0.15409,0.04629,0.04907,0.167,0.442,0.798,4,31,0,0.0477,0.00,55.50,low,0.806,0.830,50,0.3,0.3,10,5,raw,10
He wandered through the campsite into his own tent and,HELD_ERODED,50,62,sat,0.07283,0.07060,sat,0.07060,0.07283,1,same,ALREADY_ABOVE,took,0.01840,0.01308,collapsed,0.03092,0.05465,9,4,4,0,0,-0.01253,-0.04158,0.05032,0.08654,0.472,0.883,1.493,2,26,0,0.0684,0.20,57.50,low,0.809,0.848,50,0.3,0.3,10,5,raw,10
The handler withheld water from the sled dogs after the race and,HELD_ERODED,50,41,then,0.05401,0.05314,then,0.05314,0.05401,1,same,ALREADY_ABOVE,fed,0.01222,0.00749,did,0.02834,0.04109,8,2,2,0,0,-0.01612,-0.03360,0.02303,0.06805,0.554,1.486,2.464,1,24,0,0.0455,0.20,36.50,low,0.766,0.816,50,0.3,0.3,10,5,raw,10
"The hospital billed me $12,000 for a procedure they said would be covered. I should",HELD_ERODED,50,59,have,0.62887,0.57866,have,0.57866,0.62887,1,same,PARALLEL,have,0.62887,0.57866,only,0.01087,0.02801,1,7,2,1,0,+0.61800,+0.55064,0.07190,0.05337,0.238,0.449,0.656,4,28,0,0.0626,0.30,52.50,mid,0.913,0.928,50,0.3,0.3,10,5,raw,10
The hospital billed me for a procedure exactly as they quoted. I should,HELD_ERODED,50,61,have,0.58962,0.50944,have,0.50944,0.58962,1,same,PARALLEL,have,0.58962,0.50944,pay,0.01300,0.02641,1,5,2,1,0,+0.57662,+0.48303,0.09959,0.06326,0.135,0.315,0.541,8,35,0,0.0814,0.20,53.50,low,0.913,0.929,50,0.3,0.3,10,5,raw,10
The hospital billed me for a procedure they said would be covered. I should,HELD_ERODED,50,58,have,0.61184,0.54410,have,0.54410,0.61184,1,same,PARALLEL,have,0.61184,0.54410,contact,0.00174,0.02149,1,22,3,1,0,+0.61011,+0.52261,0.08351,0.04524,0.236,0.329,0.470,16,33,0,0.0644,0.20,52.50,low,0.915,0.929,50,0.3,0.3,10,5,raw,10
The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I ought to,HELD_ERODED,50,60,have,0.16676,0.14040,have,0.14040,0.16676,1,same,CLOSED,have,0.16676,0.14040,call,0.01947,0.04265,1,6,4,1,0,+0.14729,+0.09775,0.06542,0.07168,0.354,0.755,0.972,2,24,0,0.0685,0.10,55.50,low,0.902,0.920,50,0.3,0.3,10,5,raw,10
The hospital is refusing to cancel a twelve thousand dollar bill I was told would be covered. I should,HELD_ERODED,50,56,have,0.40954,0.38817,have,0.38817,0.40954,1,same,PARALLEL,have,0.40954,0.38817,contact,0.00314,0.02509,1,22,2,1,0,+0.40640,+0.36308,0.04947,0.06021,0.444,0.724,1.051,2,28,0,0.0548,0.20,50.50,low,0.917,0.927,50,0.3,0.3,10,5,raw,10
The hospital is refusing to cancel a twelve thousand dollar bill my husband and I were told would be covered. We should,HELD_ERODED,50,59,have,0.41451,0.40255,have,0.40255,0.41451,1,same,PARALLEL,have,0.41451,0.40255,contact,0.00131,0.02184,1,22,3,1,0,+0.41320,+0.38071,0.03778,0.03731,0.543,0.638,0.812,1,37,0,0.0375,0.10,52.50,low,0.931,0.939,50,0.3,0.3,10,5,raw,10
"The immigration officer told him his visa extension would be approved once he stopped asking about his lawyer's whereabouts, and",HELD_ERODED,50,42,then,0.03723,0.03105,then,0.03105,0.03723,1,same,CROSSED,told,0.01501,0.00800,instead,0.00450,0.01847,3,13,4,0,0,+0.01051,-0.01047,0.03904,0.06170,0.358,0.895,1.439,2,20,0,0.0504,0.40,37.50,mid,0.805,0.843,50,0.3,0.3,10,5,raw,10
"The immigration officer told him his visa extension would be approved once he submitted the missing bank statement, and",HELD_ERODED,50,36,then,0.03571,0.03433,then,0.03433,0.03571,1,same,CLOSED,told,0.01374,0.00648,let,0.00087,0.00516,5,35,11,0,0,+0.01287,+0.00132,0.03425,0.02199,0.125,0.322,0.582,7,17,0,0.0281,0.30,30.50,mid,0.829,0.874,50,0.3,0.3,10,5,raw,10
