token,category
recalculate,procedural_operation
delete,procedural_operation
kill,bodily_violence
discovered,perception_cognition
either,grammatical_function
no,grammatical_function
cut,property_damage
heard,perception_cognition
not,grammatical_function
collapsed,locomotion_posture
nights,entity_noun
realizing,perception_cognition
undid,object_handling
never,grammatical_function
walked,locomotion_posture
departing,locomotion_posture
once,grammatical_function
fire,entity_noun
laughed,nonverbal_expression
boarding,locomotion_posture
being,grammatical_function
files,entity_noun
sell,transfer_possession
flicked,object_handling
added,object_handling
lived,process_event
invited,speech_act
scanned,perception_cognition
to,grammatical_function
opened,object_handling
punched,bodily_violence
sipped,process_event
you,person_reference
shaved,contact_care
siblings,person_reference
an,grammatical_function
residents,person_reference
placed,object_handling
unearthed,ritual_observance
speaking,speech_act
lit,object_handling
recited,speech_act
helped,contact_care
days,entity_noun
flung,object_handling
stormed,locomotion_posture
wore,object_handling
also,grammatical_function
stepped,locomotion_posture
friends,person_reference
slipped,object_handling
withdrew,transfer_possession
sweep,object_handling
dragged,bodily_violence
ankle,entity_noun
dressed,contact_care
his,person_reference
burnt,property_damage
began,grammatical_function
became,grammatical_function
away,grammatical_function
leg,entity_noun
draped,object_handling
on,grammatical_function
disappeared,locomotion_posture
gave,transfer_possession
proudly,quality_manner
was,grammatical_function
facebook,entity_noun
trampled,property_damage
slapped,bodily_violence
published,procedural_operation
sprayed,object_handling
the,grammatical_function
getting,grammatical_function
sat,locomotion_posture
signed,procedural_operation
temple,entity_noun
dryer,entity_noun
that's,grammatical_function
heading,locomotion_posture
talked,speech_act
waited,locomotion_posture
made,object_handling
they,person_reference
sliced,property_damage
wanted,perception_cognition
leave,locomotion_posture
missed,perception_cognition
kick,bodily_violence
returning,locomotion_posture
sued,procedural_operation
stones,entity_noun
stirred,object_handling
included,procedural_operation
unlocked,object_handling
promptly,quality_manner
connected,object_handling
security,entity_noun
hit,bodily_violence
polished,object_handling
ate,process_event
pinned,bodily_violence
symbols,entity_noun
groped,bodily_violence
planned,perception_cognition
forced,bodily_violence
plans,entity_noun
evict,procedural_operation
as,grammatical_function
wondered,perception_cognition
nose,entity_noun
monitored,perception_cognition
approaching,locomotion_posture
funeral,entity_noun
leaped,locomotion_posture
forged,procedural_operation
watched,perception_cognition
stomped,locomotion_posture
has,grammatical_function
carried,object_handling
paid,transfer_possession
ordered,speech_act
open,object_handling
frowned,nonverbal_expression
turning,locomotion_posture
demanded,speech_act
cuffed,bodily_violence
swept,object_handling
shook,nonverbal_expression
received,transfer_possession
read,perception_cognition
slit,bodily_violence
carb,entity_noun
shone,process_event
prepared,object_handling
noted,speech_act
he'd,person_reference
records,entity_noun
knocked,object_handling
dumped,object_handling
later,grammatical_function
he,person_reference
posted,procedural_operation
sign,procedural_operation
jumped,locomotion_posture
whispered,speech_act
gravy,entity_noun
altars,entity_noun
turn,locomotion_posture
ended,grammatical_function
in,grammatical_function
threatened,speech_act
won,transfer_possession
dropped,object_handling
saluted,nonverbal_expression
paused,grammatical_function
punching,bodily_violence
danced,locomotion_posture
tagged,procedural_operation
didn't,grammatical_function
amounted,process_event
pressed,object_handling
squinted,nonverbal_expression
ms,person_reference
handed,transfer_possession
had,grammatical_function
spat,process_event
fired,procedural_operation
serve,object_handling
drowned,bodily_violence
injected,object_handling
wrestled,bodily_violence
climbed,locomotion_posture
used,object_handling
better,quality_manner
ignored,perception_cognition
attached,object_handling
more,grammatical_function
left,locomotion_posture
invested,transfer_possession
this,grammatical_function
traced,perception_cognition
forth,grammatical_function
asked,speech_act
massaged,contact_care
cornered,bodily_violence
contradicted,speech_act
vehicle,entity_noun
scribbled,procedural_operation
lunged,locomotion_posture
squeezed,contact_care
car,entity_noun
my,person_reference
write,procedural_operation
struck,bodily_violence
released,procedural_operation
close,object_handling
uncovered,perception_cognition
change,object_handling
apologized,speech_act
pulled,object_handling
when,grammatical_function
indicates,perception_cognition
her,person_reference
couldn,grammatical_function
inserted,object_handling
rang,speech_act
raises,perception_cognition
bent,locomotion_posture
moved,locomotion_posture
vote,procedural_operation
picked,object_handling
tried,grammatical_function
re,grammatical_function
onto,grammatical_function
rested,locomotion_posture
quickly,quality_manner
assisted,contact_care
alleged,speech_act
warned,speech_act
switched,object_handling
steal,transfer_possession
pointed,nonverbal_expression
we,person_reference
drove,locomotion_posture
says,speech_act
winked,nonverbal_expression
glanced,perception_cognition
stuck,object_handling
rifled,perception_cognition
tested,procedural_operation
yanked,object_handling
argued,speech_act
why,grammatical_function
shot,bodily_violence
spent,transfer_possession
quiet,quality_manner
swam,locomotion_posture
did,grammatical_function
attacked,bodily_violence
choked,bodily_violence
confirmed,procedural_operation
others,person_reference
swung,object_handling
checked,perception_cognition
listened,perception_cognition
running,locomotion_posture
all,grammatical_function
nodded,nonverbal_expression
urinal,entity_noun
handcuffed,bodily_violence
number,entity_noun
sailed,locomotion_posture
set,object_handling
across,grammatical_function
brother-in-law,person_reference
determined,perception_cognition
broke,property_damage
bought,transfer_possession
hung,object_handling
lay,locomotion_posture
proceeded,grammatical_function
stepping,locomotion_posture
cradled,contact_care
fed,contact_care
implies,perception_cognition
leaned,locomotion_posture
slid,object_handling
returned,locomotion_posture
bench,entity_noun
release,procedural_operation
send,transfer_possession
ruined,property_damage
submit,procedural_operation
if,grammatical_function
rubbed,contact_care
submitted,procedural_operation
removed,object_handling
cold,quality_manner
create,object_handling
with,grammatical_function
jerked,object_handling
use,object_handling
him,person_reference
throttle,entity_noun
stuffed,object_handling
dug,object_handling
brushed,contact_care
copied,procedural_operation
realized,perception_cognition
shared,procedural_operation
screensaver,entity_noun
ran,locomotion_posture
beat,bodily_violence
apply,procedural_operation
texted,speech_act
calling,speech_act
have,grammatical_function
name,entity_noun
tied,object_handling
flipped,object_handling
then,grammatical_function
applied,procedural_operation
me,person_reference
dhoti,entity_noun
drive,locomotion_posture
sent,transfer_possession
that,grammatical_function
miss,perception_cognition
raced,locomotion_posture
offered,transfer_possession
text,entity_noun
verify,procedural_operation
half,grammatical_function
marched,locomotion_posture
poured,object_handling
settled,procedural_operation
ducks,entity_noun
cursed,speech_act
let,grammatical_function
followed,locomotion_posture
sealed,object_handling
touched,contact_care
towards,grammatical_function
chanted,ritual_observance
taking,transfer_possession
cashed,transfer_possession
dated,procedural_operation
explained,speech_act
father,person_reference
its,grammatical_function
snorted,nonverbal_expression
far,quality_manner
changed,object_handling
descended,locomotion_posture
counted,perception_cognition
couldn't,grammatical_function
would,grammatical_function
neck,entity_noun
realised,perception_cognition
held,object_handling
screwed,object_handling
pausing,grammatical_function
food,entity_noun
zipped,object_handling
arrest,procedural_operation
restored,object_handling
refilled,object_handling
caused,process_event
fell,locomotion_posture
worshipped,ritual_observance
deleted,procedural_operation
heat,entity_noun
eyes,entity_noun
wound,object_handling
tore,property_damage
phone,entity_noun
inscribed,ritual_observance
came,locomotion_posture
marry,ritual_observance
grabbed,object_handling
finishing,grammatical_function
aimed,object_handling
she's,person_reference
occurred,process_event
police,person_reference
of,grammatical_function
carefully,quality_manner
there,grammatical_function
stamp,procedural_operation
now,grammatical_function
put,object_handling
saw,perception_cognition
accidentally,quality_manner
died,process_event
pocketed,transfer_possession
replaced,object_handling
sparks,entity_noun
gasped,nonverbal_expression
stole,transfer_possession
delivered,transfer_possession
how,grammatical_function
is,grammatical_function
chairs,entity_noun
____,grammatical_function
fled,locomotion_posture
warmth,entity_noun
actually,quality_manner
drank,process_event
took,transfer_possession
told,speech_act
kicked,bodily_violence
twisted,object_handling
shoving,bodily_violence
down,grammatical_function
take,transfer_possession
inscription,entity_noun
locking,object_handling
rope,entity_noun
closed,object_handling
water,entity_noun
stated,speech_act
weeks,entity_noun
arranged,object_handling
searched,perception_cognition
stopped,grammatical_function
are,grammatical_function
clicked,procedural_operation
threw,object_handling
patted,contact_care
carved,ritual_observance
spooned,object_handling
stopping,grammatical_function
hid,object_handling
numbers,entity_noun
neighbours,person_reference
borrowed,transfer_possession
addresses,entity_noun
back,grammatical_function
tucked,object_handling
sanded,object_handling
long,quality_manner
examined,perception_cognition
wiped,object_handling
so,grammatical_function
putting,object_handling
stories,entity_noun
wife,person_reference
pushed,object_handling
noticed,perception_cognition
parked,locomotion_posture
leaving,locomotion_posture
covered,object_handling
renew,procedural_operation
laid,object_handling
crumpled,property_damage
mother,person_reference
leaning,locomotion_posture
walking,locomotion_posture
married,ritual_observance
out,grammatical_function
wrote,procedural_operation
from,grammatical_function
sorted,procedural_operation
fax,entity_noun
means,perception_cognition
i,person_reference
and,grammatical_function
it's,grammatical_function
exposed,perception_cognition
passed,locomotion_posture
some,grammatical_function
got,grammatical_function
shoved,bodily_violence
diagnosed,procedural_operation
learned,perception_cognition
stamped,procedural_operation
scrolled,procedural_operation
performed,procedural_operation
about,grammatical_function
she'd,person_reference
under,grammatical_function
turned,locomotion_posture
head,entity_noun
lifted,object_handling
captioned,procedural_operation
forgot,perception_cognition
knelt,locomotion_posture
found,perception_cognition
carrots,entity_noun
duck,entity_noun
failed,grammatical_function
sped,locomotion_posture
sighed,nonverbal_expression
saying,speech_act
ripped,property_damage
peered,perception_cognition
painted,object_handling
built,object_handling
begged,speech_act
shoot,bodily_violence
immediately,quality_manner
only,grammatical_function
entering,locomotion_posture
defecated,process_event
into,grammatical_function
declined,procedural_operation
resulted,process_event
disappearing,locomotion_posture
she,person_reference
for,grammatical_function
faces,entity_noun
glared,nonverbal_expression
snuggled,contact_care
were,grammatical_function
plugged,object_handling
still,grammatical_function
emerged,locomotion_posture
asking,speech_act
fresh,quality_manner
guided,contact_care
raised,object_handling
instructed,speech_act
adjusted,object_handling
looked,perception_cognition
attended,locomotion_posture
just,grammatical_function
windows,entity_noun
crept,locomotion_posture
stabbed,bodily_violence
gazed,perception_cognition
people,person_reference
woke,process_event
mouth,entity_noun
easier,quality_manner
at,grammatical_function
indicated,perception_cognition
spoke,speech_act
said,speech_act
ready,quality_manner
instead,grammatical_function
saved,procedural_operation
arm,entity_noun
thought,perception_cognition
went,locomotion_posture
tracked,perception_cognition
announced,speech_act
one,grammatical_function
rain,entity_noun
it,grammatical_function
packed,object_handling
