source_lexicon,group,n_categories,gloss
framenet,transformation,14,"A thing coming into being, ceasing to exist, or undergoing, causing, or being made to undergo change in form, substance, or condition."
framenet,vehicle_travel,6,"Traveling by, boarding, riding, landing, or operating a vehicle or vessel."
framenet,violence_harm,13,"Physical assault, killing, weapon use, rape, and other infliction of bodily harm or forceful impact."
framenet,weather_natural_phenomena,4,"Weather events, celestial phenomena, and natural or accidental catastrophes."
usas,making_and_causation,4,"General creation, modification, and causing of change or connection."
usas,danger_caution_and_violence,5,"Physical harm, destruction, and warfare, along with the danger and caution surrounding them."
usas,suitability_and_utility,5,"Fitness for purpose, usefulness, and ease or difficulty of use."
usas,ontological_and_categorization,4,"Abstract categorization of existence, physical/mental status, kinds, and instances."
usas,constraint_inclusion_and_exclusion,4,"Boundary-setting notions of restriction, inclusion/exclusion, avoidance, and exclusivity."
usas,degree_intensity_and_emphasis,9,"Scalar intensifiers, boosters, diminishers, and markers of importance or noticeability."
usas,evaluation_comparison_and_judgment,8,"Judging things as good/bad, true/false, or accurate, and comparing them as similar, different, or unusual."
usas,body_health_and_consumption,9,"The body, its health and medical treatment, personal grooming and clothing, and what is eaten, drunk, or ingested."
usas,leisure_hobbies_and_play,5,"Arts and crafts, sport, games, and children's play as non-professional pursuits."
usas,emotion_and_arousal,9,"Felt affective states, including liking, happiness, anger, fear, worry, and excitement or interest."
usas,governance_law_and_ethics,7,"The institutional and normative order of government, politics, law, ethics, obligation, and permission."
usas,housing_and_buildings,5,"Architecture, buildings, domestic space, and household furnishings."
usas,money_and_finance,5,"Wealth, affluence, debt, and price."
usas,commerce_work_and_industry,7,"Business, employment, professional life, and industrial or agricultural production."
usas,media_and_entertainment,9,"The entertainment and mass-media industries, from music and theatre to books, press, and broadcast."
usas,biology_and_living_things,9,"Life in general, animals across gender markings, and plants."
usas,movement_transport_and_location,8,"Moving and travelling by land, sea, or air vehicle, and spatial location, direction, or stasis."
usas,geography_and_places,4,"Geographic terms and place names, both common and proper."
usas,number_quantity_and_order,9,"Numbers, mathematics, linear order, amount, entirety, and frequency."
usas,physical_measurement_dimensions,10,"Measured physical dimensions such as size, distance, volume, weight, area, length, and speed."
usas,matter_objects_and_handling,8,"Substances and physical objects, and the actions of getting, giving, and physically moving them."
usas,physical_appearance_and_properties,6,"Perceptible surface properties of things: appearance, colour, shape, texture, and temperature."
usas,science_technology_and_electronics,3,"Science, information technology and computing, and electrical equipment."
usas,inquiry_discovery_and_education,5,"Investigating, learning, discovering or revealing, and formal education."
usas,core_cognition_and_belief,7,"Thinking, believing, understanding, expecting, and abstract mental objects or methods."
usas,sensory_perception,6,"The five senses of taste, sound, touch, sight, and smell."
usas,volition_and_capability,5,"Deciding, wanting, trying, and the ability to succeed or fail at something."
usas,language_and_communication,7,"Speech, writing, telecommunication, and the structure of language itself."
usas,cosmos_weather_and_environment,4,"The universe, light, weather, and ecological or environmental concern."
usas,personality_traits,8,"Dispositional character traits such as friendliness, avarice, egoism, politeness, toughness, and good sense."
usas,sociality_reciprocity_and_belonging,8,"General social interaction, reciprocity, participation, desert, group affiliation, and mutual help."
usas,people_and_gender,6,Generic terms for people marked by gender.
usas,kinship_and_relationships,7,"Family and kin ties, and personal or intimate relationships."
usas,hierarchy_power_and_status,4,"Organizing power, respect, and competitive standing among people."
usas,religion_and_supernatural,5,"Religion, faith, and the supernatural."
usas,time_reference_and_tense,5,"Time in general and its grammaticalized past, present, and future reference."
usas,duration_phase_and_age,5,"Duration, beginnings and endings, age, and earliness or lateness."
usas,personal_names,4,"Proper names for people, with gender variants."
usas,other_proper_names,7,"Proper names other than personal or geographic ones, such as organizations or brands."
usas,pronouns,6,"Pronominal forms, with gender variants."
usas,logical_modal_and_discourse_operators,7,"Modality, negation, conditionality, chance, seeming, and discourse/grammar-bin items."
verbnet,locomotion_travel,11,"Physical movement of a person or entity from one place to another, on foot, by vehicle, or in pursuit of a target."
verbnet,emotion_attitude,9,"An emotional or attitudinal stance held toward, or emotional effect produced in, a person."
verbnet,communication_report,10,"Producing a spoken or written statement that reports, discloses, or describes something."
verbnet,possession_general,7,"Coming to have, or continuing to retain, possession of something."
verbnet,communication_directive,4,A speech act aimed at directing or constraining someone else's future action.
verbnet,attach_combine,4,Joining separate substances or objects into a single combined whole.
verbnet,emission,5,"An entity spontaneously giving off light, sound, smell, or a substance."
verbnet,existence_appearance,7,"Coming into being, being present, or happening, including atmospheric events."
verbnet,naming_designation,3,"Officially assigning or occupying a name, title, or role."
verbnet,judgment_evaluation,9,"Forming, expressing, or assigning an evaluative opinion or value, including monetary worth."
verbnet,body_posture_gesture,4,Adopting a bodily posture or making a non-translational body movement or gesture.
verbnet,avoidance_abstention,3,"Keeping away from, breaking free of, or deliberately not engaging in something."
verbnet,removal_elimination,8,"Taking something away from a place, surface, or whole so that it is no longer there."
verbnet,social_interaction,6,A reciprocal social relationship or joint activity between two or more parties.
verbnet,aspectual_phase,8,"Marking the beginning, continuation, duration, or ending of an event or state."
verbnet,dressing_clothing,4,"Putting on, wearing, or being in a state of dress."
verbnet,spatial_configuration_shape,7,"The physical shape, posture, or spatial arrangement an entity holds or takes on."
verbnet,bodily_state_function,7,"An involuntary internal bodily sensation, function, or state change."
verbnet,grooming_hygiene,3,"Tending to hair, teeth, or personal appearance."
verbnet,damage_violence,6,"Causing physical damage, injury, or death to an entity."
verbnet,transfer_giving,11,"Causing another party to receive or have something, now or in the future."
verbnet,creation_production,7,"Bringing something new into existence through effort, process, or performance."
verbnet,contact_impact,7,"Making physical contact with, or striking, something."
verbnet,filling_covering,4,Causing a surface or container to become covered or full with a substance.
verbnet,change_of_state_general,10,"An entity's transition from one physical, biological, or circumstantial state to another."
verbnet,cutting_shaping,3,Dividing or reshaping something with a blade or cutting action.
verbnet,deception_pretense,3,Concealing the truth or presenting a false appearance to others.
verbnet,eating_ingestion,7,"Taking in food, especially with attention to the manner or degree of consumption."
verbnet,communication_manner_channel,8,"The style, medium, or nonverbal form through which communication is carried out."
verbnet,compulsion_control,4,"Compelling, restricting, or controlling someone's action or scope."
verbnet,assistance_support,2,Acting to protect or benefit another person.
verbnet,comparison_relation,3,"Expressing a relation of similarity, difference, or relative magnitude between entities."
verbnet,searching_discovery,7,Directing attention or effort toward finding or coming to know something.
verbnet,forceful_caused_motion,8,"Forcefully propelling or directing an object, substance, or group into motion."
verbnet,placement,5,Placing or causing an entity to come to rest at a location.
verbnet,desire_want,3,Wanting or yearning for something.
verbnet,perception,3,Visually perceiving or looking at something.
verbnet,written_recording,3,Producing a written or documented record of something.
small,cognition_perception,7,"Words for the act of knowing, recognizing, or perceiving, including primitive or associative modes of thought."
small,sensory_quality,4,"Words describing sensory qualities, color, raw sensation, and the manner in which something is done."
small,moral_imperative,4,"Words expressing duty, obligation, prohibition, or self-restraint."
small,moral_evaluation,6,"Words evaluating persons or acts as good or bad, virtuous or vicious."
small,enlightenment_knowledge,8,"The Lasswell enlightenment and skill value domains: education, doctrine, and expertise."
small,abstraction_relation,4,Abstract vocabulary and words marking general relations or states between entities.
small,logical_connective,4,"Negation, comparison, causation, and other logical or grammatical connectives."
small,epistemic_hedging,4,"Words marking certainty, doubt, emphasis, or hedging of an assertion."
small,quantity_measure,6,"Number, dimension, frequency, and measured quantity or structure."
small,magnitude_change,4,"Words for increase, decrease, or other change in magnitude."
small,process_phase,8,"The beginning, persistence, completion, or failure of a process or natural life-cycle."
small,motion_locomotion,5,"Physical movement through space, including imagery of rising and falling."
small,contact_manipulation,4,"Touching, gripping, applying force to, or otherwise physically handling objects."
small,agency_orientation,6,Active versus passive orientation in describing agency and force.
small,aggression_conflict,6,"Hostility, conflict, physical violence, and damage to persons or property."
small,affection_care,6,"Love, friendship, supportive bonds, and caring physical contact."
small,emotion_general,5,General or undifferentiated emotional and mental-state language.
small,positive_affect,3,"Happiness, enjoyment, confidence, and other positively toned feeling."
small,negative_affect,4,"Fear, sadness, distress, and negatively toned emotional arousal."
small,goal_directed_action,8,"Needs, goals, means, and purposive or creative instrumental action."
small,respect_status,4,"Status, honor, prestige, and the gain or loss of reputation."
small,power_institution,13,"The political, legal, military, and institutional apparatus of organized power."
small,social_cooperation,5,"Cooperative and interpersonal social behavior, and human collectivities."
small,ritual_procedure,5,"Ceremonial, religious, and standardized procedural forms and conventions."
small,economic_exchange,6,"Wealth, trade, transactions, and the exchange or transfer of possessions."
small,communication_speech,5,"Talking, writing, and other communicative acts, tools, and media."
small,expressive_nonverbal,4,"Artistic, exclamatory, and other nonverbal expressive behavior."
small,concrete_object,5,"Concrete physical objects, food, building structures, and their consumption."
small,body_health,4,"The body, its parts, and physical health or well-being."
small,social_role_participant,8,"Persons named by the social, professional, or institutional role they occupy."
small,human_category,6,"Generic reference to humans or animals by sex, age, or personal trait."
small,speaker_deixis,3,First- and second-person pronominal reference to speaker and addressee.
small,spatial_temporal_deixis,5,"General awareness of place, position, and time."
small,natural_environment,4,"The non-human natural world, its terrain, objects, and weather."
